,LSTM-Bidirecional-1,LSTM-Bidirecional-2,LSTM-Bidirecional-3,LSTM-Bidirecional-4,LSTM-Bidirecional-5,LSTM-Bidirecional-6,LSTM-Bidirecional-7,LSTM-Bidirecional-8,LSTM-Bidirecional-9,LSTM-Bidirecional-10,LSTM-Bidirecional-11,LSTM-Bidirecional-12
2018-06-01 00:00:00,0.9382807,4.3986344,7.828817,8.75608,9.183862,10.937246,7.866794,7.876421,12.4996605,11.351073,12.590614,12.556596
2018-06-01 00:30:00,2.8147762,1.4849496,4.971354,8.205457,8.779159,9.221715,11.046657,8.16692,8.255349,12.721329,11.52192,12.655232
2018-06-01 01:00:00,10.958457,3.3729262,2.229775,5.5046787,8.251647,8.839475,9.322971,11.175829,8.563839,8.640658,12.835658,11.599545
2018-06-01 01:30:00,25.173271,11.3678875,4.0914254,2.9254868,5.675554,8.32977,8.964353,9.532247,11.408557,8.974983,8.918159,12.884193
2018-06-01 02:00:00,29.650803,25.145046,11.751552,4.729212,3.2204833,5.8096166,8.484572,9.197245,9.857147,11.744714,9.289041,9.044158
2018-06-01 02:30:00,27.312716,29.46309,24.810156,12.027489,4.9729304,3.4462345,6.0543,8.758005,9.548018,10.263342,11.961933,9.451433
2018-06-01 03:00:00,20.459602,26.942957,29.028265,24.333061,11.982044,5.2397456,3.8228116,6.495116,9.141078,9.976486,10.527783,12.08628
2018-06-01 03:30:00,33.234035,20.000507,26.552946,28.542362,23.69947,12.159359,5.645619,4.434677,7.0265265,9.591399,10.260172,10.673099
2018-06-01 04:00:00,17.852102,32.410477,19.660868,26.113783,27.912659,23.57121,12.370325,6.180623,5.1138887,7.58197,9.898099,10.41796
2018-06-01 04:30:00,18.716421,17.39249,31.90788,19.262756,25.55345,27.59556,23.33898,12.472416,6.782467,5.795472,7.990872,10.070079
2018-06-01 05:00:00,25.514824,18.25953,17.119635,31.154362,18.744846,25.081398,27.047613,22.660511,12.694157,7.447261,6.317287,8.218139
2018-06-01 05:30:00,27.979336,24.926344,17.950354,16.83671,30.356638,18.157707,24.496517,26.38296,22.175327,13.128842,7.9359307,6.613428
2018-06-01 06:00:00,37.46963,27.307848,24.50916,17.521772,16.399443,29.705103,17.593252,24.041153,25.792269,22.147104,13.367197,8.230118
2018-06-01 06:30:00,36.83197,36.707024,26.856216,23.88949,16.98098,15.726046,29.246138,17.327763,23.613653,25.665873,21.900349,13.539327
2018-06-01 07:00:00,34.311718,36.198547,36.24189,26.225824,23.173426,16.384195,15.099572,28.76465,17.11416,23.481201,25.205418,21.809864
2018-06-01 07:30:00,38.84724,33.66036,35.855183,35.621593,25.497448,22.59407,15.911187,14.9718685,28.265327,16.99698,23.10203,24.952604
2018-06-01 08:00:00,37.410095,38.136734,33.32172,35.46089,34.936157,24.860228,22.141264,15.642945,14.895933,27.933893,16.77387,22.83143
2018-06-01 08:30:00,31.725922,36.787083,37.782726,32.89653,34.96641,34.35114,24.343979,21.735397,15.466631,14.801081,27.590883,16.537933
2018-06-01 09:00:00,26.851347,31.120646,36.49296,37.29051,32.374752,34.399002,33.873386,23.928389,21.35478,15.291456,14.635471,27.269846
2018-06-01 09:30:00,16.21421,26.22805,30.816784,36.10346,36.69684,31.746092,33.858036,33.40251,23.529718,21.117863,15.14155,14.393689
2018-06-01 10:00:00,18.764986,15.859438,25.892412,30.413055,35.56726,36.06142,31.17958,33.51659,32.907795,23.284002,20.837912,14.953023
2018-06-01 10:30:00,24.198782,18.355919,15.663162,25.420864,29.8771,34.926373,35.534817,30.858559,33.14658,32.57876,22.980764,20.594524
2018-06-01 11:00:00,24.451168,23.677961,18.055365,15.402429,24.836246,29.196995,34.355816,35.131912,30.520973,32.86715,32.196495,22.690619
2018-06-01 11:30:00,11.71457,23.889626,23.285799,17.588718,14.971461,24.118038,28.582169,34.00568,34.729027,30.254461,32.503304,31.836445
2018-06-01 12:00:00,10.672883,11.465893,23.469006,22.696505,16.993896,14.3,23.49923,28.28511,33.66879,34.38427,29.919666,32.140663
2018-06-01 12:30:00,8.074159,10.508065,11.277427,22.908741,21.985054,16.40626,13.687421,23.213993,27.994196,33.352127,34.035748,29.57579
2018-06-01 13:00:00,9.339786,8.115513,10.479825,11.11626,22.237946,21.424417,15.963668,13.536,22.945282,27.745983,33.02289,33.67077
2018-06-01 13:30:00,8.016679,9.471332,8.2932415,10.394506,10.787436,21.662615,20.97927,15.632992,13.487318,22.732704,27.43937,32.662617
2018-06-01 14:00:00,6.5416236,8.270195,9.694868,8.420825,10.140394,10.283459,21.170729,20.570862,15.421344,13.368659,22.461292,27.11123
2018-06-01 14:30:00,4.523893,6.876762,8.601184,9.836461,8.319161,9.756677,9.852942,20.792162,20.213543,15.216922,13.236247,22.16673
2018-06-01 15:00:00,5.0427537,4.946094,7.305404,8.88211,9.715911,8.0765085,9.56245,9.769533,20.449125,19.981682,15.0755205,13.040249
2018-06-01 15:30:00,5.226666,5.489157,5.49548,7.687809,8.859805,9.593993,8.021014,9.554951,9.835316,20.253529,19.720745,14.912976
2018-06-01 16:00:00,3.4560678,5.7029634,6.052711,5.9980383,7.7427077,8.853419,9.634534,8.176995,9.69619,9.848188,19.98262,19.495796
2018-06-01 16:30:00,1.8405348,3.991303,6.2765346,6.551428,6.1439137,7.79966,8.949376,9.77927,8.464856,9.757625,9.850905,19.729397
2018-06-01 17:00:00,0.6875454,2.4273734,4.648581,6.788394,6.6911063,6.2702794,7.955855,9.176581,10.033063,8.663872,9.8973875,9.748225
2018-06-01 17:30:00,0.41319335,1.3184657,3.1736217,5.2551146,6.9367146,6.8548303,6.5066123,8.260719,9.506707,10.285132,8.907366,9.892111
2018-06-01 18:00:00,1.1448847,1.078382,2.136166,3.861643,5.4769225,7.1233277,7.1305795,6.9208956,8.66614,9.878557,10.516637,8.987107
2018-06-01 18:30:00,2.0591571,1.8248,1.9319081,2.8881428,4.144485,5.6968207,7.4015784,7.532902,7.4263105,9.112595,10.144703,10.623024
2018-06-01 19:00:00,2.0667322,2.739572,2.66672,2.7130349,3.2198424,4.4077544,6.0104585,7.7889833,8.021455,7.9615555,9.433021,10.28215
2018-06-01 19:30:00,4.5530543,2.7507167,3.5490785,3.429948,3.0660262,3.5274866,4.7852674,6.479044,8.270282,8.568168,8.354021,9.606602
2018-06-01 20:00:00,9.882973,5.1746926,3.55473,4.278818,3.7664285,3.4086483,3.9703364,5.341158,7.041684,8.833452,8.96224,8.572809
2018-06-01 20:30:00,13.665083,10.353797,5.86886,4.283268,4.5858045,4.12194,3.8885703,4.5975285,5.981106,7.6699753,9.224253,9.192305
2018-06-01 21:00:00,14.931862,13.966706,10.789836,6.475567,4.5867276,4.933162,4.5935597,4.53541,5.294985,6.672038,8.113354,9.458043
2018-06-01 21:30:00,12.809292,15.080102,14.159027,11.130869,6.681991,4.9237723,5.3687377,5.1960983,5.248904,6.0416317,7.1727157,8.376357
2018-06-01 22:00:00,10.570719,12.888995,15.116518,14.276235,11.130941,6.9776464,5.336679,5.9105473,5.8766527,6.028101,6.590385,7.4704485
2018-06-01 22:30:00,11.369235,10.646869,12.932622,15.097501,14.107523,11.321399,7.3273644,5.865923,6.546505,6.6511993,6.5960383,6.918725
2018-06-01 23:00:00,10.086178,11.421098,10.764927,12.946901,14.830519,14.157815,11.512713,7.7290373,6.4979897,7.297904,7.199696,6.9410458
2018-06-01 23:30:00,6.948811,10.202587,11.523711,10.85208,12.718753,14.74493,14.167388,11.633174,8.245877,7.2433796,7.8132615,7.541004
2018-06-02 00:00:00,4.014446,7.1913857,10.375835,11.565473,10.687483,12.559187,14.622206,14.066565,11.89703,8.9054575,7.7505746,8.140481
2018-06-02 00:30:00,4.4750066,4.386127,7.535603,10.5019655,11.363894,10.525023,12.408607,14.431272,14.134987,12.373161,9.334693,8.072674
2018-06-02 01:00:00,5.900664,4.901482,4.914841,7.846182,10.3644705,11.209273,10.430625,12.320234,14.416574,14.450531,12.628353,9.616081
2018-06-02 01:30:00,5.456059,6.352633,5.4729457,5.4016924,7.8515515,10.247739,11.153603,10.4769335,12.393211,14.626741,14.559171,12.813514
2018-06-02 02:00:00,6.9441066,5.946714,6.8971095,5.977024,5.540484,7.8176446,10.226669,11.185072,10.659027,12.594524,14.662164,14.647925
2018-06-02 02:30:00,9.281001,7.4039187,6.5155416,7.371046,6.1234317,5.615187,7.891806,10.327328,11.337418,10.88921,12.670642,14.684574
2018-06-02 03:00:00,13.494932,9.664162,7.912996,7.029311,7.4898076,6.269975,5.828427,8.158773,10.54423,11.543205,11.035498,12.686576
2018-06-02 03:30:00,9.628127,13.723615,10.051841,8.354506,7.178491,7.66573,6.558594,6.2672625,8.531931,10.803999,11.683059,11.078962
2018-06-02 04:00:00,11.619164,9.891319,13.883785,10.369549,8.443564,7.3693986,7.9429383,6.9987335,6.7907457,8.911265,10.983974,11.730858
2018-06-02 04:30:00,16.960667,11.777561,10.148387,13.967323,10.362285,8.614671,7.631348,8.306422,7.513283,7.299033,9.195635,11.057831
2018-06-02 05:00:00,16.410238,16.918566,11.9419155,10.387421,13.778821,10.478726,8.8374815,7.9957304,8.758302,8.0555315,7.696428,9.331783
2018-06-02 05:30:00,9.143807,16.313839,16.808064,12.0426855,10.329013,13.789138,10.625201,9.117613,8.464969,9.29645,8.468071,7.905818
2018-06-02 06:00:00,7.523951,9.2001915,16.13986,16.60516,11.87818,10.306317,13.799994,10.7803545,9.515737,9.031157,9.672045,8.703042
2018-06-02 06:30:00,11.239105,7.649326,9.317988,15.926889,16.202497,11.810795,10.292087,13.728744,11.064958,10.034793,9.411931,9.898458
2018-06-02 07:00:00,5.184197,11.331282,7.9046645,9.443321,15.527455,16.028513,11.793414,10.3869295,13.804843,11.49916,10.367313,9.642518
2018-06-02 07:30:00,10.969517,5.504021,11.488282,8.117735,9.315002,15.2630005,15.892939,11.808553,10.629274,14.086697,11.752374,10.574991
2018-06-02 08:00:00,13.725239,11.196416,5.9393954,11.5525675,8.059983,9.097,15.008442,15.642213,11.959703,10.978813,14.198508,11.914196
