,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-06-01 00:00:00,0.623633,3.3481727,7.094358,8.843645,8.200892,11.069411,8.991543,7.6230288,13.655761,12.05701,13.450671,13.856945
2018-06-01 00:30:00,2.9181087,1.284267,4.1858363,7.8276386,8.5281515,8.4870205,11.702687,9.387837,8.076389,13.997076,12.55347,13.538731
2018-06-01 01:00:00,10.641938,3.594091,2.2285314,4.9889708,7.6577916,8.814124,9.003849,11.987691,9.497251,8.820725,14.402386,12.655318
2018-06-01 01:30:00,26.368505,11.375123,4.398626,3.079138,5.046575,7.9321704,9.497796,9.3926115,11.977739,9.978321,9.4354925,14.465561
2018-06-01 02:00:00,30.485403,27.020218,11.739806,5.298378,3.3175712,5.340237,8.677299,9.898632,9.691135,12.21611,10.591873,9.481536
2018-06-01 02:30:00,28.397837,30.030958,26.313932,12.574838,5.250154,3.5695646,6.2591825,9.068509,10.038391,10.18592,12.807498,10.518018
2018-06-01 03:00:00,19.625021,27.622755,29.241629,26.358421,11.792843,5.537786,4.717775,6.738344,9.33605,10.462828,10.806416,12.675888
2018-06-01 03:30:00,35.03096,19.142307,27.046377,28.667105,24.850935,12.107169,6.651525,5.240323,7.218111,9.805862,11.093944,10.844271
2018-06-01 04:00:00,18.513233,34.638805,18.829065,26.57894,28.105679,24.877487,12.853456,7.1277657,5.846035,7.8212957,10.452234,11.006486
2018-06-01 04:30:00,17.732412,17.97956,33.30062,18.686056,25.819008,27.65362,25.379704,13.1510935,7.5111294,6.463334,8.501805,10.391374
2018-06-01 05:00:00,26.272432,17.304451,17.607876,32.155567,17.87995,25.14015,27.38045,24.787796,12.941783,7.89575,7.162639,8.487278
2018-06-01 05:30:00,30.02054,25.673765,17.078957,17.68195,29.969551,17.294527,24.528873,26.222063,23.996067,12.866923,8.609753,7.156389
2018-06-01 06:00:00,38.784996,29.327045,25.011887,16.859465,17.074953,29.231611,16.642519,23.883007,26.108767,23.780348,13.516351,8.474957
2018-06-01 06:30:00,36.854317,38.335938,28.444817,24.267025,15.675266,16.50685,29.393562,16.425798,23.508015,26.057232,23.78372,13.124632
2018-06-01 07:00:00,34.70356,35.94512,37.079548,27.714916,22.832905,15.046657,15.529456,28.529268,16.07357,23.12741,25.824146,22.852077
2018-06-01 07:30:00,38.70661,34.02516,35.469963,36.233276,26.40336,22.080065,14.818344,15.213247,27.676577,15.769531,22.842392,25.02831
2018-06-01 08:00:00,37.76744,38.388336,33.731995,35.200024,34.25417,25.65569,22.053474,14.69316,15.054966,27.192175,15.679546,22.376173
2018-06-01 08:30:00,33.159184,37.227753,37.94171,33.523582,34.071377,33.746887,25.394836,21.370802,14.182241,14.575333,26.36381,15.348443
2018-06-01 09:00:00,28.272535,32.644608,37.101086,37.531544,32.581978,33.599293,33.84554,24.540653,20.77851,13.824614,14.550931,25.12754
2018-06-01 09:30:00,14.321122,27.978043,32.521896,36.99871,36.150948,31.970476,32.980736,32.871998,24.055426,20.213186,13.696118,14.227145
2018-06-01 10:00:00,18.787115,15.008645,27.462934,32.563934,36.028027,35.649345,31.108824,32.385487,32.114944,23.369553,19.899925,13.219303
2018-06-01 10:30:00,24.309593,18.368723,14.24015,27.413342,31.823492,35.56909,35.237118,30.703537,31.73709,31.578897,23.05824,19.045101
2018-06-01 11:00:00,25.58036,23.70173,18.078983,14.651246,26.530401,31.222261,34.762615,34.628494,29.922342,31.151722,30.988575,22.057396
2018-06-01 11:30:00,10.553881,24.866203,23.15161,17.822641,13.419688,25.77905,30.049688,34.30367,33.726616,29.51976,30.839731,29.560015
2018-06-01 12:00:00,10.784654,10.793547,24.269766,22.539116,16.524656,13.091107,24.627113,29.804808,33.47001,33.37466,29.213272,30.21316
2018-06-01 12:30:00,6.14578,10.614704,10.77511,23.64817,21.38818,15.884851,12.401021,24.437963,28.92436,33.149223,33.03091,28.871378
2018-06-01 13:00:00,8.6701,6.359238,11.029974,10.963913,22.632912,20.643164,15.720827,12.466039,23.621162,28.707115,32.90044,32.267685
2018-06-01 13:30:00,6.426416,8.868689,6.983953,11.153631,10.1295185,21.853266,20.505735,15.620962,12.085232,23.358704,28.459105,32.526806
2018-06-01 14:00:00,5.436235,6.9026,9.505231,7.379553,10.350513,9.981168,21.57019,19.83357,15.019011,11.999645,23.048025,28.360365
2018-06-01 14:30:00,3.3904455,6.0295634,7.60043,10.014108,7.0709863,10.043597,9.909489,20.833231,19.395523,14.639284,11.985349,22.87302
2018-06-01 15:00:00,4.434829,4.047418,6.7611346,8.230318,9.589488,6.996164,10.4938545,9.786408,20.46811,18.83608,14.455277,11.303852
2018-06-01 15:30:00,4.175819,5.096685,4.8626933,7.5000324,8.103476,9.546863,7.711431,10.555706,9.767707,19.857756,18.662645,14.003225
2018-06-01 16:00:00,2.4594543,4.8516726,5.850599,5.650982,7.329596,8.302252,10.257771,7.840502,10.269022,9.843642,19.6741,17.930965
2018-06-01 16:30:00,1.3846728,3.160664,5.588903,6.680401,5.644427,7.592731,8.932478,10.485115,7.9821453,10.412435,10.067847,18.927187
2018-06-01 17:00:00,0.57572997,2.073564,3.9662738,6.427622,6.530728,5.9200845,8.350123,9.286099,10.427667,8.436382,10.630618,9.408162
2018-06-01 17:30:00,0.5554148,1.2388148,2.937942,4.8394938,6.3340325,6.8072886,6.846251,8.773183,9.555028,10.689389,8.9417095,10.291716
2018-06-01 18:00:00,1.1305128,1.219316,2.1403499,3.826875,4.8856444,6.64652,7.764175,7.29852,9.0323925,10.06709,11.24352,8.697343
2018-06-01 18:30:00,1.670632,1.8112454,2.1033444,3.037224,3.9650044,5.2261386,7.528397,8.200552,7.713195,9.546418,10.678396,11.092611
2018-06-01 19:00:00,1.4775997,2.3664308,2.6458097,3.0290158,3.275638,4.2853694,6.1512694,7.980983,8.492742,8.273094,10.189492,10.689256
2018-06-01 19:30:00,3.9053314,2.1762786,3.1616864,3.5891163,3.2513547,3.581848,5.3318343,6.66302,8.337719,8.906827,8.95045,10.150548
2018-06-01 20:00:00,8.927391,4.6299977,2.980721,4.10606,3.7332997,3.5809677,4.688557,5.864976,7.1500435,8.760941,9.596629,8.906376
2018-06-01 20:30:00,12.888069,9.639112,5.319447,3.9182513,4.1922336,4.100144,4.679048,5.2432995,6.417574,7.668955,9.44296,9.476084
2018-06-01 21:00:00,14.95632,13.418406,10.082621,6.253702,4.0326915,4.585424,5.139834,5.252882,5.8707952,6.9561567,8.353248,9.367642
2018-06-01 21:30:00,12.541993,15.173072,13.686405,10.924484,6.0876756,4.4301457,5.556523,5.7154894,5.8749857,6.409218,7.647122,8.332503
2018-06-01 22:00:00,9.750042,12.681932,15.389298,14.322223,10.35514,6.48395,5.3798156,6.1275644,6.2900867,6.37737,7.101561,7.62834
2018-06-01 22:30:00,11.055847,9.957802,13.046946,15.753501,13.70958,10.706993,7.3873734,5.956786,6.666773,6.7489386,7.0695577,7.108865
2018-06-01 23:00:00,8.824166,11.137363,10.510753,13.351566,15.316105,13.9418545,11.386267,7.889784,6.5213203,7.110223,7.434318,7.0755806
2018-06-01 23:30:00,5.4019876,9.06713,11.6832695,10.895794,13.0908375,15.394414,14.278534,11.733128,8.222265,6.997691,7.7856183,7.42614
2018-06-02 00:00:00,2.9253805,5.898002,9.671149,12.026409,10.621138,13.165334,15.420467,14.4537735,11.705042,8.558383,7.6679635,7.7764187
2018-06-02 00:30:00,4.0057044,3.529265,6.654327,10.114949,11.673765,10.733498,13.142265,15.479106,14.30288,11.794594,9.234726,7.6802835
2018-06-02 01:00:00,5.0163283,4.6234374,4.409324,7.286826,9.909118,11.677403,10.960488,13.280834,15.381512,14.350794,12.431827,9.125104
2018-06-02 01:30:00,4.261946,5.6745963,5.4299207,5.1487093,7.1720443,10.001831,11.993065,11.240071,13.352737,15.577214,14.88593,12.183012
2018-06-02 02:00:00,6.096213,4.9560266,6.380138,6.2315245,5.187554,7.3927197,10.3824835,12.22505,11.334117,13.778856,15.955103,14.6953535
2018-06-02 02:30:00,8.236801,6.7929635,5.6680217,7.20979,6.1414323,5.403052,8.054358,10.647199,12.200539,11.883386,14.154482,15.956533
2018-06-02 03:00:00,13.280534,8.876925,7.4193044,6.5275784,7.034533,6.362743,6.400496,8.456589,10.802807,12.601286,12.312176,14.266469
2018-06-02 03:30:00,7.798371,13.768666,9.405866,8.267705,6.4151893,7.3257966,7.4047217,6.8425894,8.748538,11.292867,13.009539,12.408685
2018-06-02 04:00:00,11.725379,8.295819,14.058315,10.176811,7.952267,6.763723,8.209478,7.8272285,7.266958,9.387392,11.793034,13.090502
2018-06-02 04:30:00,18.314472,12.033762,8.858207,14.647088,9.768197,8.290448,7.5735164,8.638903,8.144657,7.9137287,9.983612,11.859312
2018-06-02 05:00:00,16.838505,18.323788,12.509182,9.481493,13.985916,10.069835,9.080143,8.043224,8.917499,8.591148,8.580426,10.009607
2018-06-02 05:30:00,7.5826983,16.674696,18.419388,13.001034,9.3547,14.173953,10.707727,9.498946,8.397204,9.275963,9.284279,8.549462
2018-06-02 06:00:00,6.552652,7.9905953,16.783365,18.503134,12.487022,9.64964,14.553398,11.05252,9.675703,8.824379,9.959764,9.169672
2018-06-02 06:30:00,11.042495,6.800363,8.515732,16.786991,17.918976,12.621875,9.9062805,14.735863,11.126152,9.988373,9.499669,9.847562
2018-06-02 07:00:00,2.597369,11.198967,7.582807,8.964287,16.52358,17.83774,12.992219,10.2259035,14.526415,11.363559,10.65697,9.44339
2018-06-02 07:30:00,11.961703,3.2329726,11.74536,8.0827055,8.634404,16.34572,17.871557,13.277025,10.516989,14.5854225,12.000162,10.50765
2018-06-02 08:00:00,12.921149,12.469951,4.056375,12.188371,7.809323,8.83884,16.088507,17.81909,13.146288,11.047961,15.109464,11.845627
2018-06-02 08:30:00,5.6678977,13.215988,12.919356,4.7477684,11.692921,7.8502793,9.05913,15.94748,17.566853,13.472813,11.614246,14.904273
2018-06-02 09:00:00,14.061895,6.2737,13.569931,13.600974,4.872133,11.653721,8.59692,9.354383,15.964698,17.73428,13.923504,11.703598
