,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-06-01 00:00:00,1.0491444,3.556645,7.022201,8.045677,8.424098,11.768366,7.8738837,7.8361616,13.984295,11.992412,13.538723,14.214469
2018-06-01 00:30:00,3.7033603,1.7344022,4.17018,7.5533724,8.438104,8.961674,12.22797,8.401916,8.327875,14.3192,12.154744,13.747625
2018-06-01 01:00:00,10.5566,4.417874,2.4642272,4.7318707,7.8856826,8.801315,9.1432705,12.63265,8.575103,8.669476,14.2963915,12.3793125
2018-06-01 01:30:00,25.077814,11.146195,5.0852475,3.1846507,5.266005,8.278832,9.05948,9.5723095,12.867026,9.044475,8.911169,14.349201
2018-06-01 02:00:00,29.464144,25.08051,11.551014,5.670699,3.6922526,5.7622056,8.640173,9.635882,10.1567545,13.148534,9.066901,9.241813
2018-06-01 02:30:00,30.949728,28.942526,24.91651,11.77991,5.98012,4.180918,6.0893884,9.239355,9.944974,10.378335,13.151731,9.1885
2018-06-01 03:00:00,21.038744,30.208538,28.0772,24.63474,11.867356,6.4489255,4.6204886,6.7581387,9.5613365,10.429777,10.647462,13.300942
2018-06-01 03:30:00,35.035435,20.141266,29.551935,27.21002,24.235859,12.296642,7.03686,5.408396,7.244709,10.045654,10.534748,11.008901
2018-06-01 04:00:00,17.678083,33.8497,19.576225,29.429325,27.373474,24.380253,12.856565,7.759384,5.8652287,7.7268887,10.144639,10.790625
2018-06-01 04:30:00,17.237272,17.47066,32.797367,19.636053,29.616714,27.280806,24.763699,13.313727,8.132065,6.4628925,7.923448,10.413088
2018-06-01 05:00:00,26.13638,16.684193,16.955984,31.686586,19.514925,29.260674,26.839958,24.559227,13.576945,8.688519,6.63366,8.289798
2018-06-01 05:30:00,28.662794,25.27828,16.572039,15.876448,30.105053,18.905201,28.794668,26.197792,24.497702,13.920474,8.779148,7.014739
2018-06-01 06:00:00,39.68766,28.113255,24.41259,16.98778,16.483374,29.011555,18.349606,28.41583,26.296427,24.399656,13.962448,9.1213045
2018-06-01 06:30:00,35.392952,38.423565,27.049047,23.265917,16.696058,16.38385,28.775993,17.994473,28.140022,25.756737,24.371145,14.189131
2018-06-01 07:00:00,32.84492,34.140465,36.978043,25.274902,21.941324,16.056767,15.376541,27.77445,17.509092,27.875378,26.056515,24.237032
2018-06-01 07:30:00,38.200916,31.791891,33.015728,35.51285,24.939703,21.225546,15.704468,14.783212,26.725052,17.49964,27.94251,25.715183
2018-06-01 08:00:00,36.529022,37.452675,31.273506,31.874838,34.585896,24.520687,21.135717,15.725443,15.248508,26.063171,17.291313,27.5871
2018-06-01 08:30:00,31.368715,36.095085,36.886986,30.757668,31.49054,33.670277,23.801695,20.242474,15.157655,14.565548,25.348995,16.947935
2018-06-01 09:00:00,27.164572,30.95921,35.50645,36.300747,30.381153,30.675056,32.89657,22.700533,19.627932,15.344955,14.786001,24.438072
2018-06-01 09:30:00,13.935949,26.856575,30.682907,34.62966,35.473034,29.566002,29.603983,31.5505,22.633854,18.925877,14.788381,14.90086
2018-06-01 10:00:00,18.081604,14.143005,26.851175,30.186363,34.31082,34.580128,28.613226,28.49744,30.876324,21.529795,18.440554,14.571621
2018-06-01 10:30:00,20.800615,17.942484,14.579844,26.743307,30.138065,33.86826,34.151474,27.989033,27.96309,29.914888,21.535868,17.774225
2018-06-01 11:00:00,25.123024,20.401155,18.056187,14.782651,26.565134,29.763588,33.247753,33.55517,27.307724,27.158556,29.65133,21.306877
2018-06-01 11:30:00,11.10069,24.631907,19.633741,17.889183,15.061699,26.103004,28.995075,32.497944,32.602222,26.849512,27.056643,28.873663
2018-06-01 12:00:00,10.66094,10.832373,23.780937,18.22734,17.289558,15.032649,25.671904,28.508411,32.080208,32.132385,26.520876,26.436123
2018-06-01 12:30:00,7.2700057,10.108372,10.629116,22.440063,17.522833,16.887924,14.7280655,25.501179,28.233526,31.342728,31.493813,26.007391
2018-06-01 13:00:00,8.6621895,7.332662,9.6993475,10.679626,22.303732,17.16057,17.077824,14.927102,25.063772,27.72643,31.006111,30.95077
2018-06-01 13:30:00,6.919184,8.874987,7.1325355,10.234068,11.35228,21.98389,16.907732,16.945667,15.01098,24.845047,27.413298,30.76067
2018-06-01 14:00:00,5.2466464,7.4606347,8.808077,6.804287,9.490773,11.173038,21.298983,16.069769,16.56004,14.997192,24.372183,27.250252
2018-06-01 14:30:00,3.6431024,5.78365,7.8362136,8.472074,6.3309884,8.92884,10.521999,20.46382,15.908467,16.384523,14.73859,24.260109
2018-06-01 15:00:00,4.6579833,4.243073,6.2786946,7.9938316,8.252462,6.325026,8.965758,10.521163,20.480276,15.08165,15.849917,15.017821
2018-06-01 15:30:00,4.5087857,5.289348,4.850777,6.7150593,8.295742,8.395108,6.4432826,8.911915,10.618923,19.654825,14.930999,15.77125
2018-06-01 16:00:00,2.6849678,5.1607623,5.887131,5.436902,7.132954,8.748247,8.490832,6.3154125,8.407789,10.692406,19.722992,14.653448
2018-06-01 16:30:00,1.7900797,3.31768,5.7392316,6.409588,5.8624234,7.576406,9.002765,8.476071,6.3867397,8.6282425,10.779116,19.52759
2018-06-01 17:00:00,1.2457329,2.4308248,3.9383798,6.1944857,6.744558,6.314798,7.8430057,9.411154,8.687183,6.188984,8.195281,10.885478
2018-06-01 17:30:00,1.2086607,1.9420066,3.1255527,4.4934883,6.623009,7.2010674,6.689113,8.395278,9.851645,8.532258,6.2401614,7.7269487
2018-06-01 18:00:00,1.6533352,1.9241672,2.6632934,3.810963,5.0537543,7.1130567,7.658236,7.35701,8.812883,10.068014,8.621291,6.058587
