,LSTM-Bidirecional-1,LSTM-Bidirecional-2,LSTM-Bidirecional-3,LSTM-Bidirecional-4,LSTM-Bidirecional-5,LSTM-Bidirecional-6,LSTM-Bidirecional-7,LSTM-Bidirecional-8,LSTM-Bidirecional-9,LSTM-Bidirecional-10,LSTM-Bidirecional-11,LSTM-Bidirecional-12
2018-03-01 00:00:00,35.987396,38.928284,38.389263,38.378494,37.19466,36.46152,34.76421,33.63013,30.953232,30.027475,27.769491,24.580467
2018-03-01 00:30:00,33.843353,35.534386,37.484356,36.471867,37.792698,36.237747,35.447678,33.140522,31.893686,30.476809,28.933594,25.891697
2018-03-01 01:00:00,33.419544,33.116135,33.95387,35.49721,35.761738,36.873466,35.22842,33.819027,31.401165,31.384533,29.361286,26.940483
2018-03-01 01:30:00,36.36965,32.63377,31.222437,31.821552,34.69731,34.714237,35.874344,33.57867,32.066395,30.894981,30.234144,27.357903
2018-03-01 02:00:00,39.513824,36.037804,30.703613,28.815046,30.863932,33.5666,33.680706,34.235264,31.83159,31.541391,29.755615,28.186071
2018-03-01 02:30:00,41.73315,39.412193,34.62154,28.357897,27.567965,29.55969,32.497166,32.003666,32.483505,31.310846,30.377396,27.748089
2018-03-01 03:00:00,42.68392,41.61375,38.252163,32.718758,27.067398,25.956821,28.481441,30.814508,30.26779,31.950241,30.157156,28.323345
2018-03-01 03:30:00,40.856205,42.57031,40.4384,36.541134,31.895817,25.490118,24.758549,26.733496,29.075632,29.776842,30.777546,28.134497
2018-03-01 04:00:00,38.94053,40.631912,41.398685,38.707054,35.97734,30.810766,24.275097,22.886528,25.066275,28.603699,28.668795,28.71138
2018-03-01 04:30:00,40.21318,38.572327,39.32639,39.65283,38.162586,35.130253,29.80334,22.603304,21.190744,24.692017,27.521711,26.751497
2018-03-01 05:00:00,41.3936,39.951393,37.09924,37.448605,39.126183,37.31546,34.198338,28.327158,20.930338,20.856245,23.756996,25.659706
2018-03-01 05:30:00,40.265545,41.319046,38.608177,35.072502,36.7863,38.277,36.336647,32.721607,26.720875,20.636005,19.997404,22.221495
2018-03-01 06:00:00,22.425508,40.02556,40.179337,36.71714,34.244812,35.786957,37.284187,34.79341,31.078955,26.379972,19.790867,18.679543
2018-03-01 06:30:00,16.157223,22.276613,38.704075,38.437553,36.01326,33.073734,34.759937,35.684715,33.059628,30.643145,25.437378,18.396484
2018-03-01 07:00:00,19.56658,17.877275,20.844133,36.823193,37.92096,34.989216,31.996418,33.092953,33.912346,32.53657,29.572836,23.744701
2018-03-01 07:30:00,11.917663,19.086931,18.410608,18.375185,36.138626,37.07197,33.953472,30.273312,31.33996,33.348648,31.358868,27.625292
2018-03-01 08:00:00,16.28105,13.302749,17.477491,18.43203,17.383442,35.128067,36.11984,32.32315,28.533997,30.82295,32.126446,29.232712
2018-03-01 08:30:00,12.899961,16.233772,13.540699,16.133678,20.032087,15.74276,34.102894,34.507942,30.585619,28.066504,29.67757,29.941017
2018-03-01 09:00:00,13.664252,13.449942,15.16118,13.22588,15.528066,19.792322,15.010375,32.46315,32.79087,30.09397,26.998615,27.6805
2018-03-01 09:30:00,8.907469,13.657365,13.033147,14.141512,14.157775,14.108761,22.05854,12.551541,30.729351,32.272224,28.975292,25.185785
2018-03-01 10:00:00,6.5876737,9.653352,12.646486,12.516622,13.594057,13.860336,14.428782,20.05233,11.354158,30.235785,31.115395,27.01264
2018-03-01 10:30:00,5.5943255,7.378819,9.448474,11.713525,12.400751,12.821677,15.413647,13.352876,20.442085,11.362577,29.116842,29.066095
2018-03-01 11:00:00,5.846625,6.6230197,7.218406,9.127268,11.133313,12.204218,12.869899,13.966764,12.7701025,21.52722,11.107801,27.158344
2018-03-01 11:30:00,8.315481,7.05718,6.7245965,6.8463774,9.123071,10.45646,12.529489,12.57437,14.232094,13.470895,21.690619,11.290766
2018-03-01 12:00:00,6.083589,9.753939,7.3520184,6.7031927,6.7582865,9.098788,10.503607,12.631413,12.117052,15.297628,13.277612,22.154339
2018-03-01 12:30:00,5.99814,7.8217154,10.29401,7.452742,6.933707,6.7656994,9.590994,10.461049,12.486992,12.854419,15.648907,12.683717
2018-03-01 13:00:00,3.4989035,7.614032,8.683513,10.616188,7.836103,7.160013,7.162403,9.916656,10.111789,13.391844,12.876271,16.297192
2018-03-01 13:30:00,2.1787093,5.0851197,8.345405,9.265926,11.297329,8.218233,7.917701,7.5605,9.997449,10.951346,13.635495,12.395816
2018-03-01 14:00:00,1.2997097,3.9174361,5.786547,8.8352165,10.181373,11.880732,9.047228,8.471866,7.683847,11.080204,11.103486,13.403309
2018-03-01 14:30:00,0.7463296,3.2727828,4.782821,6.2817583,9.641659,11.025856,12.894443,9.622454,8.806271,8.801617,11.533024,10.761875
2018-03-01 15:00:00,0.60341865,2.8643975,4.3891864,5.414468,7.023696,10.380565,12.240195,13.433431,9.998839,10.071974,9.374551,11.600209
2018-03-01 15:30:00,0.38896018,2.7240977,4.1364684,5.2150974,6.2743387,7.738773,11.532235,12.946215,13.830502,11.260885,10.707937,9.667925
2018-03-01 16:00:00,0.38942176,2.5119386,3.9983363,5.0898304,6.2718935,7.1225786,8.914761,12.216557,13.535588,15.05271,11.903221,11.009768
2018-03-01 16:30:00,0.39101344,2.5121999,3.7871375,4.940649,6.2739716,7.3237123,8.406299,9.707122,12.768738,14.875582,15.596176,12.209397
2018-03-01 17:00:00,0.3907779,2.513102,3.7871203,4.7000036,6.1133146,7.4523406,8.751212,9.292834,10.349513,14.102398,15.554245,15.706986
2018-03-01 17:30:00,0.3909343,2.5129685,3.7870593,4.698497,5.8448353,7.2928467,8.97896,9.728956,10.041598,11.782168,14.773222,15.845144
2018-03-01 18:00:00,0.39095813,2.5130572,3.787068,4.6932974,5.842106,7.0237675,8.802593,10.016333,10.593707,11.542753,12.569103,15.060176
2018-03-01 18:30:00,0.39077407,2.5130706,3.7870622,4.694066,5.832696,7.0207567,8.491064,9.841384,10.9574175,12.152112,12.40718,13.031129
2018-03-01 19:00:00,0.39261657,2.5129666,3.7870603,4.6935577,5.8340864,7.010373,8.486076,9.527153,10.78047,12.555649,13.080989,12.972956
2018-03-01 19:30:00,0.39404422,2.5146718,3.787068,4.6934776,5.833166,7.0119066,8.468878,9.521588,10.455893,12.37647,13.52452,13.725804
2018-03-01 20:00:00,0.39033633,2.5160031,3.7885957,4.6940794,5.83302,7.010892,8.471418,9.5023985,10.449462,12.041878,13.353089,14.215217
2018-03-01 20:30:00,0.38923866,2.5138335,3.7898088,4.694916,5.834111,7.0107317,8.469735,9.505233,10.427289,12.034664,13.030514,14.061732
2018-03-01 21:00:00,0.39037257,2.512097,3.789783,4.69569,5.834408,7.011935,8.46947,9.503356,10.430564,12.00979,13.023321,13.771973
2018-03-01 21:30:00,0.3899644,2.5127397,3.787127,4.707081,5.8348436,7.012065,8.471464,9.50306,10.428395,12.013465,12.998521,13.765419
2018-03-01 22:00:00,0.38787872,2.512508,3.7870831,4.699094,5.855592,7.012388,8.470701,9.505284,10.428053,12.011031,13.002185,13.742825
