,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-03-01 00:00:00,36.3968,39.511417,38.437805,42.265034,38.648,39.886967,35.66931,36.196415,31.471727,28.791592,25.61227,22.755188
2018-03-01 00:30:00,34.70803,34.969532,39.036545,37.14959,40.809296,38.49837,38.316193,34.60439,33.82925,29.920755,27.344154,23.87775
2018-03-01 01:00:00,36.060455,33.13514,34.07804,37.57955,35.819057,40.869034,36.94597,37.243835,32.348,32.209663,28.326712,25.404434
2018-03-01 01:30:00,41.520668,34.54845,31.875322,32.376854,36.26184,35.37467,39.245846,35.917027,34.78031,30.846329,30.4554,26.33927
2018-03-01 02:00:00,42.801125,39.98594,33.362755,29.88289,31.133642,35.694923,33.85274,38.21854,33.544704,33.16239,29.089302,28.25793
2018-03-01 02:30:00,43.705963,41.35306,39.088154,31.847694,28.673874,29.920874,34.070843,32.824387,35.667892,32.014614,31.290255,27.145325
2018-03-01 03:00:00,45.3987,42.304996,40.53892,37.963074,30.560293,26.959375,28.371344,32.939552,30.680975,34.03296,30.149223,29.088558
2018-03-01 03:30:00,40.903187,44.049713,41.53736,39.749878,36.482338,29.234291,25.349844,27.095028,30.799152,29.284689,32.07352,28.139408
2018-03-01 04:00:00,39.754093,39.680923,43.5149,40.884457,38.15325,35.812088,27.749298,23.834562,25.444641,29.315435,27.464828,29.838667
2018-03-01 04:30:00,45.51768,38.40364,39.37982,42.874058,39.22563,37.803303,34.2547,26.359804,22.50917,24.105808,27.414345,25.829903
2018-03-01 05:00:00,46.088196,44.10144,37.9244,38.232693,41.180305,39.019527,36.31375,32.969204,24.851177,21.121092,22.375118,25.769253
2018-03-01 05:30:00,39.99449,44.74888,43.89166,36.397564,36.861656,41.196075,37.54048,35.135162,30.88985,23.428326,19.424578,21.340998
2018-03-01 06:00:00,22.416351,38.738853,44.74415,42.64762,35.115913,36.60319,39.676594,36.394684,32.877556,29.261292,21.870375,18.706873
2018-03-01 06:30:00,14.183592,21.271965,38.31458,43.59496,41.201973,34.457146,35.107826,38.558247,34.035404,31.208607,27.55796,20.74172
2018-03-01 07:00:00,14.330727,13.413949,19.916353,37.13538,42.141216,41.144863,32.85342,34.13146,36.00921,32.334522,29.571444,25.626518
2018-03-01 07:30:00,16.27858,13.9157715,12.567782,17.992973,35.77766,42.344868,39.435673,31.74339,31.88423,34.285515,30.699512,27.355307
2018-03-01 08:00:00,17.745438,15.916413,13.442836,10.967716,16.894123,35.372715,40.66005,38.32047,29.685009,30.475012,32.52792,28.352777
2018-03-01 08:30:00,13.770034,17.337034,15.428627,12.426807,10.308815,14.5864315,33.893517,39.650154,35.76779,28.272509,28.659658,30.034573
2018-03-01 09:00:00,14.834928,13.654765,16.773174,14.808332,12.302798,8.267511,13.574406,32.88118,36.980583,34.0586,26.386568,26.88089
