,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-03-01 00:00:00,35.568848,38.772987,39.34069,41.38629,39.586037,39.466877,37.104557,35.676163,32.014877,30.734426,27.036627,24.70494
2018-03-01 00:30:00,32.980865,34.233368,39.19654,37.7928,40.516804,38.84216,38.34393,35.02124,33.54035,30.844147,28.844297,26.537376
2018-03-01 01:00:00,34.808365,31.05425,34.75878,37.747658,38.157326,39.927315,37.96971,36.527542,33.130962,32.133472,29.060503,28.130562
2018-03-01 01:30:00,39.558983,32.428112,31.319273,32.98552,37.329132,37.15194,38.919853,35.800762,34.373898,31.698856,30.265213,28.389076
2018-03-01 02:00:00,42.602787,37.62568,31.91201,29.649343,33.38419,36.192635,36.513695,36.98485,33.89723,32.761242,29.901129,29.522749
2018-03-01 02:30:00,43.976864,41.533066,36.33256,30.399666,29.19704,31.573599,35.16679,34.156826,34.852573,32.31453,30.81144,29.369877
2018-03-01 03:00:00,45.27263,42.87965,40.73949,34.445335,28.564806,27.254642,30.696598,33.513123,32.44624,33.151627,30.472752,30.068142
2018-03-01 03:30:00,40.875942,43.860607,42.62243,38.69589,32.096878,26.977045,25.90102,28.905933,31.343517,30.979044,31.19272,29.930946
2018-03-01 04:00:00,39.501083,39.758015,43.87185,41.2041,37.483807,30.712378,24.92704,25.01162,27.06834,29.950161,29.189226,30.503716
2018-03-01 04:30:00,44.48173,37.851395,40.272427,42.637974,40.53082,36.868305,28.456852,24.573833,23.103977,26.17984,28.097134,28.832624
2018-03-01 05:00:00,44.93039,42.183456,38.501373,38.928986,41.862103,40.574036,35.013454,27.609505,22.865517,22.24473,24.511995,27.481771
