,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-03-01 00:00:00,33.99631,37.153923,35.505096,38.602913,38.286285,37.87602,36.434307,33.79676,33.68002,32.51465,29.43442,26.149836
2018-03-01 00:30:00,31.059883,32.13069,37.302685,34.00188,37.628014,38.4005,35.77326,34.159138,32.554546,31.739302,31.345474,28.77607
2018-03-01 01:00:00,33.560207,30.41497,30.220474,36.87868,34.19286,37.57416,36.233078,33.83287,33.00356,30.43505,30.912956,30.714283
2018-03-01 01:30:00,36.128548,32.126755,28.393019,28.177376,35.648167,33.416782,35.498463,34.192966,32.69259,31.165874,30.12203,30.131334
2018-03-01 02:00:00,40.09883,34.24949,29.777208,26.854176,26.914557,35.22865,30.8696,33.61581,33.060852,31.059729,30.879803,29.39743
2018-03-01 02:30:00,41.3294,37.478043,32.131126,28.959877,25.121231,25.641384,33.423424,28.789013,32.424053,31.351137,30.88376,30.021086
2018-03-01 03:00:00,42.390347,40.255527,37.19745,30.182215,26.887676,24.37362,23.759377,31.966288,27.502663,30.831158,31.154081,30.02115
2018-03-01 03:30:00,39.392746,41.578312,40.13729,35.877316,28.302814,26.378212,22.787117,22.568394,30.608397,25.25774,30.651787,30.310966
2018-03-01 04:00:00,37.723724,38.148857,41.57051,40.601303,34.46476,28.272041,24.429893,22.177568,21.264149,29.906187,23.822514,29.86369
2018-03-01 04:30:00,40.5618,36.322266,36.681694,42.069836,41.173386,35.313034,26.01538,22.998598,21.002449,18.683084,29.520445,23.069456
2018-03-01 05:00:00,41.780354,38.83428,35.91172,35.479378,42.773403,42.852432,33.9138,23.992506,22.013353,19.380295,17.418402,28.400885
2018-03-01 05:30:00,38.401512,39.9645,37.344303,35.28626,35.865635,44.25266,41.10257,32.18724,23.22496,21.6339,18.800238,17.000683
2018-03-01 06:00:00,19.456018,37.354282,37.95603,35.95985,34.14387,35.225094,42.12603,38.979404,30.977314,21.400177,21.785316,18.16281
2018-03-01 06:30:00,16.694784,16.674406,36.177868,35.793644,34.68359,33.20655,32.483204,39.728233,37.942924,28.311073,21.914196,21.085981
