,LSTM-Bidirecional-1,LSTM-Bidirecional-2,LSTM-Bidirecional-3,LSTM-Bidirecional-4,LSTM-Bidirecional-5,LSTM-Bidirecional-6,LSTM-Bidirecional-7,LSTM-Bidirecional-8,LSTM-Bidirecional-9,LSTM-Bidirecional-10,LSTM-Bidirecional-11,LSTM-Bidirecional-12
2018-09-01 00:00:00,43.644756,43.643196,43.331966,42.613873,40.16161,41.088646,40.00328,38.197456,36.386635,34.486744,35.20498,34.992676
2018-09-01 00:30:00,44.231354,43.628483,43.291748,42.64579,42.128128,40.25207,41.219284,40.20163,38.20807,36.38456,34.752922,35.2853
2018-09-01 01:00:00,43.16535,44.281246,43.18467,42.621513,42.224415,42.113346,40.302883,41.39763,40.153633,38.084347,36.213676,34.969
2018-09-01 01:30:00,37.26736,43.191277,43.96929,42.572926,42.233208,42.193027,42.17316,40.331654,41.40315,40.05835,38.096157,36.22257
2018-09-01 02:00:00,30.308731,37.481827,42.905903,43.4232,42.171158,42.171017,42.267296,42.314922,40.322685,41.275112,40.024673,37.92074
2018-09-01 02:30:00,31.392893,31.490261,37.405342,42.445297,43.020397,42.111404,42.241978,42.373875,42.353527,40.165016,41.159363,39.632378
2018-09-01 03:00:00,38.986538,32.553043,32.391895,37.475113,42.091022,42.93347,42.15439,42.35067,42.290493,42.173756,39.978333,40.821705
2018-09-01 03:30:00,41.755096,38.777683,33.472954,33.538532,37.45112,41.968964,43.002907,42.224335,42.298794,42.121067,42.130386,39.848183
2018-09-01 04:00:00,42.68086,41.164536,38.86002,34.761898,33.695633,37.22262,41.994186,43.080208,42.131405,42.195683,42.119797,41.886707
2018-09-01 04:30:00,41.091557,42.34596,40.546516,38.26813,34.596375,32.745827,37.059677,42.01834,42.964737,41.94081,42.22331,41.82681
2018-09-01 05:00:00,40.63812,40.960182,41.405952,39.144894,37.829624,33.283607,32.059803,36.8155,41.879547,42.795685,41.953144,41.86102
2018-09-01 05:30:00,43.79656,40.79106,40.24416,40.310036,38.427116,37.524937,32.42654,31.290632,36.646133,41.732735,42.832115,41.694775
2018-09-01 06:00:00,43.67835,43.815277,40.620953,39.44162,39.7778,38.550884,37.498722,31.548576,31.010042,36.599613,41.823853,42.50661
2018-09-01 06:30:00,43.76487,43.521297,43.450172,40.35684,39.090942,39.50755,38.77569,37.561684,30.96197,30.847733,36.73767,41.526825
2018-09-01 07:00:00,44.029705,43.64048,43.1327,42.794456,39.997524,39.004143,39.247673,39.158485,37.59728,30.555113,31.286205,36.755295
2018-09-01 07:30:00,44.249676,43.972706,43.1731,42.356735,42.327557,39.708607,38.881508,39.344444,39.321712,37.80155,31.486689,32.02151
2018-09-01 08:00:00,44.30839,44.290657,43.459,42.40132,41.924355,42.24422,39.58071,38.859745,39.395016,39.41679,38.148254,32.195114
2018-09-01 08:30:00,44.32121,44.316673,43.946804,42.73847,41.97237,41.897476,42.348248,39.47538,38.824085,39.252117,39.322464,37.828766
2018-09-01 09:00:00,44.073093,44.33688,44.012833,43.390068,42.315132,41.95724,42.027885,42.477867,39.310787,38.65929,39.41854,38.837196
2018-09-01 09:30:00,44.439636,44.108135,44.004,43.435368,42.987865,42.297123,42.03932,42.195538,42.365208,39.076958,38.622307,39.434055
2018-09-01 10:00:00,44.347797,44.49093,43.789356,43.42786,43.045506,42.912567,42.359722,42.172276,42.14121,42.208164,39.27838,38.55282
2018-09-01 10:30:00,44.386745,44.385483,44.190292,43.269474,43.034172,42.969566,42.97802,42.466827,42.143593,42.07274,42.24087,39.19526
2018-09-01 11:00:00,44.32214,44.406307,44.08882,43.646423,42.89141,42.96282,43.042664,43.053886,42.412457,42.008606,42.085655,41.88651
2018-09-01 11:30:00,44.371014,44.36371,44.114876,43.551487,43.25103,42.802567,43.02863,43.12945,42.94207,42.218575,41.977066,41.66004
2018-09-01 12:00:00,44.0273,44.41798,44.04601,43.554775,43.167385,43.16641,42.85136,43.110096,43.03634,42.762264,42.18048,41.648754
2018-09-01 12:30:00,44.385433,44.073723,44.12882,43.510193,43.171173,43.084778,43.2326,42.908905,43.01542,42.89371,42.78883,41.9149
2018-09-01 13:00:00,44.222614,44.43288,43.790173,43.602024,43.123863,43.090546,43.14975,43.30761,42.79586,42.85291,42.92381,42.481174
2018-09-01 13:30:00,44.173615,44.261097,44.147396,43.303413,43.219296,43.04203,43.157684,43.221207,43.20103,42.627407,42.8757,42.575195
2018-09-01 14:00:00,44.066025,44.194244,43.95996,43.60997,42.937256,43.130817,43.09922,43.237007,43.113033,43.031754,42.675808,42.552647
2018-09-01 14:30:00,44.170555,44.11032,43.90555,43.43406,43.22038,42.83568,43.190987,43.165894,43.143585,42.95485,43.061226,42.374302
2018-09-01 15:00:00,41.30754,44.213936,43.793106,43.36629,43.052994,43.130875,42.881012,43.25792,43.058174,42.996956,42.9919,42.735012
2018-09-01 15:30:00,39.801605,41.44882,43.920662,43.27901,42.98929,42.96668,43.196423,42.92877,43.149784,42.88575,43.02875,42.661274
2018-09-01 16:00:00,43.034786,40.064693,41.245743,43.398296,42.897404,42.89984,43.026558,43.26984,42.80684,42.987396,42.91974,42.685577
2018-09-01 16:30:00,43.253254,43.07197,40.044,41.027542,43.014896,42.806038,42.95937,43.092113,43.163403,42.647923,43.026657,42.60986
2018-09-01 17:00:00,41.724728,43.08737,42.783924,40.00713,40.72935,42.921555,42.85589,43.029224,42.97873,43.003796,42.713055,42.701252
2018-09-01 17:30:00,41.27647,41.621735,42.729073,42.20983,39.70113,40.503788,42.980114,42.912735,42.9277,42.818417,43.040764,42.40315
2018-09-01 18:00:00,40.770863,41.27461,41.213196,41.975212,41.76394,39.287163,40.427166,43.045086,42.794563,42.78248,42.863182,42.70648
2018-09-01 18:30:00,41.410286,40.89246,40.94116,40.570267,41.546356,41.609486,39.083015,40.316257,42.931053,42.62221,42.82946,42.54132
2018-09-01 19:00:00,39.247025,41.40615,40.6074,40.40929,40.17609,41.502937,41.665607,38.88099,40.092075,42.771343,42.672024,42.494553
2018-09-01 19:30:00,41.01232,39.319225,41.132362,40.276592,40.029633,40.092728,41.63878,41.756435,38.632763,39.904346,42.82019,42.371807
2018-09-01 20:00:00,38.96795,41.044323,38.96983,40.61102,39.896637,39.88551,40.10912,41.803852,41.631195,38.40041,40.066776,42.49697
2018-09-01 20:30:00,41.167126,38.99308,40.706203,38.603676,40.19298,39.667934,39.82546,40.154686,41.733196,41.488476,38.701946,39.887833
2018-09-01 21:00:00,42.631,41.084198,38.613686,40.13033,38.26467,40.01931,39.611446,39.81587,40.080532,41.68973,41.596962,38.635273
2018-09-01 21:30:00,42.642876,42.5363,40.698856,38.171684,39.669697,38.108646,40.052036,39.541847,39.769005,39.948204,41.73332,41.27479
2018-09-01 22:00:00,42.45744,42.481495,42.04566,39.975067,37.77817,39.53132,38.0668,40.09107,39.30912,39.56159,39.965572,41.28979
2018-09-01 22:30:00,42.808487,42.470062,41.992306,41.233,39.46948,37.59414,39.55667,37.988358,39.93088,39.10082,39.63414,39.691116
2018-09-01 23:00:00,42.55237,42.82622,41.97,41.164677,40.73751,39.378273,37.53576,39.59541,37.786892,39.81192,39.254215,39.512207
2018-09-01 23:30:00,41.52029,42.58139,42.39365,41.31567,40.702034,40.733864,39.459564,37.464817,39.4755,37.610195,39.919106,39.073
2018-09-02 00:00:00,37.882538,41.564198,42.208904,41.78685,40.895943,40.6877,40.82011,39.56962,37.264816,39.28694,37.683907,39.587997
2018-09-02 00:30:00,38.492123,38.050713,41.243988,41.682533,41.359,40.870296,40.78338,40.948025,39.48491,37.06826,39.32221,37.544193
