,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-09-01 00:00:00,43.89149,43.7779,43.776543,43.45375,38.67419,42.099842,38.44866,37.057625,34.437504,35.724648,36.00351,35.045757
2018-09-01 00:30:00,44.565086,43.382507,43.465195,43.478653,43.37004,38.72761,41.870827,38.284637,36.393257,34.09894,35.50619,35.89151
2018-09-01 01:00:00,43.244278,44.07934,43.06475,43.16768,43.395622,43.38605,38.450237,41.79335,37.62319,35.966984,33.76857,35.39944
2018-09-01 01:30:00,38.599022,42.712963,43.77048,42.767742,43.07638,43.411423,43.175533,38.286373,41.22205,37.18191,35.764492,33.678528
2018-09-01 02:00:00,28.530268,37.96626,42.38666,43.47258,42.66585,43.094757,43.20127,43.1311,37.62527,40.777,36.97645,35.655285
2018-09-01 02:30:00,29.220541,28.322893,37.6243,42.090534,43.389362,42.687523,42.880043,43.157497,42.594273,37.184128,40.47936,36.841057
2018-09-01 03:00:00,39.5168,28.976385,28.422253,37.393764,41.970726,43.40522,42.46695,42.828114,42.62137,42.147842,36.978325,40.25302
2018-09-01 03:30:00,40.231335,38.857227,29.057098,28.985884,37.220806,41.99798,43.194977,42.404545,42.283455,42.174915,41.814945,36.84283
2018-09-01 04:00:00,43.980705,39.596138,38.48196,29.573822,29.525606,37.26849,41.76748,43.15103,41.84894,41.837322,41.841305,41.553913
2018-09-01 04:30:00,39.68492,43.47487,39.230106,38.19094,30.073374,29.40315,36.981544,41.687347,42.61472,41.403233,41.512436,41.579586
2018-09-01 05:00:00,39.463566,39.032906,43.158337,38.93787,37.968014,29.957058,29.1602,36.801228,41.113224,42.168262,41.08954,41.259266
2018-09-01 05:30:00,44.14343,38.804195,38.66121,42.861275,38.73442,38.027424,29.709745,29.066008,36.151478,40.668243,41.834843,40.847363
2018-09-01 06:00:00,44.57744,43.643192,38.429802,38.371944,42.76194,38.78775,37.739784,29.604872,28.884327,35.735596,40.373486,41.573296
2018-09-01 06:30:00,44.316067,44.09214,43.3288,38.140957,38.156178,42.78282,38.511,37.55762,29.392946,28.7903,35.51814,40.149918
2018-09-01 07:00:00,44.433067,43.821735,43.783463,43.031506,37.91924,38.213455,42.56363,38.348293,36.87694,29.28116,28.10165,35.411366
2018-09-01 07:30:00,44.60974,43.942772,43.50959,43.485565,42.936665,37.97841,37.928883,42.503704,37.68782,36.436172,28.618422,28.063915
2018-09-01 08:00:00,44.670223,44.125534,43.63217,43.21202,43.40272,42.956146,37.69047,37.752182,41.950718,37.24616,36.250362,28.576523
2018-09-01 08:30:00,44.66142,44.188103,43.81727,43.334442,43.121902,43.418465,42.73945,37.5078,37.078186,41.50494,37.03968,36.133896
2018-09-01 09:00:00,44.487495,44.178993,43.880627,43.519302,43.247562,43.139908,43.208416,42.68397,36.82762,36.63802,41.188564,36.90275
2018-09-01 09:30:00,44.67281,43.999073,43.871403,43.582584,43.437325,43.26456,42.925846,43.164818,42.135635,36.387768,36.44539,40.9438
2018-09-01 10:00:00,44.682507,44.190777,43.689194,43.57337,43.50228,43.452797,43.05229,42.87508,42.628883,41.68967,36.201435,36.323574
2018-09-01 10:30:00,44.68469,44.200806,43.883335,43.39139,43.492825,43.51723,43.243237,43.00473,42.331635,42.182423,41.368546,36.08592
2018-09-01 11:00:00,44.64513,44.203064,43.893494,43.585293,43.30602,43.507847,43.3086,43.200516,42.464638,41.885456,41.848618,41.119106
2018-09-01 11:30:00,44.660927,44.162144,43.895775,43.595436,43.50506,43.322548,43.299084,43.267536,42.66548,42.018326,41.559326,41.586708
2018-09-01 12:00:00,44.459877,44.178482,43.85434,43.597717,43.515472,43.519985,43.111115,43.25778,42.734234,42.21898,41.688774,41.30494
2018-09-01 12:30:00,44.650814,43.970505,43.870888,43.556328,43.51781,43.530315,43.311394,43.065044,42.72422,42.287663,41.88425,41.431023
2018-09-01 13:00:00,44.62334,44.168026,43.66026,43.572857,43.475327,43.53264,43.321873,43.2704,42.52651,42.277657,41.951164,41.621418
2018-09-01 13:30:00,44.57122,44.1396,43.860294,43.362495,43.492294,43.490494,43.32423,43.281143,42.73717,42.08014,41.941418,41.686592
2018-09-01 14:00:00,44.46515,44.08569,43.831512,43.56228,43.276356,43.507324,43.28148,43.283558,42.74819,42.290596,41.74899,41.6771
2018-09-01 14:30:00,44.54653,43.97596,43.77691,43.53353,43.481434,43.293125,43.29855,43.239727,42.75067,42.301605,41.95402,41.489674
2018-09-01 15:00:00,39.65851,44.06015,43.66578,43.478996,43.451927,43.49655,43.08127,43.257233,42.705704,42.30408,41.96475,41.689377
2018-09-01 15:30:00,39.30365,39.00447,43.751045,43.368008,43.395947,43.46728,43.287624,43.03444,42.723663,42.25916,41.96716,41.699825
2018-09-01 16:00:00,43.13502,38.64336,38.631577,43.453167,43.282017,43.41175,43.25793,43.246025,42.495113,42.2771,41.923397,41.702175
2018-09-01 16:30:00,44.243603,42.600044,38.270435,38.34117,43.369434,43.29874,43.201603,43.215584,42.712166,42.048775,41.940876,41.65955
2018-09-01 17:00:00,39.90829,43.746822,42.27237,37.98623,38.12318,43.385452,43.086964,43.157825,42.680935,42.265617,41.718433,41.67657
2018-09-01 17:30:00,39.72777,39.262646,43.433754,41.9765,37.76573,38.181084,43.174923,43.04028,42.621685,42.234417,41.929688,41.45991
2018-09-01 18:00:00,39.376663,39.07598,38.89287,43.136322,41.853806,37.82485,37.895813,43.13047,42.501102,42.175224,41.899292,41.665676
2018-09-01 18:30:00,39.67434,38.71862,38.703884,38.60198,43.04425,41.881966,37.535557,37.71787,42.593624,42.05476,41.841625,41.63607
2018-09-01 19:00:00,38.821198,39.02235,38.346424,38.41326,38.390705,43.06287,41.649815,37.350567,37.04199,42.14719,41.724266,41.579903
2018-09-01 19:30:00,39.37569,38.17928,38.650814,38.062176,38.19703,38.446495,42.84771,41.566742,36.67013,36.601383,41.814312,41.46559
2018-09-01 20:00:00,38.57673,38.717716,37.827168,38.361977,37.843742,38.25437,38.165016,42.794975,40.989597,36.232265,36.41067,41.5533
2018-09-01 20:30:00,39.421715,37.94468,38.345585,37.57978,38.146446,37.90216,37.970135,37.99383,42.249504,40.54478,36.04616,36.289936
2018-09-01 21:00:00,41.632607,38.764175,37.603558,38.061447,37.39188,38.203674,37.61401,37.794025,37.32494,41.803425,40.253117,35.933952
2018-09-01 21:30:00,42.096764,41.04597,38.39176,37.375328,37.84313,37.443066,37.91904,37.430973,37.120007,36.883984,41.47937,40.032658
2018-09-01 22:00:00,40.791054,41.52607,40.698593,38.10641,37.20458,37.90152,37.155396,37.74224,36.752613,36.679268,36.68614,41.22705
2018-09-01 22:30:00,41.852207,40.175453,41.184765,40.404938,37.88789,37.25159,37.613377,36.97351,37.068336,36.314655,36.486656,36.558277
2018-09-01 23:00:00,41.196026,41.272972,39.81701,40.89041,40.240864,37.946266,36.964863,37.430367,36.314034,36.62835,36.126472,36.36397
2018-09-01 23:30:00,39.64908,40.59435,40.928356,39.524567,40.73911,40.281918,37.658543,36.7848,36.75208,35.89122,36.435623,36.012215
2018-09-02 00:00:00,38.187374,38.995647,40.241222,40.634235,39.337284,40.77618,40.026775,37.476265,36.136433,36.314167,35.68375,36.314
2018-09-02 00:30:00,38.560307,37.57119,38.62334,39.948193,40.476032,39.385567,40.52814,39.902622,36.798176,35.721443,36.125908,35.575356
2018-09-02 01:00:00,40.289238,37.928856,37.24772,38.333927,39.77208,40.515244,39.11754,40.41667,39.282654,36.35975,35.50264,36.011646
2018-09-02 01:30:00,40.77865,39.656815,37.58843,37.050255,38.116924,39.816883,40.263428,38.970364,39.80992,38.839592,36.171284,35.39602
2018-09-02 02:00:00,42.603916,40.162838,39.292133,37.361515,36.907127,38.17458,39.555054,40.14521,38.32638,39.36631,38.59172,36.05603
2018-09-02 02:30:00,38.006714,42.050632,39.804398,39.00084,37.191944,36.9474,37.88941,39.418953,39.53136,37.884285,39.104923,38.41441
2018-09-02 03:00:00,38.5078,37.397923,41.71596,39.512177,38.800266,37.238655,36.662243,37.711643,38.786522,39.087982,37.660976,38.914288
2018-09-02 03:30:00,35.14098,37.87857,37.082653,41.420837,39.32481,38.852726,36.951996,36.48517,37.036434,38.34396,38.83386,37.507847
2018-09-02 04:00:00,39.286724,34.64995,37.540596,36.899593,41.283466,39.373135,38.577118,36.77205,35.854725,36.59623,38.108837,38.650284
2018-09-02 04:30:00,33.10187,38.62896,34.46502,37.31753,36.76943,41.316193,39.10497,38.416416,36.124435,35.45229,36.404835,37.944077
2018-09-02 05:00:00,29.065048,32.696632,38.258205,34.510468,37.151344,36.80652,41.07591,38.957546,37.758537,35.709976,35.21522,36.284103
2018-09-02 05:30:00,29.974646,28.827406,32.603397,37.977444,34.5861,37.197296,36.52212,40.97829,38.31341,37.3172,35.490414,35.11138
2018-09-02 06:00:00,20.156809,29.65264,28.915915,32.81084,37.76081,34.572742,36.910778,36.34647,40.38597,37.871414,37.108097,35.383923
2018-09-02 06:30:00,20.284159,19.744474,29.68311,29.444973,33.032097,37.818897,34.300415,36.731182,35.72444,39.941757,37.648262,36.969257
2018-09-02 07:00:00,22.379234,19.866901,20.09477,30.031673,29.955696,32.98356,37.530205,34.147495,36.085785,35.327873,39.665615,37.495426
2018-09-02 07:30:00,21.35718,22.020592,20.220161,20.14881,30.392408,29.836664,32.71979,37.346252,33.65913,35.672928,35.08224,39.460423
