,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-09-01 00:00:00,43.76148,43.793415,44.32296,43.464302,40.31578,41.988064,40.330864,39.509975,39.365707,34.547104,35.307793,35.46507
2018-09-01 00:30:00,44.647545,43.658897,43.400646,43.725166,42.468475,40.659832,41.907887,40.624977,39.38949,39.28587,34.113228,35.451603
2018-09-01 01:00:00,43.56376,44.688656,43.260082,42.961628,43.090775,42.803993,40.418217,42.08607,40.241913,39.312714,38.852795,34.20814
2018-09-01 01:30:00,37.422173,43.5018,44.421494,42.94493,42.28106,43.32353,42.568867,40.516544,42.06804,40.165512,39.57313,38.697376
2018-09-01 02:00:00,30.79274,37.12123,43.177452,44.080368,42.18573,42.592297,42.88126,42.895382,40.899902,41.865704,40.66362,39.33108
2018-09-01 02:30:00,31.778044,31.111279,36.84858,42.8423,43.334866,42.591827,42.293358,42.96563,43.127243,40.719254,41.894844,40.358425
2018-09-01 03:00:00,42.068596,32.60504,31.746643,36.961224,42.223557,43.530743,42.17082,42.25098,42.85667,42.859604,40.40664,41.429535
2018-09-01 03:30:00,43.496082,40.845337,33.474064,32.56379,36.551468,42.32919,43.031025,42.262886,42.38028,42.5668,43.155228,39.96627
2018-09-01 04:00:00,43.439137,43.188725,41.28636,34.533104,32.216,36.515953,41.82829,43.044346,42.34066,42.19298,42.83353,42.757095
2018-09-01 04:30:00,40.195786,42.750633,42.334038,40.030285,33.874584,32.00324,35.90299,41.78255,43.031452,42.088223,42.402496,42.44438
2018-09-01 05:00:00,40.82446,40.010876,41.7456,41.394287,38.55969,33.432053,30.936193,35.700115,41.77602,42.736523,42.301994,42.082363
2018-09-01 05:30:00,44.163563,40.824978,39.355568,40.365814,41.058594,38.303555,32.169327,30.587454,35.858185,41.572098,43.347233,41.952496
2018-09-01 06:00:00,44.878815,43.898914,40.6075,39.336243,40.03581,41.682056,38.246914,31.67101,30.849115,35.95403,41.993515,43.078335
2018-09-01 06:30:00,43.8874,44.825512,43.84065,40.506668,39.052444,40.422375,41.29619,39.112305,31.814842,30.909678,35.831493,41.743797
2018-09-01 07:00:00,44.16452,43.61175,44.456223,43.31792,39.7869,39.671257,40.262043,40.980812,39.236942,31.584602,31.186834,35.832962
2018-09-01 07:30:00,44.768604,43.953938,43.152096,43.804123,42.360764,40.025227,38.76657,39.69418,41.376762,39.32151,32.63088,31.538317
2018-09-01 08:00:00,44.90128,44.758003,43.552868,42.66117,43.213768,42.47311,39.518936,38.749054,40.97862,41.10296,41.007835,33.20645
2018-09-01 08:30:00,44.814182,44.870285,44.411545,43.149902,41.973843,43.273678,42.047863,39.575222,39.503628,40.58581,40.7921,40.763435
2018-09-01 09:00:00,44.432957,44.738007,44.525013,44.034138,42.32088,42.354702,42.83554,42.317795,39.5615,39.45726,41.092968,40.647755
2018-09-01 09:30:00,44.888042,44.35493,44.348743,44.12768,43.30659,42.75978,42.192253,42.820633,42.28698,39.402416,38.74373,40.30552
2018-09-01 10:00:00,44.9486,44.88694,43.97855,43.96331,43.421562,43.54579,42.3816,42.224197,42.599697,42.11987,39.708275,38.351357
2018-09-01 10:30:00,44.901203,44.92806,44.569084,43.646816,43.243534,43.629704,43.08122,42.53823,42.429035,42.3924,42.89443,39.5312
2018-09-01 11:00:00,44.77712,44.847313,44.590076,44.233444,42.935905,43.518925,43.181175,43.106987,42.69278,42.211857,42.81918,42.626297
2018-09-01 11:30:00,44.836388,44.712673,44.488094,44.215385,43.483685,43.191936,43.09753,43.155834,43.100967,42.391426,42.231155,42.525814
2018-09-01 12:00:00,44.419716,44.808674,44.33356,44.125103,43.510483,43.722755,42.736984,43.089375,43.177357,42.80125,42.56153,41.83798
2018-09-01 12:30:00,44.82001,44.37716,44.473843,43.987537,43.40516,43.706493,43.23975,42.718163,43.155277,42.90054,43.315357,42.170704
2018-09-01 13:00:00,44.774887,44.827873,44.046326,44.140354,43.26153,43.642864,43.213783,43.22688,42.797092,42.876766,43.415924,43.0109
2018-09-01 13:30:00,44.60181,44.751297,44.529156,43.7338,43.41175,43.527367,43.193916,43.18943,43.27615,42.535385,43.304775,43.129444
2018-09-01 14:00:00,44.42922,44.554317,44.41461,44.201355,43.036705,43.638844,43.07014,43.152363,43.21337,42.977577,42.95802,42.99442
2018-09-01 14:30:00,44.58997,44.38188,44.213715,44.049465,43.457382,43.228725,43.151176,43.055885,43.226738,42.92625,43.54102,42.671135
2018-09-01 15:00:00,41.367977,44.588043,44.030327,43.871464,43.35009,43.67373,42.722683,43.11869,43.13107,42.952778,43.46823,43.267963
2018-09-01 15:30:00,39.78325,41.22102,44.283745,43.70412,43.16048,43.54206,43.180725,42.678745,43.18598,42.847614,43.44435,43.193096
2018-09-01 16:00:00,43.52356,39.848972,40.922638,43.952507,42.987114,43.378086,43.04723,43.15328,42.742012,42.901432,43.307693,43.165943
2018-09-01 16:30:00,44.537727,43.27531,39.78747,40.791103,43.230972,43.225834,42.916992,43.02596,43.202965,42.48373,43.432484,43.015507
2018-09-01 17:00:00,41.17568,44.54874,43.29838,39.868,40.248722,43.42862,42.753254,42.873177,43.046886,42.91274,42.979374,43.16566
2018-09-01 17:30:00,41.544537,40.83882,44.259052,42.902573,39.20044,40.279175,42.932693,42.74281,42.940624,42.76653,43.49437,42.72597
2018-09-01 18:00:00,40.99447,41.507767,40.41362,43.671776,41.890453,39.19221,39.69469,42.909184,42.79726,42.680447,43.29415,43.23523
2018-09-01 18:30:00,41.57148,41.114643,41.225975,39.98174,43.047855,41.97523,38.558674,39.58258,42.94189,42.52718,43.168907,43.020065
2018-09-01 19:00:00,39.291195,41.734165,40.978313,41.160885,39.477913,43.04754,41.523388,38.447845,39.655354,42.664177,42.99488,42.901665
2018-09-01 19:30:00,41.178314,39.22987,41.711647,40.759266,40.368553,39.791252,42.570137,41.78544,38.466927,39.569313,43.217392,42.714436
2018-09-01 20:00:00,39.222183,40.987484,38.95444,41.378517,40.13851,40.76467,39.595932,42.546265,41.802654,38.31308,39.79368,42.95658
2018-09-01 20:30:00,41.528404,39.194946,40.883785,38.63468,40.73841,40.117504,40.29366,39.587933,42.290493,41.660732,38.79857,39.637356
2018-09-01 21:00:00,43.712563,41.25837,38.870335,40.5433,38.132675,40.6851,39.5341,40.495785,39.8073,42.109642,42.531647,38.80683
2018-09-01 21:30:00,43.447105,43.538174,41.18334,38.597057,39.664703,38.1851,40.212406,39.5946,40.584343,39.790466,42.66015,42.32911
2018-09-01 22:00:00,42.445793,43.169334,43.21963,40.73405,38.057392,39.800163,37.74149,40.22553,39.40632,40.439888,39.541206,42.442818
2018-09-01 22:30:00,43.301605,42.20051,42.812317,42.343903,39.838318,38.123734,39.47183,37.819775,40.01786,39.209774,40.51529,39.201324
2018-09-01 23:00:00,42.879753,43.115902,41.84943,42.128998,41.678528,39.91841,37.583027,39.699104,37.611748,39.830364,39.769756,40.260674
2018-09-01 23:30:00,41.521446,42.88387,42.81042,41.507004,41.491352,41.748768,39.68518,37.697193,39.55111,37.56368,40.50865,39.588444
2018-09-02 00:00:00,37.939007,41.452065,42.58803,42.374542,40.850807,41.64674,41.347416,39.91748,37.384106,39.47588,37.66557,40.2993
2018-09-02 00:30:00,38.469738,37.80899,41.16005,42.20534,41.561443,41.142277,41.519924,41.61725,39.73723,37.36741,39.853584,37.409817
2018-09-02 01:00:00,42.67042,38.632824,37.540665,40.857597,41.560173,41.843136,40.91563,41.658844,41.333927,39.677097,37.39987,39.63311
2018-09-02 01:30:00,42.96824,42.33236,38.67357,37.414577,40.24821,41.710014,41.49368,41.096245,41.549706,41.146427,40.080887,37.20547
2018-09-02 02:00:00,43.497246,42.7796,42.34349,38.617393,36.896168,40.38962,41.274982,41.693626,41.28602,41.402225,41.39894,39.829304
2018-09-02 02:30:00,37.15711,43.157337,42.32789,41.594357,37.91244,36.970825,39.969124,41.3449,41.655056,41.09175,41.48602,41.041634
2018-09-02 03:00:00,37.7921,36.845673,42.895866,41.604984,40.66983,37.925243,36.448833,39.989025,41.20089,41.4417,41.013634,41.03476
2018-09-02 03:30:00,36.772247,37.900692,36.370636,42.346024,41.085945,40.616936,37.39116,36.466347,39.9235,40.994453,41.69355,40.61611
2018-09-02 04:00:00,40.786926,37.013145,37.923294,36.214993,41.668438,41.182087,40.33107,37.4635,36.440025,39.801888,41.37109,41.324127
2018-09-02 04:30:00,34.991608,40.464725,37.02336,38.02736,35.910686,41.813557,40.823498,40.728848,37.33514,36.405827,40.054924,41.065624
2018-09-02 05:00:00,31.289291,34.643192,40.630947,36.90671,37.316715,36.239826,41.740803,40.816326,40.509396,37.16712,36.511757,39.792072
2018-09-02 05:30:00,30.70483,31.485115,34.356026,39.88446,36.368702,37.48089,35.708565,41.94656,40.55348,40.427402,37.74388,36.338676
2018-09-02 06:00:00,25.400747,31.467196,31.758501,34.345924,39.02324,36.16238,36.91796,35.82425,42.203575,40.519016,41.226254,37.659565
2018-09-02 06:30:00,22.873112,26.019548,31.954464,31.893425,33.983303,38.792656,35.57657,36.951077,36.07538,41.903603,40.48168,40.93982
2018-09-02 07:00:00,25.346836,23.479116,26.67462,32.13148,31.619377,34.449512,38.628002,35.61588,36.880177,36.24955,42.000492,40.171917
2018-09-02 07:30:00,24.96978,25.415207,22.971766,26.460104,32.069878,31.938469,34.211132,38.913055,35.362526,36.791077,35.599136,41.51028
2018-09-02 08:00:00,15.251689,25.552002,24.831491,21.676249,26.494833,32.132774,31.626635,34.067696,38.641495,35.242443,37.127586,35.375084
2018-09-02 08:30:00,11.518441,14.776093,24.914824,23.595154,21.295948,26.142067,31.710539,31.499645,34.28142,38.636154,35.841347,37.07297
2018-09-02 09:00:00,15.829022,12.459057,14.097347,24.26197,22.627241,19.80973,25.810146,31.629198,31.67283,34.51112,39.46999,35.840843
2018-09-02 09:30:00,8.408382,17.151922,12.18568,13.097181,24.156078,21.422289,19.279047,25.438644,31.63469,31.79699,33.88516,39.21055
2018-09-02 10:00:00,5.125954,8.700849,17.214043,11.351943,11.543284,23.364304,20.35831,18.377502,25.415344,31.638132,31.574032,33.989315
2018-09-02 10:30:00,4.4651494,4.820639,8.278057,17.124111,13.208716,10.917305,23.445892,20.041382,18.089306,25.375057,31.540325,31.690834
2018-09-02 11:00:00,5.1797967,4.356068,5.030434,5.9501166,18.411182,13.45428,11.381897,22.815582,20.022478,18.837519,25.785786,31.754997
2018-09-02 11:30:00,4.653565,5.325831,4.5658803,4.621948,6.627702,18.444637,14.892776,11.667139,22.28942,20.498205,20.30226,25.922663
2018-09-02 12:00:00,5.662888,4.604529,5.313729,4.922708,4.870481,5.872797,19.589766,14.920572,10.591057,22.633991,21.774868,20.930668
2018-09-02 12:30:00,3.6374497,5.7535214,4.7945886,5.309566,5.062122,5.0072956,5.382037,20.748943,15.599418,11.0574665,23.357155,22.43523
2018-09-02 13:00:00,5.4417787,3.6464965,5.784888,4.998449,4.82991,5.62743,5.1284723,5.5824485,20.906164,16.248669,12.978721,23.754637
2018-09-02 13:30:00,7.192101,5.6310353,3.6409533,5.433929,4.685369,5.338711,5.804473,5.418388,5.356476,20.970318,17.08928,13.437538
2018-09-02 14:00:00,2.935019,7.2871156,5.74705,3.0849738,4.8702884,5.051117,5.46791,6.5348163,5.7770634,4.8490868,21.958763,16.699606
