,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-09-01 00:00:00,43.132896,45.14516,43.981403,41.94581,41.05662,40.70378,41.02084,37.422066,34.225334,39.432888,34.58671,31.35493
2018-09-01 00:30:00,45.02239,42.718742,44.797947,43.676647,41.30407,40.83261,40.85869,41.137417,37.024704,34.327003,38.786407,35.58703
2018-09-01 01:00:00,45.0597,44.72489,42.72633,44.38782,43.171886,41.285618,40.724796,40.96686,41.05953,37.07687,34.058056,39.76086
2018-09-01 01:30:00,40.3054,44.802994,44.558334,42.448036,43.946323,42.97887,40.928467,40.78091,40.89015,40.79233,36.806625,34.3662
2018-09-01 02:00:00,28.685596,39.753944,44.582436,44.321526,41.72553,43.679638,42.658028,40.8755,40.684452,40.635685,40.7178,36.97174
2018-09-01 02:30:00,34.037216,29.064508,39.85077,44.332413,43.534798,41.783707,43.337585,42.84025,40.73116,40.59035,40.55828,40.29733
2018-09-01 03:00:00,39.761826,33.736202,28.777462,39.602894,43.58313,43.647675,41.24179,43.559788,42.615223,40.74404,40.427937,40.142548
2018-09-01 03:30:00,39.04527,39.568253,32.86214,30.075571,39.13043,43.64842,42.974937,41.164963,43.338062,42.458973,40.50589,39.992844
2018-09-01 04:00:00,40.90269,38.847683,39.673855,34.588676,31.224411,38.89703,43.02222,43.14107,40.91329,43.11263,42.29993,40.16004
2018-09-01 04:30:00,37.70769,40.786354,38.970066,39.40403,33.92277,31.128698,38.569607,43.19802,42.887123,40.945545,42.975098,41.90429
2018-09-01 05:00:00,40.92353,37.27729,40.549095,38.896126,39.278004,33.978794,29.286268,38.064922,42.93972,42.923588,40.646202,42.558525
2018-09-01 05:30:00,43.857285,40.385216,37.31745,40.15821,38.709465,38.817776,32.802868,29.94019,37.3724,42.94873,42.607327,40.42332
2018-09-01 06:00:00,44.339756,43.5321,40.503418,37.47367,39.970924,38.379765,39.106777,33.050835,30.190762,37.37959,42.65301,42.181137
2018-09-01 06:30:00,44.418575,44.460464,43.436935,40.233658,37.25909,39.813778,38.567154,39.241123,32.414837,28.906805,37.161507,42.256077
2018-09-01 07:00:00,42.979557,44.47186,44.181458,43.186783,39.689774,36.610657,39.849113,39.039387,39.19913,31.878185,27.855959,37.54411
2018-09-01 07:30:00,44.988068,42.58116,44.17557,43.579662,42.45162,39.554073,36.526535,40.318325,38.88234,39.016163,31.045723,28.641521
2018-09-01 08:00:00,45.502876,44.70011,42.581657,43.66247,43.472767,42.52146,39.18274,36.448124,40.07478,38.829063,38.935703,32.024673
2018-09-01 08:30:00,45.32352,45.356106,44.52049,42.300667,43.430122,42.9033,41.9945,38.818737,35.74661,40.10726,38.62474,38.53523
2018-09-01 09:00:00,45.102016,45.113026,45.00961,44.279293,41.595467,42.978107,42.85389,42.066227,38.296635,35.85431,39.8821,38.493916
2018-09-01 09:30:00,45.266598,44.791798,44.83357,44.72578,43.505028,41.63967,42.838753,43.055042,41.87955,38.33082,35.54392,40.112263
2018-09-01 10:00:00,45.47293,44.977295,44.642807,44.568542,44.055717,43.60487,41.142597,43.04,42.944084,41.914925,38.07516,36.089962
2018-09-01 10:30:00,45.579964,45.265125,44.80146,44.4133,43.84264,44.021637,42.948547,41.07619,42.890812,42.58594,41.63593,38.235558
2018-09-01 11:00:00,45.244198,45.39708,44.983562,44.571053,43.60774,43.87649,43.468185,43.115852,40.851246,42.591553,42.51042,41.237324
2018-09-01 11:30:00,45.404545,44.95687,45.083305,44.721596,43.774513,43.73859,43.265594,43.67964,42.861782,40.878532,42.492985,42.068054
2018-09-01 12:00:00,45.264736,45.136738,44.77822,44.81217,43.985153,43.88419,43.040104,43.4594,43.398018,42.892326,40.59333,42.06283
2018-09-01 12:30:00,45.355007,44.96274,44.93444,44.546337,44.091415,44.0234,43.19262,43.205772,43.186398,43.295982,42.580967,40.34899
2018-09-01 13:00:00,45.365345,45.08244,44.8034,44.699383,43.753525,44.111168,43.396008,43.36786,42.951164,43.151386,43.078686,42.165398
2018-09-01 13:30:00,45.448494,45.130875,44.8858,44.57812,43.909615,43.860054,43.49653,43.594135,43.10765,42.99548,42.885292,42.70199
2018-09-01 14:00:00,44.983982,45.229477,44.883854,44.651203,43.770542,44.002285,43.173725,43.703518,43.317577,43.137535,42.672092,42.501556
2018-09-01 14:30:00,45.23676,44.660606,44.962666,44.631912,43.861614,43.89385,43.318623,43.34876,43.419697,43.278564,42.82248,42.228603
2018-09-01 15:00:00,43.33982,44.953663,44.52617,44.705524,43.878067,43.9572,43.187363,43.50078,43.088863,43.35737,43.013916,42.38073
2018-09-01 15:30:00,41.016235,42.898605,44.76943,44.300583,43.959938,43.936413,43.274223,43.36045,43.236633,43.117607,43.108727,42.619434
2018-09-01 16:00:00,43.004692,40.44728,42.94363,44.535595,43.48455,44.00757,43.294487,43.454388,43.101013,43.24991,42.803738,42.72456
2018-09-01 16:30:00,44.171318,42.609303,40.556637,42.6841,43.747177,43.622173,43.371395,43.483295,43.191483,43.13984,42.947075,42.365566
2018-09-01 17:00:00,44.010113,44.280067,42.60651,40.354824,41.9442,43.8488,42.930378,43.566105,43.21438,43.208645,42.817432,42.510906
2018-09-01 17:30:00,40.158363,43.941,44.007233,42.327065,39.814907,41.99898,43.168476,43.065353,43.292355,43.20023,42.903137,42.36542
2018-09-01 18:00:00,41.46971,39.630753,43.646122,43.417423,41.620667,39.628605,41.41136,43.344032,42.821026,43.263554,42.91845,42.46739
2018-09-01 18:30:00,43.784008,40.97461,39.758232,43.28269,43.31108,41.665394,39.221573,41.30899,43.08403,42.875946,42.991673,42.51232
2018-09-01 19:00:00,41.29626,43.491512,41.120224,39.525234,42.892845,42.74398,41.16893,38.81551,41.032677,43.109886,42.555542,42.59048
2018-09-01 19:30:00,41.48049,40.868187,43.37904,40.783775,39.04651,42.595444,42.709507,41.107525,38.14682,41.0663,42.79848,42.116947
2018-09-01 20:00:00,40.39511,41.06757,40.997105,43.121185,40.183254,38.810917,42.389305,42.904926,40.88552,38.20051,40.75524,42.36443
2018-09-01 20:30:00,42.558308,39.944187,41.176155,40.677982,42.443924,40.143353,38.519863,42.569016,42.79656,40.912895,37.949623,40.52278
2018-09-01 21:00:00,42.2393,42.28744,40.140396,40.865444,40.11793,42.45705,39.748974,38.171913,42.380093,42.444866,40.62855,38.170914
2018-09-01 21:30:00,43.156948,42.089684,42.232204,39.81414,40.2947,40.02641,41.983185,39.478386,37.60916,42.17677,42.369602,40.37742
2018-09-01 22:00:00,42.30522,43.193676,41.917297,41.952213,39.349995,40.21082,39.777187,42.099823,39.18864,37.671005,42.049454,41.929047
2018-09-01 22:30:00,42.345566,41.961124,42.95804,41.611794,41.426464,39.17641,39.954838,39.57342,41.912632,39.19649,37.407204,41.63945
2018-09-01 23:00:00,43.749554,41.945282,41.980354,42.440403,41.300495,41.292046,39.04208,39.779503,39.412636,41.915054,38.91886,37.664204
2018-09-01 23:30:00,43.224117,43.42469,41.989227,41.70123,42.337368,40.94217,41.05994,38.80001,39.629696,39.399803,41.64797,38.89125
2018-09-02 00:00:00,40.0912,42.856567,43.335953,41.697247,41.09772,41.784546,40.946476,41.126682,38.662197,39.61913,39.175507,41.2341
2018-09-02 00:30:00,39.833683,39.555897,42.825146,43.084446,41.050625,41.04251,41.839996,41.038895,41.00823,38.630386,39.396454,38.974533
2018-09-02 01:00:00,42.84676,39.304573,39.671436,42.557,42.359715,41.038128,40.76469,42.000904,40.927002,40.9544,38.420033,39.161896
2018-09-02 01:30:00,42.66359,42.662872,39.415745,39.466015,41.84719,42.41914,40.650227,40.711716,41.90816,40.754433,40.754,38.26543
2018-09-02 02:00:00,42.808987,42.665287,42.48747,39.255,38.993134,41.89338,41.911007,40.542606,40.609074,41.595318,40.637405,40.323166
2018-09-02 02:30:00,37.724167,42.80046,42.447742,42.203518,38.804626,38.733257,41.407944,41.977325,40.355904,40.613533,41.521572,40.225643
2018-09-02 03:00:00,39.165485,37.39998,42.573536,41.96521,41.77461,38.501446,38.432217,41.389347,41.797215,40.366375,40.401062,41.09194
2018-09-02 03:30:00,37.41888,38.609837,37.558697,42.107197,41.863785,41.527218,38.221066,38.07754,41.194042,41.82913,40.110558,40.0075
2018-09-02 04:00:00,42.729385,37.09007,38.67665,37.19621,41.970062,41.3179,41.37752,37.909424,37.45201,41.22411,41.555164,39.860107
2018-09-02 04:30:00,34.755676,42.707165,37.207123,38.729256,37.104202,41.455498,41.417095,41.487995,37.27396,37.527325,40.949287,41.15525
2018-09-02 05:00:00,33.430977,34.99174,42.484535,36.987423,38.348835,36.513508,41.51846,41.56122,41.34287,37.356705,37.26076,40.63227
2018-09-02 05:30:00,28.305977,33.128944,35.61537,42.034233,36.900074,37.84392,36.532692,41.6668,41.47607,41.22187,37.08433,37.56631
2018-09-02 06:00:00,25.779638,28.117517,32.938385,35.137028,41.884377,36.22584,37.577732,36.01581,41.569,41.18213,41.061497,37.411728
2018-09-02 06:30:00,26.25547,25.88269,28.520521,33.267784,35.315662,41.382286,36.221184,37.25184,35.487003,41.286903,41.109116,40.646954
2018-09-02 07:00:00,25.638365,26.524529,26.858784,29.262432,33.68808,34.70178,41.445076,35.804657,36.34567,35.495228,41.207222,40.6848
2018-09-02 07:30:00,24.885992,24.301565,27.478354,27.559717,29.890333,32.624245,35.17056,41.587765,35.153152,36.46691,35.249557,40.78502
2018-09-02 08:00:00,17.075144,23.861864,24.46719,28.043276,27.932112,29.847965,32.94596,34.502632,41.487923,35.211037,36.197773,35.639313
2018-09-02 08:30:00,13.412109,16.175821,23.989542,23.775085,28.13185,27.859812,28.839354,32.579945,34.584774,41.21638,34.93448,36.728893
2018-09-02 09:00:00,8.196297,12.927061,16.346432,23.608887,21.61103,28.364092,27.696053,28.856306,31.773027,34.407364,41.13427,35.41427
2018-09-02 09:30:00,9.13423,7.7958817,12.958356,17.192345,21.945862,21.526283,27.795858,27.134037,29.124079,31.785213,34.267433,40.713776
2018-09-02 10:00:00,6.026585,9.1433115,7.705668,13.048628,16.643578,22.15932,21.446854,27.730902,27.235384,29.021679,31.664862,34.312435
2018-09-02 10:30:00,3.5020795,6.312453,8.891796,7.7696643,14.019109,17.37781,21.875305,19.592682,27.786867,27.08307,28.606136,31.806576
2018-09-02 11:00:00,3.1710744,4.073689,6.686568,8.734303,8.030354,14.199031,17.632391,21.822393,19.330921,28.304253,27.559458,28.69968
2018-09-02 11:30:00,4.334843,3.4379184,4.437081,6.6926036,8.581938,9.130636,14.903018,17.615223,22.308195,18.966599,27.986921,27.459106
2018-09-02 12:00:00,5.286656,4.2925076,3.8964236,4.2044787,6.763515,9.682318,9.419028,14.990288,18.428705,21.611835,19.916504,28.368296
2018-09-02 12:30:00,2.7041917,5.304564,4.624701,3.6941886,4.363355,7.339987,9.359986,10.127139,15.995056,19.306955,21.668966,20.03179
2018-09-02 13:00:00,3.930924,3.038514,5.4443974,4.9256186,3.7875762,4.789913,7.875663,10.201997,10.705681,16.993292,19.82099,22.176085
2018-09-02 13:30:00,5.599953,4.0566335,3.363438,6.0238185,4.9634433,4.281481,5.422662,8.392703,10.000114,12.060034,18.532703,19.582022
2018-09-02 14:00:00,2.7880921,5.9263787,4.3256288,3.8187404,5.632417,5.4402122,4.8723326,5.843677,8.397877,10.74324,12.449358,17.42242
2018-09-02 14:30:00,0.56750727,3.0537097,6.0526032,4.7819057,3.3948722,6.160429,5.7892103,5.0551353,6.0232525,8.745785,10.910082,12.216267
2018-09-02 15:00:00,0.7413373,0.84350085,3.4337943,6.491588,4.459558,3.763924,6.5187407,6.5389094,5.420494,6.0672398,9.303637,11.00506
2018-09-02 15:30:00,0.6787553,0.98152614,1.3893207,3.7828155,5.9818606,4.828615,4.4297934,7.013679,6.905037,5.43079,6.8355327,9.663202
2018-09-02 16:00:00,0.3715005,0.69109035,1.5177807,1.267551,3.5453544,6.417074,5.4259253,4.8155627,7.4461403,7.353861,6.306913,7.197366
2018-09-02 16:30:00,-0.33093977,0.3556716,1.1832432,1.3519473,1.2773052,3.9794142,6.831006,5.8257575,5.4378853,7.6806145,7.657415,6.6082892
2018-09-02 17:00:00,0.08647202,-0.1410363,0.78638685,1.3486648,1.4057518,1.8493216,4.562419,7.182813,6.394371,5.328331,8.159914,7.9881873
2018-09-02 17:30:00,-0.13672592,0.1976287,0.27385554,1.077457,1.349918,1.9648612,2.441903,5.110599,7.7551994,6.4357567,5.7888217,8.429827
2018-09-02 18:00:00,-0.19138099,0.024502492,0.53716123,0.5551352,1.0029923,2.021229,2.5298395,2.731847,5.5697193,7.703026,6.9763217,6.483663
2018-09-02 18:30:00,-0.17028381,-0.0154907955,0.35356364,1.0620112,0.31809002,1.5821707,2.3662405,2.7226708,3.0435464,5.6745872,8.036829,7.458904
2018-09-02 19:00:00,-0.1356063,0.0047404515,0.31382212,0.8985762,0.71466213,0.76039904,1.9679576,2.9994519,3.140474,3.0584793,6.0029044,8.634607
2018-09-02 19:30:00,-0.11496498,0.03904793,0.33218417,0.8527064,0.4903465,1.228739,1.4042484,2.5984528,3.3024976,3.1195736,3.8820531,6.661056
2018-09-02 20:00:00,-0.11658813,0.06334946,0.3627971,0.8781485,0.4368816,0.9862787,1.7489558,1.7280973,3.0348985,3.627514,4.0142436,4.1864696
2018-09-02 20:30:00,-0.03516914,0.06172249,0.38527521,0.9182047,0.45781285,0.92474574,1.5553352,2.288049,2.3614938,3.339096,4.141891,4.286979
2018-09-02 21:00:00,-0.097299114,0.1417205,0.38544878,0.94513077,0.4899345,0.94751376,1.5106498,2.0020096,2.8257883,2.3229942,3.8086355,4.383617
2018-09-02 21:30:00,-0.15519477,0.087023474,0.4593223,0.9403853,0.51081043,0.98054904,1.530101,1.9247831,2.5959756,2.9415226,2.9086072,4.0962253
2018-09-02 22:00:00,-0.23007156,0.017481541,0.41246828,1.0260978,0.5106693,1.0002329,1.5613948,1.9520391,2.5365427,2.6247082,3.435438,3.4647481
2018-09-02 22:30:00,-0.17773391,-0.05509689,0.35242495,0.9620661,0.5861812,0.99941844,1.5830604,1.9857687,2.5604265,2.5396862,3.184261,3.8877847
2018-09-02 23:00:00,-0.16759063,-0.010676648,0.28800043,0.8730845,0.53404194,1.0747015,1.5827037,2.005397,2.5935895,2.56715,3.1172216,3.6628606
2018-09-02 23:30:00,-0.12908126,0.0030543553,0.32602534,0.7826285,0.47615963,1.0193064,1.656705,2.005296,2.614988,2.6001472,3.1414583,3.6076105
2018-09-03 00:00:00,-0.18057014,0.04271004,0.33396754,0.8419489,0.40465313,0.9614546,1.6071864,2.0781338,2.6142347,2.6176205,3.176376,3.6293657
2018-09-03 00:30:00,-0.1557708,-0.001899029,0.36685213,0.8700537,0.45223957,0.88477343,1.5473205,2.0263665,2.6878889,2.6180267,3.1953752,3.6603582
2018-09-03 01:00:00,9.203327,0.017145848,0.3262771,0.92146057,0.46159703,0.93931216,1.4796268,1.9636377,2.6370313,2.6898537,3.1933343,3.6810186
2018-09-03 01:30:00,25.841455,9.505282,0.3443683,0.8712458,0.4960323,0.9514887,1.5221988,1.877046,2.5715272,2.6368637,3.2709577,3.6812398
2018-09-03 02:00:00,30.756544,27.016254,9.901356,0.88867897,0.44982105,0.9876978,1.531911,1.9407514,2.4924123,2.5817127,3.2091653,3.7524679
2018-09-03 02:30:00,24.116892,32.68847,28.01413,9.296895,0.47050816,0.93840426,1.566125,1.957744,2.5464914,2.4955406,3.1500165,3.7053754
2018-09-03 03:00:00,24.948822,25.35059,33.37106,27.236843,9.313734,0.9598867,1.5233432,1.9945081,2.5625303,2.5618553,3.0678022,3.645973
2018-09-03 03:30:00,26.829266,26.670578,26.084442,33.377197,25.635866,10.023256,1.5421954,1.9434961,2.599819,2.5759354,3.1293333,3.5738409
2018-09-03 04:00:00,28.701685,26.368435,26.22869,26.018839,31.050678,25.479433,9.51443,1.9623426,2.5532606,2.610424,3.144592,3.6217172
2018-09-03 04:30:00,30.882519,28.274174,26.433784,25.716665,24.35902,30.185503,24.699331,9.290055,2.570976,2.5571232,3.1842687,3.633083
2018-09-03 05:00:00,28.490524,30.28625,28.148315,25.698647,25.30245,24.680927,28.884792,24.05137,9.256401,2.578251,3.130781,3.6663816
2018-09-03 05:30:00,27.656654,28.70534,29.78775,27.583242,23.973843,25.905746,24.510534,28.754347,22.995287,9.650061,3.1541517,3.6225793
2018-09-03 06:00:00,24.986238,27.537985,28.126408,29.415956,25.281296,24.124771,24.284248,24.095442,27.35687,21.776114,9.622347,3.6403615
2018-09-03 06:30:00,26.4685,23.99653,27.272163,27.709929,27.325867,24.802303,24.151312,24.960606,24.517967,26.669025,22.35352,9.9706955
2018-09-03 07:00:00,27.387527,26.084087,23.766834,26.855549,25.95158,27.138596,24.889294,22.243404,26.850845,23.897367,25.63458,21.929115
2018-09-03 07:30:00,26.038164,27.2105,26.428432,23.103893,25.616816,25.55549,27.364449,24.235561,22.345854,26.892838,23.728704,26.204502
2018-09-03 08:00:00,30.475582,25.395622,27.060562,25.622194,21.92435,25.790474,25.612522,27.087986,24.27485,22.154058,26.274612,24.099031
2018-09-03 08:30:00,28.682709,30.012857,25.310589,26.4057,23.549612,21.75985,25.90322,25.421446,26.567774,23.381319,22.78479,26.671955
2018-09-03 09:00:00,34.05747,28.886103,29.304222,24.271461,24.106983,24.182774,21.659527,24.264248,25.626114,25.97844,23.265993,22.783167
2018-09-03 09:30:00,36.171646,33.715347,28.281334,29.14268,21.90714,23.820265,24.129623,19.674751,24.29475,24.568964,26.442411,23.718199
2018-09-03 10:00:00,36.545326,35.91993,33.176826,28.017408,27.290112,21.619911,23.980515,21.673687,19.511421,24.404991,24.619219,26.68167
2018-09-03 10:30:00,36.70777,36.52679,34.703335,32.559162,26.31091,27.20755,21.247421,23.051428,21.85234,19.476515,24.975945,25.044445
2018-09-03 11:00:00,38.06162,36.647232,36.078487,33.803833,32.273457,25.760948,27.3874,20.529148,23.273825,21.785666,20.58774,24.666683
2018-09-03 11:30:00,38.069115,37.82142,36.60627,35.39718,33.752945,31.918613,25.931633,27.124323,20.420877,22.36694,22.451931,20.471983
2018-09-03 12:00:00,32.70798,37.854942,37.876118,36.254215,35.867855,33.297432,32.2213,25.886786,26.734041,19.352116,22.463812,22.259716
2018-09-03 12:30:00,26.500698,33.064373,38.25313,37.666435,36.317104,35.47211,33.117943,31.549404,26.104252,26.098354,19.524134,23.137367
2018-09-03 13:00:00,29.798883,26.516783,33.81791,38.22435,37.568054,36.132263,35.385937,32.767483,31.090183,25.014074,26.699055,20.404264
2018-09-03 13:30:00,35.41357,29.283268,27.338064,33.75334,38.15777,37.436993,36.208965,35.463852,32.417442,31.424545,25.13084,26.912468
2018-09-03 14:00:00,26.211199,35.30876,29.748615,28.038622,33.952675,37.672234,37.426014,36.337055,35.144737,32.849545,31.577648,25.40169
2018-09-03 14:30:00,27.775057,27.109493,36.052326,30.561304,28.500494,33.153744,37.98772,37.919353,36.1924,35.285988,32.921974,31.640945
2018-09-03 15:00:00,30.098745,27.170263,26.992603,35.920723,30.548134,28.43371,33.704685,38.337963,37.653,36.488617,35.130135,33.36401
2018-09-03 15:30:00,35.165276,29.537834,27.523973,24.738604,36.205467,30.782997,28.046276,33.462845,38.269165,37.840916,36.142654,35.60192
2018-09-03 16:00:00,37.64572,34.511818,29.073858,27.50684,24.403406,35.42739,29.542257,27.667728,33.409443,38.10025,37.47847,36.63544
2018-09-03 16:30:00,38.060616,37.084747,35.119698,29.044107,26.529842,24.39749,35.887283,30.09119,27.868868,33.413612,37.949986,37.794468
2018-09-03 17:00:00,38.73557,37.861782,35.62309,34.516815,28.51419,26.68129,24.401703,36.09132,30.200785,27.843737,33.201454,37.615875
2018-09-03 17:30:00,40.191208,38.535305,36.93093,34.410015,35.38158,28.917242,26.634338,21.875044,36.114136,30.543962,28.081484,33.25944
2018-09-03 18:00:00,39.765034,40.011,38.404285,35.818962,34.544266,34.297264,28.899923,25.217012,22.275154,35.989143,29.82297,28.018242
2018-09-03 18:30:00,31.502483,39.571426,39.853233,37.809006,36.316963,34.15219,34.768433,28.02885,24.902672,22.369495,35.665333,30.04856
2018-09-03 19:00:00,29.594004,31.656612,39.67645,39.540398,37.993607,36.074627,33.81251,34.664062,27.309029,25.376928,22.396132,35.646214
2018-09-03 19:30:00,34.796936,29.497046,31.559532,39.406155,39.42962,37.850834,35.551296,33.259632,34.001316,28.254694,25.888964,22.31546
2018-09-03 20:00:00,38.95,34.427044,29.468184,31.61719,39.28022,39.25845,37.6635,35.640797,32.770737,34.073467,28.784836,25.775043
2018-09-03 20:30:00,37.40522,38.74979,34.41485,30.533495,32.250927,38.82009,39.217308,38.2379,35.28636,33.21889,34.08752,28.199553
2018-09-03 21:00:00,29.268646,37.189774,38.973278,34.924706,30.978588,31.378227,39.108944,39.914192,38.075348,35.6308,33.378647,34.122196
2018-09-03 21:30:00,30.231865,29.043564,37.699947,38.908375,35.049988,31.069826,31.883842,39.242817,39.560158,38.102257,35.34704,34.140175
2018-09-03 22:00:00,37.34102,29.786093,29.26919,37.655476,38.73439,33.991344,29.544186,31.236973,39.200703,39.612556,37.704567,36.201973
2018-09-03 22:30:00,28.993351,37.00982,29.876053,29.496674,37.70896,38.2952,34.238438,29.913284,30.795593,39.017517,39.315384,38.28819
2018-09-03 23:00:00,36.498127,29.949665,37.38113,30.511168,29.98221,37.132805,38.60694,34.215565,30.203762,30.697588,38.937176,39.61005
2018-09-03 23:30:00,39.376564,36.205357,30.592821,37.57704,30.71906,29.6794,37.499104,38.877518,33.42691,29.715746,30.646744,38.53674
2018-09-04 00:00:00,40.24476,39.277187,36.575,28.319246,37.340477,30.437883,29.87044,37.847992,38.82363,33.48001,28.696087,30.720926
2018-09-04 00:30:00,40.13682,40.028435,38.635094,36.72761,29.470417,36.9446,30.375603,29.471281,37.77483,38.679382,33.3236,29.313038
2018-09-04 01:00:00,38.32455,39.950478,39.86273,37.607784,36.638065,29.270023,37.040462,30.243036,29.35536,37.57607,38.58421,33.485104
2018-09-04 01:30:00,42.541744,37.820827,39.946278,39.455082,37.838882,36.238037,29.486292,37.628925,29.901983,29.658892,37.390335,38.163258
2018-09-04 02:00:00,42.744835,42.175373,37.930595,39.68603,39.382042,37.805553,36.32038,27.73962,37.413734,30.152496,29.842129,37.155277
2018-09-04 02:30:00,37.71709,42.373417,42.189495,38.055206,39.49699,39.262264,37.223568,36.83835,27.60637,37.52876,30.209156,29.650938
2018-09-04 03:00:00,39.0424,37.30407,42.376278,41.90927,37.75634,39.114983,39.139927,37.714935,36.579994,28.342741,37.135757,30.100079
2018-09-04 03:30:00,42.284412,38.52969,37.320255,42.09851,41.26708,37.198845,39.38029,39.844547,37.51569,36.720463,28.417877,36.99302
2018-09-04 04:00:00,41.32847,42.241524,38.640892,37.272205,41.432922,41.24923,37.08151,39.534492,39.517845,37.83876,36.26944,27.73087
2018-09-04 04:30:00,42.082165,41.20484,42.047234,38.622574,37.1514,41.437397,40.88825,36.99161,39.48556,39.598522,37.28101,36.36355
2018-09-04 05:00:00,40.1548,42.032284,41.065994,41.614464,38.25243,36.46399,41.03077,40.827587,36.36231,39.337536,39.247513,38.28543
2018-09-04 05:30:00,39.2507,39.66998,41.84906,40.691566,41.48746,37.808502,36.351303,40.97785,40.67754,36.46262,39.25067,39.678333
2018-09-04 06:00:00,40.213676,38.68132,39.893475,41.418224,40.566986,40.968212,37.605587,35.978466,40.80753,40.690033,36.172474,38.996185
2018-09-04 06:30:00,43.207882,39.680565,38.745255,39.58614,41.3098,40.07059,41.08924,37.405865,35.10139,40.825665,40.44955,36.54214
