,LSTM-Bidirecional-1,LSTM-Bidirecional-2,LSTM-Bidirecional-3,LSTM-Bidirecional-4,LSTM-Bidirecional-5,LSTM-Bidirecional-6,LSTM-Bidirecional-7,LSTM-Bidirecional-8,LSTM-Bidirecional-9,LSTM-Bidirecional-10,LSTM-Bidirecional-11,LSTM-Bidirecional-12
2018-12-01 00:00:00,32.285553,31.736273,29.490679,29.461964,27.45807,26.98735,28.127796,23.218843,26.544842,24.663391,21.235525,19.350077
2018-12-01 00:30:00,19.48825,31.258957,30.694206,29.051512,28.905663,26.849504,26.023369,27.935368,23.20014,25.196314,23.787903,20.807423
2018-12-01 01:00:00,21.004044,18.244377,30.236376,30.289509,28.489285,28.32104,25.780697,25.826818,27.606762,22.22691,24.32718,23.347752
2018-12-01 01:30:00,12.341905,19.686975,16.976805,29.81292,29.7472,28.067411,27.378946,25.566994,25.628422,26.4096,21.4453,24.063913
2018-12-01 02:00:00,9.416299,11.446381,18.38081,16.231934,29.32198,29.286802,27.103167,27.143257,25.228796,24.323606,25.48142,21.38306
2018-12-01 02:30:00,8.603288,9.718397,10.920838,17.69561,15.449768,28.904902,28.331709,26.789936,26.767538,24.107601,23.496435,25.248007
2018-12-01 03:00:00,8.65404,8.457708,9.368975,10.37117,16.53331,15.093229,27.96197,28.031696,26.32806,25.40835,23.25305,23.36358
2018-12-01 03:30:00,8.624841,8.511544,8.397102,9.527834,9.494309,15.95438,14.290711,27.672903,27.539845,24.999306,24.505302,23.186628
2018-12-01 04:00:00,8.493138,8.73556,8.436692,8.703705,9.224256,8.879276,15.25148,13.8368225,27.242863,26.183983,24.124157,24.241055
2018-12-01 04:30:00,7.4337773,8.739637,8.930413,8.794623,9.112404,9.018928,8.415284,14.831761,13.8268795,25.86643,25.266146,23.99561
2018-12-01 05:00:00,8.085366,7.7688637,9.147776,9.482387,9.251852,9.22243,9.028598,8.82323,14.627136,13.144104,24.969578,25.114672
2018-12-01 05:30:00,7.6419177,8.464739,8.227134,9.876009,10.074448,9.56752,9.38704,10.078731,10.249906,14.054149,12.962105,24.81759
2018-12-01 06:00:00,11.086967,8.052163,8.954791,9.054441,10.577637,10.709823,9.749863,10.323357,11.775097,10.896897,13.879751,13.444407
2018-12-01 06:30:00,12.341044,11.430523,8.621882,9.805779,9.830827,11.317383,11.138259,10.626073,11.453315,12.143425,10.635746,14.140459
2018-12-01 07:00:00,-0.4450183,12.655107,12.05822,9.523569,10.532353,10.668659,11.883047,12.103353,11.6320915,11.91106,12.346958,10.914434
2018-12-01 07:30:00,3.0818057,0.060812198,13.285287,12.883546,10.263394,11.455956,11.273833,13.009971,13.141747,12.105599,12.070704,12.403168
2018-12-01 08:00:00,-0.055346977,3.874554,0.9854194,14.117205,13.472301,11.14743,12.116006,12.506581,14.1818905,13.555241,12.270452,12.646166
2018-12-01 08:30:00,0.19210099,0.5401537,4.3567095,1.9552146,14.701814,14.406481,11.803368,13.286636,13.752716,14.705843,13.817816,13.004418
2018-12-01 09:00:00,1.008944,0.86559314,1.5241996,5.384245,2.974598,15.233007,15.098172,13.0892725,14.464464,14.3230295,14.998284,14.484878
2018-12-01 09:30:00,6.670056,1.633117,1.4123241,2.6535282,5.8096724,3.809111,15.76777,16.107555,14.437305,14.87703,14.6836,15.600281
2018-12-01 10:00:00,7.4500318,7.1563435,2.4636507,2.499776,3.536953,6.814608,4.523828,16.921715,17.245567,15.080232,15.261837,15.318161
2018-12-01 10:30:00,5.637566,7.7628145,7.808463,3.48917,3.2951727,4.5107665,7.4448285,6.1930156,18.211905,17.587223,15.435021,15.848942
2018-12-01 11:00:00,4.6032815,6.111541,8.324385,9.062386,4.3559027,4.50761,5.197909,8.916068,8.18055,18.858633,17.80095,16.086575
2018-12-01 11:30:00,0.65650797,5.187392,6.7790747,9.595635,10.098056,5.3460364,5.0067515,6.9032035,10.383191,9.298985,18.838423,18.351105
2018-12-01 12:00:00,0.25305223,1.2473013,5.966138,7.675131,10.916409,11.160159,6.063993,6.5901113,8.874694,10.040829,9.823906,19.26986
2018-12-01 12:30:00,-0.4118247,0.9031965,2.100977,6.7713547,8.715968,11.999108,11.955328,7.6284375,8.307112,10.254327,10.991798,10.711664
2018-12-01 13:00:00,0.48985338,0.19199009,1.6238157,2.9965525,7.5953417,9.789304,12.853607,13.410722,9.429026,9.515528,10.687145,11.069985
2018-12-01 13:30:00,-0.5455699,1.1206381,1.0535136,2.6410074,3.8404856,8.57117,10.74662,14.112766,14.786128,10.552705,10.063411,11.647822
2018-12-01 14:00:00,1.5644612,0.034282885,1.9278518,2.0973005,3.4248276,4.815225,9.502034,11.731371,15.188237,15.783092,11.086265,11.245798
2018-12-01 14:30:00,7.954387,2.1847546,0.99049485,2.952077,3.0282116,4.517757,5.5112643,10.493825,12.741584,16.022387,16.187817,12.027338
2018-12-01 15:00:00,12.040088,8.382817,2.9682903,1.9918424,3.8169088,4.0921884,5.126592,6.83021,11.606228,12.915372,16.382343,16.883154
2018-12-01 15:30:00,12.640355,12.30311,8.990068,3.939971,2.971157,4.835832,4.734637,6.609575,8.366142,11.4870615,13.443498,17.010145
2018-12-01 16:00:00,17.929289,12.888217,12.612182,10.331717,4.7774954,3.95394,5.5050683,6.289389,8.23996,8.776489,12.059083,13.874859
2018-12-01 16:30:00,21.429226,17.886776,13.313858,14.041912,11.461089,5.7897363,4.705438,7.074076,8.08939,8.898004,9.296045,12.288491
2018-12-01 17:00:00,18.905409,20.455303,18.22346,15.163122,15.261951,12.568459,6.536587,6.2861266,8.887499,9.2461,9.498114,9.885347
2018-12-01 17:30:00,20.30156,17.743694,20.165365,19.691896,16.666988,16.091286,13.383357,7.9813848,8.183253,10.064074,9.711114,10.259972
2018-12-01 18:00:00,17.077707,19.11507,17.24477,20.371986,20.3903,17.824718,16.70725,14.804852,9.622284,9.444121,10.574564,10.723839
2018-12-01 18:30:00,21.403982,15.708699,18.5244,17.028103,19.928564,21.227722,18.5333,18.004608,16.035133,10.410636,9.953798,11.584323
2018-12-01 19:00:00,20.042498,19.988161,14.919292,18.238531,16.503708,19.380829,21.397287,20.049551,18.81474,16.986067,11.007916,10.987747
2018-12-01 19:30:00,17.148113,18.61252,18.960266,14.352821,17.49044,16.210983,18.956682,22.632496,20.641022,19.500525,17.355482,11.801685
2018-12-01 20:00:00,19.145683,15.758904,17.82321,18.428116,13.758318,17.117687,15.86751,19.426592,23.240496,21.195366,19.645237,17.97778
2018-12-01 20:30:00,14.448041,17.88309,14.74887,17.237078,17.424332,13.338578,16.74085,15.975775,19.756996,23.210138,21.412077,19.968119
2018-12-01 21:00:00,13.113655,13.130949,17.01658,14.15779,16.401798,17.041231,12.869148,16.70596,16.173622,19.625395,23.123947,21.475336
2018-12-01 21:30:00,13.069947,12.320258,12.414216,16.54705,13.531368,15.724727,16.592043,12.734946,16.69453,16.038382,19.16526,22.910666
2018-12-01 22:00:00,12.727056,12.334264,11.618371,11.91464,15.761425,13.253438,15.189282,16.161995,12.87956,16.19243,15.768725,18.931265
2018-12-01 22:30:00,15.774466,11.931631,11.975785,11.44381,11.551234,15.418757,12.731494,14.978994,15.661971,12.681168,15.9257555,15.889648
2018-12-01 23:00:00,6.561233,14.9652405,11.510658,11.883452,11.336621,11.1667595,15.008838,12.474111,14.979558,14.834058,12.463439,15.840714
2018-12-01 23:30:00,17.706411,6.037071,14.533426,11.3992605,11.810428,11.338635,10.707888,14.810699,12.3943815,14.627893,14.631546,12.826125
2018-12-02 00:00:00,14.073015,17.442175,6.1743193,14.398756,11.347263,11.7072935,11.113716,10.783131,14.689417,11.995965,14.242816,14.693365
2018-12-02 00:30:00,9.164807,12.937926,17.402079,6.49199,14.117879,11.280803,11.62013,11.365594,11.206512,14.133928,11.867819,14.378165
2018-12-02 01:00:00,5.3737636,8.913812,13.132484,17.64686,7.1651907,14.111616,11.149717,12.061556,11.705553,11.381206,13.986182,12.289032
2018-12-02 01:30:00,6.9104104,5.7084465,8.613078,12.971913,17.52057,7.6001325,14.048565,11.557656,12.699237,11.562149,11.19185,14.123523
2018-12-02 02:00:00,13.015215,7.1771336,6.2237453,8.865392,12.848322,18.068201,7.669966,14.230134,12.153859,12.905423,11.636555,11.762219
2018-12-02 02:30:00,26.769192,13.1276045,7.3561172,7.1523952,9.297678,12.199502,18.576845,8.633066,14.5010395,12.421042,12.877143,12.133101
2018-12-02 03:00:00,29.7984,25.80603,13.680048,8.0668125,8.131024,9.782028,12.137024,18.637547,9.802247,14.350619,12.379673,13.338708
2018-12-02 03:30:00,35.385708,28.634773,26.648159,14.292711,8.687286,9.074319,9.851971,12.812485,18.53766,10.788438,14.294783,12.954758
2018-12-02 04:00:00,35.16797,34.37441,28.58518,26.695978,14.646724,9.512083,9.667755,10.553431,14.07432,17.574236,10.814475,14.63202
2018-12-02 04:30:00,39.559967,34.267246,34.62677,28.522282,25.804798,15.515114,9.992874,11.029208,11.280846,15.450996,17.698915,11.798437
