,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-12-01 00:00:00,33.159477,32.461864,30.776115,30.295837,28.492483,27.215357,27.670126,23.368572,24.742088,24.205442,22.669594,21.861849
2018-12-01 00:30:00,22.904272,32.09551,31.702612,30.074324,29.352055,27.724268,26.320139,26.686317,22.664524,23.992418,23.747269,22.17774
2018-12-01 01:00:00,22.528101,22.026764,31.37358,30.986855,29.180765,28.587814,26.819525,25.397036,25.827097,21.967937,23.357021,23.0949
2018-12-01 01:30:00,13.680402,21.43993,21.418224,30.688108,30.06721,28.436316,27.674192,25.881027,24.605528,24.961206,21.29862,22.644972
2018-12-01 02:00:00,11.489963,12.821942,20.609545,20.767012,29.803595,29.32335,27.55657,26.716707,25.06985,23.843758,24.137007,20.659254
2018-12-01 02:30:00,11.658095,10.866089,12.138032,19.760126,20.059076,29.071901,28.42696,26.616924,25.878942,24.282166,23.082548,23.301958
2018-12-01 03:00:00,11.287835,11.275013,10.364019,11.382189,18.866306,19.283356,28.195415,27.4669,25.79323,25.0577,23.501753,22.366411
2018-12-01 03:30:00,11.362559,11.153227,10.956303,9.834064,10.724353,18.004923,18.489815,27.254421,26.61744,24.997217,24.248281,22.75683
2018-12-01 04:00:00,10.957144,11.466721,11.0602045,10.668488,9.385108,9.977032,17.126429,17.775219,26.426235,25.784025,24.200136,23.465368
2018-12-01 04:30:00,9.650066,11.185897,11.591875,11.007702,10.422271,8.920694,9.265597,16.364336,17.281559,25.621923,24.958902,23.445316
2018-12-01 05:00:00,9.697439,9.992802,11.434337,11.758381,10.989719,10.246448,8.447838,8.792248,15.837629,16.910368,24.816557,24.161879
2018-12-01 05:30:00,8.976741,10.094731,10.352499,11.715653,11.966114,11.0507145,9.98242,8.210957,8.642665,15.38704,16.460358,24.053324
2018-12-01 06:00:00,11.577206,9.454531,10.509033,10.736991,12.0418625,12.25333,10.987221,9.938992,8.247467,8.570508,14.9325285,16.183321
2018-12-01 06:30:00,12.589132,11.949556,9.946538,10.951169,11.154715,12.430668,12.376845,11.107018,10.093066,8.271531,8.48624,14.567218
2018-12-01 07:00:00,1.110043,12.89973,12.343188,10.460986,11.413757,11.610996,12.65258,12.649646,11.36591,10.168743,8.356449,8.524855
2018-12-01 07:30:00,2.6226735,1.9245903,13.239095,12.773764,10.989484,11.928416,11.913788,12.997533,13.005366,11.528867,10.3490305,8.471557
2018-12-01 08:00:00,1.3580918,3.386926,2.782405,13.608074,13.231257,11.557801,12.281069,12.323167,13.402517,13.255374,11.787607,10.470246
2018-12-01 08:30:00,0.633059,2.1740324,4.1665287,3.5428696,14.038025,13.7862015,11.968549,12.723864,12.785824,13.704441,13.582612,11.953978
2018-12-01 09:00:00,2.518746,1.5109427,3.0061731,4.940466,4.3985424,14.555044,14.14382,12.458237,13.200433,13.15072,14.066545,13.784195
2018-12-01 09:30:00,8.918893,3.3337128,2.3974686,3.8342485,5.64063,5.0314507,14.870301,14.57669,12.974454,13.577894,13.55568,14.301704
2018-12-01 10:00:00,8.337127,9.46759,4.169018,3.2838974,4.565775,6.2978454,5.651459,15.26369,15.01238,13.393921,13.995401,13.855953
2018-12-01 10:30:00,5.909469,8.898339,10.043277,5.013074,4.0459366,5.259032,6.8914742,6.30049,15.665665,15.341506,13.84067,14.296314
2018-12-01 11:00:00,4.950479,6.5581703,9.491677,10.660849,5.7301664,4.796225,5.888803,7.5441794,7.10644,15.961385,15.730983,14.181068
2018-12-01 11:30:00,1.5758853,5.635068,7.2413797,10.09083,11.215983,6.502623,5.4682794,6.5964293,8.266616,7.8111997,16.321424,15.950444
2018-12-01 12:00:00,1.4760594,2.3998168,6.352886,7.908395,10.693991,11.950798,7.164393,6.2318034,7.3834567,8.898122,8.514132,16.50077
2018-12-01 12:30:00,0.81093836,2.3157961,3.2537403,7.058957,8.582025,11.381492,12.474382,7.9082074,7.062103,8.0718775,9.512219,9.244522
2018-12-01 13:00:00,1.7261577,1.6822827,3.172511,4.0737753,7.7425003,9.24446,11.892458,13.081291,8.67459,7.8070397,8.7552,10.153816
2018-12-01 13:30:00,0.40644312,2.571586,2.5780363,4.024235,4.8557997,8.398815,9.793391,12.477123,13.650359,9.372231,8.535284,9.467183
2018-12-01 14:00:00,3.308041,1.3095744,3.4328032,3.4614773,4.774602,5.548179,8.964801,10.394858,13.056752,14.1305,10.07484,9.296317
2018-12-01 14:30:00,10.195118,4.0909414,2.233368,4.3001738,4.2378807,5.495506,6.1888013,9.570694,11.025552,13.549861,14.697651,10.750976
2018-12-01 15:00:00,13.802019,10.687733,4.8930635,3.1393766,5.033453,4.9857335,6.1465163,6.8804336,10.213544,11.580755,14.092149,15.063894
2018-12-01 15:30:00,14.816316,14.138109,11.211915,5.709629,3.92935,5.7993646,5.6634717,6.8670316,7.663754,10.78172,12.135602,14.487627
2018-12-01 16:00:00,22.178116,15.081779,14.51506,11.780404,6.4076967,4.7094216,6.4697394,6.415032,7.6531005,8.349445,11.334106,12.635811
2018-12-01 16:30:00,21.961449,22.002901,15.403427,14.921811,12.305097,7.1782136,5.4110503,7.222198,7.2331777,8.351807,9.023346,11.869149
2018-12-01 17:00:00,20.497347,21.564775,21.900797,15.738986,15.3839245,13.021974,7.8235707,6.1969066,8.010325,7.972173,9.032084,9.727907
2018-12-01 17:30:00,21.812462,19.895262,21.221628,21.834576,16.195976,16.026892,13.513942,8.554505,7.0399575,8.72724,8.690684,9.744121
2018-12-01 18:00:00,18.59489,20.990429,19.334118,20.933897,21.964668,16.758783,16.412487,14.083782,9.299493,7.8189244,9.435681,9.444265
2018-12-01 18:30:00,21.914738,17.74598,20.218788,18.848265,20.841022,22.301447,17.084728,16.86845,14.60904,9.972114,8.568672,10.147191
2018-12-01 19:00:00,21.111425,20.923397,16.964966,19.54521,18.512396,20.906963,22.324738,17.471321,17.282429,15.041088,10.661917,9.354593
2018-12-01 19:30:00,18.683449,20.16846,20.00578,16.248028,18.97559,18.317951,20.693817,22.431181,17.838764,17.589302,15.571499,11.300071
2018-12-01 20:00:00,20.1787,17.816833,19.29536,19.190508,15.622882,18.599669,17.892572,20.649748,22.540598,18.099203,18.008163,15.875377
2018-12-01 20:30:00,16.063696,19.274813,17.01989,18.511646,18.432425,15.1127205,17.997702,17.711567,20.696957,22.503965,18.457348,18.153492
2018-12-01 21:00:00,15.100847,15.304662,18.440199,16.287169,17.805025,17.895683,14.457471,17.663233,17.697535,20.592299,22.63971,18.562326
2018-12-01 21:30:00,15.026762,14.46195,14.613836,17.690992,15.643437,17.275236,17.162428,14.086892,17.522308,17.547523,20.65407,22.414717
2018-12-01 22:00:00,14.699296,14.49642,13.884254,13.965708,17.014236,15.116023,16.561863,16.700539,13.961726,17.249271,17.55883,20.44575
