,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-12-01 00:00:00,32.46358,31.975306,29.991129,29.443403,27.509308,25.97983,26.40193,22.119865,24.120878,23.87998,22.606174,21.28188
2018-12-01 00:30:00,21.406763,31.501175,31.064007,29.035912,28.389925,26.642946,24.924856,25.343061,20.940845,23.05382,23.356485,22.402878
2018-12-01 01:00:00,22.168901,20.91541,30.64603,30.154423,28.026627,27.515705,25.5628,23.894367,23.930748,20.000566,22.244503,22.856249
2018-12-01 01:30:00,12.255038,21.349476,20.438843,29.763332,29.122345,27.211813,26.413788,24.505945,22.536976,22.659662,19.141562,21.764446
2018-12-01 02:00:00,10.986911,12.042477,20.66441,19.776022,28.796886,28.265799,26.185696,25.391777,23.30845,21.50775,21.767588,18.955711
2018-12-01 02:30:00,10.088783,10.95177,11.743616,20.086918,19.550085,27.966242,27.136478,25.172792,24.022095,22.160238,20.615355,21.468958
2018-12-01 03:00:00,9.817299,9.78023,10.907289,10.89058,19.389215,18.693083,26.891815,26.105968,23.931751,22.894466,21.279715,20.431181
2018-12-01 03:30:00,9.938023,9.612174,9.447894,10.645049,10.774672,18.120338,17.464783,25.84833,24.780535,22.82325,22.02561,21.021355
2018-12-01 04:00:00,9.630705,9.751085,9.095105,9.596157,10.563056,9.793722,17.010098,16.321358,24.560234,23.63286,21.930635,21.75422
2018-12-01 04:30:00,8.317468,9.596884,9.283506,9.299666,9.314875,10.013582,8.810922,16.43616,16.139095,23.498486,22.698954,21.650398
2018-12-01 05:00:00,8.462037,8.377655,9.361902,9.366472,9.1188345,9.10749,9.308502,8.652774,16.112621,15.608278,22.59401,22.427753
2018-12-01 05:30:00,7.9524903,8.602382,8.283154,9.451916,9.420155,9.01849,8.97376,9.796572,8.952891,15.54778,14.945687,22.343765
2018-12-01 06:00:00,10.776374,8.233199,8.612157,8.494012,9.749823,9.512794,8.991069,9.722161,10.16427,8.901147,15.663945,15.322916
2018-12-01 06:30:00,12.047412,11.120993,8.35506,8.844475,8.885419,9.855823,9.474286,9.687977,10.173555,9.907675,8.877789,15.369941
2018-12-01 07:00:00,-1.1006446,12.57635,11.217382,8.672238,9.302818,9.074115,9.80179,10.04983,10.1143,10.105705,10.293722,9.28504
2018-12-01 07:30:00,3.995706,-0.09915141,12.776079,11.483033,9.218191,9.598173,9.07193,10.268532,10.555731,10.220115,11.221651,10.697172
2018-12-01 08:00:00,1.6788335,5.050272,1.6069871,13.155875,12.071814,9.611552,9.559402,9.530509,10.580235,10.764937,11.077568,11.864653
2018-12-01 08:30:00,0.6583524,3.0414107,6.6547365,2.5911312,13.870158,12.461804,9.582419,10.092483,9.843167,10.868278,11.283737,11.68857
2018-12-01 09:00:00,2.1415086,1.7726481,4.33974,8.103908,4.3698187,14.144078,12.225553,10.125483,10.411742,10.232228,11.212737,12.069289
2018-12-01 09:30:00,7.686705,2.8265145,2.7058067,5.8763084,9.168561,5.3371835,13.98635,12.778129,10.440543,10.797498,10.553481,11.954414
2018-12-01 10:00:00,7.81784,7.9303856,3.4315777,3.807867,6.625328,10.446461,5.3202577,14.301549,13.060355,10.856231,11.027952,11.383438
2018-12-01 10:30:00,5.8944955,8.174877,8.317119,4.03294,4.6475897,7.877995,10.852843,5.2429605,14.553611,13.237196,11.039027,11.862863
2018-12-01 11:00:00,4.7132745,6.3724537,8.667723,8.90922,4.70827,5.6021857,8.438611,11.455686,6.5047603,14.469858,13.270322,11.908531
2018-12-01 11:30:00,0.46580553,5.382674,7.159932,9.512501,9.141662,5.542051,5.859099,9.18477,12.68669,7.284574,14.611228,14.003262
2018-12-01 12:00:00,0.21776436,1.407366,6.3194914,8.148493,9.546114,9.953644,5.862989,6.7842536,10.417481,12.673622,7.2556405,15.099707
2018-12-01 12:30:00,0.029425133,1.2258437,2.2851858,7.27454,8.210442,10.3785715,10.776198,6.7446656,7.774529,10.261019,13.6692915,9.308849
2018-12-01 13:00:00,1.2222505,1.0884802,2.001665,3.0578156,7.694256,9.025881,11.5837345,11.300481,7.7569222,8.12358,11.682828,14.632346
2018-12-01 13:30:00,0.54035234,2.1484005,1.8507844,2.6002932,4.122653,8.446337,10.384236,11.793548,12.056396,8.441155,9.209933,12.539762
2018-12-01 14:00:00,2.8572392,1.2921469,2.8028927,2.4015331,3.775362,4.8473344,9.370917,10.447435,12.54787,12.7059145,9.337045,10.339847
2018-12-01 14:30:00,8.808096,3.3948843,2.0362558,3.309474,3.5657663,4.605926,4.9051795,9.673489,11.369011,12.929624,13.430621,10.331556
2018-12-01 15:00:00,12.495263,8.983314,4.028557,2.7938137,4.276128,4.2831893,4.1937957,5.6138263,10.538591,11.753622,13.925652,13.896324
