,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-12-01 00:00:00,32.61498,31.94162,29.964499,29.823843,28.117937,26.463305,28.82716,22.648668,25.061083,25.079762,24.202524,19.599272
2018-12-01 00:30:00,22.227118,31.44191,31.178356,29.18928,29.054909,27.659029,25.287899,28.053028,21.640608,24.1396,24.710743,23.605066
2018-12-01 01:00:00,20.016392,20.439339,30.694168,30.541992,28.44943,28.741636,26.344225,24.411318,26.9444,20.463064,23.697062,23.844326
2018-12-01 01:30:00,12.070313,19.37133,19.217575,30.006704,29.841015,27.953344,27.727804,25.484919,23.26587,25.64596,20.178026,22.698967
2018-12-01 02:00:00,8.360497,11.658856,19.066137,18.282272,29.264004,29.545736,26.744383,26.939623,24.33228,22.191746,25.017454,19.05502
2018-12-01 02:30:00,9.980825,8.108117,11.928236,17.859987,17.568138,28.800117,28.508186,25.90231,25.67864,23.33863,21.675287,24.13639
2018-12-01 03:00:00,10.274574,10.277646,7.946063,10.84227,16.587482,16.420382,27.705256,27.747412,24.756882,24.70138,22.52709,20.771143
2018-12-01 03:30:00,9.137442,10.827325,9.545917,7.415636,9.849728,15.38262,14.751385,26.93544,26.483595,23.725483,24.06289,21.701777
2018-12-01 04:00:00,8.210393,9.80265,10.106582,9.872083,7.1439304,9.535721,14.590927,13.75216,25.798363,25.450727,23.039038,23.228636
2018-12-01 04:30:00,6.7336993,8.685764,10.0732765,10.568569,9.181901,7.318689,9.989198,14.517896,12.86424,24.74345,24.761421,22.245827
2018-12-01 05:00:00,7.2152896,7.0275087,9.077226,10.428038,9.522704,9.5889635,7.577967,10.228745,14.319095,12.247105,24.166632,23.925962
2018-12-01 05:30:00,6.871199,7.7994986,7.707465,9.389237,10.588759,9.847523,9.731492,7.864836,10.591678,14.773589,11.664819,23.337446
2018-12-01 06:00:00,9.987388,7.5214767,8.569068,8.061646,9.766418,11.243351,9.989691,9.675149,7.888476,11.153824,15.027481,11.371022
2018-12-01 06:30:00,10.722932,11.234739,8.444385,9.120464,8.837447,10.466668,11.459352,9.924566,9.493287,8.444213,12.61047,14.797725
2018-12-01 07:00:00,2.6272798,11.833816,11.718848,9.1045065,9.869236,9.683422,10.755143,11.90522,9.893519,9.911325,9.221228,12.787618
2018-12-01 07:30:00,0.07814072,3.329652,11.993929,12.4852085,9.994435,10.807347,10.188757,11.248812,12.662188,10.240303,10.126731,9.994437
2018-12-01 08:00:00,1.1219659,1.0143034,4.204838,12.532223,12.62924,11.031972,11.435989,10.864917,12.07902,13.077992,10.615021,10.700968
2018-12-01 08:30:00,0.81885576,1.4970686,1.8391229,4.882127,12.376638,13.4885025,11.802104,12.256106,11.809351,12.410523,13.437189,10.997355
2018-12-01 09:00:00,2.0008674,1.6976511,2.5237741,2.5817041,5.4259434,13.026241,13.980561,12.760129,13.158625,12.019889,12.835072,13.916582
2018-12-01 09:30:00,9.296084,2.7623904,2.4499216,3.5057383,2.9026642,6.3329587,13.219846,14.741776,13.6870775,13.434089,12.48443,13.291985
2018-12-01 10:00:00,7.352921,10.518803,3.5034342,3.327242,3.739314,3.821484,7.030682,13.690458,15.423364,13.946298,13.762943,12.845636
2018-12-01 10:30:00,4.3708806,8.077569,11.290008,4.3457165,3.500063,4.478974,4.448732,7.8713,14.319727,15.961429,14.226976,14.040759
2018-12-01 11:00:00,2.940641,4.938898,9.061325,12.436597,4.572015,4.415252,5.492536,5.1532397,8.722677,14.893041,16.044216,14.428768
