,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-06-01 00:00:00,13.2671175,19.11634,17.418358,14.279961,15.491476,15.5681305,18.460325,20.268045,17.995228,22.145555,22.628222,24.978853
2018-06-01 00:30:00,14.335906,13.938816,19.539482,18.114828,14.979282,16.214231,16.053965,19.0546,20.853315,18.5665,22.559511,23.315323
2018-06-01 01:00:00,12.565562,14.962313,14.523899,20.218002,18.731447,15.722637,16.686777,16.663157,19.691393,21.375513,19.029594,23.225601
2018-06-01 01:30:00,16.538227,13.247608,15.551962,15.303246,20.809092,19.47365,16.204874,17.279444,17.281963,20.248907,21.790377,19.698174
2018-06-01 02:00:00,12.31215,17.109686,13.870874,16.270315,16.002876,21.595581,19.867733,16.811466,17.880014,17.855982,20.696068,22.434336
2018-06-01 02:30:00,13.4707,13.009165,17.623604,14.640493,16.915215,16.79223,21.933855,20.42775,17.428642,18.439571,18.32484,21.378387
2018-06-01 03:00:00,12.315667,14.12188,13.623825,18.311752,15.334774,17.632835,17.247478,22.483355,21.029179,18.000269,18.895622,18.982613
2018-06-01 03:30:00,8.606315,13.004526,14.732964,14.417608,18.920752,16.083712,18.073288,17.859386,23.106955,21.556326,18.46722,19.540194
2018-06-01 04:00:00,8.03947,9.385717,13.634951,15.470068,15.132793,19.6553,16.55742,18.647127,18.504818,23.620756,21.975672,19.124063
2018-06-01 04:30:00,7.2942076,8.82469,10.140781,14.408871,16.133661,15.914246,20.04563,17.161947,19.2386,19.079086,24.025208,22.633543
2018-06-01 05:00:00,6.583169,8.100908,9.611645,10.954376,15.107582,16.855244,16.390112,20.600588,17.78156,19.78059,19.542122,24.709393
2018-06-01 05:30:00,5.124135,7.406797,8.906023,10.411745,11.701494,15.855371,17.313248,17.009523,21.196014,18.350887,20.216671,20.227356
2018-06-01 06:00:00,5.0548296,5.97986,8.235426,9.721214,11.1496525,12.396387,16.334349,17.897799,17.653185,21.718784,18.81417,20.859272
2018-06-01 06:30:00,4.7542067,5.9090095,6.860559,9.056492,10.474236,11.803659,12.954856,16.941132,18.495049,18.23515,22.133774,19.474625
2018-06-01 07:00:00,4.557868,5.6170115,6.796478,7.6869664,9.817041,11.128906,12.3772,13.582034,17.56091,19.046999,18.707748,22.78741
2018-06-01 07:30:00,5.3204184,5.424722,6.5121684,7.616139,8.457586,10.458458,11.716138,12.99442,14.178608,18.132475,19.494474,19.388083
2018-06-01 08:00:00,9.598271,6.170028,6.3271956,7.3373494,8.381292,9.061317,11.060155,12.341577,13.563742,14.771716,18.598589,20.138727
2018-06-01 08:30:00,13.967061,10.349113,7.046142,7.1523595,8.108145,8.972078,9.693095,11.688081,12.914297,14.149314,15.271003,19.258219
2018-06-01 09:00:00,12.690549,14.616968,11.078541,7.8677564,7.9238677,8.69804,9.606456,10.32198,12.254082,13.507222,14.649009,15.897701
2018-06-01 09:30:00,14.517686,13.376579,15.186361,11.870432,8.633318,8.507523,9.3376665,10.230781,10.866516,12.849612,14.01578,15.249489
2018-06-01 10:00:00,23.174301,15.14365,13.981253,15.944033,12.594133,9.23531,9.1511965,9.964992,10.766006,11.4636965,13.364423,14.61685
2018-06-01 10:30:00,15.284116,23.5615,15.717485,14.766342,16.620838,13.282545,9.863763,9.778184,10.500849,11.359466,11.989753,13.957275
2018-06-01 11:00:00,21.783134,15.913294,23.881283,16.443523,15.472267,17.392393,13.822074,10.489659,10.310274,11.096883,11.884782,12.559246
2018-06-01 11:30:00,18.001848,22.200205,16.410393,24.429897,17.093307,16.2506,17.834026,14.4355345,11.031996,10.906085,11.625392,12.445606
2018-06-01 12:00:00,16.458673,18.549898,22.590439,17.18409,24.892057,17.829742,16.71883,18.430693,15.023455,11.626632,11.436023,12.186043
2018-06-01 12:30:00,18.162086,17.03536,18.97707,23.145452,17.86976,25.591997,18.263887,17.332672,19.061047,15.604272,12.150533,11.99276
2018-06-01 13:00:00,20.523354,18.6911,17.543703,19.683142,23.621778,18.715643,25.83325,18.842304,17.972706,19.621868,16.092108,12.718416
2018-06-01 13:30:00,15.999827,20.991896,19.151657,18.24426,20.300575,24.287067,19.1225,26.298302,19.446173,18.549597,20.075037,16.713915
