,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-06-01 00:00:00,12.4121065,18.79553,16.850204,13.4748535,13.424288,13.403391,16.461876,17.540953,16.068924,20.090338,19.870708,21.586624
2018-06-01 00:30:00,12.578647,13.020401,19.317932,17.430744,13.245323,13.926018,13.934649,16.779186,18.483624,17.149786,19.647848,20.148937
2018-06-01 01:00:00,11.128886,13.180628,13.519457,19.678274,16.933224,13.753651,14.328109,14.354348,17.832132,18.959122,16.631926,20.045116
2018-06-01 01:30:00,15.442794,11.835091,13.679455,14.375467,19.299782,17.530073,14.125272,14.7901945,15.462599,18.46609,18.562798,16.823437
2018-06-01 02:00:00,11.61016,16.031166,12.426388,14.726284,14.557774,19.544142,17.63896,14.588689,15.794985,16.356504,18.126583,19.2543
2018-06-01 02:30:00,12.273019,12.283985,16.612865,13.565643,14.509333,14.4389515,19.739706,17.967577,15.63928,16.476198,16.012894,18.66181
2018-06-01 03:00:00,11.322196,12.895456,12.874554,17.40234,13.320238,14.915949,15.145991,19.836237,18.88481,16.278765,16.202915,16.334703
2018-06-01 03:30:00,6.7666903,11.9902115,13.4494095,13.746153,16.805708,13.865171,15.439746,15.359178,20.769434,19.11238,16.008347,16.695408
2018-06-01 04:00:00,5.9340563,7.5743575,12.575916,14.336782,13.728815,17.573193,14.354411,15.814065,16.483994,21.095655,18.99588,16.55234
2018-06-01 04:30:00,5.7107153,6.7581325,8.230259,13.4956455,14.121752,13.924156,17.71157,14.8026705,16.786089,17.616266,21.045012,19.822166
2018-06-01 05:00:00,5.193801,6.5583644,7.4473834,9.452822,13.340229,14.5450325,14.445096,18.073467,15.869177,17.638462,17.341454,21.705166
2018-06-01 05:30:00,3.0527296,6.0420184,7.2979293,8.6344795,9.53487,13.729954,14.944003,14.788604,19.01287,16.689392,17.290699,17.378109
2018-06-01 06:00:00,3.0339003,3.9261186,6.7955337,8.320478,8.593855,9.910528,14.177613,15.358928,15.915125,19.28878,16.259686,17.61639
