,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-06-01 00:00:00,14.317269,22.420584,19.424742,14.140499,14.064482,15.87966,20.859243,19.597885,16.394264,21.472038,21.082085,22.605867
2018-06-01 00:30:00,10.615905,15.655104,22.418747,19.96897,14.407619,14.409437,16.515875,21.232494,20.308418,16.633587,20.938112,22.560137
2018-06-01 01:00:00,10.092999,11.803497,15.364836,21.618114,20.457033,15.127579,15.111329,16.928194,21.915792,20.08164,15.994918,22.379927
2018-06-01 01:30:00,18.203596,11.187063,12.0534,17.940294,21.498783,21.32641,15.641814,15.738559,17.578608,21.464056,19.29945,17.297419
2018-06-01 02:00:00,13.22792,19.415428,11.83246,13.996122,18.411255,22.77783,21.793077,16.310162,16.511412,17.659058,20.588905,20.900082
2018-06-01 02:30:00,12.036622,14.676588,19.499702,13.019514,14.018902,18.717363,23.069,22.01802,16.892761,16.633688,16.962927,22.367762
2018-06-01 03:00:00,10.496324,13.452848,14.887602,20.37707,13.015055,14.079052,19.417692,23.261427,22.466856,16.722773,15.947379,18.302252
2018-06-01 03:30:00,7.453059,11.7817,13.605064,16.763517,20.908773,13.238588,14.856231,19.734468,22.91378,21.902098,15.919999,17.278297
2018-06-01 04:00:00,5.3293543,8.571119,12.249159,15.6521015,16.893013,21.709373,13.989617,15.521607,20.621181,22.588966,20.929565,17.395227
2018-06-01 04:30:00,4.8597918,6.354734,8.898153,13.832434,15.846489,17.494738,22.114225,14.915236,16.388325,20.712057,22.022804,22.92982
2018-06-01 05:00:00,5.2628164,5.994804,6.7231956,10.227303,13.957678,16.357756,18.121347,22.408125,15.808466,16.624569,20.184711,23.125227
2018-06-01 05:30:00,3.24372,6.639137,6.654432,7.4752564,10.372435,14.402729,17.001827,18.364563,22.946892,15.8537,16.0247,21.472181
2018-06-01 06:00:00,2.4853697,4.502252,7.0640426,7.1523576,7.519653,10.556627,15.04882,17.37599,19.041088,22.348373,15.135362,17.260916
2018-06-01 06:30:00,2.3511038,3.7064989,4.7357936,8.074146,7.6159434,7.5881214,11.50958,15.747617,18.057512,19.050018,21.365673,16.543337
2018-06-01 07:00:00,2.6333761,3.6051652,3.9835622,5.5497403,8.740366,8.266417,8.8115225,12.722817,16.47734,18.137024,18.311409,23.362686
2018-06-01 07:30:00,3.7159185,4.0034842,4.037185,4.573359,6.031959,9.698454,9.192002,10.377444,13.764126,16.488508,17.452192,19.775537
2018-06-01 08:00:00,9.662705,5.135549,4.2916255,4.531409,5.0522075,6.630514,10.485459,10.887624,11.675726,14.083753,15.762338,18.802006
2018-06-01 08:30:00,18.110943,11.2324505,5.4636436,5.0667787,5.2363105,5.640543,7.7736506,11.913852,11.882721,12.210317,13.52497,17.148577
2018-06-01 09:00:00,14.83331,19.300018,12.004116,6.391789,5.830976,6.0980186,6.8555694,9.484868,12.690891,11.977618,11.730037,14.663025
2018-06-01 09:30:00,13.376735,16.283045,19.650623,12.860966,7.2379622,6.7982616,7.146812,8.709018,10.604364,12.734408,11.35745,12.760689
2018-06-01 10:00:00,24.24565,14.750574,16.24165,18.867126,13.681679,8.348787,7.8027263,9.073134,9.899113,11.050328,12.105769,12.5448265
2018-06-01 10:30:00,17.038244,24.670639,14.616228,17.581001,19.259745,15.414017,9.207353,9.57376,10.1031475,10.384128,10.586354,13.25839
2018-06-01 11:00:00,19.004128,18.332062,24.746555,17.002632,18.003708,20.931593,15.762975,10.81552,10.519201,10.348525,9.937533,11.5144615
2018-06-01 11:30:00,17.750244,20.105406,18.105427,23.865635,17.375463,18.864292,21.320053,16.566254,11.607834,10.777688,9.830417,10.841133
2018-06-01 12:00:00,16.11339,18.910164,19.774054,19.321926,23.590239,17.759315,19.563524,21.565752,16.814213,11.714356,10.26587,10.817017
2018-06-01 12:30:00,16.77508,17.413612,18.827995,20.361052,19.61052,24.847689,18.443413,19.70423,21.426401,16.289515,11.139186,11.223871
2018-06-01 13:00:00,22.54109,17.992403,17.160746,20.584053,20.429262,19.968645,24.89634,18.783373,20.23842,20.765009,15.315604,12.183014
2018-06-01 13:30:00,16.906414,23.134995,18.0153,19.38633,20.821146,20.814962,20.746605,25.276718,19.593363,20.146442,19.699774,16.935793
2018-06-01 14:00:00,10.46457,18.190393,23.052408,19.877678,19.708038,20.88713,21.616398,20.760862,25.03212,19.688587,19.45424,21.597088
2018-06-01 14:30:00,9.131701,11.622246,17.93988,22.772053,20.089323,19.868904,21.508444,21.523685,21.395277,24.284924,19.108614,20.986637
2018-06-01 15:00:00,6.432784,10.156595,11.844643,19.493467,22.722666,20.258177,20.599497,21.665474,21.859926,21.32785,23.750542,20.409021
2018-06-01 15:30:00,2.378829,7.516149,10.6512165,13.822857,19.790623,23.703545,20.867012,20.72707,22.505663,21.874723,20.727776,24.734348
2018-06-01 16:00:00,1.7512236,3.4165475,8.068489,11.6477585,13.848034,20.050474,23.844404,21.049109,21.59949,22.314589,21.425222,22.303291
2018-06-01 16:30:00,2.3997183,2.8091905,3.7024496,8.980568,11.326595,13.840916,20.813982,24.162205,21.875444,21.634882,21.653605,22.736124
2018-06-01 17:00:00,2.9678526,3.6247728,3.308502,4.189856,9.183567,11.188898,14.645133,20.862192,24.085615,21.715899,21.118319,23.301443
2018-06-01 17:30:00,2.768878,4.390615,4.323051,3.452185,4.3648124,9.371574,12.2629,15.343125,21.586555,23.652826,21.045597,22.518145
2018-06-01 18:00:00,4.3787374,4.1656775,4.680557,4.587645,3.9039896,4.4201527,10.3421335,13.27782,16.239773,21.549881,23.038778,22.648249
2018-06-01 18:30:00,1.8604803,5.8110385,4.40702,5.5504556,5.4896007,4.3801174,5.8420367,11.757293,14.481611,16.511238,20.981493,24.288935
2018-06-01 19:00:00,1.7077093,3.1331155,6.1628947,5.2660737,6.420488,6.5851994,5.6551127,7.7806554,12.832914,14.906306,15.93834,22.504354
2018-06-01 19:30:00,1.3588476,2.938257,3.3145864,7.158379,6.0241485,7.5328255,7.4506927,7.78266,9.238375,13.071982,14.307103,17.141214
2018-06-01 20:00:00,2.237792,2.5592172,3.1467054,4.107241,8.045298,6.994789,8.448617,9.497075,9.084194,9.953843,12.533065,15.568764
2018-06-01 20:30:00,1.9099989,3.647802,3.0466993,3.8033545,4.7744956,9.224224,7.9977813,10.150756,10.379639,9.531564,9.613822,13.6726055
2018-06-01 21:00:00,1.8898306,3.2641313,3.8857877,3.310816,4.3903823,5.481819,10.012927,9.716464,10.989391,10.330665,9.083434,10.432072
2018-06-01 21:30:00,2.517066,3.2398965,3.4931333,4.696009,4.056951,5.0157413,6.6424003,11.531787,10.650707,11.154502,9.716306,10.014812
2018-06-01 22:00:00,4.181926,3.9117563,3.4713056,4.203192,5.525354,4.9172974,6.2429214,8.549626,12.246672,10.928521,10.611478,10.834511
2018-06-01 22:30:00,6.318736,5.622392,4.186008,4.1722245,4.945926,6.5627213,6.0273585,8.19613,9.667419,12.276561,10.422015,11.601408
2018-06-01 23:00:00,9.353728,7.8105693,5.9532104,4.98593,4.9112906,5.854618,7.570577,8.151473,9.387478,10.118785,11.66771,11.36964
2018-06-01 23:30:00,9.294045,10.927965,8.138271,6.946196,5.7949786,5.8139343,6.955423,9.362647,9.248325,9.894519,9.695853,12.759293
2018-06-02 00:00:00,9.684348,10.820118,11.313366,9.288994,7.860231,6.8163357,6.918838,8.817634,10.2907715,9.512834,9.48331,10.539001
2018-06-02 00:30:00,18.337524,11.137966,11.030445,12.5914,10.0817585,9.062731,7.8041873,8.786912,9.847227,10.561032,9.015838,10.32037
2018-06-02 01:00:00,26.698486,19.572407,11.370823,12.615681,13.151447,11.33083,9.86295,9.576188,9.8216,10.2120695,10.06285,9.969877
2018-06-02 01:30:00,34.904873,27.57387,19.747023,13.0860195,13.027908,14.456188,12.04939,11.40067,10.4958,10.189427,9.746476,10.987751
2018-06-02 02:00:00,39.24913,36.85957,27.1862,19.948273,13.438112,14.000172,15.055476,13.23733,12.116108,10.738498,9.724898,10.635828
2018-06-02 02:30:00,31.703331,41.409107,35.213226,25.28676,20.490938,14.228914,14.698907,15.747565,13.848101,12.158423,10.22539,10.613407
2018-06-02 03:00:00,15.114715,34.96972,42.78462,32.724846,24.59976,21.564167,14.902022,15.362882,16.224442,13.83566,11.558248,11.1777115
2018-06-02 03:30:00,20.148575,15.421642,34.9095,43.730175,32.882507,26.856781,21.961727,15.5631895,15.970064,16.118296,13.155932,12.63238
2018-06-02 04:00:00,28.421528,20.965582,15.273947,36.10352,45.947296,34.19717,27.226318,22.227522,16.197662,16.056164,15.309098,14.352699
2018-06-02 04:30:00,36.36404,30.925425,21.906279,16.36258,41.341625,46.443264,33.398083,29.234621,22.576084,16.2736,15.340911,16.710022
2018-06-02 05:00:00,43.118484,37.41354,32.105255,23.593838,15.136179,43.025867,45.74329,33.841946,28.995518,21.875376,15.569959,16.62853
2018-06-02 05:30:00,30.679716,44.143867,36.427723,30.322557,23.102606,14.40851,42.433777,46.466454,33.416115,28.20325,20.789427,16.862902
