,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-03-01 00:00:00,120.14733,109.99628,113.76896,107.29101,99.4219,95.04744,89.1032,86.1642,69.65672,75.991356,62.55506,67.280365
2018-03-01 00:30:00,107.62514,114.65714,105.826065,108.30387,103.41241,95.5429,90.96048,85.363106,82.11178,66.92896,72.494064,58.69989
2018-03-01 01:00:00,75.936424,103.03535,110.121864,100.67637,104.42877,99.45415,91.42625,87.39498,81.47375,78.62109,63.90429,68.12209
2018-03-01 01:30:00,62.61384,73.55508,99.23718,104.84284,97.40903,100.43006,95.06866,87.81809,83.11777,78.01339,75.01924,59.90545
2018-03-01 02:00:00,62.089336,61.17243,71.567764,94.408195,101.1895,93.84926,95.990135,91.623314,83.54277,79.4233,74.513435,70.80295
2018-03-01 02:30:00,58.68513,60.678658,59.607483,67.990364,91.57296,97.35393,89.77451,92.540085,86.67388,79.78457,75.81614,70.54532
2018-03-01 03:00:00,53.173058,57.483383,58.921917,56.857548,67.08329,88.33684,93.14167,86.834724,87.46729,82.643616,76.18162,71.36074
2018-03-01 03:30:00,53.483204,52.17688,55.59757,56.41124,56.455616,65.340294,84.61342,89.83045,82.027336,83.373924,78.69267,71.70664
2018-03-01 04:00:00,37.68293,52.3703,50.432686,53.54326,55.816296,55.246372,62.96219,82.00598,84.96452,78.28748,79.34774,73.4102
2018-03-01 04:30:00,44.777176,37.60895,50.581787,48.899868,52.71207,54.559383,53.63572,61.939648,77.48754,81.07496,74.55106,73.91603
2018-03-01 05:00:00,37.58128,44.18447,36.799095,49.155994,47.880505,51.586143,53.12191,52.921234,58.55181,74.1167,77.18119,69.37897
2018-03-01 05:30:00,33.16111,37.41974,42.885468,36.125404,47.93024,46.92724,50.350666,52.192043,50.393368,56.420296,70.59858,71.94971
2018-03-01 06:00:00,26.27536,33.257397,36.597527,42.01467,35.79011,46.87768,46.03051,49.28339,49.932213,48.92476,54.015602,65.74359
2018-03-01 06:30:00,29.370775,26.786745,32.70754,36.10107,41.1913,35.585133,46.05053,44.869156,47.534927,48.647064,47.05608,50.27856
