,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-03-01 00:00:00,114.65188,105.846664,107.37232,102.44825,98.498245,92.59573,90.31281,85.37195,70.21863,74.53485,64.46677,70.768074
2018-03-01 00:30:00,105.76437,109.68604,100.67112,102.405136,98.422745,92.68395,89.46111,86.603905,82.11357,68.78992,72.61469,61.79302
2018-03-01 01:00:00,77.54707,100.99213,104.251205,96.50866,98.378296,92.63312,89.68675,85.67857,83.037735,78.56366,66.61706,69.82275
2018-03-01 01:30:00,67.14772,74.0511,96.109726,99.246895,92.27344,92.58789,89.64547,85.89054,82.00437,80.71627,76.23667,64.112595
2018-03-01 02:00:00,69.56571,64.732,71.03241,92.25424,95.45275,87.68977,89.60524,85.83339,82.16962,80.06663,77.642876,73.52579
2018-03-01 02:30:00,69.687584,67.16081,62.509914,69.58508,88.14734,89.70149,84.55763,85.7975,82.09954,80.19887,76.99585,75.05964
2018-03-01 03:00:00,59.26174,67.06628,64.71457,60.095642,65.258354,84.10782,86.81998,80.82148,82.06408,80.15239,77.16189,74.22788
2018-03-01 03:30:00,56.952187,56.879436,64.560715,61.256466,57.32537,64.58082,80.90203,83.33252,77.32559,80.11425,77.12184,74.32774
2018-03-01 04:00:00,38.727592,55.0608,55.140972,61.315826,59.430454,55.637886,61.557068,77.38257,79.843475,75.891594,77.090706,74.26673
2018-03-01 04:30:00,49.407875,37.063507,53.43648,53.06853,59.435688,56.71101,53.541565,58.71435,74.16962,77.56022,73.118286,74.22987
2018-03-01 05:00:00,38.882557,48.502365,36.89611,50.859707,51.00307,57.02471,54.82627,52.029205,56.55285,72.725235,74.93162,70.27407
2018-03-01 05:30:00,32.945915,37.48184,47.276302,36.29002,49.416557,49.952118,54.9963,53.558495,50.48151,56.358173,70.24617,72.06078
2018-03-01 06:00:00,24.65699,32.269615,37.05475,44.07573,34.780483,47.760384,48.087353,53.557423,52.17486,48.945076,54.965336,67.49741
2018-03-01 06:30:00,30.642979,24.326996,32.21303,36.089428,43.954895,35.218098,46.365158,46.82759,52.282898,49.753212,48.88731,52.514297
2018-03-01 07:00:00,44.76138,30.703154,24.795095,31.193336,35.12213,41.54477,34.217327,45.51803,45.869587,50.08931,49.96772,46.607544
2018-03-01 07:30:00,48.060497,44.312218,30.534771,24.531103,30.840418,35.154602,41.153023,33.831833,44.639553,44.615482,50.03347,47.980953
2018-03-01 08:00:00,48.865387,46.921043,42.91366,28.972,24.495178,30.492699,34.49864,41.05336,33.55084,42.997852,44.579746,48.33704
2018-03-01 08:30:00,33.886986,47.636868,45.33574,40.241653,29.581388,24.68226,30.386332,34.076756,40.45772,33.386314,43.383354,43.202953
2018-03-01 09:00:00,25.316809,32.763554,46.10812,43.348568,40.559082,28.43241,24.937021,30.645603,33.93247,38.458454,33.829006,42.04629
2018-03-01 09:30:00,48.95175,24.990957,32.588303,44.12995,42.717407,38.47405,28.98298,25.565449,30.641966,33.69266,39.64317,33.19992
2018-03-01 10:00:00,65.40362,48.68114,25.471323,32.305157,43.29354,41.44982,38.673607,29.534977,25.892164,30.346718,34.068157,38.640327
2018-03-01 10:30:00,30.01634,63.59131,47.08322,25.106941,31.26645,42.031803,41.00781,38.285866,29.716179,26.167,31.230997,33.8267
2018-03-01 11:00:00,33.464054,28.1912,60.74354,43.296486,25.007904,31.741508,41.405064,40.11663,38.16024,29.168472,27.135971,31.016165
2018-03-01 11:30:00,54.561867,33.40224,28.385687,57.114304,44.080326,25.083166,31.266836,40.61208,39.887302,36.935535,30.476934,27.330929
2018-03-01 12:00:00,36.141346,53.687035,33.238228,29.832344,56.4417,40.860054,25.27918,31.045683,40.257515,39.15668,37.64212,30.494934
2018-03-01 12:30:00,25.598629,34.58696,51.757275,31.42687,27.632353,53.492012,41.17648,25.988157,31.078932,39.444088,39.11508,37.571636
2018-03-01 13:00:00,41.943542,25.244707,34.240555,47.91944,31.699932,29.946648,52.564884,41.042114,26.233232,31.391039,39.472317,39.06691
2018-03-01 13:30:00,21.845516,41.807465,25.666096,34.168972,48.219112,30.32435,28.975159,51.041645,40.686794,26.388636,31.615993,39.15962
2018-03-01 14:00:00,16.195847,21.031649,40.769176,25.461025,32.788425,45.11879,30.565138,28.210173,50.35901,38.516766,27.438402,31.5866
2018-03-01 14:30:00,16.010262,16.659513,21.664667,37.822308,25.19549,33.673702,44.957798,31.293766,28.483932,48.300167,39.809826,27.468918
2018-03-01 15:00:00,11.507276,16.702656,17.57275,22.60034,38.51356,25.38052,32.945133,44.386497,31.171635,30.028591,47.993164,39.286938
2018-03-01 15:30:00,11.804675,12.2753935,17.452553,17.771765,21.884272,36.119545,25.522402,32.253704,43.874344,30.290369,29.4313,47.57402
2018-03-01 16:00:00,7.246381,12.902911,13.273573,17.456888,18.390213,23.337685,36.49299,26.159777,32.32602,41.61629,31.741053,29.742146
2018-03-01 16:30:00,11.340247,8.375236,13.744329,14.035902,18.459854,18.463947,23.359869,36.635216,26.417833,32.840046,42.488018,31.210785
2018-03-01 17:00:00,13.924769,12.727471,9.510155,14.222342,14.955419,18.29419,19.276943,23.530996,36.4425,26.70954,32.677425,41.8986
2018-03-01 17:30:00,11.490241,15.061567,13.48037,10.746342,15.46617,15.310626,19.345339,20.62804,24.12013,34.902824,27.59328,32.829296
2018-03-01 18:00:00,14.537376,12.529296,15.594288,13.818817,11.902906,15.376532,16.450895,20.606823,21.323946,25.312855,36.222237,27.64629
2018-03-01 18:30:00,16.785643,15.691654,13.282005,15.909169,15.346749,12.360507,16.716124,17.799284,21.42919,21.880991,25.537338,35.8454
2018-03-01 19:00:00,16.839521,17.722998,16.209259,14.1023655,17.177334,14.957488,13.732057,18.147123,18.909237,21.944563,23.254784,26.223335
2018-03-01 19:30:00,15.813776,17.658869,18.089458,16.38967,15.165437,16.944326,16.493074,15.304849,19.29898,19.930065,23.404224,23.695198
2018-03-01 20:00:00,16.780859,16.635923,18.060314,18.181501,17.671793,15.367268,18.355566,17.984812,16.707392,20.174702,21.2072,24.028376
2018-03-01 20:30:00,19.611164,17.635067,17.147392,18.276188,19.269556,17.302834,16.696968,19.49012,19.233099,18.057451,21.6255,22.142872
2018-03-01 21:00:00,18.050293,20.375193,18.082537,17.472866,19.208754,18.978056,18.693,17.926413,20.660461,20.049242,19.359795,22.544556
2018-03-01 21:30:00,17.674913,18.67509,20.605457,18.182606,18.39934,19.07962,20.245567,19.895786,19.177608,21.573235,21.648462,20.547003
2018-03-01 22:00:00,18.756647,18.395592,19.058079,20.391062,19.19332,18.355707,20.257631,21.202831,20.996073,20.39555,22.827244,22.610115
2018-03-01 22:30:00,15.323283,19.470417,18.821007,19.251251,21.362669,18.955843,19.52171,21.18503,22.214176,21.800434,21.49723,23.878952
2018-03-01 23:00:00,43.083027,16.00254,19.811432,18.919493,20.006632,20.928085,20.142023,20.54689,22.171806,23.005753,23.11869,22.650623
2018-03-01 23:30:00,50.371502,43.60747,16.625036,19.735643,19.787615,19.984272,22.06283,21.166739,21.547518,23.03858,24.126385,24.069937
2018-03-02 00:00:00,44.63345,49.292774,41.959995,17.105843,20.642668,19.62649,21.022812,22.901037,22.119284,22.455093,24.057066,25.081753
2018-03-02 00:30:00,49.74072,43.43842,47.25238,38.642544,17.892773,20.353912,20.712772,21.856672,23.748299,22.866226,23.5146,25.010706
2018-03-02 01:00:00,37.684067,48.69122,42.1265,45.20054,39.94943,18.06949,21.442278,21.669249,22.754795,24.31935,24.022509,24.456406
2018-03-02 01:30:00,25.366497,36.41682,47.119553,40.951694,44.647846,36.739838,19.140957,22.343634,22.55899,23.592974,25.41909,24.888773
2018-03-02 02:00:00,14.908745,24.835669,35.9767,44.715336,39.872326,43.209694,37.77309,20.167974,23.193226,23.301346,24.522991,26.219332
2018-03-02 02:30:00,14.951548,15.052538,25.362524,35.269794,44.12883,39.354786,42.90941,37.637196,21.156185,23.827452,24.373465,25.41565
2018-03-02 03:00:00,10.31721,15.682913,16.22274,25.25473,34.230152,42.384693,38.769875,41.63853,37.735287,22.128506,24.926647,25.200315
2018-03-02 03:30:00,18.12656,11.132541,16.602648,16.77104,24.886623,34.387096,41.86817,37.918407,41.49295,36.201546,23.142817,25.717213
2018-03-02 04:00:00,15.594737,19.22938,12.224981,16.573105,17.128794,25.2805,33.789852,41.263065,37.75196,40.908154,37.374146,24.07545
2018-03-02 04:30:00,27.99542,16.307184,19.563602,13.082027,17.646778,17.707895,25.330763,33.395054,40.824963,37.62185,40.45353,37.47909
2018-03-02 05:00:00,19.095747,28.770588,16.822739,19.066914,14.059744,17.433836,18.344463,25.91318,33.30522,39.66162,37.3303,40.77434
2018-03-02 05:30:00,14.111466,19.255266,28.296434,17.320055,20.469265,14.462628,18.500328,19.655457,26.163586,33.307938,39.961678,37.32767
2018-03-02 06:00:00,14.285583,14.823909,19.601665,26.903048,18.139044,19.61387,15.635939,19.952726,20.342022,26.484594,33.536102,39.46712
2018-03-02 06:30:00,18.37456,15.208688,15.608254,20.270874,28.039495,18.32091,20.978796,17.07431,20.758064,21.06456,27.36294,33.38191
2018-03-02 07:00:00,27.448978,19.242983,15.921836,16.189232,20.45272,26.556576,19.450619,22.109678,18.230795,21.161219,22.355793,27.41906
2018-03-02 07:30:00,13.252229,28.03339,19.590828,16.16699,16.952997,21.097717,27.70643,20.345211,23.016552,19.284508,22.83057,22.829199
2018-03-02 08:00:00,6.982444,13.495257,27.63474,19.343184,17.282034,17.158234,21.828934,28.189554,21.39243,23.316116,20.62742,23.355785
2018-03-02 08:30:00,9.08542,8.065219,14.324915,26.519964,20.471708,17.132347,18.2018,22.299221,28.754494,22.441015,24.869226,21.584597
2018-03-02 09:00:00,8.333669,10.438569,9.353481,15.732851,27.452955,19.965359,18.343727,19.436646,23.160776,28.58526,23.358051,25.55714
2018-03-02 09:30:00,14.871731,9.590823,11.4537525,10.565714,15.885485,26.34256,21.178864,19.63512,20.407167,24.387245,29.74332,24.407803
2018-03-02 10:00:00,9.640222,16.184816,10.598589,12.020077,11.649008,17.046463,27.3728,22.161253,20.628498,21.376377,24.788103,30.275408
2018-03-02 10:30:00,9.090611,10.636928,16.621698,11.526581,13.546116,12.079125,17.849316,27.752634,23.04959,21.375435,22.489748,25.822329
2018-03-02 11:00:00,6.400586,10.401814,11.5160675,16.58551,12.868494,13.367564,13.348132,18.663027,28.337688,23.544592,22.746708,23.327768
2018-03-02 11:30:00,6.8788137,7.726825,11.330973,12.69828,18.072691,13.024829,14.857766,15.144414,19.748413,28.36874,24.840704,23.560968
2018-03-02 12:00:00,5.2647047,8.359403,8.848354,12.162474,13.672827,17.439886,14.495915,16.560259,16.430426,21.37173,29.349842,25.606916
2018-03-02 12:30:00,7.733781,6.737369,9.413683,10.067524,13.506262,14.185315,18.959728,16.029871,17.837301,17.671598,21.815369,29.968937
2018-03-02 13:00:00,12.93702,9.2970915,7.886519,10.390972,11.4083805,13.523494,15.500419,20.162073,17.423925,18.701744,19.092382,23.00643
2018-03-02 13:30:00,12.907542,14.322831,10.232311,9.17227,11.914179,11.719319,14.992803,16.747412,21.300081,18.587404,20.424232,20.086983
2018-03-02 14:00:00,7.7542715,14.010522,14.849603,11.045567,10.640455,11.939166,13.209481,16.554169,18.096876,21.964565,20.030727,21.354652
