,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-03-01 00:00:00,108.67538,102.504845,105.77068,101.5099,99.47523,94.239555,92.51188,84.75502,70.144806,73.62465,63.25054,72.30056
2018-03-01 00:30:00,99.9801,105.427444,99.12057,100.90898,97.05984,94.97088,89.94827,88.47168,81.74995,67.96716,70.526566,61.088127
2018-03-01 01:00:00,68.14028,97.19479,101.725006,94.67924,96.47869,92.70559,90.952,86.08013,85.06107,78.78359,65.22516,67.91413
2018-03-01 01:30:00,57.97026,67.089134,94.11869,97.18468,90.59399,92.16668,88.72757,87.12119,82.88722,81.89391,75.41513,62.7826
2018-03-01 02:00:00,59.73852,57.741558,66.141815,90.04871,92.91628,86.64384,88.19515,84.94792,83.66868,79.95537,78.49628,72.390594
2018-03-01 02:30:00,61.458714,59.60922,57.039436,63.947273,86.20072,88.71538,82.94392,84.427284,81.72551,80.57865,76.58599,75.50481
2018-03-01 03:00:00,54.213394,61.19811,58.564552,55.681324,61.473892,82.46595,85.042725,79.57349,81.26586,78.76771,77.2084,73.570206
2018-03-01 03:30:00,51.98712,54.2852,60.250633,57.244366,53.48146,59.330788,79.03639,81.47137,76.70741,78.3426,75.38075,74.38996
2018-03-01 04:00:00,33.436672,52.267105,54.042152,58.644344,54.955307,51.440765,57.00868,75.89637,78.49109,74.096596,74.959946,72.489426
2018-03-01 04:30:00,43.452606,34.68111,52.06499,52.54075,56.525276,52.737823,50.05964,55.502438,73.302864,75.705154,70.968475,72.05627
2018-03-01 05:00:00,33.371887,44.38463,35.70099,50.65401,51.02898,54.505524,51.371914,48.940437,54.18708,70.8972,72.46215,68.29392
2018-03-01 05:30:00,27.503077,34.80118,44.46995,35.459705,49.27441,49.47125,52.717953,49.897697,48.046246,53.078903,67.94825,69.70106
2018-03-01 06:00:00,19.340069,29.237017,35.70252,43.74049,34.823284,47.613476,47.976994,51.07351,49.188927,47.128872,51.13555,65.41075
2018-03-01 06:30:00,25.08171,21.550539,30.553724,35.4112,42.652985,34.23181,46.577553,46.881382,50.483814,48.153343,45.47034,49.553253
2018-03-01 07:00:00,39.5995,27.129562,23.306156,30.600466,34.955498,41.28227,33.821564,45.642086,46.439667,49.524826,46.407784,44.338367
2018-03-01 07:30:00,44.89904,41.023075,28.367535,23.804358,30.440552,34.29917,40.786285,33.852757,45.185005,45.823315,47.837067,45.00941
2018-03-01 08:00:00,46.130352,45.92354,41.335175,28.608185,24.019548,30.1879,34.043713,40.107132,34.12853,44.552273,44.632008,46.220592
2018-03-01 08:30:00,28.929106,46.993015,46.218563,40.467773,28.571327,23.987957,30.07739,33.92476,40.130596,34.25494,43.54021,43.529793
2018-03-01 09:00:00,19.810627,30.55597,47.344276,44.72298,40.134274,28.206367,24.664433,30.237011,34.35056,39.744602,33.773174,42.772804
2018-03-01 09:30:00,43.123978,21.946634,32.007866,45.599674,44.471664,38.927013,28.599695,25.34494,30.933483,34.449177,38.95821,33.659565
2018-03-01 10:00:00,64.07004,44.36203,23.744705,31.498568,45.363976,43.25571,38.8635,28.794647,26.198324,31.299759,34.128822,38.41365
2018-03-01 10:30:00,27.812551,64.170784,44.278545,24.168186,31.716227,44.009224,42.66258,38.193478,29.617607,26.767302,31.183043,33.9554
2018-03-01 11:00:00,27.383986,29.383045,63.024086,43.389233,24.387417,31.257986,43.549965,41.772762,38.588226,29.951578,27.042648,31.18221
2018-03-01 11:30:00,49.153713,29.14286,31.182875,60.594788,42.63149,24.368998,31.49611,42.80067,42.01247,38.346924,29.996618,27.711224
2018-03-01 12:00:00,31.91109,50.055298,30.490341,30.62206,59.35035,41.003212,24.974754,31.799002,42.77624,41.70924,38.210083,30.207275
2018-03-01 12:30:00,20.050505,33.41251,49.585224,30.22462,31.085442,57.10272,41.06477,25.676096,32.22083,42.38967,41.60573,37.876835
2018-03-01 13:00:00,35.804058,22.152159,34.606876,48.298153,30.287708,31.123928,55.689262,40.280502,26.4764,32.498974,42.373905,41.05471
