,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-09-01 00:00:00,53.02777,44.554104,71.69127,61.91395,46.55062,51.684822,44.81702,47.979176,48.510513,47.106777,61.854454,72.28579
2018-09-01 00:30:00,60.595768,55.045696,46.195095,72.80467,62.293064,47.82971,52.506393,45.739494,49.140076,49.55457,47.657578,62.118347
2018-09-01 01:00:00,50.10045,62.16648,56.05022,48.473667,72.94582,63.562176,48.92224,53.396816,47.042492,49.81814,50.18922,48.39707
2018-09-01 01:30:00,62.926548,52.280064,62.722485,57.676296,50.249893,74.11674,63.911297,49.81169,54.450348,47.733425,50.582005,50.948025
2018-09-01 02:00:00,52.41695,64.6915,53.52216,64.05011,58.832157,51.36474,74.23621,64.64765,51.025078,54.80677,48.60821,51.318157
2018-09-01 02:30:00,61.658848,54.516426,65.109146,55.353752,64.79487,59.895985,52.901455,74.7974,65.33537,51.553905,55.829636,49.331593
2018-09-01 03:00:00,62.065323,63.26763,55.681,66.50063,56.70961,65.774796,60.83106,53.609257,75.3742,65.22123,52.49757,56.294872
2018-09-01 03:30:00,71.99191,63.861507,63.850918,57.431236,67.22589,57.719772,66.39742,61.50585,55.161022,74.93324,66.08474,53.09672
2018-09-01 04:00:00,87.61382,73.280525,64.46266,65.20153,58.712803,68.27483,58.871677,66.98917,62.540073,55.79626,75.757416,66.37082
2018-09-01 04:30:00,92.70029,88.31653,73.36106,65.93094,65.96968,59.69862,68.853935,59.51912,67.74671,62.834267,56.82944,75.76664
2018-09-01 05:00:00,90.22826,93.03465,87.56097,74.42283,66.77631,66.91985,60.77559,69.42218,60.68853,67.79318,63.710106,57.274357
2018-09-01 05:30:00,83.70948,90.57023,92.18371,88.10302,74.79486,67.736855,67.56387,61.39092,70.24672,61.090878,68.51614,64.04617
2018-09-01 06:00:00,92.3404,84.16143,90.09747,92.47812,87.80449,75.64726,68.446266,68.11182,62.501537,70.19038,61.962337,68.797676
2018-09-01 06:30:00,86.77424,92.168655,84.356606,90.43034,92.04546,88.493095,75.95842,68.96276,68.88957,62.849224,71.01132,62.363422
2018-09-01 07:00:00,94.13112,86.92325,91.84834,84.813835,90.270195,92.43266,88.25291,76.36578,69.836464,68.92363,63.688007,71.1533
2018-09-01 07:30:00,89.981415,93.8806,87.050026,91.81411,85.14735,90.414536,92.1232,88.46497,76.90535,69.85366,69.63127,64.046745
2018-09-01 08:00:00,89.86117,89.97099,93.41044,87.27232,91.64902,85.07422,90.349915,92.14051,88.598404,76.61818,70.619545,69.88236
2018-09-01 08:30:00,95.71224,89.78879,89.82934,93.308975,87.50318,91.42698,85.379616,90.23271,92.13084,87.81675,77.21767,70.80061
2018-09-01 09:00:00,96.60171,95.313484,89.72663,89.91819,93.02286,87.26414,91.314476,85.19564,90.33082,91.33868,88.21854,77.28051
2018-09-01 09:30:00,92.94117,96.09469,94.780075,89.76927,89.922134,92.80573,87.45826,91.042786,85.4678,89.80224,91.47884,88.007515
2018-09-01 10:00:00,85.557526,92.668564,95.56635,94.560585,89.81523,89.680756,92.60793,87.19149,90.92646,85.37091,89.806694,91.18554
2018-09-01 10:30:00,95.44548,85.710785,92.40777,95.25857,94.20065,89.50366,89.721664,92.32471,87.306526,90.605774,85.30417,89.507545
2018-09-01 11:00:00,99.10715,94.99333,86.04019,92.28107,94.88552,93.892525,89.562584,89.42471,92.15101,87.2207,90.32962,85.07846
2018-09-01 11:30:00,78.60394,98.445305,94.58455,86.251915,92.14963,94.4817,93.64537,89.23787,89.431915,91.74659,87.02365,90.011505
2018-09-01 12:00:00,74.52274,79.16018,97.732155,94.327034,86.633385,91.7661,94.22325,93.300705,89.22539,89.21156,91.4466,86.74522
2018-09-01 12:30:00,87.17781,75.36123,79.966774,97.303215,94.0458,86.26307,91.70299,93.82008,93.0582,89.070816,88.953606,91.108116
2018-09-01 13:00:00,74.72564,87.3049,76.35328,80.50871,96.7661,93.64391,86.58075,91.31126,93.533936,92.65681,88.77483,88.64035
2018-09-01 13:30:00,61.695667,75.6363,87.39695,77.124756,81.35114,96.35408,93.436874,86.22692,91.18329,93.16516,92.27076,88.45567
2018-09-01 14:00:00,60.05713,63.370766,76.5233,87.60265,78.11511,81.04148,95.961914,93.052345,86.3902,90.95104,92.71168,91.899345
2018-09-01 14:30:00,69.119514,61.764748,64.84223,77.354065,87.80044,77.95231,81.69027,95.55396,92.80052,86.45892,90.55409,92.309875
2018-09-01 15:00:00,53.9482,70.395256,63.24305,66.28792,78.28404,87.636314,78.72913,81.41695,95.15992,92.49273,86.18723,90.195496
2018-09-01 15:30:00,65.64941,56.04642,71.22271,64.694336,67.757744,78.2595,87.75038,78.56541,81.85107,94.69381,92.07044,85.90037
2018-09-01 16:00:00,60.711456,67.16889,57.5689,72.29599,66.15524,68.04017,78.96872,87.56788,79.13906,82.13282,94.20308,91.67895
2018-09-01 16:30:00,60.972027,62.514153,67.74297,59.331944,73.21026,66.55858,69.22425,78.90148,87.6274,79.500946,82.00952,93.77784
2018-09-01 17:00:00,60.61524,62.71467,63.463207,69.00702,60.888016,73.67828,67.701965,69.38491,79.46175,87.48727,79.51541,81.795265
2018-09-01 17:30:00,58.638634,62.45794,63.658504,64.96593,69.755775,61.594147,74.33571,67.977585,70.38587,79.703995,87.36143,79.37907
2018-09-01 18:00:00,60.731155,60.46341,63.32974,65.11638,66.04947,70.56482,62.854164,74.62319,68.94438,70.89227,79.8287,87.09999
2018-09-01 18:30:00,56.96051,62.476517,61.522755,64.8488,66.17938,66.84074,71.17651,63.316727,75.23573,69.43611,71.318306,79.71595
2018-09-01 19:00:00,41.127075,58.884483,63.304634,63.05292,65.88317,66.95683,67.72623,71.61609,64.464264,75.33653,69.95711,71.43055
2018-09-01 19:30:00,41.169613,43.60313,59.9473,64.76355,64.208664,66.73646,67.81694,68.181496,72.33416,64.94914,75.831276,70.138084
2018-09-01 20:00:00,47.704693,43.36799,45.55272,61.557667,65.73843,65.00961,67.591705,68.27519,69.09408,72.315796,65.69429,75.91198
2018-09-01 20:30:00,40.69524,49.60422,45.085365,47.682926,62.73325,66.596115,65.94953,68.06939,69.154274,69.26963,72.95611,65.99322
2018-09-01 21:00:00,42.134655,42.900383,50.72967,47.0084,49.571945,63.603825,67.40281,66.43869,68.99493,69.33224,69.977234,73.11837
2018-09-01 21:30:00,53.828545,44.34966,44.241146,52.364025,48.649952,50.47687,64.57994,67.89651,67.37645,69.13565,70.0211,70.1906
2018-09-01 22:00:00,35.782093,55.565002,45.51501,46.17506,53.54482,49.62504,52.088165,65.10305,68.76924,67.624344,69.87214,70.24416
2018-09-01 22:30:00,35.815544,38.209305,56.059395,47.365345,47.57202,54.62129,51.041378,52.75052,66.10045,68.90095,68.33912,70.07716
2018-09-01 23:00:00,59.120647,38.080692,39.795574,57.48955,48.66964,48.714863,55.636177,51.785004,54.20482,66.36043,69.60952,68.603806
2018-09-01 23:30:00,37.112644,60.51441,39.55609,41.941208,58.235332,49.89281,49.996044,56.399723,53.081432,55.014114,67.11542,69.84469
2018-09-02 00:00:00,26.53389,39.54253,60.60177,41.520767,43.558712,59.4415,51.046616,50.80757,57.42269,53.83797,55.845524,67.40296
2018-09-02 00:30:00,25.747837,29.158985,41.037277,61.74019,43.024513,44.70771,60.095802,51.8853,52.091583,57.850124,54.617718,56.401222
2018-09-02 01:00:00,18.160229,27.905785,31.157455,43.174194,62.137226,44.21221,46.21205,60.851414,53.1265,52.70423,58.68284,55.240738
2018-09-02 01:30:00,13.394924,20.162163,29.711746,33.457413,44.743202,63.352154,45.58208,47.04497,61.71236,53.657944,53.571423,59.2117
2018-09-02 02:00:00,8.907379,15.183991,22.038109,31.716652,35.416054,45.90544,63.697227,46.467533,48.521687,61.83522,54.60812,54.194633
2018-09-02 02:30:00,2.6516569,10.469083,16.754475,24.125515,33.424915,36.573906,47.364254,64.44181,47.84007,49.30218,62.71178,55.155884
2018-09-02 03:00:00,4.197082,4.092877,11.952899,18.572632,25.80144,34.47531,38.357796,48.18819,65.06844,48.610916,50.1789,63.09344
2018-09-02 03:30:00,10.991867,5.18665,5.702884,13.56972,20.049429,26.766691,36.12724,39.290497,49.64497,64.99478,49.482075,50.86436
2018-09-02 04:00:00,8.307724,11.768796,6.407665,7.2611914,14.977026,21.109858,28.609545,37.090073,40.998707,50.36413,65.81003,50.17576
2018-09-02 04:30:00,15.293346,9.336858,12.554061,7.492194,8.737078,16.002802,22.791945,29.619535,38.573013,42.128433,51.26785,66.133125
2018-09-02 05:00:00,3.0737073,16.193878,10.364215,13.363982,8.664721,9.677405,17.649008,23.911089,31.164982,39.717133,42.9959,51.917732
2018-09-02 05:30:00,2.4390714,4.402432,16.883907,11.341544,14.242037,9.599586,11.448003,18.82358,25.39479,32.47342,40.464382,43.803345
2018-09-02 06:00:00,3.3731916,3.521321,5.8122516,17.661972,12.478296,15.26509,11.043363,12.672072,20.26426,26.730406,33.10922,41.37153
2018-09-02 06:30:00,-1.5972064,4.2106366,4.8709674,7.0764227,18.56758,13.507136,16.350409,12.278323,14.159897,21.703089,27.432646,34.241722
2018-09-02 07:00:00,-3.3213046,-0.6769822,5.3361316,5.9837637,8.520525,19.681261,14.755368,17.549314,13.51263,15.7791605,22.38029,28.605852
2018-09-02 07:30:00,-2.9140627,-2.6768067,0.70022136,6.2355566,7.2985477,9.52278,20.628595,15.95267,18.56152,15.059773,16.401636,23.624842
2018-09-02 08:00:00,4.1057887,-2.4435074,-1.3900192,1.7102958,7.353899,8.224822,11.072881,21.778425,17.149754,19.886992,15.662961,17.771833
2018-09-02 08:30:00,15.247868,4.41779,-1.2887466,-0.67253196,3.0165045,8.2797,9.736814,12.292739,22.786556,18.6327,20.529203,16.981256
2018-09-02 09:00:00,-1.0434802,15.596341,5.198093,-0.7262429,0.5540105,3.8718631,9.630483,10.970927,13.736336,24.068945,19.290167,21.69613
2018-09-02 09:30:00,0.96021247,0.11970968,15.924045,5.5652914,0.38133442,1.3529193,5.428663,10.873324,12.288513,15.407758,24.766298,20.437426
2018-09-02 10:00:00,22.801456,1.7529724,1.567424,16.189037,6.4140415,1.1682346,2.8016636,6.7010293,12.05249,13.94605,16.065306,25.757288
2018-09-02 10:30:00,13.389965,23.145325,2.9806626,2.621108,16.794458,7.2801275,2.51563,4.0850167,8.010948,13.635774,14.551312,17.291853
2018-09-02 11:00:00,5.889938,14.693082,23.186066,3.752204,4.1340504,17.847834,8.322011,3.8040109,5.2946086,9.764325,14.224919,15.851072
2018-09-02 11:30:00,0.78108954,7.3608594,15.658332,23.480377,4.9937763,5.065696,18.504347,9.562785,4.920448,7.123761,10.320458,15.526045
2018-09-02 12:00:00,10.5809555,1.9602706,8.800059,16.81865,23.821783,5.8730383,6.607961,19.660696,10.475334,6.7153444,7.630975,11.715105
2018-09-02 12:30:00,7.9598765,11.432019,3.4261277,10.100364,17.985907,24.973951,7.237989,7.841227,20.400112,12.059644,7.205415,9.0277195
2018-09-02 13:00:00,-0.09656551,8.994466,12.316569,4.6025915,11.633043,19.132708,25.435938,8.474002,9.296974,21.681608,12.581685,8.604517
2018-09-02 13:30:00,0.99179816,1.0585144,10.037349,13.2592535,6.027849,12.674617,20.328142,26.568464,9.685753,11.172238,22.300604,13.836538
2018-09-02 14:00:00,9.391815,1.7739303,2.5235398,11.057601,14.171751,6.9536123,14.188405,21.486956,27.15458,11.444951,11.769433,23.284346
2018-09-02 14:30:00,7.8535457,10.009061,2.9725525,3.653037,12.181562,15.174876,8.543904,15.365092,22.737427,28.100843,12.000756,12.993113
2018-09-02 15:00:00,-0.5202944,8.74075,10.756465,3.7930822,5.106127,13.204108,16.35945,9.782229,16.83641,24.078962,28.790182,13.263544
2018-09-02 15:30:00,-0.6865313,0.5468566,9.692538,11.425521,4.9746647,6.020568,14.484586,17.561941,11.181549,18.51967,24.820765,29.712572
2018-09-02 16:00:00,4.0022807,0.085110374,1.9609025,10.53765,12.258146,5.859229,7.6027427,15.690688,18.612732,12.91573,19.207258,25.83912
2018-09-02 16:30:00,12.816792,4.613072,1.3429825,2.9776983,11.608934,13.241187,7.23982,8.843127,16.892677,19.92916,13.523881,20.30506
2018-09-02 17:00:00,-1.7132037,13.375028,5.5717196,2.1574087,4.405527,12.616061,14.292451,8.491046,10.254158,18.355505,20.563974,14.827234
2018-09-02 17:30:00,15.944763,-0.5611909,13.940951,6.262824,3.3817847,5.3127813,13.801648,15.504397,9.689339,12.039639,19.01071,21.780874
2018-09-02 18:00:00,26.286102,16.465622,0.91697246,14.474399,7.237734,4.24092,6.8386207,15.004325,16.465862,11.382985,12.639455,20.194845
2018-09-02 18:30:00,18.926178,27.074604,16.927666,1.9982749,15.223986,8.142814,5.665815,8.07883,16.140278,17.83996,11.944833,13.930082
2018-09-02 19:00:00,-1.1201022,20.502071,27.211296,17.379185,3.503443,16.255312,9.359899,6.9273934,9.460793,17.636644,18.449724,13.259523
