,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-09-01 00:00:00,52.452744,34.58625,66.83718,60.12076,43.12762,46.929417,41.72497,48.116703,49.048046,41.28881,59.159492,70.42031
2018-09-01 00:30:00,63.47568,53.787712,33.73199,66.87976,59.967846,44.34938,49.23249,42.787243,49.449753,50.326263,44.786457,60.058777
2018-09-01 01:00:00,41.67235,64.3527,55.68357,38.12971,68.01885,61.397137,46.327183,50.07534,44.336685,49.845516,51.24526,45.428406
2018-09-01 01:30:00,60.707832,46.352432,64.97749,56.22817,43.14062,68.693634,64.18341,47.330235,51.329006,44.654907,51.125153,51.3619
2018-09-01 02:00:00,46.94856,61.73724,45.964787,65.27084,56.201466,44.07183,70.97324,64.74318,48.732273,51.820404,46.49611,51.50328
2018-09-01 02:30:00,63.798893,50.83697,62.94037,48.98818,66.1842,58.148357,44.85851,71.35567,65.41172,48.956314,52.557816,47.214012
2018-09-01 03:00:00,58.473835,64.81811,50.68097,63.32118,52.523926,66.9413,60.38243,45.637634,71.70721,65.769554,50.584476,53.03494
2018-09-01 03:30:00,75.20993,61.122856,65.75488,53.168816,63.59407,53.55434,69.25646,60.722786,47.112144,71.35883,65.540565,51.128296
2018-09-01 04:00:00,91.93575,75.60785,60.93293,66.15182,56.0985,65.10328,54.67499,69.6563,61.788094,46.935844,71.74335,65.57177
2018-09-01 04:30:00,95.1742,91.10842,75.93497,62.509808,66.522,57.039104,67.198166,55.200085,70.12717,62.85383,50.776432,71.96395
2018-09-01 05:00:00,88.08413,95.042755,90.69636,75.85654,64.63236,67.803825,58.381866,67.38318,56.36709,70.1805,63.181793,51.92645
2018-09-01 05:30:00,81.217636,89.391624,93.94165,89.544624,76.0863,65.44118,69.81905,58.82858,68.07353,56.287334,70.51127,63.14007
2018-09-01 06:00:00,96.83044,83.38076,88.02223,93.06729,89.57061,76.819725,66.87865,69.91031,59.842693,68.629654,58.883465,70.52205
2018-09-01 06:30:00,85.104126,96.55505,82.10276,88.25638,93.70793,89.19696,78.62563,67.02644,70.44398,59.850147,68.93426,59.562073
