,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-09-01 00:00:00,53.1394,33.29189,74.07974,72.58482,40.359352,50.55868,42.808735,59.388454,66.7398,53.15901,72.96764,79.21919
2018-09-01 00:30:00,65.50003,54.970013,33.40661,75.252716,73.26296,41.97383,53.69355,44.32764,61.370377,66.907524,55.314938,74.84064
2018-09-01 01:00:00,42.265232,66.38316,55.61091,35.06091,76.401695,74.86463,45.2712,55.10221,46.777367,61.669506,68.28628,56.975567
2018-09-01 01:30:00,64.0593,44.472046,66.57643,57.257847,36.03594,78.345245,76.48537,46.75269,57.231083,47.27555,63.357204,69.955414
2018-09-01 02:00:00,42.47554,65.404335,44.864803,67.49265,58.447353,37.39649,80.00314,76.93812,49.244305,57.62532,49.520496,65.255035
2018-09-01 02:30:00,70.08729,44.71229,65.99699,46.539204,67.75005,60.3911,40.760387,80.32136,77.78368,49.7895,59.72454,51.563763
2018-09-01 03:00:00,54.205723,70.73857,44.980583,67.476395,47.490932,69.0078,63.002037,42.14433,80.98719,77.53743,51.979206,61.871067
2018-09-01 03:30:00,82.212746,55.988487,70.81825,46.5871,68.80212,49.006687,70.77389,64.075745,44.765327,80.63607,78.70095,53.918003
2018-09-01 04:00:00,99.41908,82.219505,56.61669,71.59995,47.50628,70.95234,52.035286,71.51114,65.82032,45.401653,81.91864,80.30789
2018-09-01 04:30:00,100.05302,98.93423,81.72942,58.23507,71.9198,48.83622,73.08362,53.380608,72.840805,66.06307,47.773575,83.72308
2018-09-01 05:00:00,89.63538,99.036354,97.71772,82.03243,59.430004,73.17502,51.825974,73.73335,55.740044,72.76973,67.8168,49.624634
2018-09-01 05:30:00,82.547295,88.858864,97.397995,97.787384,82.2139,61.375587,74.69763,53.128765,74.77164,56.26432,73.84181,69.71916
2018-09-01 06:00:00,97.13296,82.394875,87.5424,96.81262,98.22609,83.118546,63.926044,75.1784,55.567234,74.69282,58.206154,75.32661
2018-09-01 06:30:00,87.0306,95.43234,81.55211,86.991165,96.442566,99.0799,83.950966,64.94927,76.177475,56.14201,76.26132,59.963562
2018-09-01 07:00:00,98.72882,86.29633,93.4262,81.5547,86.47884,96.42566,99.15829,83.84366,66.63223,75.97936,58.08642,78.18374
