,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-12-01 00:00:00,19.80788,23.552263,32.911915,32.517902,42.94604,40.727303,40.76987,43.11431,27.255915,28.798923,29.1278,35.842457
2018-12-01 00:30:00,19.537615,19.462889,22.26895,32.117935,31.811901,42.27636,39.456818,39.555653,42.046715,28.273172,29.654259,29.615196
2018-12-01 01:00:00,9.196656,21.314594,19.624609,21.606903,31.393696,31.57191,40.8661,37.746296,38.2015,40.42149,29.272652,30.132252
2018-12-01 01:30:00,8.160481,11.508784,23.513739,19.710531,21.455769,30.99925,30.633184,38.65779,36.162148,37.377365,39.9836,29.864752
2018-12-01 02:00:00,6.1622515,9.927209,13.391174,24.868874,19.819405,21.373968,30.788795,29.434227,37.03049,35.2638,37.210133,40.043472
2018-12-01 02:30:00,37.67334,7.6010184,11.169062,15.070135,25.1405,19.722458,21.678524,30.266336,27.898348,35.626522,34.794632,37.158936
2018-12-01 03:00:00,15.13713,38.84641,8.553024,12.742392,16.567034,25.270554,20.458685,22.226042,29.180162,26.914085,34.695744,34.661045
2018-12-01 03:30:00,12.514791,17.612423,40.791283,10.209925,14.370344,17.64021,26.309458,21.560127,22.667986,28.091211,25.982212,34.710632
2018-12-01 04:00:00,-1.1805104,14.914134,19.841864,41.594654,11.993628,15.77686,18.661896,27.303188,22.970102,22.841763,26.918406,25.962187
2018-12-01 04:30:00,-0.5992497,1.2281965,17.205292,21.719975,41.382587,13.696126,16.983164,19.789648,28.283682,23.472954,22.302547,26.194727
2018-12-01 05:00:00,0.77587235,0.5814298,2.766354,18.831934,22.788662,41.69183,15.122298,18.395287,21.53056,28.352463,23.300114,21.485132
