,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-12-01 00:00:00,20.859386,24.81888,33.963486,35.66407,47.00761,39.28162,42.32657,41.2195,26.64894,28.142672,28.723923,33.472073
2018-12-01 00:30:00,17.98389,20.674013,24.65052,33.4079,34.193382,47.22196,38.411095,41.92547,41.159973,27.257816,28.48865,29.491003
2018-12-01 01:00:00,10.183476,19.377823,21.166803,22.811493,32.2733,35.26311,45.150013,37.406025,39.715237,39.228535,27.033804,28.86971
2018-12-01 01:30:00,11.294637,13.1068125,20.51327,21.010918,23.686834,32.943542,34.137917,44.29449,36.70755,39.459682,38.727364,28.058292
2018-12-01 02:00:00,6.4112234,14.033483,14.009813,20.001764,21.731222,24.273863,31.960745,33.727364,42.59476,35.433163,39.22392,38.380173
2018-12-01 02:30:00,42.627155,9.370233,14.547808,14.520781,21.142225,22.993128,24.32233,32.055923,33.26734,39.93284,35.59662,39.936256
2018-12-01 03:00:00,21.06533,45.117237,9.142155,15.919947,16.940062,22.895552,22.76251,25.637568,31.511755,31.856695,39.238297,34.44805
2018-12-01 03:30:00,20.634222,22.694033,46.113373,10.154345,16.403925,18.914778,23.106777,24.963902,25.058653,30.617268,31.293758,38.04699
2018-12-01 04:00:00,-3.542491,21.80715,24.047232,46.598724,10.737705,19.452147,20.970417,24.955774,26.000944,23.602007,29.324142,30.87887
2018-12-01 04:30:00,3.8380327,-0.10262553,22.557518,24.896101,42.76709,13.116601,20.487976,21.551256,26.14332,24.797735,22.744577,27.29331
2018-12-01 05:00:00,1.205743,6.1280913,-0.6667439,23.95308,26.410925,45.29192,15.33829,21.742813,22.553219,26.115803,24.303175,22.029678
2018-12-01 05:30:00,3.044343,4.16316,6.015713,0.32803342,24.344467,31.40577,44.91783,17.547546,23.5258,24.016745,25.29381,24.25778
2018-12-01 06:00:00,5.0394297,5.030107,3.8345265,7.113888,2.8701043,26.471077,32.505604,46.321396,20.082268,24.976362,23.851786,25.714636
2018-12-01 06:30:00,9.933772,6.4880366,5.557982,5.4578953,7.418446,4.5726995,27.670765,34.35843,46.45508,21.271732,24.984348,25.979504
2018-12-01 07:00:00,14.199538,11.229424,7.074757,7.5568104,5.875897,10.766707,7.982138,28.285007,31.773214,42.640488,22.790796,26.327208
2018-12-01 07:30:00,16.728743,15.645997,11.891497,8.902456,8.662315,9.17069,12.472043,9.854193,28.169163,33.31604,43.3653,24.65059
2018-12-01 08:00:00,12.596272,18.306585,16.711061,13.52886,9.8528805,12.44984,12.488782,15.177832,12.754156,28.572458,32.342224,43.225864
2018-12-01 08:30:00,10.0741,14.642024,19.533878,18.454268,13.926638,13.472386,15.2573805,15.5798645,17.49811,15.3171625,28.147942,33.56617
2018-12-01 09:00:00,10.27439,12.188983,15.698383,21.1935,19.008759,17.388811,16.001774,18.113094,18.019318,19.874422,16.589584,28.679451
2018-12-01 09:30:00,16.301224,12.467582,12.771547,17.44082,22.042696,21.878502,19.496954,18.699894,19.014807,19.212942,20.424318,19.225182
2018-12-01 10:00:00,22.72141,18.571285,12.69614,14.289389,18.902994,24.232903,23.745604,22.027838,19.401203,20.744833,21.421255,22.154308
2018-12-01 10:30:00,25.95815,24.898476,18.99397,13.937292,15.621035,20.74518,25.864414,25.703863,22.607792,21.132832,21.179567,23.808966
2018-12-01 11:00:00,33.676876,28.030064,25.83862,20.144234,14.688026,17.478603,22.642237,27.13845,25.871264,23.578499,21.45007,23.264282
2018-12-01 11:30:00,59.69706,35.621212,29.148396,26.913666,20.230022,16.775988,19.441175,23.484486,27.174877,26.37159,24.074675,23.245401
2018-12-01 12:00:00,90.93085,61.90805,36.2266,30.046455,27.162167,22.462229,18.723814,20.600924,24.155771,27.658222,26.500282,25.608244
2018-12-01 12:30:00,107.07339,91.07056,60.79859,36.769,30.554441,28.879032,23.99223,20.345734,21.780642,25.266726,27.65172,27.671915
2018-12-01 13:00:00,101.44452,102.69656,86.659935,58.366795,36.141933,31.654272,29.972134,25.580776,22.008493,23.291567,25.562721,28.442734
2018-12-01 13:30:00,70.08922,99.14167,102.29739,83.04647,56.528763,37.192966,32.41439,30.937382,26.826849,23.16169,23.61243,26.4062
2018-12-01 14:00:00,93.22741,70.019165,99.23301,101.388405,80.95263,55.007397,36.7927,32.630947,31.17141,26.965994,24.115465,24.697977
2018-12-01 14:30:00,87.09824,90.6526,71.05165,94.04239,96.61738,79.6393,52.88469,36.470543,32.481995,30.824106,27.973661,25.438177
2018-12-01 15:00:00,69.59773,83.204834,87.16395,71.42767,92.06055,94.627205,72.52538,50.04557,36.606804,32.09043,31.15159,29.12881
2018-12-01 15:30:00,70.71953,65.90737,80.79641,83.19241,74.927376,86.69092,89.62534,67.749695,49.13214,35.59036,32.38369,31.818592
2018-12-01 16:00:00,79.81316,68.49029,65.843575,76.57113,79.2927,69.75968,84.18701,91.54195,68.97772,47.191273,35.97575,32.48413
2018-12-01 16:30:00,85.96711,76.92519,67.110985,63.656574,72.75088,78.31348,71.17581,85.306656,93.82186,66.44338,45.98959,35.60339
2018-12-01 17:00:00,101.469826,82.13833,73.74673,64.288246,61.643482,71.39505,75.13577,68.08341,87.3763,88.91192,68.50876,46.289097
2018-12-01 17:30:00,108.02984,97.79595,77.26984,69.79226,61.153275,59.44556,67.07316,73.48155,67.95395,81.71512,91.94468,68.30567
2018-12-01 18:00:00,108.608574,102.56258,91.83718,73.58321,65.403694,59.02779,57.281044,66.32887,71.59715,66.11513,82.94164,85.819435
2018-12-01 18:30:00,112.37872,102.775276,98.38977,89.821785,69.2994,62.972054,55.97475,56.27113,64.9549,69.836266,69.039955,77.51817
