,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-12-01 00:00:00,19.518799,25.390669,31.310555,33.5291,44.251087,41.539387,39.66906,40.691082,26.462534,25.445026,31.143774,30.995155
2018-12-01 00:30:00,22.225904,17.411644,25.027565,31.303446,32.914215,43.432453,39.372494,39.311497,41.751568,26.935005,25.466343,33.69911
2018-12-01 01:00:00,15.116126,22.113297,16.72475,26.517776,29.215147,33.361504,41.5518,37.89106,37.100037,41.95487,25.755264,26.896688
2018-12-01 01:30:00,9.072829,14.969537,21.878353,19.03089,25.84797,29.4307,31.174501,39.577232,37.54359,35.48012,39.838264,27.233032
2018-12-01 02:00:00,9.866815,9.753398,15.460638,23.252808,18.244558,26.192682,29.766262,31.459154,39.27788,35.170666,35.83726,39.37369
2018-12-01 02:30:00,33.039635,11.258399,9.321205,17.644432,22.971506,19.140285,27.93121,29.038454,30.722795,36.534203,36.318893,34.497406
2018-12-01 03:00:00,22.386356,35.5831,10.709345,11.128477,17.303196,23.918554,19.690346,26.851543,29.3694,31.388304,37.706043,34.695473
2018-12-01 03:30:00,12.281596,23.445253,38.777924,13.01586,11.460466,18.26761,24.05035,21.334906,27.466763,28.259974,30.368883,36.100163
2018-12-01 04:00:00,9.435599,11.987248,24.129484,41.06704,13.10705,13.2815695,19.787132,25.807613,21.87695,26.28456,26.950262,29.67726
2018-12-01 04:30:00,1.585992,10.100448,14.957188,26.999674,40.774734,15.847421,15.224694,21.194134,26.125467,21.893723,25.597233,26.056757
2018-12-01 05:00:00,3.0750895,3.1275418,10.552038,18.334286,27.62164,40.167244,16.905254,16.742506,22.41259,26.689806,21.480877,25.50368
2018-12-01 05:30:00,2.683545,4.6293826,1.5758976,11.625473,21.91513,29.474781,41.995094,18.581226,18.702284,22.797235,24.84948,22.549597
2018-12-01 06:00:00,3.2574358,4.153276,3.9745831,3.2444077,13.02054,23.331388,29.686308,41.25777,20.363792,19.973232,22.492886,25.364235
2018-12-01 06:30:00,6.540065,4.2476783,4.4009595,6.6782856,3.526301,13.981235,25.087988,30.188871,42.16393,22.067377,20.576687,24.030025
2018-12-01 07:00:00,13.53914,7.6272445,5.152064,7.2355995,6.5804887,6.693164,16.371632,25.08961,30.073456,42.77958,22.052204,22.182272
2018-12-01 07:30:00,17.581089,14.338176,8.880575,7.5112953,7.465861,10.412747,9.478929,17.540342,25.712654,30.726044,40.89761,23.578558
2018-12-01 08:00:00,15.520631,17.889986,15.689266,11.175583,8.1648655,11.4654875,12.048284,11.509951,19.147007,27.735352,29.705889,40.52623
2018-12-01 08:30:00,11.157044,15.56709,18.786829,19.245687,11.934422,11.666495,12.822963,14.080189,14.327726,20.6096,27.918596,30.547337
2018-12-01 09:00:00,11.317983,11.68143,16.564228,23.041243,19.4866,15.362155,13.201194,14.768459,16.687933,15.550714,21.70727,29.58027
2018-12-01 09:30:00,15.660592,12.015056,13.03809,20.135983,22.933134,23.274038,16.199495,15.061777,17.16592,18.293665,17.048075,23.123873
2018-12-01 10:00:00,23.011427,17.240524,13.225193,14.672066,21.452103,26.215307,23.738241,17.854578,17.309305,18.917728,19.312819,18.69917
2018-12-01 10:30:00,26.438463,24.580248,18.562576,15.3545685,16.313522,24.153187,26.796402,24.680832,19.752619,18.922413,20.168625,20.677841
2018-12-01 11:00:00,33.167255,27.815948,25.904732,20.390213,16.312302,17.820354,24.975445,27.551949,26.039913,21.479326,20.282057,21.379633
2018-12-01 11:30:00,59.8528,34.26529,28.703419,29.032625,21.366104,18.08958,19.331362,25.459278,28.558828,26.58684,22.028967,21.380714
2018-12-01 12:00:00,89.291725,57.172604,34.26781,31.836445,29.47591,23.63757,19.300953,20.38678,26.464031,27.971067,25.884378,23.271992
2018-12-01 12:30:00,98.193375,85.44522,57.295082,34.186577,32.02863,31.262627,23.98781,20.310238,21.837738,26.794403,27.237179,26.692085
2018-12-01 13:00:00,89.571014,95.1217,84.46528,54.762276,34.09574,33.149166,31.39525,25.013758,21.805538,23.40884,26.187302,28.006716
2018-12-01 13:30:00,75.68746,88.28191,93.9633,82.257034,52.62478,34.573788,33.763943,32.371185,25.725512,23.558605,24.008951,27.688911
2018-12-01 14:00:00,91.24725,72.493164,85.46268,90.62098,81.170555,49.72139,34.906242,33.621967,31.958023,27.646433,23.90707,24.963495
2018-12-01 14:30:00,89.056984,87.43148,68.03767,82.07072,91.725586,77.78415,48.145054,34.76824,33.275017,32.71879,26.733335,25.027666
2018-12-01 15:00:00,74.44488,85.19832,84.07139,66.76152,82.86811,89.09138,73.200165,46.425915,32.8325,33.162865,32.2559,27.802647
2018-12-01 15:30:00,72.54969,71.86358,81.563034,81.44602,63.137012,79.038124,83.91619,69.92679,44.489216,32.197853,32.866035,32.006596
