,LSTM-Bidirecional-1,LSTM-Bidirecional-2,LSTM-Bidirecional-3,LSTM-Bidirecional-4,LSTM-Bidirecional-5,LSTM-Bidirecional-6,LSTM-Bidirecional-7,LSTM-Bidirecional-8,LSTM-Bidirecional-9,LSTM-Bidirecional-10,LSTM-Bidirecional-11,LSTM-Bidirecional-12
2018-06-01 00:00:00,11.011058,18.607613,13.317368,13.114299,21.86656,25.43783,31.449268,38.60733,36.282856,38.556175,37.979973,31.994465
2018-06-01 00:30:00,14.9206915,12.23437,20.774445,13.798709,15.933393,25.113264,27.952843,34.709393,39.217155,37.181473,39.753796,40.82205
2018-06-01 01:00:00,11.451091,15.981677,14.236637,21.319832,16.729494,19.31523,27.715736,31.371897,35.36716,39.80983,38.319584,42.929558
2018-06-01 01:30:00,12.485965,12.63856,18.317825,14.790957,24.022257,20.056902,21.969994,31.004076,32.095863,36.357014,40.74181,41.608448
2018-06-01 02:00:00,6.012179,13.5100355,14.755585,18.808086,17.598276,27.170397,22.900349,25.644156,31.815626,33.0896,37.5605,43.63851
2018-06-01 02:30:00,10.815593,7.2723722,15.734066,15.652038,21.68751,20.811853,29.865723,26.37348,26.28156,32.785393,34.418327,40.829224
2018-06-01 03:00:00,6.625155,11.739474,9.517887,16.259426,18.580687,24.757399,23.310707,33.14126,27.168242,27.485498,34.189327,37.816376
2018-06-01 03:30:00,9.330661,7.85625,14.153374,10.392581,19.143518,21.900938,27.43637,27.068548,34.062,28.12208,29.002758,37.45874
2018-06-01 04:00:00,9.099162,10.453105,10.096722,14.837508,13.560319,22.311052,24.330368,30.679876,27.561167,34.98136,29.609928,32.73853
2018-06-01 04:30:00,18.01983,10.379832,12.911671,11.063663,17.90294,16.984503,24.983246,27.585474,31.405409,28.772448,36.371483,33.058422
2018-06-01 05:00:00,12.868495,19.179165,12.766136,13.601459,14.22297,21.186415,19.554146,28.426764,28.048937,32.09874,30.147633,39.499187
2018-06-01 05:30:00,8.168567,14.30889,21.58852,13.762004,16.731821,17.675604,23.974724,23.076696,29.10641,29.035723,33.31425,33.983562
2018-06-01 06:00:00,13.263644,9.559245,16.45116,22.230816,16.910765,19.959368,20.23022,27.232134,23.408731,30.008993,30.307697,36.523502
2018-06-01 06:30:00,22.277983,14.272162,11.930325,17.224663,25.057428,20.220533,22.697578,23.740026,27.93976,24.437334,31.345165,33.770546
2018-06-01 07:00:00,22.29487,23.312176,16.657776,12.655368,20.077375,28.041128,22.74559,26.117273,24.084265,28.720514,25.77158,34.794033
2018-06-01 07:30:00,19.082937,23.568115,25.490055,17.543938,15.795201,23.207308,30.630787,26.000162,26.68778,25.195425,30.070381,29.591724
2018-06-01 08:00:00,16.481909,20.453125,25.57246,26.048897,20.571035,19.013876,25.540768,33.82047,26.398924,27.507494,26.56559,33.37312
2018-06-01 08:30:00,25.35243,17.6227,22.496727,25.882263,28.623842,23.841772,21.575443,28.955397,34.56202,27.27902,28.82182,30.367214
2018-06-01 09:00:00,13.289657,26.232433,19.623917,22.965298,28.319437,31.595526,26.456837,24.99512,29.346483,35.272865,28.52473,32.348015
2018-06-01 09:30:00,9.351138,14.429706,28.248226,20.284801,25.619204,31.16574,34.112957,29.391394,25.347555,30.336973,36.445835,32.040527
2018-06-01 10:00:00,7.5531564,10.289142,16.067123,28.696629,23.046434,28.610647,33.51688,37.363262,30.043562,26.133226,31.508427,39.562798
2018-06-01 10:30:00,5.244288,8.277194,12.475651,16.46944,31.206106,26.234045,30.930622,36.967278,38.228195,30.706045,27.312733,35.087185
2018-06-01 11:00:00,4.703593,6.134654,10.426685,12.898826,19.016832,34.202503,28.623238,34.131603,37.69397,39.102768,31.92791,30.973179
2018-06-01 11:30:00,3.2405727,5.7654753,8.388401,11.317294,15.878186,22.259672,36.692543,31.705885,34.662273,38.63759,40.331913,34.98903
2018-06-01 12:00:00,2.006007,4.5236616,8.234402,9.091632,14.415956,19.17541,24.621449,39.68964,32.265617,35.423153,39.766212,43.392014
2018-06-01 12:30:00,1.0743206,3.4180176,7.0665708,9.0290785,12.263806,18.050177,21.96119,28.425837,40.603756,33.057087,36.442657,43.033478
2018-06-01 13:00:00,0.5020702,2.5782654,6.0645413,8.149264,12.3480425,15.793017,20.803577,25.465277,28.954165,41.319942,34.20846,39.675877
2018-06-01 13:30:00,0.5239284,2.0636933,5.3121915,7.2371783,11.60941,15.80593,18.635635,24.058222,26.114958,30.31671,42.483273,37.423832
2018-06-01 14:00:00,0.8304241,2.1252701,4.842503,6.626537,10.809232,15.121638,18.637943,22.338675,24.693346,26.973265,31.725132,45.337685
2018-06-01 14:30:00,1.2040126,2.4747803,4.9354596,6.2457156,10.297017,14.31335,17.808945,22.223726,22.893797,25.713766,28.348675,35.57245
2018-06-01 15:00:00,0.82785296,2.8808625,5.30193,6.3773837,9.9735155,13.822463,16.972439,21.256796,22.695326,24.04782,27.223503,31.90673
2018-06-01 15:30:00,1.7029216,2.54787,5.716191,6.77679,10.125035,13.513171,16.437134,20.392626,21.520395,23.665976,25.605125,30.665016
2018-06-01 16:00:00,2.6223934,3.371402,5.3947797,7.201717,10.522824,13.646884,16.098282,19.750586,20.553194,22.458937,25.10458,29.454453
2018-06-01 16:30:00,1.1000774,4.2705183,6.2213254,6.906528,10.935521,14.014552,16.210884,19.365137,19.824022,21.427774,23.798416,28.901924
2018-06-01 17:00:00,1.6635921,2.8249085,7.0682416,7.699802,10.661321,14.39461,16.54385,19.444357,19.381502,20.633005,22.709679,27.636898
2018-06-01 17:30:00,0.6897304,3.3052475,5.6218534,8.525767,11.417447,14.119678,16.896423,19.734438,19.43685,20.170267,21.859035,26.602612
2018-06-01 18:00:00,2.9349163,2.3636277,6.1544766,7.0816607,12.178884,14.852256,16.599495,20.055498,19.707949,20.20064,21.370193,25.731419
2018-06-01 18:30:00,4.6280465,4.486125,5.16837,7.585605,10.792508,15.594424,17.351067,19.750113,20.020761,20.445017,21.37703,25.249184
2018-06-01 19:00:00,4.2692895,6.2152433,7.2833905,6.6922946,11.297643,14.234294,18.073315,20.456308,19.67922,20.73247,21.59151,25.242527
2018-06-01 19:30:00,3.4536312,5.9149046,8.9389,8.641147,10.433232,14.732406,16.704433,21.182108,20.444551,20.378668,21.853065,25.42804
