,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-06-01 00:00:00,11.853251,25.805,13.693165,12.163814,20.815344,19.715445,27.378841,40.406822,33.226448,41.171356,41.52208,21.121738
2018-06-01 00:30:00,19.289251,12.645843,28.181137,14.577296,13.386453,21.678766,20.866364,28.647337,41.06734,34.24728,41.756134,42.277695
2018-06-01 01:00:00,13.799735,20.474918,13.966072,30.1516,15.925523,14.350867,22.900417,22.286596,29.439192,41.693844,34.881653,42.533463
2018-06-01 01:30:00,14.885795,14.603988,21.790855,14.65356,32.844116,17.052675,15.91665,24.458292,23.521013,30.632551,42.213524,35.69535
2018-06-01 02:00:00,6.827105,15.823264,15.820015,22.65213,15.596761,34.36709,18.537197,17.660326,26.008821,24.95352,31.690552,42.868908
2018-06-01 02:30:00,14.863158,7.3450727,17.023472,16.533318,23.586954,16.137495,35.514725,20.234186,19.450842,27.281866,26.319523,32.719105
2018-06-01 03:00:00,9.006099,16.230488,8.372997,17.82637,17.434969,24.371023,17.335346,37.378803,22.035196,21.136858,28.629288,27.571571
2018-06-01 03:30:00,12.84418,9.896083,17.674278,8.9967985,18.798212,18.055502,25.392883,18.770273,39.035538,23.490587,22.781006,29.848484
2018-06-01 04:00:00,13.310664,13.988734,11.189045,18.912018,10.064771,19.564169,19.261951,26.74209,19.730448,39.74773,24.911983,24.335808
2018-06-01 04:30:00,26.838057,14.478293,15.234158,12.090274,20.513483,10.831866,20.782158,20.64641,27.768835,21.450731,40.600704,26.268078
2018-06-01 05:00:00,16.21309,29.674099,15.842522,16.220486,13.298726,21.680258,12.373162,22.186846,21.676867,28.860533,22.774788,41.51511
2018-06-01 05:30:00,8.901347,17.12611,32.297554,16.84682,17.291239,14.077727,22.988258,13.986029,23.331018,23.170652,29.77314,24.152092
2018-06-01 06:00:00,18.303392,9.140964,18.453033,34.53731,17.886377,18.158506,15.481484,24.60422,15.459982,24.688448,24.353352,30.695572
2018-06-01 06:30:00,29.906267,19.812576,9.93832,19.084484,36.95791,18.63074,19.44477,17.010176,26.157034,17.296015,25.810596,25.536991
2018-06-01 07:00:00,28.896154,33.064686,21.399998,10.156749,19.58645,38.386585,19.8378,20.857141,18.242765,27.338446,18.792126,26.911575
