,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-06-01 00:00:00,11.2203245,21.515263,13.749817,14.153949,22.20825,24.695337,30.026459,35.602192,32.544353,35.213108,35.741142,25.435215
2018-06-01 00:30:00,16.848581,12.336604,23.376083,15.251731,14.644322,24.544413,25.377594,31.33771,36.821743,33.582256,35.8773,37.82018
2018-06-01 01:00:00,13.010863,18.058159,13.799644,24.691856,15.68221,16.854177,25.264362,27.053438,32.422756,37.93002,34.418972,38.020546
2018-06-01 01:30:00,13.81578,14.135669,19.902222,15.507865,25.016047,17.823965,17.66835,27.059275,28.192293,33.84528,38.59499,36.812992
2018-06-01 02:00:00,6.527827,14.899627,15.721794,21.384258,16.20659,26.801577,18.706978,19.717512,28.308836,30.060911,34.764027,40.872513
2018-06-01 02:30:00,12.905929,7.3851194,16.548203,17.379799,21.607195,17.80424,28.10469,20.704607,20.898623,30.3366,31.230095,37.534023
2018-06-01 03:00:00,7.6436257,13.821139,8.802898,18.087296,17.773798,23.402437,19.167595,29.504671,22.043993,23.1454,31.475853,34.28549
2018-06-01 03:30:00,10.803538,8.499309,15.661678,10.536868,18.495195,19.511267,24.575989,20.52868,30.978354,24.302347,24.588184,34.442356
2018-06-01 04:00:00,10.804782,11.726214,10.129856,17.085217,11.112409,20.29492,20.765835,25.765707,21.669317,32.513287,25.6249,27.863327
2018-06-01 04:30:00,20.55728,11.781375,13.634857,11.770923,17.522825,12.883719,21.479218,22.045916,27.16036,23.133825,33.316776,28.604553
2018-06-01 05:00:00,13.510116,21.854862,13.703682,15.112468,12.532285,19.243593,14.042691,22.904165,23.299757,28.63666,24.370312,35.640297
2018-06-01 05:30:00,8.51784,14.789214,24.147984,15.255557,15.747346,13.989379,20.485252,15.637922,24.23255,24.817678,29.618359,27.129707
2018-06-01 06:00:00,16.10119,9.546908,16.567211,25.449108,15.909398,17.178423,15.437577,21.958239,16.865793,25.882341,25.947308,31.988525
2018-06-01 06:30:00,24.642714,17.17162,11.11079,18.329693,25.919458,17.2003,18.61716,16.845415,23.443895,18.758093,27.000618,28.547897
2018-06-01 07:00:00,23.519659,26.059502,19.069149,12.880797,18.949774,27.156363,18.774525,19.874105,18.155111,25.20893,20.189167,29.60263
2018-06-01 07:30:00,20.702574,25.155296,28.156517,20.501247,13.279325,20.261652,28.85366,19.82767,21.332987,19.789255,26.307266,23.088486
2018-06-01 08:00:00,18.5516,22.30058,27.021908,29.463642,20.705282,15.023585,21.8289,29.566523,21.241976,22.86611,21.099049,28.773838
2018-06-01 08:30:00,28.586622,19.92871,23.911682,28.61655,29.819422,22.49198,16.14576,22.637365,31.111464,22.567217,24.027847,23.733173
2018-06-01 09:00:00,13.908053,30.094925,21.319462,25.613197,29.046274,31.32004,23.71194,17.4256,23.807825,31.970205,23.706089,26.394527
2018-06-01 09:30:00,9.684451,15.167781,31.801495,22.943283,25.713896,30.571318,32.898205,24.975733,18.654364,24.790293,32.679245,25.976131
2018-06-01 10:00:00,9.3329115,10.5770445,16.193558,33.11043,22.943472,27.642427,32.029217,33.80779,26.461275,20.324804,25.886398,34.486343
2018-06-01 10:30:00,5.895083,10.029727,11.701763,17.900204,32.978027,25.153376,28.650627,32.756535,35.25649,28.055643,21.692303,28.169514
2018-06-01 11:00:00,5.6961617,6.480281,11.334881,13.327014,18.401262,35.15153,25.95396,29.566256,33.905613,36.189693,29.015694,24.390171
2018-06-01 11:30:00,4.6345086,6.32751,7.8452115,12.889983,13.6152315,20.462015,36.112457,27.304792,30.670683,34.617416,36.768196,31.349995
2018-06-01 12:00:00,3.3974025,5.275859,7.998524,9.3949995,13.29226,15.991427,21.406006,37.393234,28.483835,31.789274,35.33994,38.719734
2018-06-01 12:30:00,2.761256,4.003932,7.115666,9.518077,10.236997,15.513373,16.581875,23.041178,38.74774,30.107813,32.71209,37.448086
