,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-06-01 00:00:00,3.9953563,12.931582,9.813557,10.884738,19.478231,20.27495,29.248985,36.70378,35.552364,37.440517,35.740856,26.441185
2018-06-01 00:30:00,9.6870985,5.1607313,16.530033,10.739108,15.112477,19.995085,23.064526,30.27714,38.644035,37.848595,37.47494,38.063953
2018-06-01 01:00:00,4.661814,11.283626,10.234615,17.158726,15.19048,16.039305,22.812218,25.601694,31.425047,40.769142,37.922607,39.929523
2018-06-01 01:30:00,5.0589776,5.8659925,14.766163,11.24525,21.372507,16.380579,19.305935,25.315538,26.389563,33.50495,40.870407,40.4993
2018-06-01 02:00:00,-0.6402333,6.6389036,10.712841,15.250846,15.15112,21.86012,19.77058,20.995905,26.28007,28.654848,34.61101,43.347366
2018-06-01 02:30:00,3.5890834,0.9412186,11.483036,11.584369,19.927256,15.783725,25.036652,21.285124,22.970293,28.758047,29.902824,36.663807
2018-06-01 03:00:00,0.10947678,5.329715,6.1155744,12.441264,15.855481,20.61674,18.892105,27.272833,23.118963,26.106249,29.54317,31.71083
2018-06-01 03:30:00,2.0685604,1.5439789,10.121128,7.168506,16.502913,16.444742,24.274132,20.863173,28.076471,26.582636,25.667957,31.643715
2018-06-01 04:00:00,2.8167293,3.762729,6.7774396,11.125537,11.705205,17.36083,19.70419,25.857718,22.115088,30.31545,25.99561,28.094158
2018-06-01 04:30:00,16.445818,4.0498,8.852474,7.785999,15.504819,12.654487,20.459984,21.633986,26.951849,24.536207,31.597553,28.385944
2018-06-01 05:00:00,11.017596,17.065739,8.919346,9.907985,12.305112,16.486387,16.074219,22.70753,22.927637,29.316736,25.316277,33.653473
2018-06-01 05:30:00,0.81351733,10.977229,21.798687,9.79758,14.243672,13.153838,19.656696,17.499533,23.886106,25.263872,30.509583,27.36309
2018-06-01 06:00:00,6.473109,2.2706635,16.996807,21.607506,14.397466,15.335971,16.556503,21.893766,19.59075,26.270998,26.02562,32.661713
2018-06-01 06:30:00,20.045034,7.9443846,7.5267835,16.840698,26.157824,15.151248,18.585289,18.106165,23.285883,22.5903,27.244625,28.291203
2018-06-01 07:00:00,23.999815,20.79076,12.341618,8.679301,21.012285,27.513773,18.55344,20.67491,20.026068,25.922964,22.129692,29.250164
2018-06-01 07:30:00,19.11373,23.598202,24.96238,13.182818,12.957509,22.13415,30.419792,20.299849,22.078924,22.820478,26.43211,24.716068
2018-06-01 08:00:00,11.408717,19.293766,29.662033,24.67289,17.626207,13.987323,24.896183,30.81407,21.660357,24.666536,22.674435,28.732231
2018-06-01 08:30:00,22.729647,12.724788,24.539951,28.68911,28.94647,18.347158,17.22519,24.66406,32.59292,24.165289,25.327938,25.231434
2018-06-01 09:00:00,6.727549,23.93013,16.152206,24.064522,32.519665,30.049814,21.58997,19.19953,26.410383,34.961273,24.743584,27.487629
2018-06-01 09:30:00,1.5251644,7.7622633,26.424694,16.566975,28.23715,34.265163,32.978764,23.860785,20.59213,29.041895,35.080204,27.24105
2018-06-01 10:00:00,1.3326366,3.6456559,12.502445,26.19067,20.994158,29.631773,36.37969,33.478493,24.949812,23.296087,28.840656,37.823685
2018-06-01 10:30:00,-0.8972218,3.3822434,8.754711,13.425151,30.50633,21.34545,32.24667,35.321316,35.1089,27.286676,23.791111,31.577015
