,LSTM-Bidirecional-1,LSTM-Bidirecional-2,LSTM-Bidirecional-3,LSTM-Bidirecional-4,LSTM-Bidirecional-5,LSTM-Bidirecional-6,LSTM-Bidirecional-7,LSTM-Bidirecional-8,LSTM-Bidirecional-9,LSTM-Bidirecional-10,LSTM-Bidirecional-11,LSTM-Bidirecional-12
2018-03-01 00:00:00,100.5827,107.371346,115.030365,114.88818,180.76892,127.901855,13.255245,8.408204,16.51574,28.553633,26.971369,37.323166
2018-03-01 00:30:00,111.04748,93.20262,100.55178,114.45808,111.45751,179.76552,127.53087,15.37243,11.207471,19.885706,28.59913,30.067087
2018-03-01 01:00:00,89.87441,102.98066,84.16944,92.445,112.138306,104.71057,176.68063,126.085846,18.096666,14.914116,19.73452,31.26227
2018-03-01 01:30:00,78.67556,73.60738,94.46134,74.35658,85.684814,109.41324,102.63152,174.90967,124.805145,21.924644,15.223024,23.074312
2018-03-01 02:00:00,94.65954,72.08511,63.713177,84.806984,69.64578,80.22827,108.609085,104.81261,172.30469,125.86731,21.979567,18.973423
2018-03-01 02:30:00,140.81494,91.16976,65.97112,57.715996,77.531456,67.674904,74.75893,108.50881,100.26082,170.34506,120.76924,25.23801
2018-03-01 03:00:00,126.26325,132.17416,87.200455,58.924927,49.82562,71.78422,62.054607,69.812035,102.30408,93.42567,160.65082,115.99978
2018-03-01 03:30:00,154.45503,117.92721,130.57928,80.43077,52.812107,41.88365,65.32062,57.170197,63.2122,95.25017,85.577965,149.79367
2018-03-01 04:00:00,155.02615,150.89989,116.429596,128.01756,75.153786,48.317398,35.83595,60.628624,53.37019,59.8723,87.58721,82.99238
2018-03-01 04:30:00,147.4231,148.35278,149.01028,115.438866,121.02223,71.37272,44.561657,34.294506,55.71634,54.345005,55.13392,87.29352
2018-03-01 05:00:00,142.45132,141.09158,145.61514,142.89734,108.74561,112.391106,68.01757,42.686317,32.933327,55.086704,53.391354,55.427574
2018-03-01 05:30:00,141.43918,137.44846,137.08263,141.34732,135.17201,99.64622,107.07313,66.00645,41.19811,35.266815,52.714806,54.99451
2018-03-01 06:00:00,133.17856,134.4971,132.65163,132.13402,131.76945,126.95283,95.02826,107.26777,63.782825,43.234604,36.765312,52.84955
2018-03-01 06:30:00,123.0631,124.9702,129.42183,125.99561,125.12634,120.40785,121.09336,96.158936,105.786736,64.20774,43.6846,36.084465
2018-03-01 07:00:00,110.70887,115.81675,118.733864,123.850655,119.96002,117.05777,113.77467,116.8339,94.84619,103.634605,62.29674,44.66461
2018-03-01 07:30:00,94.000824,103.34666,108.43809,113.082375,118.380905,114.58776,110.808235,111.42445,109.59764,92.468925,98.14617,62.43786
2018-03-01 08:00:00,94.55959,85.79037,95.118454,100.3388,107.59857,112.60891,109.053,110.04668,104.41111,102.71321,87.07853,92.37119
2018-03-01 08:30:00,89.84993,85.62365,76.62713,85.63182,93.924286,101.526955,106.91895,107.12146,106.789986,98.33649,92.933556,82.143585
2018-03-01 09:00:00,76.87027,81.14944,76.946175,66.847496,78.46228,88.20773,95.521385,106.68484,103.64486,105.87957,89.36498,89.42202
2018-03-01 09:30:00,67.48903,71.34721,75.09382,67.786,59.5315,72.74168,81.805115,95.39938,105.029045,103.817604,100.23597,85.64526
2018-03-01 10:00:00,83.637535,65.138405,67.291595,68.78056,60.460968,54.076347,66.30097,78.74855,94.00127,106.849884,99.11064,97.05082
2018-03-01 10:30:00,85.797,80.567116,62.263565,62.088173,62.13715,54.962902,48.08939,61.667904,75.03903,96.02665,103.26967,96.9624
2018-03-01 11:00:00,45.585354,82.085785,78.22834,57.21685,56.904644,56.43156,49.287632,43.458595,56.735886,75.04989,93.19365,100.727806
2018-03-01 11:30:00,47.65043,44.141224,80.135475,73.810036,53.009533,52.77965,52.144226,45.114662,38.93767,55.90389,71.8685,91.015656
2018-03-01 12:00:00,10.468959,47.11998,42.36542,77.29983,69.587166,50.21544,50.228027,50.820827,41.255295,39.091263,53.225838,70.85662
2018-03-01 12:30:00,11.921088,9.598578,48.162846,39.604694,73.50966,66.43621,48.728825,50.2172,49.607956,41.734783,38.14712,53.33621
2018-03-01 13:00:00,10.1002035,11.952807,9.7518,48.048656,36.66027,70.31243,64.54131,48.878353,50.396683,51.51909,41.12252,39.392727
2018-03-01 13:30:00,5.359198,9.856723,11.858443,10.099052,47.093575,34.60106,68.375336,64.86921,49.05849,53.308243,51.640984,41.85742
2018-03-01 14:00:00,6.7575097,5.9235373,9.344901,12.11245,9.651359,47.024193,33.976894,69.21026,65.139984,52.013123,53.91701,51.261253
2018-03-01 14:30:00,5.187987,9.08327,5.8477664,10.448036,12.693622,10.374369,47.1064,35.284218,70.02119,67.63528,52.489494,54.336994
2018-03-01 15:00:00,3.917727,7.6433134,9.995746,6.9552197,11.781592,14.784174,10.803146,48.66205,36.5503,72.43277,67.08495,53.839867
2018-03-01 15:30:00,16.851332,6.636691,8.630706,10.739777,8.074229,14.618124,15.18988,13.857255,49.905334,39.968536,71.41867,66.54433
2018-03-01 16:00:00,37.910473,20.734118,7.8440013,9.412201,11.396144,10.783419,14.797512,17.713316,16.983982,51.68394,40.98942,69.73982
