,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-03-01 00:00:00,105.57231,103.267006,131.98328,117.59123,154.2536,154.31306,15.093742,11.479318,16.450504,24.709188,34.536438,33.098984
2018-03-01 00:30:00,110.50279,96.12026,101.59498,128.17828,111.51447,141.27873,152.34865,17.003916,13.1722765,19.214169,26.542368,37.676716
2018-03-01 01:00:00,97.14798,98.549034,85.524376,95.314445,122.98376,100.80778,137.12326,149.26917,18.894772,16.318295,21.931543,29.847385
2018-03-01 01:30:00,79.851074,85.02852,85.20734,77.749794,87.58155,112.45147,98.803246,136.8816,155.95943,22.1707,19.596514,25.602123
2018-03-01 02:00:00,95.77875,72.36954,76.08273,77.74291,73.72638,81.05596,110.49239,101.59191,137.04266,153.73193,25.690887,23.632444
2018-03-01 02:30:00,137.53354,88.20687,65.097084,69.61885,74.99215,66.560005,79.81428,109.50791,91.466286,124.156654,153.15283,29.553186
2018-03-01 03:00:00,124.541306,127.20586,82.37032,59.637257,65.34471,67.54633,59.969894,77.76709,100.789246,82.14908,118.39596,146.63028
2018-03-01 03:30:00,164.26927,114.00693,122.267746,78.38871,56.064026,59.33486,61.536774,56.029095,68.929436,92.35618,77.84782,103.48904
2018-03-01 04:00:00,157.3876,157.85799,110.13159,119.16085,76.100136,51.867992,56.014572,56.956535,52.37958,65.47113,87.03372,68.534256
2018-03-01 04:30:00,150.07097,147.2118,154.85243,110.29931,117.93001,72.59038,48.705044,52.781986,53.50084,51.077152,62.424328,79.338135
2018-03-01 05:00:00,146.04141,141.625,143.47406,152.8068,105.03236,111.38078,69.371506,46.763386,48.1066,52.73159,51.22454,60.815067
2018-03-01 05:30:00,144.74951,138.54091,138.06714,140.683,151.21872,97.45504,108.07868,67.67756,44.858887,47.739494,51.811394,52.035732
2018-03-01 06:00:00,136.14244,136.2496,134.84894,134.05504,135.89728,142.53033,95.06258,104.98345,67.15952,45.414005,45.88212,52.344814
2018-03-01 06:30:00,124.503265,126.90898,132.21967,130.70041,128.12752,125.77246,139.85912,94.16534,103.79211,67.275055,45.220413,46.38641
2018-03-01 07:00:00,111.03455,114.979355,122.653465,127.19181,124.799866,121.09231,122.9948,137.00056,89.345345,102.31442,68.12841,47.335537
2018-03-01 07:30:00,95.96728,101.2892,109.3716,116.01914,121.84294,119.31528,117.74642,119.82018,134.84215,85.17039,98.275475,68.25027
2018-03-01 08:00:00,96.34982,86.22066,92.49277,101.32536,110.52397,115.687706,115.515656,113.56011,114.42733,130.04878,80.88439,93.84263
2018-03-01 08:30:00,89.29174,85.04461,74.76944,83.90682,96.27501,103.7757,111.69662,111.54999,108.071495,106.84525,124.3291,75.2783
2018-03-01 09:00:00,77.56072,78.831955,73.99924,66.81398,79.50307,89.202774,99.743515,107.434875,105.98028,105.35359,100.783424,118.31277
2018-03-01 09:30:00,70.60959,70.472084,70.35802,67.1202,63.043484,72.23655,84.63787,95.26909,101.415794,105.32867,100.62682,93.4863
2018-03-01 10:00:00,85.55423,66.22961,65.14516,64.5737,64.19256,56.36642,66.907364,80.18768,88.74747,101.14771,102.27481,96.52242
2018-03-01 10:30:00,82.469055,78.64836,63.07171,60.87332,61.203697,58.08659,50.906036,62.39186,73.85166,87.89188,98.03284,99.50378
2018-03-01 11:00:00,49.649117,75.86857,75.89281,60.234905,57.79596,56.31154,53.42408,46.895916,57.477272,72.88212,84.62219,95.21349
2018-03-01 11:30:00,37.218857,47.97075,73.42594,72.33764,57.977573,54.549194,53.259064,50.167786,43.771446,56.207718,70.35723,82.287735
2018-03-01 12:00:00,17.52327,36.950504,46.647102,71.04669,70.01944,55.919926,52.5309,50.95493,47.212334,42.77685,54.450344,69.1724
2018-03-01 12:30:00,19.804703,17.20019,38.06843,45.44161,68.77085,67.9215,54.432228,51.568447,47.845585,46.982105,41.850716,54.702297
2018-03-01 13:00:00,7.487334,18.217155,18.978424,37.923237,44.283653,65.73401,66.87481,54.47359,50.09825,48.244446,46.59138,43.48455
2018-03-01 13:30:00,3.8229737,8.648398,19.813253,18.940418,37.590626,42.934284,65.21678,66.38445,54.6959,51.362213,47.647003,47.550888
2018-03-01 14:00:00,6.500014,4.1292105,10.205699,19.629057,19.320705,36.301624,43.36577,65.349495,65.56955,56.301125,51.48496,48.606834
2018-03-01 14:30:00,2.7014413,6.355338,6.28186,11.054058,20.12889,18.362986,37.176968,45.218937,63.444904,66.84416,57.712643,53.06468
2018-03-01 15:00:00,4.873278,2.8065252,8.5602255,6.4246106,13.531306,20.600286,22.079197,40.032257,45.173462,65.04286,67.7327,59.368782
2018-03-01 15:30:00,18.37079,4.9581976,4.6592174,8.374584,8.290835,15.234514,24.528225,26.237274,42.004288,49.117256,64.20416,67.614914
2018-03-01 16:00:00,36.825256,19.233624,6.9475017,5.07861,9.850963,10.907301,18.373867,26.2977,26.724306,45.40387,49.820732,63.81012
2018-03-01 16:30:00,40.711338,38.899055,21.76292,7.2018743,6.796412,12.133352,14.635094,19.573925,27.93449,31.080303,48.713608,52.756653
2018-03-01 17:00:00,49.4174,42.527752,41.595276,22.652872,8.680709,8.382658,15.984062,15.849301,22.487686,30.83864,33.68809,50.980392
2018-03-01 17:30:00,62.95201,50.39756,44.81336,44.06106,24.384806,10.344023,12.152298,17.772636,18.574242,24.987707,35.450848,34.334965
2018-03-01 18:00:00,54.141296,61.554314,51.538433,47.236412,46.551643,25.910774,13.923279,14.870191,19.761778,21.301388,29.26866,35.228687
2018-03-01 18:30:00,40.954124,51.761448,61.295254,52.660122,49.55587,46.650185,28.439396,16.60222,16.438606,22.984865,25.220224,31.015778
2018-03-01 19:00:00,43.541527,40.117172,51.472603,61.186367,53.94747,48.332455,47.674862,30.193995,18.15525,20.144077,26.522188,28.625275
2018-03-01 19:30:00,52.895508,41.988937,39.578728,51.104748,61.504993,52.560173,49.151535,49.12593,32.192505,21.824982,23.282812,30.38483
2018-03-01 20:00:00,57.95693,49.67391,41.79365,39.22178,51.411076,59.414345,53.523186,51.71055,51.535275,35.460278,24.983349,27.277716
2018-03-01 20:30:00,52.507786,53.88833,49.02619,40.532196,39.91641,48.91467,60.262764,55.545845,53.21963,54.203857,38.306644,28.904978
2018-03-01 21:00:00,38.112797,49.694862,52.78268,46.937313,40.78759,38.218903,50.537544,61.394688,56.252983,55.912796,55.73805,41.4866
2018-03-01 21:30:00,34.50031,37.274208,48.74563,50.999924,47.034977,39.338665,40.139236,52.357143,60.854183,58.91229,55.936646,57.268055
2018-03-01 22:00:00,27.14027,33.34511,36.811207,47.676594,51.01551,45.074467,41.412464,42.631126,50.5292,62.818657,58.629402,57.016018
2018-03-01 22:30:00,33.306328,26.245083,33.836983,36.145454,48.08677,48.345448,47.438435,43.72771,41.905148,53.20711,61.879154,59.812897
2018-03-01 23:00:00,24.884764,31.900677,26.667015,32.610153,36.95423,45.37186,50.441193,48.47432,42.809834,45.031563,51.979527,62.358936
2018-03-01 23:30:00,21.839144,24.16258,32.44963,25.623331,33.242043,35.1541,47.384865,51.264164,46.921425,45.116344,44.61613,52.83461
2018-03-02 00:00:00,19.132305,21.302588,24.612661,31.192432,26.806643,31.934427,37.35092,49.126606,49.318604,49.03512,45.392857,46.703865
2018-03-02 00:30:00,24.4109,18.489485,22.407242,24.358871,32.179916,25.955038,34.616894,40.12475,47.270527,51.463608,49.42751,46.618942
2018-03-02 01:00:00,18.196444,23.75676,19.841366,22.338806,26.001738,31.79173,29.105528,37.3289,39.299065,49.672497,51.274937,49.568665
2018-03-02 01:30:00,28.82537,17.934479,25.253645,19.84144,23.779297,25.844458,34.684372,31.426004,36.61187,42.342617,49.0179,51.227978
2018-03-02 02:00:00,23.864162,28.386032,19.4132,25.249117,20.970186,24.337868,28.366388,35.763695,31.143106,39.047684,42.159966,49.73819
2018-03-02 02:30:00,36.122013,23.604544,30.336517,19.980396,26.43429,22.061304,26.712704,30.182962,35.89753,33.738487,39.910503,44.052742
2018-03-02 03:00:00,21.1234,35.502743,25.007374,30.611864,21.532885,27.640469,24.461987,28.741823,30.774033,38.056873,35.24845,41.014656
2018-03-02 03:30:00,2.8007112,20.903471,37.06568,25.809233,31.664442,22.62033,29.819927,26.729872,29.83464,32.845966,40.23329,36.15655
2018-03-02 04:00:00,0.63467276,2.780734,21.938051,37.372482,27.154682,32.988976,24.874222,31.301228,28.002428,31.638153,34.144047,40.825363
2018-03-02 04:30:00,-0.58166635,-0.452073,4.655853,22.89173,38.399597,27.89384,34.716984,27.017117,32.913425,29.852682,33.071167,35.822903
2018-03-02 05:00:00,2.826758,-0.7521905,1.657245,5.1888204,24.311693,39.018585,29.675043,36.187622,28.707968,34.669083,31.16643,35.199627
2018-03-02 05:30:00,2.5847573,2.6996489,1.0398935,0.9993595,6.567103,24.690247,40.379982,31.93403,38.063282,30.759523,36.35469,33.71771
2018-03-02 06:00:00,2.4332643,2.576064,4.7608027,0.6881832,1.5701702,8.096533,26.438116,41.746964,33.516373,39.88005,32.182186,38.652718
2018-03-02 06:30:00,2.729651,2.4402227,4.382831,4.4339185,2.3177593,4.1060276,11.115929,29.348768,43.290176,35.66937,41.45589,34.968555
2018-03-02 07:00:00,3.3670945,2.7404585,4.187904,4.5659986,6.07807,4.790964,8.421959,14.944989,30.658411,45.035065,36.549957,43.81915
2018-03-02 07:30:00,5.761172,3.4389448,4.483295,4.4301877,6.2043557,8.424768,9.432503,11.358876,16.444984,33.064423,46.02203,39.204746
2018-03-02 08:00:00,2.1571488,6.005782,5.2109447,4.7259603,5.9856896,7.7754,12.695347,11.275758,12.804944,18.89062,33.324886,47.95015
2018-03-02 08:30:00,3.7795777,2.3231611,7.9055552,5.5216374,6.2644677,7.427286,11.67041,14.35241,13.335607,15.263409,20.078188,36.24407
2018-03-02 09:00:00,2.322085,3.820281,4.0524364,8.37339,7.1099114,7.691637,11.241173,14.252149,16.39981,16.399519,17.887169,23.646513
2018-03-02 09:30:00,2.0509896,2.3306227,5.6890864,4.573796,10.016082,8.522921,11.494167,14.059381,15.771043,19.753473,19.964228,21.301016
2018-03-02 10:00:00,2.6186395,2.0083761,4.0720096,5.9168706,6.229914,11.426664,12.256142,14.292123,15.465798,19.574438,23.602287,23.599264
2018-03-02 10:30:00,2.7089257,2.5874472,3.7604134,4.3508115,7.375273,7.558298,14.912468,15.001122,15.693761,19.393023,22.917377,27.574896
2018-03-02 11:00:00,5.0729814,2.7316198,4.339023,3.9486392,5.8832383,8.921854,11.243259,17.52862,16.43322,19.630548,22.609661,26.946701
2018-03-02 11:30:00,7.3879724,5.248126,4.4680285,4.521939,5.482535,7.3411884,12.602985,14.296025,19.0458,20.345678,22.840153,26.606644
2018-03-02 12:00:00,6.551699,7.810725,7.112579,4.7340093,6.039084,6.981371,11.166733,15.394868,15.683183,22.862337,23.541702,26.805805
2018-03-02 12:30:00,7.957022,7.040324,9.780177,7.498963,6.314215,7.511732,10.85508,14.031804,16.846994,19.665415,25.984283,27.488884
2018-03-02 13:00:00,2.3036027,8.424033,8.997878,10.462765,9.117446,7.7300396,11.354309,13.664533,15.437131,20.668615,22.673172,29.832653
2018-03-02 13:30:00,2.4656205,2.4675817,10.503043,9.819042,12.185611,10.540926,11.538811,14.115296,15.083013,19.353102,23.833656,26.654608
2018-03-02 14:00:00,2.1708894,2.2950506,4.3119807,11.211636,11.559802,13.5342655,14.114643,14.3062525,15.530263,18.979097,22.505753,27.76927
2018-03-02 14:30:00,1.805739,1.9995605,4.217323,4.8389974,12.814483,12.884623,16.809574,16.73825,15.72033,19.440477,22.21937,26.467808
2018-03-02 15:00:00,2.3756967,1.7068969,3.8046792,4.2346997,6.3745103,14.296564,16.102373,19.409414,18.23236,19.65458,22.687029,26.235592
2018-03-02 15:30:00,2.309054,2.3246603,3.4628747,3.8261988,5.540873,7.8926525,17.437021,18.955778,20.981194,22.074522,22.877075,26.664982
2018-03-02 16:00:00,3.1607919,2.2989683,4.0721316,3.5723422,5.245497,7.3398876,11.507671,20.194603,20.517086,24.748453,25.247393,26.851006
2018-03-02 16:30:00,5.73482,3.2131414,4.0084796,4.2273183,5.1236253,6.935999,11.198627,14.691667,21.81525,24.285671,27.744892,29.132801
2018-03-02 17:00:00,8.912543,5.9757833,4.967048,4.238812,5.7639337,6.6961803,10.920723,14.029767,16.14175,25.437813,27.119444,31.499731
2018-03-02 17:30:00,8.792922,9.460624,7.860435,5.2497907,5.8037477,7.251585,10.669201,13.606233,15.519738,19.946045,28.267374,30.896381
2018-03-02 18:00:00,2.0018106,9.476436,11.50035,8.3217125,6.835551,7.2108517,11.13097,13.358548,15.086545,19.18976,22.774252,31.975048
