,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-03-01 00:00:00,91.03734,122.15426,141.84349,116.333694,125.76191,92.77282,17.50448,12.723783,17.567387,42.458702,30.448973,35.86813
2018-03-01 00:30:00,108.36325,84.35032,117.4201,139.36885,111.140144,120.86364,90.20924,17.71492,14.273824,18.896135,42.647617,30.658186
2018-03-01 01:00:00,98.824905,99.51116,77.13345,112.37853,128.9638,108.422554,113.11902,88.737,19.701223,15.558006,22.34492,44.21644
2018-03-01 01:30:00,74.15378,88.62337,91.9865,69.60763,102.77525,127.4844,108.651344,108.674416,87.562004,22.452023,19.469116,23.960257
2018-03-01 02:00:00,90.97353,68.761925,82.90708,84.15471,64.71894,101.23042,126.61537,101.750275,106.5574,86.93546,24.391693,20.931664
2018-03-01 02:30:00,130.77458,87.56405,65.57687,75.01598,77.80486,62.84904,99.719215,113.09411,94.21851,102.60165,84.6156,27.145893
2018-03-01 03:00:00,119.296646,126.454704,81.30122,59.980225,68.03683,72.40089,58.77002,92.43449,108.13451,88.7926,99.10127,82.595665
2018-03-01 03:30:00,139.8917,116.605125,123.787476,75.97865,56.70573,63.43451,66.69158,56.080032,83.70106,95.39926,85.72828,98.20827
2018-03-01 04:00:00,161.64551,135.14308,115.12518,125.21989,71.90489,54.402637,58.798187,60.64899,52.146725,74.247826,91.897415,81.88259
2018-03-01 04:30:00,141.10245,154.6301,129.77882,116.510216,122.44719,68.95651,52.651615,53.74114,57.65895,48.274326,72.62653,88.478325
2018-03-01 05:00:00,142.51135,136.56973,149.04817,123.353004,114.88457,117.796524,65.88351,50.456573,50.59795,54.264584,47.37056,66.62678
2018-03-01 05:30:00,145.76144,137.50931,134.25139,141.5031,117.64988,110.743256,110.987976,62.37523,48.987164,49.062057,50.819824,45.000454
2018-03-01 06:00:00,116.972084,140.07695,131.89944,129.95212,135.17331,113.05698,105.909615,106.88549,59.629982,49.369473,46.905514,51.77811
2018-03-01 06:30:00,111.073715,108.318146,137.03535,125.17807,126.559105,128.44727,110.56769,102.79041,105.05784,56.218838,49.54702,48.773144
2018-03-01 07:00:00,102.20211,103.20683,98.66821,133.88756,119.23786,121.030014,124.316536,102.954834,101.48901,101.606735,54.13304,51.457516
2018-03-01 07:30:00,90.96916,94.58301,94.75692,92.16591,130.99997,114.46935,117.69241,115.63081,94.11665,99.19666,98.24621,52.72109
2018-03-01 08:00:00,92.74829,82.52034,87.61966,86.826866,85.645996,124.94262,111.85586,111.44281,106.89459,87.67819,96.22599,97.05737
2018-03-01 08:30:00,91.0582,84.73739,77.5059,79.92997,80.87656,80.341606,120.0316,104.021255,106.17229,99.75113,82.63389,94.1208
2018-03-01 09:00:00,75.96478,83.726,79.79558,70.47945,73.6161,76.10698,73.50656,113.03343,94.91418,101.2839,93.37251,78.59663
2018-03-01 09:30:00,71.0776,70.65448,78.966064,72.943665,64.3072,69.39882,70.440216,65.89416,109.65291,88.27194,96.18201,88.05066
2018-03-01 10:00:00,84.52351,67.371475,67.38391,72.52282,66.72699,60.66595,64.945694,64.67301,62.966824,104.6506,83.05726,92.043785
2018-03-01 10:30:00,85.80794,80.19554,64.604675,61.97309,66.60156,62.809982,57.066223,59.738075,61.106083,58.040558,99.43093,78.920555
2018-03-01 11:00:00,52.23823,81.52597,75.711205,59.825176,58.171597,62.801746,59.411064,52.812027,56.37575,57.43513,53.399208,95.44314
2018-03-01 11:30:00,50.192146,50.653606,76.806656,70.76227,57.328968,55.723236,59.819904,54.545406,50.102554,53.291676,53.45185,54.244625
2018-03-01 12:00:00,15.082454,52.475143,51.320827,71.836494,66.63349,55.496105,54.153606,54.91125,51.931496,48.83827,50.176765,52.142094
2018-03-01 12:30:00,12.51905,18.626715,53.580154,48.119057,67.86997,63.438644,54.57983,51.218513,52.534027,50.303696,47.316666,49.718407
2018-03-01 13:00:00,8.743545,15.063083,18.988613,53.08185,47.840263,64.52816,61.540947,52.15286,49.68257,50.800514,48.08086,49.042477
2018-03-01 13:30:00,6.2022004,11.386077,14.928779,22.933363,55.31903,45.765347,62.45375,56.935097,50.89901,49.556202,48.569996,49.356182
2018-03-01 14:00:00,5.3799005,7.234111,13.5545225,18.054274,25.979712,54.067936,44.415108,57.755276,55.72024,50.88602,49.34301,49.655403
2018-03-01 14:30:00,2.0887666,6.1963263,10.195083,17.042921,20.896708,30.82291,52.284447,44.958447,56.635593,53.653263,50.966972,51.06143
2018-03-01 15:00:00,1.9362475,2.8384848,7.3622394,11.752258,20.192366,24.245146,33.163242,52.959,46.566837,54.418404,51.77422,52.126698
2018-03-01 15:30:00,17.390356,2.7244596,3.4591591,9.223919,15.314586,23.184837,26.171364,33.92613,54.19114,47.55043,52.442097,52.268463
2018-03-01 16:00:00,34.307056,20.609385,3.795318,5.2541356,11.72544,17.110874,25.610666,26.983175,36.370228,54.55934,49.68691,52.8298
2018-03-01 16:30:00,42.068405,36.621937,24.537794,5.6814313,7.854365,13.487028,18.75332,25.945236,29.980612,40.74526,55.222702,51.197407
2018-03-01 17:00:00,45.750908,46.110767,41.273815,28.145979,8.023093,9.1079235,15.11647,18.782528,27.58751,33.326588,42.220547,57.969387
2018-03-01 17:30:00,58.98388,50.06156,51.176125,45.755196,32.204346,8.958948,10.995571,15.838315,20.911537,30.981804,37.61141,44.241947
2018-03-01 18:00:00,59.139175,62.409176,54.36767,55.423775,48.204254,34.795982,11.31213,12.571301,17.279522,22.599636,33.641167,39.74377
2018-03-01 18:30:00,37.674644,62.439644,64.635056,59.944973,57.270947,49.492847,37.478073,13.136037,13.839429,19.438143,26.084524,36.23011
2018-03-01 19:00:00,38.011997,40.485325,64.55432,66.055176,61.884136,59.293907,51.05692,39.63212,14.424428,15.805599,22.256638,27.838112
2018-03-01 19:30:00,56.6785,38.295124,42.856186,66.030235,67.09636,64.29011,58.97027,51.59103,41.7359,16.432993,19.000973,24.559128
2018-03-01 20:00:00,61.567337,56.527885,38.923626,45.990242,67.05419,69.373955,63.181644,61.79433,53.62306,44.5018,18.641706,21.221384
2018-03-01 20:30:00,53.676434,60.913708,55.778614,40.049767,47.720547,69.06344,69.17729,67.80624,63.890854,55.06569,45.34278,21.14178
2018-03-01 21:00:00,37.86418,53.780132,59.905556,53.56487,42.046574,47.87202,68.54933,69.59569,70.09268,65.73275,55.59557,46.436005
2018-03-01 21:30:00,31.316698,38.430798,53.559246,57.47849,53.189682,41.94637,47.6206,69.63983,69.651,72.62832,66.33437,58.30079
2018-03-01 22:00:00,27.073364,31.736074,38.90913,52.289238,56.360016,52.29687,42.784332,49.28605,69.54615,70.353584,73.070206,67.93982
2018-03-01 22:30:00,28.863508,28.480122,31.669708,40.48473,51.547386,55.119198,53.209686,43.327698,50.95912,70.441826,70.93397,74.02026
2018-03-01 23:00:00,24.451542,29.798113,28.829517,33.50717,42.906128,50.80474,55.76589,51.49217,43.294678,49.886845,71.24088,69.932526
2018-03-01 23:30:00,16.461296,25.250896,29.60614,31.243797,34.613617,41.91104,51.85423,52.867275,51.45318,43.086624,50.48177,69.79536
2018-03-02 00:00:00,15.680324,15.625903,26.271372,31.854197,33.08659,35.501736,41.538513,49.636307,53.225426,51.063526,43.288193,49.675697
2018-03-02 00:30:00,22.513983,16.091133,17.614397,28.24105,32.678253,35.28593,35.368572,42.985233,50.63629,52.466988,51.551777,43.460453
2018-03-02 01:00:00,15.529262,23.664423,17.981695,18.737791,29.976192,34.149017,35.806225,37.139385,43.408638,49.247902,52.662964,51.995274
2018-03-02 01:30:00,24.966513,15.934886,24.852045,19.158878,20.396364,31.718512,34.162445,37.193893,37.415585,42.910557,50.124416,53.161533
2018-03-02 02:00:00,24.755527,25.631865,17.864634,26.490438,21.189188,20.758419,32.27456,35.910233,38.339684,37.545593,43.515373,49.60062
2018-03-02 02:30:00,32.26015,25.95074,27.422123,18.975943,28.488659,22.88277,22.133099,33.450485,36.757523,40.020462,37.74115,43.15907
2018-03-02 03:00:00,20.872753,32.799004,28.958298,28.479176,21.065203,30.712534,23.80523,23.454903,34.170765,37.663647,40.264317,37.95287
2018-03-02 03:30:00,4.287146,22.477009,34.97269,30.751806,30.914587,22.711964,31.452433,24.511456,24.07731,34.75416,38.18958,40.70732
2018-03-02 04:00:00,2.7056413,4.2209387,25.20175,37.11929,33.954556,32.089027,23.62537,32.616585,25.422215,24.59954,35.567333,38.47711
2018-03-02 04:30:00,4.670447,3.530017,6.658733,26.77082,39.359734,35.650127,32.558346,24.39976,33.824734,27.007257,26.29129,35.99721
2018-03-02 05:00:00,4.6469216,7.5967283,5.0314937,7.25232,30.059996,39.647434,36.728184,34.59423,25.321037,34.96452,28.3439,26.847214
2018-03-02 05:30:00,1.3570086,5.4029646,9.050319,6.717652,10.808684,32.084858,39.986923,38.00584,35.7193,26.901001,35.159737,29.744444
2018-03-02 06:00:00,0.38372672,2.088191,7.3732677,12.658356,9.977103,10.331022,33.26914,40.949844,39.846077,35.622154,28.248055,36.209026
2018-03-02 06:30:00,0.70316565,1.2918082,2.7770836,8.823685,15.528117,11.443216,12.329472,35.34575,42.449722,41.58196,36.28795,29.61871
2018-03-02 07:00:00,1.2163378,1.9697601,2.1232293,4.569367,12.042144,18.710339,13.033955,14.603971,36.921238,42.165035,41.716747,36.04394
2018-03-02 07:30:00,3.5868058,2.5049353,2.9575264,4.3047833,7.2684426,13.777567,21.681591,13.894517,15.835851,38.20372,42.86451,42.31288
2018-03-02 08:00:00,0.63513815,5.3549223,3.499408,5.7287946,6.5971437,8.396379,15.17503,20.73612,15.70836,16.0827,38.837543,42.91005
2018-03-02 08:30:00,1.2254435,1.8939239,6.6408687,6.302506,7.9614053,7.7660847,10.342239,15.731725,23.302994,17.559946,19.785625,39.16964
2018-03-02 09:00:00,1.0486857,2.4415617,2.9129746,9.64719,8.529086,9.855585,10.432083,12.114282,17.604212,27.207743,21.210293,20.222378
2018-03-02 09:30:00,0.23426688,2.5501623,3.5417435,5.5310674,12.022075,10.41868,12.893425,12.05848,13.406404,19.36766,28.788767,23.275698
2018-03-02 10:00:00,0.59360754,1.0907279,3.5211213,5.8644147,7.784579,14.231886,13.500011,14.160802,13.582406,15.251888,22.786203,32.949207
2018-03-02 10:30:00,0.7663561,1.7278205,1.7914537,6.620667,8.182216,9.608835,17.635813,14.72487,15.964028,16.083767,18.542938,24.860182
2018-03-02 11:00:00,2.5585961,1.970275,2.5963051,3.8751795,8.903441,9.922289,12.654835,19.17578,16.52681,18.746958,18.102459,20.681295
2018-03-02 11:30:00,6.201678,4.017047,2.8493989,5.185639,6.296435,10.88344,12.884022,14.03439,20.934517,19.284801,20.57596,21.04085
2018-03-02 12:00:00,5.433291,8.977946,5.1397243,5.57169,7.4138284,7.359812,14.331928,14.412316,15.742883,23.713232,21.107445,23.405214
2018-03-02 12:30:00,6.7802224,7.783736,10.49689,7.9902577,7.7743325,9.025976,9.764149,15.4591875,15.964013,18.500957,25.148989,23.824802
2018-03-02 13:00:00,0.9976336,9.392825,9.287791,13.452606,10.300902,9.527319,11.902424,11.467435,17.330784,18.527306,20.25886,27.600065
2018-03-02 13:30:00,0.5707575,2.1828985,11.028026,12.011116,16.15663,12.314245,12.437412,13.26827,12.864915,20.315254,20.287653,23.174053
2018-03-02 14:00:00,0.93637335,1.3676063,3.16838,13.537003,14.704608,19.20113,15.526154,13.724309,15.008393,15.183277,22.051464,23.091223
2018-03-02 14:30:00,0.59779227,2.252696,2.1910698,5.7437367,16.403214,17.595581,22.537535,16.833855,15.532159,17.698711,17.677664,24.777758
2018-03-02 15:00:00,0.33838904,1.5237609,2.9216645,4.1628385,7.9724793,19.615255,20.798756,25.038166,18.634342,18.23249,19.609997,20.450945
2018-03-02 15:30:00,0.4541651,1.2307578,2.0673745,5.9482274,6.668917,9.717478,22.618013,23.193722,26.732304,21.359993,20.165077,22.463984
2018-03-02 16:00:00,0.8987185,1.6095077,1.9145464,4.1511617,8.053004,7.600855,12.661385,25.472435,24.755442,29.413681,22.983809,22.949074
2018-03-02 16:30:00,3.7625108,2.1050634,2.4760926,4.0669217,6.714682,9.821081,9.9469185,14.022965,26.925165,27.443163,30.302977,25.535465
2018-03-02 17:00:00,7.8808694,5.7747145,3.0524514,5.1160436,6.43936,7.879072,12.571659,11.734197,15.735665,29.476664,28.474081,32.439655
2018-03-02 17:30:00,8.04407,10.92644,7.0851893,5.7142835,7.3490243,7.5882893,10.026905,13.646825,13.091905,18.39552,30.318104,30.735804
2018-03-02 18:00:00,1.3287989,10.923736,12.670138,10.148857,7.9317193,8.99618,10.030884,11.707437,15.640748,15.186386,20.214855,32.39605
2018-03-02 18:30:00,-0.3164686,2.6160498,12.74314,15.676548,12.572528,9.708303,11.901527,11.6908655,13.0864,18.280216,17.80494,23.035482
2018-03-02 19:00:00,0.9659792,0.5189773,3.8649628,15.623291,18.552818,14.966234,12.651928,13.246488,13.12647,15.28997,20.505648,20.376364
2018-03-02 19:30:00,1.2053667,2.365138,1.3867334,6.137509,18.573036,21.681692,18.440454,13.968247,15.009942,15.566578,18.225927,23.191633
2018-03-02 20:00:00,0.8986002,2.1904173,3.003238,3.4524424,8.694861,21.69472,24.978233,20.15436,15.732224,17.741768,17.925415,20.746807
2018-03-02 20:30:00,4.4610124,1.8137199,2.6903565,6.109051,5.8963456,10.722643,24.824938,27.66216,21.911928,18.419634,19.652758,20.747385
2018-03-02 21:00:00,1.5601183,6.7008123,2.5835679,4.7986417,8.251739,6.851305,13.585426,27.627745,29.389202,24.731058,20.284098,22.522804
2018-03-02 21:30:00,0.7113329,3.0934515,8.072505,4.759087,7.3340325,10.058123,9.433121,15.347493,29.250006,31.94453,26.054026,23.085234
2018-03-02 22:00:00,0.594607,1.826625,4.2147555,11.090683,7.0532327,8.580469,12.859604,11.125974,16.929987,31.687733,32.702038,28.509834
2018-03-02 22:30:00,1.5344454,1.9538985,2.9225342,7.08059,13.606109,8.255785,10.678272,13.737443,12.593225,19.44472,32.558918,34.67257
2018-03-02 23:00:00,2.391749,2.708106,2.8841507,5.1137357,9.39133,16.218033,10.790638,12.207829,15.775468,14.8712845,21.230219,34.49764
2018-03-02 23:30:00,5.2419534,3.731349,3.5246003,5.812859,7.547835,11.47172,19.639862,12.399018,13.582189,18.55429,17.24858,24.009163
2018-03-03 00:00:00,1.2153116,7.4221754,4.766105,6.255482,8.072116,9.040373,14.792919,21.6227,13.882588,15.86829,20.783276,20.175285
2018-03-03 00:30:00,0.3222109,2.6175413,8.860808,7.6008496,8.383262,10.006968,11.985916,16.154848,23.345411,16.331701,18.772036,23.588463
2018-03-03 01:00:00,1.886954,1.24253,3.7365334,11.668755,9.848964,10.095575,13.189552,13.579564,17.919397,26.120878,18.45538,21.306885
2018-03-03 01:30:00,0.9040781,3.4155836,2.2614243,6.4137197,14.223029,11.7568035,12.864216,14.37869,15.11342,20.777855,27.31762,21.273302
2018-03-03 02:00:00,0.36749136,1.9804679,4.343883,4.330807,8.717204,16.836458,14.877121,14.105622,16.253578,17.621471,22.345037,29.680042
2018-03-03 02:30:00,0.049597383,1.237693,2.5908577,7.506764,6.7179856,10.773756,20.0377,16.076244,15.93805,19.130804,19.456894,25.128237
2018-03-03 03:00:00,0.2956339,1.1541702,2.0754082,5.0505185,9.787467,7.826666,13.93195,22.149958,17.891932,18.481396,20.946619,22.337994
2018-03-03 03:30:00,0.3504206,1.353572,2.0267708,4.167668,7.343409,11.752516,10.62896,15.339242,23.79429,20.565445,20.53882,23.765295
2018-03-03 04:00:00,0.3051554,1.4626952,2.1560013,4.560162,6.499453,8.689672,15.206203,12.264226,17.042402,26.412169,22.33758,23.115562
2018-03-03 04:30:00,0.6854502,1.395816,2.3028557,4.6504483,6.845797,7.5876484,11.238884,16.275997,13.755437,19.834843,27.593065,24.838789
2018-03-03 05:00:00,0.21605551,1.9670707,2.2883446,4.8785176,6.8971314,8.384916,10.12891,12.686048,18.202974,16.188099,21.4777,29.814943
2018-03-03 05:30:00,0.18832648,1.3866225,2.9826577,4.7655797,7.1196694,8.34033,11.309544,11.80745,14.255002,21.100454,18.100887,24.316948
2018-03-03 06:00:00,0.31502783,1.2733947,2.3337777,5.733399,7.044211,8.675711,11.155544,12.729558,13.254819,16.838633,22.865875,21.083885
2018-03-03 06:30:00,1.5236422,1.5466186,2.2000153,4.9364705,7.9720826,8.570089,11.546165,12.582829,14.431058,15.609413,19.062178,25.389536
2018-03-03 07:00:00,0.65844977,2.8758535,2.4945862,4.633118,7.219107,9.882967,11.47002,12.929299,14.285203,17.214909,17.84302,21.852829
2018-03-03 07:30:00,0.71045935,1.9398109,3.9236748,5.2266736,6.9421105,8.904875,12.948067,12.909131,14.664594,16.976578,19.079065,20.713612
2018-03-03 08:00:00,2.1195664,1.9392577,2.9522126,6.769974,7.4823174,8.461897,11.905067,14.238065,14.582627,17.385883,18.920052,22.065844
2018-03-03 08:30:00,4.3432794,3.836505,2.9772751,5.710404,9.046966,9.286924,11.397514,13.283814,16.020472,17.308863,19.306477,21.835657
2018-03-03 09:00:00,0.55493796,6.2907057,5.023769,5.4073377,7.950476,10.972242,12.315422,12.865895,15.005738,18.813335,19.163197,22.205545
2018-03-03 09:30:00,2.489264,1.6904136,7.613853,8.129524,7.701819,9.862848,14.179317,13.620835,14.507791,17.810732,20.604078,22.116838
2018-03-03 10:00:00,0.9883219,3.8417807,2.6703827,10.617439,10.472941,9.436186,12.929085,15.396043,15.409139,17.260536,19.621145,23.461092
2018-03-03 10:30:00,0.24948752,2.5309362,5.1082454,5.0696797,13.04626,12.625135,12.444469,14.214223,17.194916,18.23242,19.06914,22.58608
2018-03-03 11:00:00,0.39923728,1.0532409,3.4584267,7.5474553,7.367827,15.392862,16.163391,13.9239855,16.00182,20.001049,20.065968,22.071486
2018-03-03 11:30:00,0.38324988,1.6053878,1.8505205,6.6401143,9.916553,8.965891,18.72944,17.550127,15.532662,18.799881,21.715057,22.976896
2018-03-03 12:00:00,0.28803122,1.4266921,2.4468377,3.8444788,8.916774,12.006941,11.916355,20.433521,19.340649,18.227541,20.594051,24.399931
2018-03-03 12:30:00,0.707728,1.2961341,2.1409638,5.2169423,6.3811173,10.908121,14.8893585,13.400296,22.21042,22.316654,19.969704,23.452621
2018-03-03 13:00:00,0.996802,1.9595138,2.1192124,4.614346,7.4309716,7.3148556,14.397621,16.532835,15.0131235,24.905975,23.813084,22.899933
2018-03-03 13:30:00,0.70804465,2.3351965,2.9472,4.4820294,6.872748,9.161852,9.68145,15.489785,18.121973,17.707031,26.27704,26.495129
2018-03-03 14:00:00,0.086622834,1.9565345,3.3719132,5.6745725,6.7595773,8.230402,12.087601,11.450154,17.406506,20.698162,19.48462,28.582142
2018-03-03 14:30:00,0.47725546,1.1755096,2.967395,6.1822553,7.910605,8.113684,10.941841,13.365808,12.82705,20.409357,22.331116,22.438745
2018-03-03 15:00:00,1.4717966,1.6462508,2.105796,5.6105084,8.4414625,9.775576,10.91362,12.395768,15.200406,14.96339,22.173681,24.942636
2018-03-03 15:30:00,1.7172152,2.8648329,2.5769722,4.545861,7.852759,10.379114,12.799442,12.411431,14.055612,17.96532,17.613544,24.889305
2018-03-03 16:00:00,3.0219216,3.0626516,3.8662636,5.1872144,6.866011,9.680349,13.565037,14.091104,14.043485,16.710741,19.91784,20.24299
2018-03-03 16:30:00,6.5898614,4.75727,4.132236,6.799294,7.439036,8.391489,12.710255,14.810586,15.875115,16.70838,18.757246,22.75635
2018-03-03 17:00:00,4.465594,9.446616,6.032146,6.9259152,9.077228,9.126513,11.346081,14.066987,16.596838,18.637724,18.615606,21.657427
2018-03-03 17:30:00,3.4264627,6.5116835,11.017795,8.913742,9.19218,11.006811,12.082653,12.81416,15.794858,19.424145,20.45828,21.572008
2018-03-03 18:00:00,5.4585214,4.8183317,7.905521,13.88158,11.337783,11.122522,14.287472,13.445352,14.457414,18.544178,21.160984,23.301134
2018-03-03 18:30:00,10.055427,7.63148,6.18391,10.763905,16.660196,13.627047,14.276733,15.447373,15.179345,17.234407,20.31835,23.960646
2018-03-03 19:00:00,5.3278337,12.751681,9.028266,8.5797615,13.284312,19.834589,17.004711,15.536889,17.283699,17.926947,19.03434,23.20536
2018-03-03 19:30:00,8.937236,6.7696714,14.562518,11.978516,11.009288,15.811113,23.108942,18.620031,17.314579,20.131992,19.7709,22.057642
2018-03-03 20:00:00,6.717036,11.116076,8.136317,17.078161,14.489192,13.152212,19.114359,25.77984,20.311033,20.070206,21.861635,22.671959
2018-03-03 20:30:00,14.832797,9.0057745,12.999949,10.744362,19.976677,17.004889,15.975414,21.068192,27.420713,23.15679,21.777508,24.527056
2018-03-03 21:00:00,3.7497544,17.143772,10.465217,14.981224,13.126079,22.85158,20.236591,17.741814,22.722363,30.082066,24.554552,24.446398
2018-03-03 21:30:00,3.113051,5.0984106,19.506247,13.382977,17.85393,15.141378,25.699032,22.163494,19.287004,25.45172,30.890364,27.15243
2018-03-03 22:00:00,6.6808534,3.65623,6.1551127,21.474813,16.007496,20.67324,18.015022,28.09937,23.94284,21.79429,26.689789,32.99202
2018-03-03 22:30:00,3.8960824,9.413074,5.396175,9.037319,24.697138,18.628647,23.033926,19.64463,29.887817,26.52509,23.346092,29.05615
2018-03-03 23:00:00,1.9466578,4.7150793,10.631194,6.7654424,11.260325,26.990606,21.800457,25.86056,21.303638,32.18205,27.77853,25.814283
