,LSTM-Bidirecional-1,LSTM-Bidirecional-2,LSTM-Bidirecional-3,LSTM-Bidirecional-4,LSTM-Bidirecional-5,LSTM-Bidirecional-6,LSTM-Bidirecional-7,LSTM-Bidirecional-8,LSTM-Bidirecional-9,LSTM-Bidirecional-10,LSTM-Bidirecional-11,LSTM-Bidirecional-12
2018-09-01 00:00:00,42.87736,44.065754,52.25096,42.863857,29.39411,71.100624,98.06942,77.149345,63.972473,88.14739,104.524086,107.551765
2018-09-01 00:30:00,47.15134,43.953003,45.80906,54.330635,45.288918,31.195097,71.219,97.78225,76.89256,63.438576,91.138596,102.53586
2018-09-01 01:00:00,41.98148,48.056263,44.723907,47.67009,57.616947,47.665287,31.900173,71.94872,98.63279,80.86853,67.85992,92.680595
2018-09-01 01:30:00,40.467754,43.715126,48.74045,45.973415,50.616306,59.311333,49.20573,33.661213,72.948616,99.79422,83.196205,70.40154
2018-09-01 02:00:00,42.167145,42.26703,45.366257,49.786057,48.82049,51.378,58.90687,52.382442,33.567207,72.83732,99.31017,84.675156
2018-09-01 02:30:00,39.62945,43.798378,43.992043,47.114616,52.601986,50.464,51.37445,59.32889,53.7348,35.926884,77.26155,97.6842
2018-09-01 03:00:00,64.488884,41.5256,45.391136,46.055386,50.329185,54.520367,51.470795,52.53186,59.580704,55.04424,37.419533,78.61421
2018-09-01 03:30:00,57.099113,64.3115,43.44985,47.341816,49.486267,51.85357,55.81401,53.870323,52.929546,62.16222,54.311558,37.326427
2018-09-01 04:00:00,71.226364,57.65819,64.2102,45.61336,50.721634,51.216908,52.832764,58.37988,55.36546,55.171696,63.18307,52.224087
2018-09-01 04:30:00,58.583332,70.38903,58.39106,64.767845,49.08084,52.511616,52.039955,54.825623,60.283638,57.63867,55.982605,63.521225
2018-09-01 05:00:00,26.693802,58.961006,69.92262,58.920998,67.142166,50.620483,53.28753,53.88784,56.21624,62.520794,57.7103,55.794823
2018-09-01 05:30:00,55.23078,30.004892,59.666092,69.59555,61.26743,69.365555,51.1949,55.16571,55.109055,58.59478,62.56397,56.35778
2018-09-01 06:00:00,76.61106,55.746758,33.491776,59.78703,71.2364,62.80432,70.23229,52.871502,56.316616,57.497368,59.28945,61.073177
2018-09-01 06:30:00,90.498085,75.29588,56.357327,36.569992,61.983543,73.0431,63.99926,72.47267,53.735386,58.70871,58.169464,58.733475
2018-09-01 07:00:00,87.29222,87.86063,74.6091,57.76991,40.993534,63.635315,74.3485,66.18872,74.40121,56.18611,59.328876,57.61343
2018-09-01 07:30:00,63.903522,84.09544,86.127365,74.20011,61.220165,42.842762,65.58042,76.670616,68.12825,76.408844,57.036503,58.7637
2018-09-01 08:00:00,64.95913,63.49097,82.344826,84.95458,76.00337,64.61853,44.21285,68.2887,78.94519,70.33167,76.03339,56.824883
2018-09-01 08:30:00,64.14909,64.87505,64.2614,80.83136,85.75145,78.358894,66.03362,45.873055,70.7981,80.56828,70.64292,73.99531
2018-09-01 09:00:00,68.94872,64.72531,65.1576,64.19279,81.24521,87.70657,79.22517,68.37024,47.146404,73.09662,80.13763,69.50903
2018-09-01 09:30:00,60.941326,69.09617,65.93182,65.067726,66.275116,82.907425,88.26919,81.209816,70.29308,50.38254,73.57655,78.070496
2018-09-01 10:00:00,80.8502,61.52738,70.26602,66.69593,67.24253,68.106255,84.3245,89.86019,83.02858,72.727196,52.396713,72.62465
2018-09-01 10:30:00,116.67873,79.606255,62.66505,70.92195,69.08482,69.495544,70.15553,86.795044,91.5969,84.53259,72.86623,53.271233
2018-09-01 11:00:00,114.540085,111.738884,78.76122,63.166786,72.83189,70.66507,71.86776,72.79499,89.10068,92.179146,83.9648,71.57292
2018-09-01 11:30:00,124.33275,109.26051,107.18953,78.31985,65.20879,73.59889,71.912,74.746704,75.595085,89.48016,90.96847,82.137505
2018-09-01 12:00:00,97.67283,118.006805,105.01683,104.53354,79.37292,66.09136,73.9054,73.52514,77.74467,78.11394,88.21448,88.72708
2018-09-01 12:30:00,94.128105,94.19274,111.319405,102.42617,104.40344,80.84439,67.24199,74.81269,75.26332,79.74673,78.905464,86.22699
2018-09-01 13:00:00,84.07221,91.867775,91.701866,110.07933,102.64584,108.14596,81.897156,69.0314,75.92295,77.442856,80.04211,78.78393
2018-09-01 13:30:00,67.43807,82.40363,90.83902,90.54938,112.24,106.25559,109.44608,83.884834,70.847565,77.93281,78.19533,79.0851
2018-09-01 14:00:00,64.534546,67.71175,82.556335,90.37745,92.45103,114.61077,107.3827,111.866745,86.336655,72.868965,78.660934,77.605385
