,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-09-01 00:00:00,39.120396,38.142223,46.37723,40.96316,37.27075,34.613697,92.23264,61.2628,61.343735,79.17459,102.16017,113.29535
2018-09-01 00:30:00,40.26118,40.694916,40.71602,47.938503,42.865852,39.107014,38.663536,93.594,63.0283,61.046432,81.34073,102.41905
2018-09-01 01:00:00,35.46008,42.086266,42.62951,42.626137,49.73092,44.41069,41.452988,44.1911,96.65635,64.663925,64.46554,84.008606
2018-09-01 01:30:00,34.055164,38.045086,44.20342,44.22696,44.489258,51.25977,46.159912,44.027554,47.750626,100.254814,66.82401,68.70853
2018-09-01 02:00:00,35.35994,36.77012,40.906822,45.802864,45.920444,46.06217,53.200474,47.904045,46.093285,47.733276,99.11885,68.48227
2018-09-01 02:30:00,33.339607,37.97849,39.702835,42.761555,47.51021,47.297173,48.32268,55.46726,49.80929,47.91692,50.626087,96.24376
2018-09-01 03:00:00,51.022217,36.14987,40.778736,41.56204,44.625496,48.88998,49.30571,51.057476,57.666325,52.25054,49.638073,54.584793
2018-09-01 03:30:00,49.232117,52.220333,39.155296,42.587875,43.464817,46.12304,50.872704,51.655323,53.31303,59.723972,53.50607,50.671577
2018-09-01 04:00:00,61.59052,50.877018,53.526432,41.0585,44.476036,44.98193,48.261063,53.20084,53.724777,54.84297,60.989784,53.834553
2018-09-01 04:30:00,50.6911,62.205036,52.851284,54.754547,43.0038,45.99344,47.098785,50.71622,55.23877,55.447876,56.13397,61.472588
2018-09-01 05:00:00,24.882446,52.573475,63.032684,54.39113,56.254944,44.56806,48.073723,49.447018,52.65086,56.95888,56.420277,57.003353
2018-09-01 05:30:00,47.010433,28.995241,54.842102,64.05789,55.943146,57.501255,46.718086,50.39777,51.28154,54.20108,58.13354,56.855743
2018-09-01 06:00:00,61.99765,49.004623,33.58828,56.396248,65.25304,57.26653,59.211647,49.106712,52.276176,52.900753,55.869797,58.760197
2018-09-01 06:30:00,82.73027,62.83717,50.94144,35.92398,57.878155,66.32032,59.25552,61.361378,50.97265,53.961063,54.688946,57.091175
2018-09-01 07:00:00,77.50229,82.01336,63.619343,52.263916,38.128716,59.10864,67.90679,61.954536,63.57715,52.602406,55.68886,55.980354
2018-09-01 07:30:00,50.332714,77.48437,81.37534,64.56299,53.908512,39.69032,61.071423,70.26572,64.39079,65.59476,54.436962,56.88001
2018-09-01 08:00:00,55.871628,53.146053,78.07784,81.9212,65.84845,55.23239,42.123226,63.811176,72.73093,65.92951,66.39189,55.771584
2018-09-01 08:30:00,53.84233,57.78747,56.55012,79.1049,82.639114,67.00151,56.88729,44.684784,66.16249,74.57354,66.894585,66.444565
2018-09-01 09:00:00,56.426353,55.968346,59.759987,58.451702,79.92148,83.5951,68.43537,58.80084,46.192577,67.47853,74.93887,67.4331
