,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-09-01 00:00:00,38.40841,38.939407,38.840946,31.995111,28.379385,43.554817,66.57415,36.014164,33.605213,68.77089,112.36027,121.72973
2018-09-01 00:30:00,41.109783,40.769547,40.087654,41.34205,35.20911,28.578085,46.333645,72.07253,37.841633,31.357498,72.93438,112.193184
2018-09-01 01:00:00,38.907177,43.42239,41.93103,42.72804,43.958473,35.29035,32.23563,48.15383,71.528175,40.495663,37.190495,75.00285
2018-09-01 01:30:00,36.61455,41.27375,44.48364,44.496704,45.13753,44.139652,37.43815,33.155163,50.032043,76.96015,42.82288,40.13421
2018-09-01 02:00:00,36.37606,39.113598,43.126408,47.031937,46.915745,45.359703,45.395134,39.928337,35.454536,49.011806,75.08785,44.170677
2018-09-01 02:30:00,35.13909,38.925266,41.25966,45.78662,49.365566,47.04166,46.823406,48.736652,41.47008,35.60175,51.84606,74.41672
2018-09-01 03:00:00,47.258358,37.713066,40.87357,43.926884,48.103264,49.427197,48.511673,50.01339,49.83765,43.93624,39.024883,52.794205
2018-09-01 03:30:00,50.15554,49.509415,39.79943,43.50783,46.346138,48.18029,50.832428,51.594555,51.17352,52.41822,45.6173,40.289276
2018-09-01 04:00:00,59.24337,52.08391,49.18129,42.463715,45.97327,46.42253,49.883568,53.81935,52.643665,52.966995,53.37833,46.32159
2018-09-01 04:30:00,54.599724,60.937344,52.357872,51.549076,44.94592,46.049946,48.275513,52.486404,54.765377,54.474777,54.252834,53.77018
2018-09-01 05:00:00,32.184452,56.30128,60.129147,54.872787,53.845634,45.051937,47.846973,50.714825,53.58534,56.64015,55.745705,54.646667
2018-09-01 05:30:00,39.048904,34.669384,57.444324,62.444046,56.851044,53.820347,46.91148,50.36224,51.899784,55.090294,57.82756,56.1052
2018-09-01 06:00:00,57.123337,41.782944,39.72296,60.02555,64.27252,56.839977,54.668602,49.406162,51.535,53.39722,56.59548,58.186733
2018-09-01 06:30:00,77.83529,59.116657,43.4383,42.815887,61.724895,64.09575,57.81123,58.080463,50.644135,53.1932,55.03852,57.115314
2018-09-01 07:00:00,79.90981,78.9009,57.53865,45.921432,45.01071,61.592384,64.579666,61.024097,58.686028,52.23204,54.75865,55.63578
2018-09-01 07:30:00,55.464275,80.629906,75.273544,59.781277,48.50014,45.088074,62.782967,68.0276,61.65601,61.28108,53.864525,55.339695
2018-09-01 08:00:00,54.404526,56.95777,79.20848,77.240265,61.82361,48.409412,47.977486,65.423615,68.264915,63.552452,61.873474,54.47574
2018-09-01 08:30:00,55.729965,56.489376,60.849594,81.32325,78.67232,61.66833,50.10797,49.00786,66.00476,70.544586,64.33065,62.025402
2018-09-01 09:00:00,59.080555,57.72072,58.5088,63.74701,82.35183,78.29543,61.94972,52.362095,50.599255,67.266716,70.81998,64.50975
2018-09-01 09:30:00,56.08154,60.883163,58.900723,61.056694,65.02192,81.87564,77.604996,65.635284,53.33278,50.52468,68.29894,70.75369
2018-09-01 10:00:00,66.050186,57.847893,61.271397,61.449726,62.91298,64.78933,81.888145,81.986145,65.84817,55.493977,53.31428,68.55892
2018-09-01 10:30:00,100.79302,67.623184,58.973877,63.73682,63.223866,62.5866,66.84332,85.280334,81.55871,68.86438,56.906723,54.4202
2018-09-01 11:00:00,108.59409,101.269844,66.76133,61.535904,65.44291,62.988422,64.07626,68.0871,85.09021,84.559204,68.85467,57.500023
2018-09-01 11:30:00,117.01283,108.34973,95.265045,68.99464,63.225445,65.21005,64.16352,65.76156,68.90839,86.59658,83.56597,68.804344
2018-09-01 12:00:00,86.917946,116.64337,105.03848,96.6069,70.63862,63.03981,66.0668,66.31493,66.28632,68.57326,86.35457,82.92715
2018-09-01 12:30:00,80.58535,87.31869,113.8292,106.41047,97.77994,70.28802,64.194084,68.6569,66.80831,67.719345,70.58831,85.89195
2018-09-01 13:00:00,74.950645,81.80757,91.21942,114.88877,106.84823,96.88785,70.65954,66.64037,69.01338,68.501976,69.068344,71.23961
2018-09-01 13:30:00,52.18896,76.314804,84.04126,93.6453,115.23995,105.77663,95.25114,73.76333,67.15933,70.86712,69.49912,69.59037
2018-09-01 14:00:00,55.21546,54.131508,78.14156,86.418,93.72222,113.84319,104.97153,99.90675,73.79683,68.553604,71.55086,69.92928
2018-09-01 14:30:00,93.16917,57.390438,58.835804,80.63472,87.23299,92.92474,113.101944,108.35443,98.80267,76.06188,69.55134,71.78485
2018-09-01 15:00:00,116.80647,94.12119,58.85916,61.945717,81.58643,86.4997,94.408844,115.81752,107.66525,102.35465,76.211525,69.86086
2018-09-01 15:30:00,122.00437,116.41412,88.44324,61.379753,63.27927,81.03481,87.46338,94.76181,115.06057,108.98123,100.203255,76.13008
2018-09-01 16:00:00,98.48706,121.28793,110.547455,89.936,63.272263,63.1083,81.98118,88.190926,95.02448,116.015945,107.619125,98.991425
2018-09-01 16:30:00,102.509094,98.51561,118.14697,111.585144,91.35585,62.966305,65.37116,83.097694,88.15893,93.720985,114.751915,106.490715
2018-09-01 17:00:00,111.4623,103.0117,101.084984,119.048256,112.18614,90.57453,64.23875,65.74333,83.195175,88.74129,95.18794,113.52318
2018-09-01 17:30:00,123.78671,111.61484,102.96502,103.05287,119.24753,110.9939,89.08785,66.03574,66.68521,84.07682,89.79259,95.4787
2018-09-01 18:00:00,122.77243,123.4362,110.01392,104.63458,103.032555,117.76991,109.34528,93.58403,66.500244,66.53321,85.01881,90.12825
2018-09-01 18:30:00,116.30547,122.2541,120.558655,111.395424,105.12376,101.970276,116.967316,113.61832,92.57337,68.32437,68.866844,85.42545
2018-09-01 19:00:00,126.491936,116.05259,121.07293,121.459145,111.76522,103.97108,102.9485,119.8382,112.56484,96.57775,69.45434,69.95804
2018-09-01 19:30:00,152.56223,126.13963,116.33577,122.059135,121.726425,110.51821,103.97211,103.685425,119.122604,114.90915,94.63218,69.96895
2018-09-01 20:00:00,141.2895,151.32867,124.17304,117.630905,122.056335,120.197586,109.98746,105.28714,103.6868,119.74997,112.54384,93.67066
2018-09-01 20:30:00,133.23871,139.98776,146.09071,124.98347,117.59508,120.515076,119.263176,111.80647,104.759605,102.60478,118.27865,111.024574
2018-09-01 21:00:00,135.17462,132.45744,139.8327,145.68399,125.162575,116.1814,120.12885,121.42423,111.13619,105.62656,103.44487,116.84882
2018-09-01 21:30:00,130.94913,134.50797,133.12427,140.06369,145.981,123.51304,116.19657,121.69686,120.623985,112.29065,105.56403,103.269196
2018-09-01 22:00:00,141.42053,130.33682,133.99268,133.76726,139.59627,143.6544,122.7534,117.192726,121.156555,121.685684,111.507225,105.1726
2018-09-01 22:30:00,142.0205,140.58685,130.52731,134.53755,133.44386,137.56224,141.93419,124.321915,116.78624,121.19936,120.294495,110.80228
2018-09-01 23:00:00,119.10229,140.9619,138.38757,131.32526,134.38829,131.59271,137.38635,144.20753,123.569626,116.51006,120.39396,119.124535
2018-09-01 23:30:00,86.64375,118.63897,139.73643,138.60446,131.06369,132.5371,131.494,137.94736,143.23677,124.22671,116.328285,119.36051
2018-09-02 00:00:00,47.912464,87.39627,121.54141,139.93611,138.61707,129.36697,132.01541,131.7536,137.73697,144.14632,123.15668,115.64035
2018-09-02 00:30:00,35.551834,50.163776,93.18521,122.93779,139.71555,136.60808,129.07991,132.58908,131.42935,136.25272,141.58667,122.039444
2018-09-02 01:00:00,40.60769,38.63952,58.444824,95.92989,122.409515,137.68886,135.63805,129.44518,132.06992,130.2802,135.54454,139.51414
2018-09-02 01:30:00,34.720856,43.432365,44.174316,62.191925,95.82808,120.97479,137.06699,136.76796,129.05756,131.6491,130.07295,134.1535
2018-09-02 02:00:00,63.257637,37.33991,45.424805,47.36212,63.18826,95.10354,121.58683,137.88522,136.08765,128.3887,131.01143,129.03365
2018-09-02 02:30:00,74.9663,65.11425,40.043636,48.091064,49.583748,63.103283,96.82583,121.22993,137.42392,136.17444,128.01868,129.8847
2018-09-02 03:00:00,57.670944,75.94239,61.802666,42.865326,50.4934,49.511215,66.3481,95.729355,121.19861,136.76662,134.86717,127.10649
2018-09-02 03:30:00,78.861755,59.04558,73.30231,63.795998,45.23744,50.424976,52.37847,64.57261,96.070206,119.46629,135.73953,133.40608
2018-09-02 04:00:00,83.7992,80.14957,61.430065,75.41632,65.883766,45.366062,52.141354,52.00312,65.834175,94.42668,120.1654,134.31343
2018-09-02 04:30:00,59.17653,84.58123,77.59308,64.17236,76.73283,65.65347,47.41029,53.878185,53.376713,64.33084,96.634964,119.80272
2018-09-02 05:00:00,62.451668,60.595314,83.236755,79.44165,65.50938,76.42628,65.28132,49.463093,54.876606,54.060375,68.05839,97.479744
2018-09-02 05:30:00,63.733715,64.291504,64.47216,85.28223,80.98538,65.332436,76.09544,69.69547,50.805485,56.993626,56.947586,69.98699
2018-09-02 06:00:00,55.43739,65.39314,65.310936,67.38583,86.230576,80.354294,66.8616,80.24219,69.53112,52.110485,58.482513,58.512268
2018-09-02 06:30:00,58.951546,57.24687,66.06359,67.696754,68.483055,85.622696,80.032555,68.942764,80.02041,73.30147,53.96666,59.302326
2018-09-02 07:00:00,59.034916,60.787945,59.35067,68.52216,69.37438,68.21996,85.60021,83.52606,69.60684,82.38889,72.61927,54.772636
2018-09-02 07:30:00,82.81005,60.760334,61.338203,62.054802,70.015724,68.93843,70.16473,88.57411,83.03857,69.85603,81.776505,72.22148
2018-09-02 08:00:00,78.79563,83.914635,61.48848,63.76046,63.638565,69.67803,69.96099,71.20368,88.29404,85.91847,71.30621,81.24628
2018-09-02 08:30:00,49.751793,79.579414,80.411224,63.981552,65.518616,63.442547,70.54762,71.93573,71.94869,89.92488,85.30973,71.66472
2018-09-02 09:00:00,44.97288,51.494095,79.28284,82.22543,65.625,65.23314,64.89746,72.803665,72.15578,71.58613,89.60976,84.81649
2018-09-02 09:30:00,38.477306,47.433006,56.507618,81.523415,83.64237,65.38442,66.16518,66.743965,73.06086,73.87617,73.524734,89.235954
