,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-09-01 00:00:00,46.40536,48.120823,72.63997,38.596836,30.384962,42.42035,104.40157,42.052067,83.75529,64.489555,93.23434,142.21536
2018-09-01 00:30:00,41.833633,47.190804,47.000996,76.57015,41.140285,34.213947,46.180943,101.17585,49.87813,86.7826,72.0196,95.52684
2018-09-01 01:00:00,24.438965,45.09629,47.310608,48.32843,77.81594,40.432903,47.3751,59.114124,107.35486,57.062134,94.55395,78.00025
2018-09-01 01:30:00,23.96701,30.365488,44.082752,47.529503,50.58619,75.62665,40.239624,60.621548,78.78103,112.717766,60.003036,97.76687
2018-09-01 02:00:00,26.992294,29.769403,33.26926,45.60698,51.350075,48.87434,74.66327,32.930023,67.01273,82.870544,113.02992,60.285458
2018-09-01 02:30:00,24.678993,33.874214,32.72104,36.953915,50.25015,49.15454,49.809483,78.729095,36.52399,68.08906,90.179214,109.109085
2018-09-01 03:00:00,58.288715,30.52299,36.45615,36.370388,39.55855,48.731987,51.145092,49.968544,79.85929,44.102154,66.3225,103.747055
2018-09-01 03:30:00,55.989285,61.390064,33.561363,40.49564,38.88694,41.584213,49.86441,53.59854,51.162334,82.05237,49.519024,62.62864
2018-09-01 04:00:00,68.001274,58.850914,62.841625,37.205753,43.488163,40.797115,42.928234,49.342617,55.77988,53.54075,83.21176,50.246426
2018-09-01 04:30:00,52.714893,72.4715,57.64237,65.44557,39.709785,46.041443,42.330036,44.883503,52.092144,58.46333,54.881657,84.23939
2018-09-01 05:00:00,32.592857,56.377007,75.29194,59.109688,66.88399,41.688885,46.53538,44.344154,47.2529,54.247894,60.52351,56.49025
2018-09-01 05:30:00,46.80584,38.99547,58.23115,77.994026,62.79452,64.53875,43.239964,48.020065,46.763607,47.689415,56.934616,60.341034
2018-09-01 06:00:00,70.68378,54.091694,47.667107,58.42331,79.67286,63.170532,65.28865,45.32511,50.652996,47.178272,49.35946,58.259804
2018-09-01 06:30:00,83.2819,79.02297,54.73388,50.782356,59.460583,76.0349,61.726856,69.37724,47.7548,51.1006,49.024807,50.21225
2018-09-01 07:00:00,73.266174,82.27323,81.44866,58.12209,50.138084,60.894554,75.08043,63.406666,72.47671,48.145123,52.603306,49.871113
2018-09-01 07:30:00,42.67361,69.873024,80.28931,87.127884,63.4323,59.83709,63.644733,78.70807,65.35316,76.73815,50.057037,53.535973
