,LSTM-Bidirecional-1,LSTM-Bidirecional-2,LSTM-Bidirecional-3,LSTM-Bidirecional-4,LSTM-Bidirecional-5,LSTM-Bidirecional-6,LSTM-Bidirecional-7,LSTM-Bidirecional-8,LSTM-Bidirecional-9,LSTM-Bidirecional-10,LSTM-Bidirecional-11,LSTM-Bidirecional-12
2018-12-01 00:00:00,131.82693,124.47019,121.46036,103.97737,121.8649,112.76021,101.62479,75.65939,87.07333,82.86536,67.40434,76.37134
2018-12-01 00:30:00,147.66539,127.93186,120.435326,118.041435,102.37309,120.04138,115.18715,99.57882,75.01707,86.3896,81.45251,68.04995
2018-12-01 01:00:00,146.483,143.89456,123.96075,115.55258,114.18555,99.491486,123.463524,114.50091,99.36435,73.72549,84.77921,81.139595
2018-12-01 01:30:00,155.49474,144.17088,142.94868,117.62738,110.96667,110.60089,102.03095,123.194855,112.36668,99.00371,73.07705,83.42674
2018-12-01 02:00:00,143.06764,152.63591,142.4451,140.05354,111.80669,106.35008,111.17355,101.66041,119.04643,110.13098,95.78749,72.297035
2018-12-01 02:30:00,146.98915,140.8706,152.06305,138.15437,135.07959,106.86648,104.763985,107.96145,97.50637,115.834206,107.07272,93.48869
2018-12-01 03:00:00,148.25615,143.969,138.72198,149.27432,133.49141,130.81567,103.938065,100.5649,103.39509,94.81991,112.84038,105.48972
2018-12-01 03:30:00,157.28947,145.54494,141.17407,134.3217,143.64027,128.69455,130.77116,98.51871,95.08554,100.38232,93.08081,112.206215
2018-12-01 04:00:00,159.70132,154.75584,143.75632,135.59207,129.02199,138.38623,126.97323,126.1503,93.51044,90.65125,96.28876,92.112465
2018-12-01 04:30:00,157.3102,157.89806,153.76321,138.48943,128.95992,122.85194,137.33745,121.72696,120.36103,89.33445,86.354,93.25234
2018-12-01 05:00:00,155.19739,154.98802,158.19118,149.3564,132.8692,123.554276,120.36699,131.93454,115.80573,115.478134,84.39189,83.0902
2018-12-01 05:30:00,139.66586,152.79688,154.27533,155.9629,143.75783,128.78075,120.422386,115.178635,126.28421,111.347275,110.70315,80.47593
2018-12-01 06:00:00,138.68314,137.73576,151.50829,151.87059,152.15727,142.28024,126.39327,114.36449,109.56633,122.219185,106.63116,107.136086
2018-12-01 06:30:00,142.63287,135.20024,133.47095,148.39528,147.61835,148.05704,141.56924,120.42121,108.994606,105.86739,117.744705,103.17703
2018-12-01 07:00:00,142.04811,139.27432,130.59868,126.74604,143.93172,142.2194,147.36508,134.61264,115.227066,104.08296,101.54648,113.68264
2018-12-01 07:30:00,132.4288,138.53934,136.0903,122.73011,120.62533,138.32932,140.73422,141.9983,130.01688,110.27727,98.07239,97.36251
2018-12-01 08:00:00,94.78329,130.36063,135.34511,127.82543,114.86029,114.45636,136.40448,135.72617,136.31744,124.52578,104.41876,94.16226
