,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-12-01 00:00:00,128.09601,119.20501,122.22191,98.92303,112.35673,104.77368,94.312584,73.118004,82.29781,75.949234,71.94586,80.595894
2018-12-01 00:30:00,146.11813,124.2193,115.84795,118.75969,97.3173,110.718254,103.2113,93.005486,72.43616,81.97654,75.97819,72.0095
2018-12-01 01:00:00,139.19443,142.82994,120.85515,112.638145,116.34761,95.77807,108.810974,101.70645,91.797325,71.81986,81.37535,75.725
2018-12-01 01:30:00,147.28304,136.28505,140.80948,117.40612,110.27858,114.413925,93.935234,107.06618,100.187416,91.02121,70.99279,80.516396
2018-12-01 02:00:00,132.39207,144.91438,133.31589,137.03674,114.84378,108.033966,112.01767,93.09675,105.22939,98.99794,89.9155,69.77812
2018-12-01 02:30:00,134.19441,130.76712,142.62552,129.95656,134.24228,112.36459,105.47766,109.18564,91.99411,103.519615,97.74612,88.88084
2018-12-01 03:00:00,139.08238,131.23264,127.117386,139.01971,127.16926,131.80905,109.67584,102.921906,106.32594,90.2777,101.94228,96.12371
2018-12-01 03:30:00,152.39809,135.76253,127.38795,123.80798,135.98102,124.29188,128.98221,106.75934,100.0376,103.2583,87.94958,99.70458
2018-12-01 04:00:00,153.0284,148.40198,132.21907,123.59162,120.81876,133.05116,121.34672,125.27206,103.51332,96.75116,99.79862,83.86605
2018-12-01 04:30:00,146.26035,150.54816,145.51859,128.2239,120.440254,117.65375,129.97594,118.11493,121.57189,100.008125,93.31331,96.43445
2018-12-01 05:00:00,143.28506,144.74345,148.19434,141.34723,125.07583,117.26869,114.50775,126.201866,114.685844,118.08316,96.4901,89.729805
2018-12-01 05:30:00,127.59531,141.70734,141.94672,144.59142,138.18478,122.005394,114.10548,111.412254,122.39461,111.290634,114.42239,93.1125
2018-12-01 06:00:00,127.616394,125.2573,138.57832,138.53897,141.44203,135.17441,118.84392,110.54115,108.16673,118.863045,107.92405,110.89179
2018-12-01 06:30:00,140.22188,123.9964,120.629135,134.92964,135.2972,138.239,132.02602,115.05622,106.66578,104.64658,115.02381,104.19812
2018-12-01 07:00:00,137.38103,135.80504,119.38641,117.0817,131.58334,131.87476,135.03487,127.86687,111.03141,102.68419,100.52545,111.015686
2018-12-01 07:30:00,121.21286,133.37997,131.88269,115.4244,113.87565,128.16345,128.6016,131.1003,123.57374,107.04464,98.33701,95.7744
