,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-12-01 00:00:00,136.51924,120.00522,129.46268,101.74017,121.28428,115.24217,91.49068,64.09281,78.23089,74.314735,60.171135,72.44565
2018-12-01 00:30:00,148.96646,134.41353,114.66674,123.83258,98.521866,116.9387,113.95921,91.11765,64.83117,77.37022,76.320145,64.49928
2018-12-01 01:00:00,144.85344,149.52304,129.95142,111.93735,119.259155,95.0303,114.11896,110.73224,91.10971,64.69378,77.89063,80.92527
2018-12-01 01:30:00,154.77765,144.21515,147.62636,124.321,108.44778,117.72246,93.89935,109.23687,112.36453,92.94938,63.73541,77.55379
2018-12-01 02:00:00,139.33673,154.58199,140.53108,143.52538,118.90864,102.92399,115.308235,90.9685,107.00658,112.06027,91.8193,63.852497
2018-12-01 02:30:00,142.56075,138.6215,150.6811,136.77489,139.65594,114.47,100.58303,111.73645,91.707085,105.48854,112.290276,93.74724
2018-12-01 03:00:00,143.91139,140.85538,134.12436,146.53722,132.92644,136.99716,109.68868,95.130615,109.8514,90.67873,103.33053,111.24201
2018-12-01 03:30:00,156.08531,143.33257,136.02211,130.28064,142.06024,128.12662,132.86185,103.36868,93.15022,109.165,89.400665,103.017815
2018-12-01 04:00:00,156.84174,157.35802,139.73022,129.93176,126.30477,137.88466,124.236755,126.930374,100.07529,89.1329,104.67659,88.62451
2018-12-01 04:30:00,151.7171,157.43793,156.41982,133.69763,124.79381,120.67783,133.77101,118.53451,125.12299,96.67773,87.78848,103.93023
2018-12-01 05:00:00,150.69388,150.36827,155.2867,149.23175,128.72438,120.54985,117.416046,127.962685,115.36057,122.54852,93.45735,85.411194
2018-12-01 05:30:00,134.93231,150.10449,145.28722,151.4097,144.82889,125.15162,115.59857,111.31565,125.058464,111.64285,119.38861,91.34702
2018-12-01 06:00:00,134.96901,132.57478,146.01976,141.24619,148.35837,143.69757,120.04256,109.9875,109.14624,121.87972,108.44661,118.391914
2018-12-01 06:30:00,143.32008,132.36966,126.760994,141.78375,137.41917,144.81862,136.49265,114.27527,106.99925,104.37971,117.746925,107.52713
2018-12-01 07:00:00,141.18378,142.73688,126.71162,121.631165,138.01501,132.00356,140.3575,131.44551,111.51161,103.218864,101.498215,117.568695
2018-12-01 07:30:00,130.1551,139.77745,139.25484,119.52221,117.30059,133.45229,128.32327,135.36783,129.24088,107.72057,99.10462,100.14096
2018-12-01 08:00:00,99.06299,126.99175,135.72992,131.23813,113.70402,111.468895,129.55952,123.274536,132.82022,126.99541,103.64701,98.08434
2018-12-01 08:30:00,77.291214,98.91487,120.266235,129.45805,125.543816,109.164215,107.47377,124.26141,120.85297,129.72276,121.745895,102.66125
2018-12-01 09:00:00,86.28457,76.193474,91.329765,115.42349,124.746216,122.951706,103.803566,102.088066,121.68268,116.92327,125.66881,122.10797
2018-12-01 09:30:00,97.06901,79.61004,68.0495,83.44897,110.45479,121.02929,116.30583,98.34763,99.292046,117.89913,112.73871,126.218025
2018-12-01 10:00:00,84.48053,92.92322,72.495224,61.57157,76.91811,103.92959,115.71113,110.97715,95.10496,94.42368,113.871994,113.51914
2018-12-01 10:30:00,75.19575,82.7265,88.78754,66.99408,56.29408,73.96306,100.30296,110.612564,108.052,90.813545,91.018486,113.83358
2018-12-01 11:00:00,64.94899,70.958275,79.44148,82.94359,63.612694,54.35549,67.57085,94.42859,107.81407,104.66692,86.65377,89.846085
2018-12-01 11:30:00,52.23438,62.77391,65.395035,75.333694,79.32514,60.92322,48.685272,64.724365,91.20279,104.03343,99.63402,85.33925
2018-12-01 12:00:00,43.57397,50.991566,59.217964,60.336655,71.110664,76.95391,57.046413,48.096485,62.525955,86.16918,100.08519,99.195274
2018-12-01 12:30:00,42.74045,41.061867,47.86574,55.323696,56.606388,69.27309,72.326935,55.543716,46.57912,58.42562,83.35082,99.399826
2018-12-01 13:00:00,46.540253,41.594963,39.58387,42.941704,51.31833,54.755737,66.16206,70.0102,52.737732,41.654408,55.44877,81.410736
2018-12-01 13:30:00,55.216255,45.738644,40.86302,34.25757,39.168762,49.928837,54.496746,63.33526,63.981873,48.084946,38.21228,51.489758
2018-12-01 14:00:00,65.50792,55.45837,46.889034,37.751415,31.506153,37.905666,48.978046,53.740257,60.755516,60.717937,42.77987,35.890293
