,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-12-01 00:00:00,122.788704,114.56181,112.06875,94.21011,99.1339,92.81316,78.21122,64.379814,74.20643,62.47157,61.37623,68.08704
2018-12-01 00:30:00,131.31955,120.34983,109.0552,104.51826,93.70567,97.903046,88.86732,74.64772,63.98496,73.817825,62.425102,60.81525
2018-12-01 01:00:00,129.51573,128.73335,114.440506,101.8231,103.96066,92.58009,93.47519,84.44949,74.20643,63.704548,72.688446,61.78253
2018-12-01 01:30:00,135.67429,126.960686,122.24072,106.63942,101.279396,102.63619,88.65631,88.6098,84.04695,73.817825,63.576477,70.8125
2018-12-01 02:00:00,127.43331,133.01288,120.591385,113.61552,106.07089,100.00693,97.76012,84.258995,88.20566,82.85366,72.688446,62.84434
2018-12-01 02:30:00,129.58328,124.91423,126.222496,112.14044,113.011024,104.70549,95.37984,92.47852,83.856514,86.823135,81.45828,70.8125
2018-12-01 03:00:00,130.53917,127.02708,118.687325,117.176605,111.54356,111.511024,99.63346,90.329445,92.0729,82.6719,85.16506,79.3351
2018-12-01 03:30:00,139.23456,127.96644,120.65316,110.437546,116.55375,110.07202,105.79452,94.1699,89.924644,90.514404,81.28855,82.75351
2018-12-01 04:00:00,138.93549,136.51167,121.52717,112.19569,109.84944,114.98504,104.49178,99.73252,93.763626,88.463905,88.61204,79.178566
2018-12-01 04:30:00,137.25018,136.21776,129.47784,112.977356,111.59852,108.41076,108.93955,98.55632,99.32412,92.128204,86.69724,85.93234
2018-12-01 05:00:00,135.15454,134.56157,129.20438,120.08801,112.37615,110.12591,102.98784,102.57207,98.14837,97.43568,90.11903,84.166504
2018-12-01 05:30:00,125.47732,132.5021,127.66342,119.84344,119.45016,110.888466,104.540565,97.19846,102.162575,96.31342,95.07525,87.32211
2018-12-01 06:00:00,126.03729,122.99201,125.74726,118.465294,119.20684,117.825264,105.23091,98.60037,96.79103,100.14497,94.02727,91.89278
2018-12-01 06:30:00,132.3816,123.54232,116.89885,116.75158,117.8358,117.58667,111.51081,99.22366,98.192406,95.01785,97.60524,90.92632
2018-12-01 07:00:00,129.73412,129.77707,117.410866,108.83803,116.13092,116.242226,111.294815,104.89358,98.81545,96.35545,92.81744,94.22596
2018-12-01 07:30:00,121.2891,127.17529,123.21182,109.29595,108.25818,114.570404,110.07768,104.698555,104.48319,96.95016,94.06651,89.8106
2018-12-01 08:00:00,93.31874,118.87613,120.79107,114.48401,108.71374,106.85035,108.56418,103.59965,104.28825,102.36,94.62186,90.96252
2018-12-01 08:30:00,73.3154,91.60545,113.069336,112.31902,113.875046,107.29707,101.5752,102.23316,103.189766,102.17393,99.673676,91.474655
2018-12-01 09:00:00,92.80598,71.730896,87.87602,105.413124,111.72122,112.358284,101.97962,95.923035,101.8238,101.12542,99.499916,96.133484
