,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-06-01 00:00:00,-0.33724007,0.6074727,1.3490049,1.931193,2.4811034,2.91378,3.243978,3.5795069,3.981476,4.50437,4.952991,5.2421875
2018-06-01 00:30:00,-0.39579186,0.61669666,1.3514558,1.9703366,2.3825612,2.8057601,3.243978,3.5795069,3.981476,4.50437,4.952991,5.2421875
2018-06-01 01:00:00,-0.1464232,0.5874303,1.3615113,1.9709717,2.4235082,2.6970556,3.1364064,3.5795069,3.981476,4.50437,4.952991,5.2421875
2018-06-01 01:30:00,4.045059,0.79306537,1.3541471,1.9811598,2.4222617,2.7458475,3.0223985,3.4699545,3.981476,4.50437,4.952991,5.2421875
2018-06-01 02:00:00,4.0901575,4.408068,1.5260516,1.9827534,2.4334645,2.7474878,3.075191,3.3498716,3.8739846,4.50437,4.952991,5.2421875
2018-06-01 02:30:00,0.45564476,4.7602057,4.6956673,2.1367662,2.4495645,2.7594192,3.0780272,3.4059124,3.7542737,4.404757,4.952991,5.2421875
2018-06-01 03:00:00,0.8367921,1.4869378,5.2867556,5.050874,2.5899777,2.7865646,3.0906348,3.408989,3.8119614,4.286844,4.862842,5.2421875
2018-06-01 03:30:00,1.428774,1.9291947,2.2614279,5.714295,5.38108,2.9264076,3.1265502,3.4223213,3.8160403,4.3444467,4.746617,5.1537323
2018-06-01 04:00:00,5.781068,2.2440398,2.7398214,2.8432071,6.2327466,5.8215632,3.2619271,3.4649477,3.8290236,4.347133,4.802345,5.0443535
2018-06-01 04:30:00,8.330569,5.7004676,2.8619833,3.3350437,3.32587,6.863045,6.1597753,3.6002817,3.8741086,4.36037,4.8031735,5.0968056
2018-06-01 05:00:00,8.592845,8.291277,5.6485586,3.3762805,3.842977,3.641091,7.3374486,6.5594416,4.005266,4.4143767,4.8161263,5.0985756
2018-06-01 05:30:00,11.338176,8.650722,8.249788,5.832891,3.7940164,4.1723866,3.9696097,7.835783,6.9156218,4.5310264,4.8795667,5.1104965
2018-06-01 06:00:00,6.4798536,11.203686,8.666274,8.372198,5.9689107,4.1276917,4.5024123,4.3276815,8.21627,7.250795,4.979277,5.1648626
2018-06-01 06:30:00,7.7276497,7.2539496,11.03295,8.780118,8.647901,6.2942195,4.4385114,4.87115,4.684722,8.634373,7.46903,5.2657948
2018-06-01 07:00:00,5.231556,8.005694,7.7911043,11.005583,9.075455,9.191396,6.520036,4.7964306,5.234952,5.1879945,8.970211,7.697298
2018-06-01 07:30:00,4.2523108,5.7941585,8.134256,8.096616,11.221312,9.579158,9.543564,6.852105,5.1637993,5.754002,5.658668,9.053507
2018-06-01 08:00:00,1.2380086,4.6435733,6.1424627,8.272976,8.550497,11.652627,9.918725,10.018308,7.160084,5.615889,6.2061257,5.9008083
2018-06-01 08:30:00,1.158722,1.9723656,4.876086,6.4161487,8.471572,8.952658,11.918327,10.382457,10.304869,7.3415217,6.010526,6.407399
2018-06-01 09:00:00,0.46233,1.741051,2.4925203,5.138867,6.6689515,8.664469,9.283498,12.35391,10.625358,10.471298,7.4156747,6.263649
2018-06-01 09:30:00,0.9226018,1.0953267,2.1722689,2.9446065,5.285624,6.799647,8.809594,9.67856,12.506741,10.77978,10.527451,7.727971
2018-06-01 10:00:00,2.1355927,1.4501297,1.5876733,2.6144912,3.1997447,5.318559,6.934343,9.12219,9.878012,12.541136,10.867177,10.651826
2018-06-01 10:30:00,0.13273253,2.6438715,1.8773538,2.0847538,2.8257318,3.2444599,5.388105,7.2347984,9.2838545,10.166318,12.503577,10.9665985
2018-06-01 11:00:00,0.8169843,1.1032288,3.0511818,2.3524206,2.343059,2.8908508,3.367909,5.631399,7.441042,9.416734,10.478437,12.558331
