,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-06-01 00:00:00,-1.2201556,-0.84616536,0.3405667,1.0106732,2.8579898,3.7894428,4.215155,3.629815,4.334283,5.137489,5.7345757,5.2633104
2018-06-01 00:30:00,-1.2441462,-0.81096524,0.3263703,1.0266091,2.7405448,3.6356905,4.215155,3.629815,4.334283,5.137489,5.7345757,5.2633104
2018-06-01 01:00:00,-0.9381007,-0.83743733,0.35625082,1.0144879,2.7553039,3.5139587,4.050032,3.629815,4.334283,5.137489,5.7345757,5.2633104
2018-06-01 01:30:00,4.267791,-0.53459233,0.33201033,1.0442215,2.7432017,3.5288074,3.919043,3.4622755,4.334283,5.137489,5.7345757,5.2633104
2018-06-01 02:00:00,5.540803,4.618836,0.59696966,1.0238549,2.7755466,3.515229,3.9352393,3.3293486,4.176873,5.137489,5.7345757,5.2633104
2018-06-01 02:30:00,1.3511316,5.8770623,5.1698074,1.2627064,2.7602458,3.5487897,3.9187016,3.3464565,4.0519648,4.9965014,5.7345757,5.2633104
2018-06-01 03:00:00,1.5691262,1.7197325,6.2984257,5.3685365,2.9822536,3.5334146,3.9570746,3.3306246,4.06843,4.884732,5.598126,5.2633104
2018-06-01 03:30:00,1.574545,1.9139636,2.577197,6.377978,6.6589856,3.763253,3.943317,3.37393,4.0538054,4.899776,5.4897323,5.135026
2018-06-01 04:00:00,5.526579,1.986521,2.7426825,3.0450351,7.5368953,7.519735,4.1902127,3.3632221,4.091461,4.88642,5.5037484,5.0330915
2018-06-01 04:30:00,9.822184,5.9196877,2.8627872,3.178376,4.6074376,8.409101,8.083707,3.6128578,4.0793543,4.9209294,5.4889665,5.0468607
2018-06-01 05:00:00,10.982076,10.073089,6.2878227,3.2075536,4.723166,5.446181,8.974857,7.583169,4.3140364,4.9113193,5.523684,5.033784
2018-06-01 05:30:00,12.689244,11.192596,10.052722,6.2274632,4.517328,5.5745025,5.96223,8.4952135,8.057014,5.1210065,5.5159173,5.064601
2018-06-01 06:00:00,10.373569,12.847915,11.037391,9.708287,6.9845023,5.3451934,6.1208997,5.3982754,8.918903,8.510176,5.719109,5.055649
2018-06-01 06:30:00,9.359264,10.560722,12.553942,10.587043,10.36683,7.83336,5.750772,5.539545,5.9888945,9.294873,8.895387,5.246971
2018-06-01 07:00:00,7.6609583,9.511767,10.494487,11.929946,11.128164,11.265518,8.196767,5.0646048,6.1257,6.6261325,9.608367,8.204657
2018-06-01 07:30:00,5.5169497,8.047051,9.637429,10.078009,12.295717,12.043599,11.805774,7.7269487,5.864012,6.76144,7.16511,8.859491
2018-06-01 08:00:00,1.1817018,5.9397883,8.423249,9.231385,10.608356,13.2107115,12.584501,11.400513,8.415799,6.4921985,7.308416,6.5863132
2018-06-01 08:30:00,-0.6935786,1.931041,6.7486315,8.232335,9.600135,11.557271,13.794195,12.192063,11.682428,8.737021,6.924336,6.7153015
2018-06-01 09:00:00,-1.6063994,0.19053009,2.9530754,6.3251166,8.617057,10.380819,12.097987,13.393685,12.408206,11.785721,8.8792515,6.4698534
2018-06-01 09:30:00,-0.95483387,-0.79360455,1.3814927,3.1011684,6.6463284,8.943483,10.862608,11.642306,13.483884,12.417303,11.8323145,8.261738
2018-06-01 10:00:00,1.5130903,-0.33816597,0.50383955,1.6696573,3.6634564,7.2416863,9.349867,10.860581,11.984725,13.329161,12.410286,10.911727
2018-06-01 10:30:00,-0.50756824,1.9137537,0.85919005,0.9090192,2.3577228,4.2411847,6.6860404,9.584621,11.9285965,12.059302,13.2349825,11.424033
2018-06-01 11:00:00,0.37227646,-0.09954902,2.765174,1.3400284,1.8525548,2.9927127,4.3715425,6.3872604,11.4691925,11.926375,12.093516,12.152263
2018-06-01 11:30:00,-0.64081943,0.75563747,0.9832955,3.1836765,2.568503,2.5527437,3.107634,3.8757153,8.094653,11.720123,11.736021,11.173806
2018-06-01 12:00:00,-0.6811522,-0.25920364,1.7262498,1.602883,4.655064,3.3329275,2.6101632,2.3806047,5.8564367,8.460058,11.207195,11.141846
2018-06-01 12:30:00,0.55785,-0.2345111,0.8323384,2.2799299,3.2776303,5.476852,3.480328,1.7015877,4.195306,6.255754,8.26086,10.984348
2018-06-01 13:00:00,0.7445928,0.939195,0.8808003,1.4629742,3.9187007,4.0674176,5.9416966,2.6397772,3.1533358,4.704741,6.082769,7.6070766
2018-06-01 13:30:00,1.118023,1.1440403,1.8916293,1.4804798,3.165956,4.734238,4.498217,5.3595343,3.6521714,3.8594468,4.6962466,5.8557577
2018-06-01 14:00:00,6.918374,1.499037,2.0803318,2.4158103,3.0811124,3.961109,5.2234797,3.911068,6.0017242,4.4327006,4.058148,4.4544325
2018-06-01 14:30:00,7.3545294,7.234113,2.3867931,2.5777442,4.02601,3.8653524,4.4157634,4.654251,4.6053324,6.633304,4.8254485,3.8186529
2018-06-01 15:00:00,8.039922,7.6558795,7.5144367,2.8659647,4.1401105,4.842092,4.2330813,3.8294716,5.289013,5.37771,7.118817,4.498805
2018-06-01 15:30:00,11.049395,8.326031,7.8835735,7.457112,4.43308,4.95394,5.333716,3.5794687,4.5235424,5.9954276,5.9574323,6.5820923
2018-06-01 16:00:00,6.1147985,11.289572,8.472373,7.776633,8.459988,5.2593503,5.4180827,4.757634,4.3323336,5.313824,6.5656695,5.4771547
2018-06-01 16:30:00,-0.46955857,6.411715,11.18437,8.304256,8.713668,9.343944,5.760595,4.831417,5.401332,5.1184125,5.915645,6.0334454
2018-06-01 17:00:00,-1.2872218,0.086106576,6.791933,10.713865,9.167472,9.602067,9.914485,5.193907,5.4867744,6.099152,5.6782527,5.4291363
2018-06-01 17:30:00,-1.6276988,-0.64179677,1.2426168,6.6657367,11.232801,10.074311,10.147357,9.446211,5.8076096,6.1692414,6.6570992,5.238661
2018-06-01 18:00:00,-1.5695018,-0.29229614,0.6680699,1.6152312,7.362801,12.145902,10.6217575,9.68528,9.817119,6.462485,6.7011714,6.1288853
2018-06-01 18:30:00,-1.3729628,-0.782582,1.0045205,1.1902272,2.691896,8.248261,12.720632,10.151738,10.060897,10.111135,6.998318,6.1815186
2018-06-01 19:00:00,-1.3226355,-0.95324963,0.45832068,1.3758637,2.3058467,3.5767362,8.640487,12.291818,10.486173,10.329848,10.348694,6.444131
2018-06-01 19:30:00,-1.3650664,-0.91307133,0.23587424,0.91545457,1.7448335,2.993162,3.7508855,8.112796,12.486702,10.70706,10.532461,9.538461
2018-06-01 20:00:00,-1.3249282,-0.95618504,0.2667485,0.9297311,1.9855838,2.158902,3.2627854,2.650381,8.897297,12.497882,10.887554,9.713645
