,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-06-01 00:00:00,0.22682776,0.9889272,1.3438073,2.3508394,2.387095,2.791395,2.816917,3.4648266,4.087761,3.879783,4.3435616,4.643901
2018-06-01 00:30:00,0.20468916,0.9994901,1.3203088,2.356075,2.3290687,2.7053516,2.816917,3.4648266,4.087761,3.879783,4.3435616,4.643901
2018-06-01 01:00:00,0.35676017,0.9772523,1.3304502,2.3339384,2.3342404,2.6481225,2.7319741,3.4648266,4.087761,3.879783,4.3435616,4.643901
2018-06-01 01:30:00,2.786445,1.1303723,1.3089048,2.3435104,2.3127074,2.6531198,2.675345,3.3841658,4.087761,3.879783,4.3435616,4.643901
2018-06-01 02:00:00,3.117778,3.566106,1.4569303,2.3232677,2.3218846,2.6319034,2.6802077,3.3304052,4.0097,3.879783,4.3435616,4.643901
2018-06-01 02:30:00,1.4516374,3.897179,3.8106737,2.4626386,2.3021855,2.6411493,2.6593585,3.335083,3.9578297,3.8080761,4.3435616,4.643901
2018-06-01 03:00:00,1.9184171,2.2315876,4.1321154,4.685289,2.437347,2.6218603,2.6685367,3.315279,3.9624436,3.760278,4.2731204,4.643901
2018-06-01 03:30:00,1.7697898,2.698065,2.5225544,4.99025,4.593698,2.7550752,2.6495004,3.3237839,3.9432185,3.7644188,4.226232,4.578965
2018-06-01 04:00:00,3.6490357,2.5465386,2.9716053,3.4680707,4.887316,4.880875,2.7810388,3.3056078,3.9514897,3.7468474,4.2303014,4.5357714
2018-06-01 04:30:00,5.9828587,4.4236608,2.8277397,3.8922756,3.4093184,5.171284,4.8760552,3.4304829,3.9338725,3.7545006,4.212939,4.539585
2018-06-01 05:00:00,6.950408,6.7409015,4.6414843,3.7556427,3.8241925,3.7160203,5.164702,5.4262066,4.0547466,3.7383845,4.2204556,4.5236206
2018-06-01 05:30:00,9.478109,7.697061,6.877693,5.4715753,3.6936526,4.123115,3.7321143,5.7018595,5.9844303,3.8493807,4.2046504,4.5305157
2018-06-01 06:00:00,7.0041656,10.180865,7.8013163,7.598306,5.358812,3.989004,4.129063,4.333194,6.2469234,5.6271987,4.3136926,4.515918
2018-06-01 06:30:00,7.2992516,7.7482934,10.194859,8.479288,7.422215,5.630716,3.9967465,4.7129908,4.9240437,5.873695,6.0608735,4.616419
2018-06-01 07:00:00,5.8205214,8.036763,7.8521557,10.768552,8.275973,7.668534,5.6132016,4.592452,5.2945185,4.6532598,6.3017316,6.233227
2018-06-01 07:30:00,4.580512,6.5748906,8.130175,8.528728,10.503311,8.512165,7.6151624,6.136404,5.176654,4.990229,5.1028647,6.456378
2018-06-01 08:00:00,2.3772757,5.3452744,6.7210855,8.792378,8.324754,10.709167,8.445109,8.054625,6.668977,4.880936,5.4370046,5.3433514
2018-06-01 08:30:00,1.5990049,3.151914,5.535507,7.4490504,8.585592,8.558365,10.593283,8.852097,8.518743,6.2596927,5.32795,5.652769
2018-06-01 09:00:00,0.864174,2.3732045,3.4150229,6.3197913,7.2817626,8.811397,8.48953,10.925391,9.285033,7.980367,6.6819854,5.5534134
2018-06-01 09:30:00,0.7700921,1.6366465,2.6614923,4.310147,6.185411,7.5217996,8.732751,8.898168,11.285906,8.698384,8.374267,6.8112736
2018-06-01 10:00:00,1.5515424,1.5436022,1.948991,3.597656,4.2335505,6.4386935,7.4675326,9.136986,9.326193,10.570977,9.079664,8.391631
2018-06-01 10:30:00,0.46196,2.329591,1.8582202,2.9254072,3.542849,4.5171676,6.405606,7.9231863,9.5606165,8.7374115,10.924086,9.052642
2018-06-01 11:00:00,1.1119691,1.2362168,2.6169243,2.839854,2.890039,3.836457,4.516272,6.904828,8.38856,8.950651,9.120417,10.791817
2018-06-01 11:30:00,0.48930183,1.88993,1.5603162,3.5562217,2.805654,3.1940973,3.845037,5.0930367,7.406701,7.8566184,9.3316555,9.088752
