,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-03-01 00:00:00,55.239403,56.648357,54.461643,52.19934,50.085003,46.98537,44.533382,43.177887,40.724403,37.683777,36.34455,33.69825
2018-03-01 00:30:00,48.997322,53.389595,54.871128,52.59095,49.695843,47.77624,44.55019,42.539017,40.848827,38.744225,35.749027,34.14775
2018-03-01 01:00:00,38.713642,46.89234,51.317417,52.955677,50.12212,47.347626,45.26489,42.56432,40.2175,38.806786,36.772934,33.5962
2018-03-01 01:30:00,27.79819,36.900158,44.481094,49.226643,50.40777,47.80875,44.813545,43.2403,40.248024,38.184658,36.785408,34.622963
2018-03-01 02:00:00,15.931957,26.555902,34.8057,42.14788,46.469337,48.019608,45.294518,42.779217,40.870907,38.23125,36.197823,34.56543
2018-03-01 02:30:00,13.994557,15.939278,25.079914,32.54395,39.308796,43.944324,45.432922,43.26683,40.405758,38.80818,36.256664,33.988678
2018-03-01 03:00:00,11.601048,14.097435,15.757771,23.444168,30.19707,36.880592,41.304253,43.37127,40.89464,38.326893,36.779366,34.06222
2018-03-01 03:30:00,11.369275,11.8973255,14.054223,15.461868,22.001413,28.28382,34.407642,39.278896,40.958244,38.826183,36.30394,34.523296
2018-03-01 04:00:00,16.74553,11.6148815,12.047131,13.941115,15.349581,20.920214,26.296263,32.728558,36.926647,38.848686,36.791317,34.03413
2018-03-01 04:30:00,11.921906,16.393616,11.809398,12.020317,13.919553,15.102363,19.99969,25.194141,30.739262,34.889805,36.784046,34.53101
2018-03-01 05:00:00,13.087545,11.981803,16.254822,11.816944,11.964587,13.804814,14.957729,19.418509,23.92699,29.086395,33.04251,34.472263
2018-03-01 05:30:00,18.068434,13.0591545,12.178054,16.190449,11.750433,11.881938,13.691893,14.776584,18.81201,22.770441,27.691341,30.791302
2018-03-01 06:00:00,16.067804,17.548403,13.176245,12.217194,16.126244,11.630557,11.7269535,13.559435,14.700903,18.226498,21.616789,25.724474
2018-03-01 06:30:00,25.97778,15.727486,17.3186,13.201361,12.16684,15.756175,11.374115,11.720455,13.5163,14.47766,17.57863,20.053143
2018-03-01 07:00:00,28.202608,24.628931,15.645764,17.217459,13.149235,11.938599,15.192484,11.292842,11.829839,13.366979,14.165739,16.71296
2018-03-01 07:30:00,25.935472,26.673254,23.739336,15.582176,17.141142,12.903066,11.496265,14.531397,11.307479,11.767916,13.244758,13.928432
