,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-03-01 00:00:00,55.84285,57.98983,54.59245,51.35531,51.06682,49.503963,47.599995,46.160484,44.32866,42.70383,41.99417,39.955536
2018-03-01 00:30:00,46.548782,53.15992,54.964817,51.86963,50.768276,50.33316,47.63681,45.781883,44.71945,43.50818,41.328075,40.231613
2018-03-01 01:00:00,33.318394,44.47157,50.335922,52.228554,51.289448,50.060802,48.419758,45.81059,44.356316,43.883602,42.120255,39.611
2018-03-01 01:30:00,24.977728,32.256596,42.01864,47.638283,51.64168,50.550533,48.174038,46.54657,44.382797,43.52329,42.47881,40.34676
2018-03-01 02:00:00,21.761251,24.637478,30.310955,39.44468,47.038048,50.895348,48.628773,46.32789,45.090492,43.553104,42.124706,40.684372
2018-03-01 02:30:00,18.695118,22.09147,23.004986,27.826668,38.861275,46.5118,48.961105,46.74709,44.882553,44.249313,42.156986,40.35518
2018-03-01 03:00:00,15.624438,18.818007,20.599874,20.540276,27.203592,38.676453,44.840176,47.06675,45.284073,44.03691,42.836147,40.38396
2018-03-01 03:30:00,13.322218,15.41049,17.599596,18.0691,19.86645,27.584656,37.43136,43.212467,45.592823,44.437172,42.622284,41.01742
2018-03-01 04:00:00,18.550564,12.687921,14.48078,15.529539,17.345692,20.649786,27.011393,36.236767,41.890377,44.736286,43.017216,40.82071
2018-03-01 04:30:00,13.833229,16.97487,11.979728,12.939883,15.152064,18.539494,20.535223,26.498922,35.180664,41.081554,43.305077,41.187218
2018-03-01 05:00:00,14.053748,12.546912,16.031034,10.894437,12.95791,16.311825,18.780554,20.488237,25.828314,34.488014,39.729294,41.45734
2018-03-01 05:30:00,19.907578,12.750025,11.882465,14.996784,11.246475,14.014459,16.538708,19.091188,20.067266,25.25179,33.303356,38.12652
2018-03-01 06:00:00,16.936981,18.394575,12.060416,11.098414,15.392416,12.125833,14.172151,16.831148,18.832966,19.54214,24.262815,32.13042
2018-03-01 06:30:00,27.415882,15.298698,17.374506,11.241583,11.669639,15.691384,12.157622,14.390716,16.705517,18.273415,18.656015,23.711082
2018-03-01 07:00:00,29.49768,25.467169,14.378909,16.234177,11.783458,12.193572,15.210217,12.246492,14.390389,16.407784,17.354742,18.499905
2018-03-01 07:30:00,26.440485,27.431904,23.99198,13.334062,16.562084,12.286142,11.937087,14.783214,12.320746,14.393909,15.706977,17.359468
2018-03-01 08:00:00,22.4018,24.50304,25.831783,22.42533,13.688235,16.889029,12.015262,11.734478,14.608642,12.586662,13.946177,15.808649
2018-03-01 08:30:00,30.494957,20.727922,23.016512,24.148355,22.450762,13.915371,16.409132,11.79875,11.752847,14.896118,12.366546,14.137618
2018-03-01 09:00:00,20.504856,28.53415,19.405954,21.377419,24.091557,22.427767,13.426142,15.983384,11.799548,12.191353,14.694313,12.618862
2018-03-01 09:30:00,17.587257,19.329805,26.852808,17.827131,21.322882,23.974705,21.599499,12.993749,15.775819,12.219941,12.124882,14.691327
2018-03-01 10:00:00,22.79436,16.557272,18.081316,25.023903,17.785812,21.26885,23.051743,20.826267,12.815857,15.996397,12.141784,12.320251
2018-03-01 10:30:00,35.681915,21.322426,15.493691,16.414257,24.861994,17.88265,20.453014,22.184015,20.30806,13.11577,15.72708,12.330314
2018-03-01 11:00:00,22.743835,33.48029,20.022247,14.015458,16.308897,24.784586,17.252914,19.694887,21.581018,20.27341,12.957735,15.670822
2018-03-01 11:30:00,19.357512,21.073446,31.585327,18.447083,14.046247,16.70484,23.88436,16.683615,19.164164,21.476124,19.778137,13.032552
2018-03-01 12:00:00,17.96314,17.884872,19.757118,29.646101,18.434084,14.568805,16.329294,23.040386,16.27072,19.102587,20.918053,19.409166
2018-03-01 12:30:00,16.560522,16.633596,16.723454,18.204868,29.446615,18.682402,14.319242,16.015795,22.404411,16.262781,18.610237,20.462233
2018-03-01 13:00:00,13.076276,15.446279,15.543425,15.2623625,18.193333,29.23401,18.142935,14.131049,15.7065115,22.214725,15.844877,18.295332
2018-03-01 13:30:00,8.663682,12.066034,14.459416,14.116889,15.296331,18.306784,28.137989,17.662243,13.944536,15.649432,21.581793,15.716068
2018-03-01 14:00:00,7.9364767,7.9087987,11.392078,13.110231,14.172613,15.5336485,17.676306,27.094849,17.293777,13.999047,15.1856785,21.094025
2018-03-01 14:30:00,14.328322,7.0561194,7.629932,10.472754,13.232777,14.504043,15.051852,17.105267,26.31927,17.27457,13.632308,15.157059
2018-03-01 15:00:00,11.246804,13.2192545,6.8547683,7.216712,10.935463,13.724625,14.112338,14.631102,16.698872,26.040087,16.820858,13.722726
2018-03-01 15:30:00,11.02751,10.281879,12.66025,6.5984364,8.087179,11.599391,13.461056,13.782071,14.331582,16.700596,25.289839,16.673243
2018-03-01 16:00:00,6.6132,10.14846,9.884183,12.059297,7.586765,9.044334,11.471799,13.258094,13.539861,14.399144,16.280952,24.566668
2018-03-01 16:30:00,5.3550186,6.148002,9.795269,9.417287,12.8197565,8.497649,9.143948,11.400307,13.104181,13.630185,14.0554495,16.13307
2018-03-01 17:00:00,2.7341774,4.74653,6.1030507,9.382035,10.26185,13.540822,8.562102,9.294058,11.444701,13.234782,13.308602,14.059283
2018-03-01 17:30:00,4.685034,2.4175963,4.7650733,5.976036,10.279294,11.087619,13.377527,8.675556,9.605556,11.811279,12.936584,13.3753
2018-03-01 18:00:00,3.7080438,4.291942,2.6688807,4.746766,7.0977273,11.181839,11.047266,13.26287,9.016604,10.246545,11.690496,13.062111
2018-03-01 18:30:00,6.71846,3.542214,4.4540296,2.9065998,5.932698,8.331127,11.189897,11.056183,13.378487,9.746449,10.323835,11.93651
2018-03-01 19:00:00,3.674569,6.495868,3.8356898,4.628463,4.3075585,7.082774,8.621672,11.245992,11.277697,13.893288,9.897953,10.726639
2018-03-01 19:30:00,7.7911644,3.9658408,6.6718173,4.1604586,5.9969687,5.7168045,7.332829,8.958187,11.507187,11.878964,13.837728,10.318624
2018-03-01 20:00:00,8.69797,7.755711,4.4576373,6.9213657,5.6694884,7.357918,6.164085,7.6291137,9.450343,12.13253,11.91043,13.990433
2018-03-01 20:30:00,6.6037273,8.596663,7.9234776,5.0720234,8.406185,7.2307386,7.736257,6.654411,8.135558,10.23565,12.171142,12.195753
2018-03-01 21:00:00,9.748393,6.3423905,8.732651,8.206816,6.8689704,9.944518,7.7434583,8.156732,7.3372207,8.99193,10.394699,12.461339
2018-03-01 21:30:00,12.86592,9.547319,6.4665694,8.961452,9.728157,8.868668,10.381818,8.2954035,8.783071,8.328299,9.227818,10.86519
2018-03-01 22:00:00,8.95752,12.244899,9.5760355,6.618314,10.470808,11.4511795,9.60661,10.856168,9.033126,9.729221,8.651358,9.746499
2018-03-01 22:30:00,15.535567,8.289108,11.9398985,9.669116,8.009648,12.117532,11.931453,10.40197,11.52839,10.050648,10.000682,9.268049
2018-03-01 23:00:00,14.888971,14.691872,8.118745,11.635764,11.0641365,9.484883,12.582668,12.497514,11.345668,12.484625,10.352469,10.531155
2018-03-01 23:30:00,14.52117,13.918292,14.152338,7.911525,12.684864,12.607861,9.896749,13.082115,13.221933,12.486783,12.704196,10.913829
