,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-03-01 00:00:00,48.305088,51.668297,48.283665,43.670002,43.19148,41.59082,39.357655,37.36398,37.47986,33.757195,32.077263,30.677996
2018-03-01 00:30:00,41.726376,46.15689,48.290447,44.692078,42.320988,42.609047,39.56488,36.93674,37.316395,34.9546,31.403399,30.685814
2018-03-01 01:00:00,31.692966,39.970383,43.12644,44.698307,43.282227,41.762783,40.513412,37.12511,36.88841,34.80603,32.4624,30.077541
2018-03-01 01:30:00,22.344688,30.535145,37.32988,39.954166,43.288086,42.697266,39.725075,37.987335,37.07711,34.41704,32.331,31.033466
2018-03-01 02:00:00,4.947426,21.74419,28.48936,34.62891,38.826332,42.702965,40.595592,37.27073,37.940838,34.58855,31.986977,30.914858
2018-03-01 02:30:00,6.5344,5.9101863,20.252514,26.507181,33.818047,38.365387,40.600903,38.062042,37.222977,35.373577,32.138657,30.604317
2018-03-01 03:00:00,4.9513664,7.3329816,5.4244304,18.940048,26.179752,33.496487,36.560223,38.066868,38.01567,34.721127,32.832947,30.741236
2018-03-01 03:30:00,8.721236,5.9137187,6.7565017,5.7176943,19.063036,26.070776,32.024593,34.393833,38.020504,35.441593,32.255913,31.367945
2018-03-01 04:00:00,17.727861,9.293581,5.4277368,6.8885517,7.024863,19.152128,25.107157,30.27089,34.341076,35.445984,32.8931,30.847076
2018-03-01 04:30:00,14.181019,17.402607,8.592087,5.720602,8.073508,8.529963,18.662077,23.982847,30.210947,32.101814,32.896984,31.422245
2018-03-01 05:00:00,16.948328,14.188527,16.18459,8.501983,7.0274653,9.406478,9.114634,18.124186,23.911953,28.348011,29.939363,31.42575
2018-03-01 05:30:00,18.698406,16.669548,13.174914,15.202872,9.518534,8.532138,9.88518,9.632996,18.043085,22.622963,26.619455,28.756004
2018-03-01 06:00:00,16.948328,18.315289,15.497737,12.530166,15.548308,10.614309,9.116547,10.30863,10.475922,17.288849,21.556158,25.759237
2018-03-01 06:30:00,23.180208,16.669548,17.039743,14.571865,13.126267,15.735221,10.946987,9.634673,11.028585,11.2423725,16.838606,21.188766
2018-03-01 07:00:00,25.296865,22.529896,15.497737,15.988497,14.954861,13.629851,15.47905,11.239649,10.477293,11.634765,12.188844,16.930393
2018-03-01 07:30:00,24.507,24.520365,20.988697,14.571865,16.28717,15.15829,13.597956,15.230772,11.790153,11.243347,12.4436035,13.398668
2018-03-01 08:00:00,20.735123,23.77759,22.853703,19.616373,14.954861,16.453518,14.941608,13.564083,15.144632,12.175478,12.189476,13.540632
2018-03-01 08:30:00,25.56147,20.230581,22.157745,21.32974,19.699104,15.15829,16.148182,14.742231,13.691523,14.654494,12.794659,13.399021
2018-03-01 09:00:00,15.588487,24.769194,18.834312,20.69037,21.310488,19.770494,14.941608,15.839022,14.65524,13.525454,14.508754,13.736257
2018-03-01 09:30:00,16.948328,15.450387,23.086847,17.637154,20.709173,21.33703,19.238117,14.742231,15.753942,14.209694,13.671126,14.827312
2018-03-01 10:00:00,19.031885,16.669548,14.356314,21.54393,17.837694,20.752453,20.697428,18.647814,14.65524,15.208284,14.115367,14.224664
2018-03-01 10:30:00,30.506374,18.628887,15.497737,13.568585,21.511927,17.96089,20.15286,19.974346,18.567625,14.209694,14.998532,14.472216
2018-03-01 11:00:00,18.992548,29.419294,17.333576,14.571865,14.0563,21.532864,17.552376,19.479328,19.896467,17.765594,14.115367,15.269419
2018-03-01 11:30:00,19.285862,18.591896,27.443844,16.258438,14.954861,14.407223,20.879854,17.115454,19.400589,18.973356,17.260246,14.472216
2018-03-01 12:00:00,16.948328,18.867723,17.298916,25.546673,16.541044,15.15829,14.281344,20.140175,17.032597,18.522661,18.328405,17.310991
2018-03-01 12:30:00,13.027357,16.669548,17.557358,16.226597,25.276415,16.700327,14.941608,14.163295,20.062586,16.370432,17.929804,18.275183
2018-03-01 13:00:00,7.882656,13.154216,15.497737,16.464025,16.511097,25.19258,16.378098,14.742231,14.181674,19.124338,16.026348,17.91538
2018-03-01 13:30:00,4.1510315,8.541754,12.206554,14.571865,16.734392,16.671213,24.28907,16.048018,14.65524,13.873462,18.461935,16.197195
2018-03-01 14:00:00,5.5999823,5.196181,7.8881993,11.679003,14.954861,16.888294,16.350977,23.239199,15.963301,14.209694,13.897069,18.395716
2018-03-01 14:30:00,16.948328,6.495233,4.7559514,7.8832827,12.363947,15.15829,16.553198,16.023365,23.167007,15.398568,14.115367,14.35057
2018-03-01 15:00:00,12.627672,16.669548,5.9721713,5.130121,8.964413,12.992661,14.941608,16.207188,15.938604,21.945894,15.166821,14.472216
2018-03-01 15:30:00,15.338402,12.795881,15.497737,6.1991444,6.4986167,10.151145,13.037801,14.742231,16.122747,15.376122,20.957352,15.421328
2018-03-01 16:00:00,4.1510315,15.226174,11.871068,14.571865,7.45606,8.090098,10.539819,13.072926,14.65524,15.543487,15.14697,20.648245
2018-03-01 16:30:00,4.1510315,5.196181,14.146398,11.384119,14.954861,8.890381,8.727948,10.882633,13.28976,14.209694,15.294989,15.403408
2018-03-01 17:00:00,4.1510315,5.196181,4.7559514,13.384074,12.099842,15.15829,9.4314785,9.293941,11.498116,13.240201,14.115367,15.537021
2018-03-01 17:30:00,4.1510315,5.196181,4.7559514,5.130121,13.8910475,12.771909,14.941608,9.910813,10.198577,11.968132,13.485928,14.472216
2018-03-01 18:00:00,4.1510315,5.196181,4.7559514,5.130121,6.4986167,14.269096,12.843737,14.742231,10.703175,11.045458,12.660041,14.121463
2018-03-01 18:30:00,6.3037558,5.196181,4.7559514,5.130121,6.4986167,8.090098,14.159917,12.902765,14.65524,11.403723,12.060997,13.661241
