,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-09-01 00:00:00,36.002598,21.833155,32.201733,34.090225,28.16677,46.243053,31.659935,18.657755,23.37556,25.833254,25.734098,22.551367
2018-09-01 00:30:00,35.3958,35.306877,22.649216,32.168083,34.088688,28.9315,46.144104,31.858696,19.137774,24.053732,25.584211,26.024426
2018-09-01 01:00:00,40.491386,35.19693,35.65706,23.386883,32.17798,33.320282,29.107618,46.658157,31.978403,19.568972,23.9894,25.99976
2018-09-01 01:30:00,24.67897,39.635616,34.567,36.171696,24.974413,31.844967,32.594467,28.459364,47.4963,34.184055,19.83583,24.468353
2018-09-01 02:00:00,26.538958,25.882456,39.074356,34.202736,35.310547,25.471836,31.521067,32.113014,29.827662,50.090763,34.217415,20.45643
2018-09-01 02:30:00,30.55887,27.35753,25.797941,38.55338,33.962097,34.261868,24.755657,31.16491,31.95048,28.423746,49.483154,33.474792
2018-09-01 03:00:00,31.331205,30.779213,28.03011,25.876911,37.819942,33.767975,32.98908,24.109062,31.638092,33.26761,28.10049,47.769825
2018-09-01 03:30:00,38.1222,31.683575,30.977259,28.704824,27.072453,37.30586,33.64975,33.099457,25.070127,32.208477,33.318184,29.540356
2018-09-01 04:00:00,24.983074,37.42869,31.72096,31.16518,29.050476,27.561266,36.859932,33.546642,33.068897,24.183973,32.083355,33.28661
2018-09-01 04:30:00,28.118204,26.05671,36.952248,31.510479,31.077951,28.825272,27.739876,36.64035,34.520607,35.136982,25.245893,32.226765
2018-09-01 05:00:00,31.015493,28.617317,25.907358,36.75421,31.438597,30.695692,28.195438,27.184074,37.296555,35.03478,35.31792,26.405806
2018-09-01 05:30:00,39.280872,31.151367,29.044168,25.914797,36.222855,31.245035,30.035503,27.898273,27.998814,38.047943,34.599117,34.530293
2018-09-01 06:00:00,32.92198,38.50391,31.164068,29.53237,26.895582,35.653385,30.461172,29.907612,28.070763,27.414665,37.671406,34.736423
2018-09-01 06:30:00,32.72662,33.10464,38.169674,31.253727,29.722351,27.261713,35.350227,30.30491,30.367895,28.78659,27.180851,37.441692
2018-09-01 07:00:00,32.68994,32.777496,32.61223,37.738106,31.213902,29.44005,27.34464,35.206665,31.09085,31.211287,29.142002,28.236431
2018-09-01 07:30:00,29.70716,32.750477,32.78047,32.30442,36.854958,30.8754,28.843063,26.879978,35.776608,31.390837,31.313015,29.22367
2018-09-01 08:00:00,22.217813,30.266954,32.71121,32.854855,32.569485,36.210873,30.373074,28.639359,27.781368,36.82016,31.453497,31.283434
2018-09-01 08:30:00,34.080887,23.563757,30.380514,32.678875,32.91939,32.607815,35.445415,30.22351,28.935923,27.28111,36.485123,31.717815
2018-09-01 09:00:00,46.795876,33.729427,23.792135,30.316355,32.70318,32.603924,32.65627,35.345222,30.787558,29.74118,27.153307,36.172825
2018-09-01 09:30:00,40.018074,45.147816,33.944786,24.150892,30.604101,32.391712,32.33159,32.287323,35.922104,31.549845,29.948944,28.006788
2018-09-01 10:00:00,48.300278,39.616802,44.168884,34.24254,25.0928,30.48521,32.091465,31.936174,33.188656,36.93056,31.513687,29.949379
2018-09-01 10:30:00,50.099865,46.82193,38.687828,43.5596,33.710785,25.419676,30.012156,31.721159,32.33991,33.085766,36.739185,31.538933
2018-09-01 11:00:00,31.059635,48.68168,46.075565,37.924812,42.138134,32.971413,25.207859,29.61019,32.207687,32.879684,32.68595,36.448833
2018-09-01 11:30:00,23.249922,32.486347,47.707447,45.840107,37.74317,41.34182,32.008957,24.90596,30.243248,32.694965,32.706448,33.1293
2018-09-01 12:00:00,24.240826,25.308298,32.836475,46.994633,44.776546,37.85423,41.0022,31.996868,25.631468,30.29686,32.544064,32.789417
2018-09-01 12:30:00,23.471413,25.898933,26.614733,33.218708,45.998623,44.34564,37.959835,41.101246,32.22611,25.478489,30.354368,32.652603
2018-09-01 13:00:00,24.05727,25.787807,27.35385,28.153252,35.24237,46.15167,44.37821,37.62486,41.77071,33.706337,25.749956,30.720026
2018-09-01 13:30:00,32.61964,25.011473,27.442478,28.475666,29.387238,35.66914,46.377605,44.442215,38.72566,43.32631,33.810074,26.36835
2018-09-01 14:00:00,26.524399,32.38124,25.334251,28.309938,28.690062,29.203625,34.76041,46.524574,44.607285,38.409184,42.899002,33.357395
2018-09-01 14:30:00,24.774895,27.188227,32.25738,25.85786,28.574617,28.41744,28.635353,33.68945,46.9897,45.801014,37.77508,42.0531
2018-09-01 15:00:00,20.984722,25.557167,27.004238,32.43665,26.263247,28.546152,27.430386,27.552876,33.822834,47.242775,45.286777,38.09962
2018-09-01 15:30:00,19.395584,22.188478,25.746044,27.047007,32.19052,26.347198,27.14409,27.176126,27.20984,32.57634,46.59471,44.535263
2018-09-01 16:00:00,17.689604,20.916859,22.489784,26.149612,27.549465,31.613377,25.666693,27.075874,27.05271,27.385109,32.551968,46.104652
2018-09-01 16:30:00,13.731347,19.256592,21.3637,23.014664,26.663565,27.6704,31.201965,25.826164,27.436832,27.915455,27.973297,33.84645
