,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-09-01 00:00:00,36.52411,25.535318,32.220707,36.86485,31.691643,46.789062,33.1965,18.974861,25.560577,27.260012,27.501732,24.077581
2018-09-01 00:30:00,33.863056,36.301167,25.873293,32.223396,36.475136,31.682913,46.409286,33.191998,19.578394,25.741167,27.557085,27.88149
2018-09-01 01:00:00,43.666893,33.861446,36.3206,25.986359,32.13024,36.61899,31.490458,45.96852,33.309002,19.803339,26.106333,27.935816
2018-09-01 01:30:00,28.386076,42.79524,33.872776,36.134293,26.380873,32.149292,35.768238,31.49876,45.968674,33.377567,20.118341,26.531208
2018-09-01 02:00:00,28.385632,28.791426,42.728493,33.801205,35.772686,26.512974,31.866482,35.755272,31.705233,45.425518,33.01323,20.719538
2018-09-01 02:30:00,30.92115,28.77727,28.878922,42.3648,33.588375,35.92546,26.86401,31.84904,35.751884,31.85558,44.825108,33.460144
2018-09-01 03:00:00,32.496178,31.135592,28.894705,29.010683,41.789318,33.66087,35.110615,26.822432,32.062588,35.6695,31.664154,44.58491
2018-09-01 03:30:00,39.375908,32.599953,31.18553,29.000214,29.157902,41.886356,33.143883,35.093693,27.4207,32.189827,35.093323,32.067207
2018-09-01 04:00:00,27.10653,38.895424,32.616856,31.215075,29.162638,29.159588,40.917458,33.134583,35.122902,27.588459,31.964077,35.593365
2018-09-01 04:30:00,29.524538,27.58287,38.92307,32.599743,31.207035,29.167982,29.29043,40.706482,33.258934,35.07111,27.88202,32.367752
2018-09-01 05:00:00,31.008904,29.84553,27.755306,38.623566,32.4772,31.209616,29.297848,29.277039,40.69471,33.327316,34.54898,28.238539
2018-09-01 05:30:00,39.955845,31.220263,29.907959,27.88565,38.14964,32.509205,31.064468,29.26537,29.675137,40.275814,32.969032,35.030945
2018-09-01 06:00:00,34.27473,39.419624,31.260164,29.999323,28.126167,38.346905,32.168644,31.034973,29.686953,29.854963,39.602924,33.41242
2018-09-01 06:30:00,34.375546,34.25032,39.46603,31.294325,30.079668,28.164595,37.335934,32.152607,31.32215,29.860693,29.911198,39.85746
2018-09-01 07:00:00,32.93547,34.34417,34.226585,39.138496,31.277401,30.070292,28.393118,37.269382,32.34482,31.469942,29.924744,30.265512
2018-09-01 07:30:00,31.02086,33.01327,34.316353,34.16452,38.63559,31.27912,30.090988,28.368189,37.257793,32.457104,31.338018,30.270697
2018-09-01 08:00:00,25.150612,31.234085,33.004654,34.252644,33.923733,38.84999,31.125538,30.06762,28.847603,37.051632,32.19999,31.715166
2018-09-01 08:30:00,34.018444,25.734018,31.26645,32.988865,34.005585,33.99282,37.79795,31.100958,30.41775,29.02426,36.416534,32.61222
2018-09-01 09:00:00,46.252346,34.007,26.03785,31.305754,32.83297,34.075485,33.447998,37.709175,31.37733,30.587873,29.176107,36.87663
2018-09-01 09:30:00,43.231262,45.171448,34.00973,26.168169,31.285503,32.86795,33.52194,33.45207,37.697605,31.525715,30.562405,29.52384
2018-09-01 10:00:00,51.158905,42.3979,44.9613,33.93812,26.536562,31.285414,32.4827,33.526756,33.540512,37.44991,31.385183,30.92172
2018-09-01 10:30:00,52.664032,49.66689,42.346783,44.64319,33.71448,26.656029,31.134665,32.477097,33.609035,33.602116,36.813576,31.766094
2018-09-01 11:00:00,32.490204,51.080177,49.12178,41.9816,44.014244,33.787853,26.996834,31.111359,32.634174,33.667274,33.208557,37.242924
2018-09-01 11:30:00,26.633787,32.605972,50.45521,48.840733,41.416576,43.959377,33.257122,26.96772,31.383389,32.740555,33.266094,33.667908
2018-09-01 12:00:00,29.894934,27.137081,32.588528,50.17052,48.241802,41.531742,43.192604,33.250477,27.54309,31.531528,32.44538,33.72778
2018-09-01 12:30:00,28.163208,30.176077,27.338812,32.59828,49.537975,47.83814,40.5425,42.867138,33.363377,27.715014,31.389399,32.87208
2018-09-01 13:00:00,26.312244,28.543953,30.262009,27.46917,32.46875,49.106503,47.609787,40.34916,42.86378,33.42761,27.989565,31.770287
2018-09-01 13:30:00,32.696594,26.818182,28.728043,30.311962,27.742937,32.487724,48.972256,47.15768,40.336597,42.36567,33.056873,28.348982
2018-09-01 14:00:00,27.803116,32.793346,27.072502,28.787592,30.381172,27.796211,32.168526,48.4927,47.143578,39.936527,41.733097,33.504627
