,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-12-01 00:00:00,0.19353282,0.81816185,4.521187,7.9979057,8.170776,13.538089,10.824584,19.718008,12.451645,14.731469,9.940078,9.248089
2018-12-01 00:30:00,0.86984813,1.7204655,1.7373646,4.9066715,8.387426,7.5797186,13.28587,10.772008,19.128454,12.922313,15.295396,11.385067
2018-12-01 01:00:00,-0.0966016,2.6032035,2.1444442,2.70821,5.6185327,8.890814,6.7269073,13.136063,10.6991005,18.719475,13.084441,16.096445
2018-12-01 01:30:00,7.454584,1.7763432,3.3882587,3.2133732,3.7683184,6.3573313,9.224604,6.7090483,12.5928755,11.136841,18.694668,13.893116
2018-12-01 02:00:00,4.1883173,9.303075,2.1614482,4.104972,4.1655154,4.99959,7.4721313,9.28386,6.6022587,12.082926,10.972143,18.354612
2018-12-01 02:30:00,4.7860336,6.681772,9.0712595,2.7529526,5.1584697,5.516039,6.3502803,8.156301,9.836101,6.514267,12.095417,10.947726
2018-12-01 03:00:00,6.759247,7.571024,7.556753,10.538556,3.8745768,6.745633,6.858628,7.353689,9.047417,9.818948,6.619831,12.22882
2018-12-01 03:30:00,4.405404,9.773653,8.365395,8.443755,11.412183,5.4577284,7.6060214,7.775319,8.477042,8.790312,9.578315,6.9085245
2018-12-01 04:00:00,0.25871646,6.8237495,10.311672,8.984798,9.32824,13.023513,6.6715693,7.877816,8.611227,8.606182,8.900603,10.180553
2018-12-01 04:30:00,-0.05961048,2.893481,7.5689363,10.935677,9.732806,10.367969,14.56782,7.3013496,8.131532,8.643285,8.979255,9.958701
2018-12-01 05:00:00,-0.21789563,2.3922317,3.8310487,8.015689,11.487423,10.738383,11.034936,15.0281515,8.021064,8.538834,9.532399,10.277426
2018-12-01 05:30:00,-0.042442434,1.7421559,2.8754642,4.309802,8.67614,12.42746,11.5000305,11.100945,15.092684,8.654283,9.041148,11.0164995
2018-12-01 06:00:00,0.2657107,1.7358216,2.0922534,3.7716904,5.11912,9.3497,13.145973,11.806518,11.422208,15.020604,9.47206,10.826225
2018-12-01 06:30:00,-0.04590618,2.3650863,2.1004379,2.8963146,4.673365,6.0272875,9.959337,13.830196,12.12482,11.910625,15.607262,10.720101
2018-12-01 07:00:00,0.27935016,2.3496845,2.6953838,2.725132,3.8411868,6.1392365,6.7579064,10.183917,13.631178,12.617237,12.290195,16.04434
2018-12-01 07:30:00,0.5606383,2.656245,2.8522842,3.4870472,3.9024508,5.326991,7.3285346,7.2758665,10.697102,13.687695,12.7458515,12.825039
2018-12-01 08:00:00,1.6353034,3.045943,3.122649,3.7078419,4.520622,5.4835396,6.50291,8.156206,8.069516,10.909608,13.845198,12.896531
2018-12-01 08:30:00,7.077303,4.08873,3.540427,3.9968224,4.709789,6.2193737,6.6549506,7.2092066,8.846317,8.646535,11.086914,13.777903
2018-12-01 09:00:00,16.592289,9.262803,4.487378,4.4556923,4.99884,6.3426266,7.5188346,7.2477236,7.8973465,9.1860895,8.934108,11.316591
2018-12-01 09:30:00,23.882694,17.969093,9.416556,5.4317923,5.431847,6.641713,7.5191627,8.233561,7.9924326,8.2276535,9.781084,9.474255
2018-12-01 10:00:00,35.648586,26.171282,18.599482,10.602147,6.3759456,7.039315,7.8406215,8.258923,8.841168,8.58889,9.005077,10.672831
2018-12-01 10:30:00,27.235603,38.75489,26.86818,20.224382,11.5088825,7.964964,8.200689,8.572372,8.827046,9.431708,9.453357,10.254826
2018-12-01 11:00:00,25.907738,29.68519,40.144653,28.925596,21.037422,13.021941,9.151095,8.925444,9.112567,9.433653,10.223246,10.766602
2018-12-01 11:30:00,26.180004,25.22829,27.652155,41.058083,30.099174,22.178686,14.3680105,9.8223715,9.418537,9.715255,10.168375,11.336128
2018-12-01 12:00:00,43.225636,24.253944,24.177156,24.891048,42.0842,30.597055,22.647612,14.729042,10.230796,9.998266,10.452604,11.151001
2018-12-01 12:30:00,59.985306,42.09165,22.821754,23.444818,25.379374,41.382504,30.368834,21.692514,14.743832,10.745046,10.7012205,11.411346
2018-12-01 13:00:00,28.539953,65.541405,41.767017,21.740316,21.99595,24.780142,40.221172,28.555195,20.55083,14.855657,11.414306,11.57292
2018-12-01 13:30:00,13.403242,25.04236,62.290035,37.97505,22.367529,21.945877,22.368086,37.807568,27.37095,19.996199,15.424668,12.195388
2018-12-01 14:00:00,11.53174,13.34171,16.733974,55.67262,35.801086,22.493599,22.498898,21.287308,36.951515,27.844576,20.004364,15.706966
2018-12-01 14:30:00,26.23488,12.656577,10.85137,9.140097,52.84795,36.884354,22.46509,22.93939,20.477896,37.32606,28.09779,19.927553
2018-12-01 15:00:00,39.45126,33.342846,11.492281,8.445521,6.824694,51.661236,35.300926,22.333715,22.311136,21.17645,37.632328,28.121914
2018-12-01 15:30:00,49.921856,42.12609,37.548775,11.032477,8.58742,2.7606456,48.053608,31.493855,21.895348,22.042883,21.774752,36.92744
2018-12-01 16:00:00,58.279533,48.97271,43.371323,37.245884,10.045244,8.651973,0.17608096,47.333775,30.534,22.521929,22.582556,22.281574
2018-12-01 16:30:00,48.584263,50.456882,45.679485,45.44961,37.42771,11.094881,9.045789,1.933999,47.135464,29.90741,23.895132,21.864532
2018-12-01 17:00:00,45.013336,42.807194,41.818947,39.884476,47.69999,38.068733,11.081653,9.577692,1.8109503,48.325027,30.611137,23.65796
2018-12-01 17:30:00,52.518013,43.688004,38.678253,35.243614,33.4246,49.999958,39.085495,8.621121,9.763656,1.8138477,46.58344,30.74769
2018-12-01 18:00:00,52.66403,50.649715,41.517097,37.38645,32.856922,32.06213,52.257095,40.753754,8.58325,10.843759,3.9002063,45.018936
2018-12-01 18:30:00,52.32024,51.470646,48.11012,38.70946,35.170765,31.730946,29.419712,49.452793,41.18573,8.543522,12.266109,4.267658
2018-12-01 19:00:00,53.413822,50.727463,49.399086,45.703136,37.693714,33.295822,29.192274,25.990822,45.706585,37.743305,10.1903305,13.991165
2018-12-01 19:30:00,52.873375,52.123276,48.45842,47.480755,45.25604,36.88513,32.461506,25.98613,26.145164,43.779995,32.950077,10.699946
2018-12-01 20:00:00,52.428425,50.973946,49.84593,46.36999,46.623714,44.246025,35.41069,31.222229,24.39794,27.377148,42.519924,32.023335
2018-12-01 20:30:00,54.47872,50.982094,48.545338,47.814323,45.804253,46.035133,43.139523,34.90489,30.354406,29.617977,26.877916,44.322983
2018-12-01 21:00:00,54.110287,52.970863,48.961113,46.37028,46.895325,45.041534,44.813683,42.71188,34.331474,31.136997,31.257318,25.182714
2018-12-01 21:30:00,54.81398,52.147167,50.30734,47.014065,45.877895,46.295517,43.78586,44.04147,41.57391,34.328575,30.889122,29.56619
2018-12-01 22:00:00,55.57747,53.26192,49.543648,48.05793,46.079548,45.042614,45.000355,42.912613,42.772194,41.81454,33.79895,30.09677
2018-12-01 22:30:00,54.8373,53.580967,50.894558,47.333645,47.241013,45.445053,43.801422,44.21208,41.435493,42.515343,41.60023,33.43374
2018-12-01 23:00:00,52.910244,53.148315,50.66784,48.861923,46.815952,46.50928,44.25069,42.96369,42.970757,41.413445,42.708706,41.07599
2018-12-01 23:30:00,54.140697,51.182644,50.68191,48.335083,47.744343,46.01849,45.19412,43.527206,41.587475,42.892044,41.36797,42.250954
2018-12-02 00:00:00,51.168285,53.101727,48.99532,48.60436,47.748837,47.09611,44.799713,44.549335,42.417103,41.840687,43.103592,40.954433
2018-12-02 00:30:00,43.04164,49.33676,50.827866,46.961777,47.81121,46.821896,45.949738,44.03104,43.32571,42.33953,41.706955,42.647198
2018-12-02 01:00:00,47.58598,41.84128,47.272923,48.864468,46.35922,47.09653,45.62114,45.512386,42.79909,43.482777,42.275623,41.29027
2018-12-02 01:30:00,37.489235,48.240395,40.82563,45.25386,47.89621,45.518196,45.980167,45.154,44.77488,43.208942,43.822117,41.822186
2018-12-02 02:00:00,38.37119,38.919353,46.807728,38.77225,45.14744,47.297066,44.443424,45.54132,44.09494,44.933487,43.269207,43.29048
2018-12-02 02:30:00,38.891026,38.145817,38.470802,44.525,38.168304,44.292286,46.116013,43.95958,44.699177,44.62225,45.13582,42.82405
2018-12-02 03:00:00,57.313473,31.466091,36.00385,36.760624,43.270958,37.390583,43.117657,45.601543,42.8814,44.964733,44.880875,44.554104
2018-12-02 03:30:00,36.247902,54.056236,26.648512,34.058628,35.755737,42.943127,36.029724,42.11561,44.51674,42.949192,45.30449,44.307995
2018-12-02 04:00:00,6.103834,34.863914,48.623127,20.04482,32.65705,35.195843,41.01586,34.59023,40.406532,44.271564,42.94287,44.724083
2018-12-02 04:30:00,10.755705,9.100978,30.76511,43.840088,18.977856,31.637442,33.26194,39.39104,32.463234,40.39408,44.83107,42.41759
2018-12-02 05:00:00,27.462576,12.291218,9.982911,27.648111,43.651398,17.230444,29.08869,31.419767,37.102016,31.292364,40.174145,44.273346
2018-12-02 05:30:00,49.982166,35.691593,14.689003,9.0844345,26.294998,42.37131,14.569831,26.614605,28.306248,35.78305,30.666183,39.82873
2018-12-02 06:00:00,38.969273,50.196415,37.967518,15.108475,13.632194,23.56438,37.858276,13.308848,23.376019,26.248726,35.99961,30.505709
2018-12-02 06:30:00,35.154404,37.416946,48.95768,37.273125,14.992645,17.265837,21.185747,35.89617,11.501575,22.03073,25.194492,35.705986
2018-12-02 07:00:00,32.47474,30.966133,33.38037,47.384357,41.31531,17.651731,19.665522,21.178555,33.14724,13.077974,22.078648,24.042688
2018-12-02 07:30:00,42.36129,28.553303,25.191261,32.76897,47.856274,42.7816,17.881212,21.37809,21.416283,34.41936,16.83874,20.944847
2018-12-02 08:00:00,44.26723,40.552364,24.097633,23.56983,30.302794,49.483467,43.12669,17.108469,22.16898,22.23925,38.30174,16.83793
2018-12-02 08:30:00,51.951355,42.557148,37.41276,19.95199,21.586348,26.321241,49.034435,45.195087,17.797935,25.005041,21.953619,36.834953
2018-12-02 09:00:00,51.510513,51.794186,41.93328,34.462605,17.609001,17.898829,24.537281,47.36619,45.411472,16.447079,27.620106,20.757748
2018-12-02 09:30:00,55.10394,51.027935,51.95538,39.099823,33.218018,14.750813,16.163383,23.919765,44.652912,40.303997,18.810543,27.255947
2018-12-02 10:00:00,49.14969,54.159794,49.43261,49.35446,37.995155,31.68828,12.340182,14.285642,24.03182,42.9515,34.129093,20.003881
2018-12-02 10:30:00,34.958717,46.20398,52.05972,47.072666,47.58974,37.161617,28.40057,11.298447,12.88976,24.634893,43.295715,34.07228
2018-12-02 11:00:00,27.541353,35.174694,43.92093,49.06188,45.580566,47.309795,36.632313,25.338516,9.53041,13.287698,22.378643,44.585674
2018-12-02 11:30:00,29.888124,28.675468,33.93293,41.62031,46.093662,44.210217,46.391254,34.882496,21.797272,10.0779505,12.330316,21.689255
2018-12-02 12:00:00,33.859283,31.420301,28.114388,31.25919,40.8887,46.04047,43.436962,43.917133,33.649235,21.288296,12.24762,12.799083
2018-12-02 12:30:00,24.765942,34.043884,31.299088,26.292553,30.34015,39.0966,44.40442,42.935257,42.932804,34.326534,22.80274,11.54792
2018-12-02 13:00:00,19.994585,21.447712,31.32655,29.814745,26.042685,29.300695,37.669228,43.021065,42.562237,43.172413,34.884663,22.10113
2018-12-02 13:30:00,33.988106,18.851341,18.51573,30.473267,28.481592,25.718754,27.534084,36.778152,42.51141,43.97743,44.37339,35.76237
2018-12-02 14:00:00,40.325127,30.209162,11.966983,15.59098,30.35193,27.538002,24.592209,26.041029,36.325592,42.65916,43.271717,44.397778
2018-12-02 14:30:00,48.599205,37.367283,27.684889,7.2356634,13.598584,29.770203,25.895447,23.3165,25.069422,37.37295,43.15861,44.261745
2018-12-02 15:00:00,48.02296,46.48691,34.762463,22.985863,5.2825093,12.858286,28.253098,24.748936,21.897612,24.497965,35.476246,43.253826
2018-12-02 15:30:00,52.770466,46.483784,38.80191,27.702118,20.515827,4.2774897,12.479892,26.951296,22.66832,21.181969,23.581934,34.91868
2018-12-02 16:00:00,58.78247,51.771885,44.577286,36.559555,25.95104,21.339699,3.569813,11.500353,25.10766,20.64304,21.037453,22.586512
2018-12-02 16:30:00,53.78751,55.751495,48.454353,42.287395,38.065197,25.23507,19.830626,4.6507597,11.305505,24.86097,19.654278,19.886003
2018-12-02 17:00:00,51.39481,50.914608,51.804295,45.22532,39.458927,36.553387,22.075165,16.69976,4.1378536,12.0768,24.809885,18.241816
2018-12-02 17:30:00,48.420776,49.35273,48.685658,49.0602,43.75576,38.554024,37.34648,21.469679,15.456111,3.2796013,13.580167,24.216625
2018-12-02 18:00:00,44.942776,47.262806,46.902996,46.230476,48.42454,42.875854,37.42337,39.00881,21.923088,16.020823,5.060663,14.633831
2018-12-02 18:30:00,51.58449,44.24865,45.799232,44.32534,44.535763,47.603024,41.21692,36.553688,38.054012,23.785616,16.879921,8.858792
2018-12-02 19:00:00,54.813572,51.9356,43.153843,44.039146,43.343822,43.395756,46.098732,40.517536,37.446033,43.066105,26.096449,18.223104
2018-12-02 19:30:00,55.823376,52.920757,49.90205,41.474403,43.570988,42.220165,41.999825,45.113457,40.54604,37.856384,44.295204,25.442308
2018-12-02 20:00:00,52.28175,53.137344,49.541588,47.516384,40.88475,42.846252,41.02573,41.48674,44.06784,41.781082,36.527233,41.988346
2018-12-02 20:30:00,53.400272,49.440228,50.33539,47.143665,46.04336,40.363567,41.700012,40.71866,41.546013,45.82565,41.449043,36.155716
2018-12-02 21:00:00,55.69009,52.250546,46.37862,47.839066,46.794605,45.769897,38.850742,40.721775,40.285957,41.85939,45.9664,41.208775
2018-12-02 21:30:00,45.65091,54.097496,50.236164,43.73792,46.053776,46.139404,43.638313,37.10772,38.90744,40.082283,40.991386,45.41105
2018-12-02 22:00:00,48.939014,44.48279,51.094337,48.226364,43.22346,45.514374,44.156494,42.11451,34.55258,38.172493,39.531776,40.258953
2018-12-02 22:30:00,55.948353,49.667652,43.049564,48.729416,46.82807,41.59403,44.11941,42.309853,39.956944,33.270535,37.80523,38.990486
2018-12-02 23:00:00,55.40368,54.98844,48.074596,41.123753,48.217968,46.213318,40.308475,43.56138,40.06435,38.90801,32.550587,37.428593
2018-12-02 23:30:00,53.93591,52.862553,51.38854,45.918007,41.089554,47.40075,45.133987,40.01925,43.232582,40.59639,39.765285,32.459507
2018-12-03 00:00:00,49.270676,52.48654,49.555416,49.15589,44.459305,40.31521,46.024044,44.74855,39.895706,43.84069,40.53516,39.448742
2018-12-03 00:30:00,43.56488,47.013035,49.767345,47.90397,48.648212,44.12883,39.37996,45.31681,43.988815,40.57126,43.788246,40.200912
2018-12-03 01:00:00,49.638817,42.691933,45.174015,46.919025,47.35762,48.272198,42.594643,38.494225,43.826656,43.56098,39.100513,43.22281
2018-12-03 01:30:00,50.672356,50.474518,41.878075,43.104378,44.985516,46.88804,45.807343,41.53513,37.26265,44.04516,43.700348,38.496872
2018-12-03 02:00:00,39.873585,49.57337,48.796837,39.95533,43.150402,44.044636,45.650673,43.78341,40.293907,37.10121,44.61044,43.218166
2018-12-03 02:30:00,42.492054,38.498226,46.646317,46.519955,39.299034,41.930134,42.67989,44.560703,41.157772,39.43524,36.14563,44.10546
2018-12-03 03:00:00,41.04401,43.01307,36.554367,44.949657,45.18051,38.555878,41.062717,42.412098,42.995834,40.934193,39.72041,35.405712
