,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-12-01 00:00:00,2.1921368,2.4142883,5.1886406,8.634345,14.406687,16.587406,13.919607,17.747887,11.933541,12.065269,8.978385,9.867732
2018-12-01 00:30:00,1.8473624,2.9935024,4.0124044,5.513403,8.593542,15.348905,16.277777,14.598126,17.042778,12.39947,12.292817,10.217886
2018-12-01 01:00:00,0.9366759,2.784993,4.480686,4.4159727,5.414807,9.560524,14.958933,16.485563,14.545466,17.439945,12.629347,13.507292
2018-12-01 01:30:00,6.048564,2.0432174,4.272897,4.734864,4.4448953,6.704344,9.618053,15.608548,15.92701,15.144787,17.478765,13.5744
2018-12-01 02:00:00,5.0833893,6.876976,3.620734,4.650958,4.790028,5.99247,6.93315,10.552832,15.2442665,16.150568,15.13509,18.293125
2018-12-01 02:30:00,4.289074,6.1380224,8.2076,4.2054367,4.845939,6.3662224,6.344025,8.619043,10.628599,15.546583,16.14754,15.898695
2018-12-01 03:00:00,5.88074,5.2180586,7.457738,8.549625,4.567678,6.4657288,6.7042785,8.261805,8.691735,11.140012,15.430968,16.788477
2018-12-01 03:30:00,4.733551,6.660594,6.3198586,8.010168,8.888712,6.257372,6.7946324,8.532337,8.260061,9.240178,11.034296,16.265549
2018-12-01 04:00:00,1.6060294,5.509082,7.892317,6.85676,8.577777,10.3949995,6.595527,8.517153,8.363693,8.6667,9.160156,11.701123
2018-12-01 04:30:00,1.2315654,2.5317714,6.6726475,8.171256,7.3279834,10.171501,10.6176815,8.281268,8.393449,8.544852,8.772674,10.212276
2018-12-01 05:00:00,1.417076,2.185414,3.9761446,6.979394,8.44358,8.847738,10.320693,11.854196,8.302349,8.663022,8.810721,9.966721
2018-12-01 05:30:00,1.0318564,2.4477394,3.7657907,4.592575,7.22341,9.87292,9.0136795,11.461204,11.350082,8.748289,8.942942,10.0607605
2018-12-01 06:00:00,1.0670642,2.1277702,4.059085,4.2181168,4.900699,8.671959,9.948616,10.15691,11.305703,11.551663,9.0022745,10.1732235
2018-12-01 06:30:00,1.0158118,2.2339523,3.7178495,4.4650764,4.407452,6.4623804,8.800074,11.214437,10.195205,11.745147,11.787257,10.187156
2018-12-01 07:00:00,1.1192454,2.2351596,3.8523042,4.2545414,4.6947875,6.0072727,6.7525296,10.12339,10.968519,10.714303,11.980182,13.019436
2018-12-01 07:30:00,1.3430384,2.335982,3.8930862,4.42416,4.585877,6.3317976,6.3037343,8.354456,10.011605,11.272396,10.919058,13.023953
2018-12-01 08:00:00,2.0548306,2.5568225,3.974263,4.490493,4.823709,6.270211,6.6446347,8.106499,8.502048,10.354952,11.4427185,11.83546
2018-12-01 08:30:00,6.2209616,3.2186382,4.1839542,4.576784,4.9334025,6.526166,6.6068635,8.441508,8.106654,9.11187,10.547851,12.56911
2018-12-01 09:00:00,19.709427,7.12261,4.776946,4.7764664,5.029761,6.652027,6.8483577,8.323109,8.3328905,8.511727,9.220447,11.610139
2018-12-01 09:30:00,25.917625,20.001955,8.461446,5.32765,5.2361283,6.7472734,6.968467,8.528949,8.301111,8.627251,8.701811,10.286348
2018-12-01 10:00:00,37.64525,26.27364,20.739063,8.898774,5.7782445,6.9471836,7.061126,8.645591,8.50972,8.696562,8.88767,9.936311
2018-12-01 10:30:00,27.614042,36.855743,26.36775,20.856812,9.346095,7.460104,7.250627,8.711772,8.630778,8.924459,8.962577,10.183497
2018-12-01 11:00:00,25.995716,27.409056,35.23647,26.395319,21.377607,10.886779,7.7408957,8.877566,8.697379,9.058643,9.195562,10.181521
2018-12-01 11:30:00,28.959171,24.443655,26.844807,33.437176,27.038063,22.589685,11.076823,9.291394,8.847138,9.129881,9.330408,10.420478
2018-12-01 12:00:00,42.34247,27.247631,22.881708,26.466404,32.774494,27.937756,22.348429,12.221564,9.209238,9.271597,9.403787,10.566268
2018-12-01 12:30:00,49.66221,40.12362,26.690784,21.521788,26.602678,33.06463,26.865181,22.158321,11.786712,9.602665,9.546101,10.626368
2018-12-01 13:00:00,31.194681,47.414177,37.40567,25.083923,20.536604,26.17746,31.143713,26.242598,20.967016,12.075783,9.880033,10.768088
2018-12-01 13:30:00,19.908188,30.102901,43.982876,34.75241,23.749617,20.36645,24.756159,29.985056,25.70249,21.201918,12.303262,11.086598
2018-12-01 14:00:00,16.83604,18.295494,27.447212,40.519115,33.041843,24.105227,19.477812,24.819757,29.414064,26.188908,21.16755,13.47247
2018-12-01 14:30:00,24.763596,16.361027,17.741268,26.535387,38.351345,33.79862,23.168835,19.192547,25.06181,29.501396,26.02054,22.101816
2018-12-01 15:00:00,32.71967,23.535326,16.552824,17.178577,26.215431,38.250008,32.502098,23.013132,18.801731,25.830265,29.295307,26.304146
2018-12-01 15:30:00,49.130314,30.996374,22.52867,15.632021,16.412603,24.751125,35.910015,30.512058,21.92013,18.753706,24.680826,29.081186
2018-12-01 16:00:00,53.03657,46.94104,29.473042,21.01019,15.273206,16.18927,23.456526,34.223213,29.425976,21.964817,18.268475,24.92389
2018-12-01 16:30:00,52.010914,50.43058,43.208725,28.057611,20.27675,16.28666,16.283897,23.207962,33.674847,29.612738,21.464622,18.39832
2018-12-01 17:00:00,52.582466,49.509125,46.658966,39.109814,27.104822,21.299572,16.398504,17.033068,24.038034,34.023148,29.659039,21.971476
2018-12-01 17:30:00,51.398308,50.014046,46.43754,42.663506,36.717003,27.941027,21.285877,17.315653,16.89039,24.518213,33.615932,28.823652
2018-12-01 18:00:00,51.42848,49.4546,46.986366,43.903545,39.99186,37.0569,27.332449,21.064793,16.707787,17.343084,23.101982,32.555748
2018-12-01 18:30:00,51.021515,49.770775,46.745705,43.956814,41.977886,39.430115,34.68233,25.917198,19.918343,16.053038,16.245237,22.649427
2018-12-01 19:00:00,52.190773,49.263893,46.901722,44.61924,41.812984,40.564175,36.717854,32.76258,24.627485,18.89079,16.300472,16.570126
2018-12-01 19:30:00,51.37057,50.42868,46.47804,45.084263,43.48005,41.207523,38.152878,35.215855,32.102795,24.70081,19.462418,16.844368
2018-12-01 20:00:00,51.421963,49.623314,47.518723,44.56929,44.381325,43.2449,39.033966,37.109447,34.821777,32.17057,24.716677,19.546473
2018-12-01 20:30:00,52.98406,49.703762,46.80435,45.56946,43.718273,44.364975,41.74486,37.80762,36.937683,35.38146,32.297935,24.5057
2018-12-01 21:00:00,52.258167,51.078865,46.827736,44.91967,44.715664,43.61388,43.136986,40.41385,37.317265,37.87627,34.61834,31.142393
2018-12-01 21:30:00,53.42036,50.584305,48.155655,44.98394,44.08022,44.769894,42.303883,41.54555,39.829613,37.981777,36.097317,33.515022
