,LSTM-Bidirecional-1,LSTM-Bidirecional-2,LSTM-Bidirecional-3,LSTM-Bidirecional-4,LSTM-Bidirecional-5,LSTM-Bidirecional-6,LSTM-Bidirecional-7,LSTM-Bidirecional-8,LSTM-Bidirecional-9,LSTM-Bidirecional-10,LSTM-Bidirecional-11,LSTM-Bidirecional-12
2018-06-01 00:00:00,12.0301895,11.423202,9.302118,8.285129,8.318035,9.750384,10.553492,11.98094,13.843214,15.0734215,16.652105,18.337902
2018-06-01 00:30:00,15.145418,13.676692,12.578577,10.424695,10.306351,10.184281,10.7926655,11.98852,13.7729435,15.010813,16.624966,18.244738
2018-06-01 01:00:00,19.675163,16.66025,14.723494,13.493978,12.332245,12.040822,11.200537,12.214233,13.780455,14.943781,16.566578,18.212337
2018-06-01 01:30:00,35.413246,20.995089,17.562502,15.520711,15.240961,13.939359,12.946264,12.600092,13.996176,14.951025,16.50369,18.152374
2018-06-01 02:00:00,42.90331,36.03145,21.687553,18.194515,17.164968,16.665714,14.734074,14.250404,14.364866,15.157534,16.510654,18.09173
2018-06-01 02:30:00,41.96496,43.204243,35.996956,22.071198,19.705383,18.480639,17.304327,15.945541,15.941772,15.510529,16.705997,18.097294
2018-06-01 03:00:00,44.860317,42.33301,42.829727,35.448452,23.385147,20.870913,19.022627,18.382685,17.561121,17.020222,17.039919,18.277164
2018-06-01 03:30:00,42.70408,45.115875,42.00894,41.942295,36.064793,24.327564,21.285803,20.02027,19.889324,18.570526,18.468218,18.585697
2018-06-01 04:00:00,42.131626,43.082382,44.662277,41.300224,42.237026,36.19458,24.553709,22.173573,21.453093,20.799538,19.93496,19.905079
2018-06-01 04:30:00,40.12668,42.546467,42.727108,43.85018,41.66957,42.051315,35.74059,25.278513,23.508808,22.297039,22.044619,21.265322
2018-06-01 05:00:00,48.109913,40.633286,42.214973,42.121094,44.128662,41.621044,41.305992,35.872818,26.474134,24.26536,23.462683,23.22437
2018-06-01 05:30:00,52.506058,48.251274,40.392822,41.65893,42.52009,43.982857,40.977867,41.195057,36.598934,27.104433,25.326717,24.55257
2018-06-01 06:00:00,53.31842,52.447857,47.642845,39.953518,42.096043,42.52842,43.26862,40.946384,41.688408,36.79788,28.015562,26.296482
2018-06-01 06:30:00,59.853535,53.227844,51.64364,46.70318,40.478104,42.13933,41.946476,43.15273,41.45671,41.677246,37.197323,28.804798
2018-06-01 07:00:00,61.786716,59.466072,52.393913,50.484653,46.877117,40.620388,41.595917,41.9427,43.570564,41.464535,41.833584,37.32217
2018-06-01 07:30:00,49.517487,61.32254,58.341133,51.246525,50.466805,46.592995,40.16113,41.62128,42.40758,43.49701,41.657063,41.694122
2018-06-01 08:00:00,35.95201,49.62874,60.118404,56.84952,51.208572,49.99118,45.785576,40.26116,42.094948,42.385,43.604412,41.636456
2018-06-01 08:30:00,47.808193,36.683884,48.98803,58.606197,56.55114,50.741875,49.007328,45.576946,40.793068,42.084934,42.56093,43.523308
2018-06-01 09:00:00,71.32394,47.98971,36.65266,48.271206,58.251198,55.795547,49.755062,48.64898,45.874245,40.836918,42.278667,42.62274
2018-06-01 09:30:00,77.17675,70.41722,47.3997,36.676907,48.46197,57.468502,54.56829,49.387127,48.817123,45.70428,41.093254,42.3819
2018-06-01 10:00:00,78.397964,75.994286,68.75581,46.573154,37.45802,48.34566,56.209747,53.97069,49.53165,48.528763,45.70606,41.278214
2018-06-01 10:30:00,92.75469,77.1583,74.097435,66.524216,46.814754,37.977375,47.636906,55.575127,53.926163,49.220512,48.394394,45.5487
2018-06-01 11:00:00,90.61521,90.851074,75.24094,71.70177,65.73005,46.613266,37.823654,47.48438,55.46834,53.442375,49.069653,48.073166
2018-06-01 11:30:00,87.28187,88.83355,88.3191,72.96726,70.69058,64.32989,45.895943,38.157124,47.732193,54.930435,53.09757,48.753815
2018-06-01 12:00:00,91.928894,85.66843,86.43253,85.414635,71.979,69.16165,62.591557,45.73375,38.799767,47.51498,54.537304,52.554157
2018-06-01 12:30:00,91.88824,90.096985,83.43082,83.942314,83.938095,70.58015,67.25955,61.55281,46.027782,38.946594,47.513996,53.978256
2018-06-01 13:00:00,89.00335,90.06678,87.65728,81.24928,82.64831,82.03161,68.7651,66.07027,61.15391,45.859974,39.365246,47.494614
2018-06-01 13:30:00,78.913864,87.3193,87.63504,85.24222,80.14129,81.07948,79.79503,67.59402,65.508514,60.364643,45.886997,39.87686
2018-06-01 14:00:00,72.75009,77.70739,85.01658,85.29437,83.97208,78.83239,79.1047,78.17647,67.0177,64.57068,59.644978,45.829185
2018-06-01 14:30:00,72.29063,71.83812,75.84779,82.84478,84.04745,82.47653,77.07794,77.670944,77.18759,66.053894,63.69804,58.61088
2018-06-01 15:00:00,61.540787,71.39856,70.23052,74.20982,81.71299,82.60255,80.57479,75.804214,76.740906,75.862076,65.19616,62.539032
2018-06-01 15:30:00,54.722157,61.145294,69.78647,68.81046,73.465454,80.4077,80.7407,79.14517,74.9733,75.46788,74.62337,64.13847
2018-06-01 16:00:00,61.6831,54.630535,59.999798,68.234146,68.277985,72.59451,78.66071,79.34233,78.1823,73.783905,74.35859,73.19919
2018-06-01 16:30:00,50.93244,61.257187,53.77198,58.96033,67.66536,67.5704,71.21407,77.36614,78.37214,76.87797,72.810486,73.220375
2018-06-01 17:00:00,41.404984,50.999046,60.06646,52.96086,58.78729,66.83318,66.352554,70.26377,76.480545,77.0666,75.78065,71.888985
2018-06-01 17:30:00,40.119198,41.895153,50.29294,58.7023,53.026535,58.37362,65.52957,65.577515,69.66999,75.24695,75.98526,74.72427
2018-06-01 18:00:00,35.259964,40.65269,41.613323,49.549126,58.42836,52.81154,57.417736,64.71667,65.149536,68.68847,74.25241,74.97967
2018-06-01 18:30:00,22.81451,36.010353,40.41867,41.327915,49.7057,57.75164,52.038563,56.95993,64.2911,64.319664,67.983406,73.35303
2018-06-01 19:00:00,15.84387,24.113064,35.989403,40.089443,41.875454,49.545525,56.60866,51.7705,56.840546,63.469715,63.766228,67.41766
2018-06-01 19:30:00,10.24922,17.433617,24.65857,35.888588,40.66623,42.121323,48.813812,56.031162,51.851192,56.295357,62.887493,63.33713
2018-06-01 20:00:00,6.949009,12.072673,18.294748,25.227661,36.652855,40.88731,41.742104,48.632782,55.91085,51.487362,56.005127,62.360046
2018-06-01 20:30:00,5.304653,8.898442,13.187283,19.168108,26.51667,37.06512,40.506157,41.878025,48.823196,55.3673,51.371475,55.79792
2018-06-01 21:00:00,1.8488656,7.301402,10.164431,14.312232,20.747915,27.518545,36.84575,40.64652,42.35386,48.56193,55.008106,51.31721
2018-06-01 21:30:00,1.7490617,3.984851,8.646912,11.411082,16.119864,22.03763,27.791069,37.15048,41.166695,42.35143,48.522545,54.579002
2018-06-01 22:00:00,0.4502374,3.874404,5.49275,9.929164,13.344189,17.641323,22.568924,28.539644,37.80824,41.20435,42.59751,48.49198
2018-06-01 22:30:00,0.8035394,2.6259909,5.3893604,6.9511294,11.914196,14.989512,18.37592,23.539732,29.57062,37.97681,41.476562,42.8933
2018-06-01 23:00:00,2.3711665,2.956542,4.2025166,6.816417,9.077019,13.612874,15.831537,19.529182,24.789902,30.081434,38.387726,41.75217
2018-06-01 23:30:00,0.9508897,4.4468527,4.5179043,5.6940494,8.938654,10.941588,14.496714,17.082067,20.953293,25.499323,30.881197,38.817413
2018-06-02 00:00:00,1.2868348,3.0917425,5.937601,5.971603,7.866961,10.79053,11.960224,15.784311,18.61617,21.820835,26.520786,31.78377
2018-06-02 00:30:00,3.3108408,3.410819,4.6483555,7.285007,8.12479,9.780356,11.800865,13.365473,17.384754,19.579798,23.020372,27.658428
2018-06-02 01:00:00,3.9577105,5.34254,4.95228,6.0907855,9.36323,10.011716,10.839251,13.194792,15.08008,18.40045,20.888731,24.344498
2018-06-02 01:30:00,8.137587,5.9628935,6.790697,6.3682857,8.231081,11.163325,11.04895,12.27656,14.92271,16.194134,19.770294,22.305017
2018-06-02 02:00:00,9.602219,9.952544,7.3809376,8.080325,8.494793,10.1113,12.125645,12.466343,14.0487175,16.043861,17.682802,21.21401
2018-06-02 02:30:00,10.485014,11.356486,11.178396,8.640847,10.115505,10.355191,11.136543,13.478607,14.232313,15.207153,17.541874,19.251022
2018-06-02 03:00:00,13.125082,12.206838,12.515009,12.181073,10.646431,11.867032,11.366285,12.546724,15.2022915,15.3829365,16.75062,19.093134
2018-06-02 03:30:00,11.509302,14.7328825,13.323978,13.451882,13.999081,12.368539,12.787331,12.761057,14.312134,16.312017,16.917538,18.345947
2018-06-02 04:00:00,13.350035,13.200496,15.72772,14.227359,15.204229,15.5006895,13.260746,14.103853,14.518024,15.459871,17.797405,18.488022
2018-06-02 04:30:00,14.297636,14.961158,14.268562,16.482744,15.945688,16.64219,16.207916,14.556595,15.80089,15.657427,16.991383,19.291826
2018-06-02 05:00:00,17.205835,15.869452,15.9433155,15.151179,18.087557,17.349016,17.288864,17.34287,16.23212,16.88551,17.179247,18.549395
2018-06-02 05:30:00,19.788895,18.649858,16.807573,16.713892,16.833532,19.358967,17.965496,18.37649,18.895329,17.297995,18.340723,18.721682
2018-06-02 06:00:00,18.599928,21.118853,19.453136,17.531746,18.31936,18.204897,19.866016,19.027086,19.882172,19.847883,18.730293,19.793575
2018-06-02 06:30:00,17.557537,19.99137,21.8039,20.007627,19.095402,19.59347,18.792404,20.831223,20.502104,20.7929,21.143824,20.15827
2018-06-02 07:00:00,19.239014,19.000868,20.73148,22.217422,21.443089,20.325089,20.105011,19.831013,22.225235,21.386784,22.038353,22.38955
2018-06-02 07:30:00,21.351881,20.609507,19.788544,21.24622,23.537485,22.523092,20.797316,21.07352,21.26584,23.036802,22.601273,23.229584
2018-06-02 08:00:00,20.458166,22.62996,21.318233,20.376204,22.624578,24.492607,22.87015,21.733963,22.452002,22.118313,24.163761,23.767097
2018-06-02 08:30:00,23.574766,21.77855,23.240484,21.802982,21.808527,23.660046,24.730099,23.698713,23.082108,23.25392,23.294062,25.224094
2018-06-02 09:00:00,21.949654,24.753883,22.431221,23.604183,23.16382,22.90493,23.960245,25.465353,24.958221,23.857046,24.36938,24.44005
2018-06-02 09:30:00,25.273497,23.208225,25.263275,22.863754,24.870117,24.169216,23.259914,24.751701,26.647625,25.6527,24.940023,25.440542
2018-06-02 10:00:00,26.670927,26.38398,23.792843,25.504307,24.1696,25.766773,24.453154,24.094767,25.964602,27.270702,26.63986,25.974794
2018-06-02 10:30:00,20.83737,27.721308,26.81454,24.157776,26.673769,25.123264,25.95816,25.224058,25.336033,26.617756,28.173584,27.553238
2018-06-02 11:00:00,19.856237,22.159178,28.088467,26.975676,25.401705,27.464441,25.35699,26.651655,26.413305,26.016823,27.557669,28.981733
2018-06-02 11:30:00,19.29132,21.219173,22.795135,28.184143,28.076323,26.292185,27.564827,26.089748,27.77581,27.047688,26.99039,28.4331
