,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-06-01 00:00:00,13.884714,12.176301,10.29954,9.525819,9.043749,10.013562,11.242632,12.176453,14.099211,15.099102,15.722973,17.610748
2018-06-01 00:30:00,16.88583,14.53394,13.481766,11.639161,10.862314,10.462003,11.475754,12.1742325,14.031668,15.059265,15.715658,17.447176
2018-06-01 01:00:00,21.344221,17.31805,15.680569,14.541215,12.929306,12.324519,11.887663,12.376987,14.03479,14.997538,15.672197,17.426344
2018-06-01 01:30:00,36.77806,21.405157,18.410898,16.64902,15.753319,14.3224745,13.587973,12.754833,14.239462,14.999374,15.611172,17.384825
2018-06-01 02:00:00,44.8897,34.940353,22.438,19.177256,17.828396,17.090137,15.441734,14.26951,14.604139,15.19236,15.6105995,17.329727
2018-06-01 02:30:00,43.67535,43.43594,36.1698,22.89601,20.28474,19.004147,18.003796,16.032145,16.106415,15.541576,15.790789,17.32548
2018-06-01 03:00:00,46.0165,43.31158,43.718876,35.36008,23.876448,21.38245,19.808914,18.431517,17.76182,16.961739,16.122799,17.476505
2018-06-01 03:30:00,44.039845,45.275764,42.978607,43.054897,35.762955,24.895803,22.024097,20.241627,20.052742,18.559513,17.46358,17.765705
2018-06-01 04:00:00,43.219505,43.939808,45.13637,42.88595,43.233326,36.884083,25.296488,22.349989,21.689695,20.7465,19.003925,18.91152
2018-06-01 04:30:00,41.300552,43.078945,43.517662,44.784653,43.214497,43.53635,36.430065,25.420092,23.691479,22.33291,21.111742,20.288387
2018-06-01 05:00:00,49.102726,41.37213,42.788376,43.49359,45.00437,42.910934,42.926846,35.448822,26.64046,24.229172,22.680796,22.159376
2018-06-01 05:30:00,54.030468,47.77656,41.077057,42.72956,43.81244,44.78516,42.520123,42.144855,36.629074,27.026453,24.531668,23.618523
2018-06-01 06:00:00,54.713623,52.747818,47.868767,41.144497,43.06905,43.38727,44.24778,42.40127,42.57797,36.45045,27.239502,25.288698
2018-06-01 06:30:00,61.03085,53.862743,52.35717,47.15125,41.560406,42.739334,42.980347,43.927387,42.345795,42.30327,36.213287,27.70921
2018-06-01 07:00:00,63.24035,59.328934,53.13287,51.66823,47.18334,41.241917,42.331276,43.023315,43.98592,42.143444,42.036213,35.545525
2018-06-01 07:30:00,50.707317,61.914753,58.75256,52.655396,51.517788,47.17661,40.916443,42.360992,42.932613,43.552895,42.12758,41.16544
2018-06-01 08:00:00,36.557076,51.631454,60.881332,57.78925,52.52658,51.145416,46.417572,41.069767,42.376232,42.55558,43.508453,41.669106
2018-06-01 08:30:00,48.05884,38.370663,50.05823,60.0966,57.356907,51.836086,50.29945,45.75881,41.103237,41.95887,42.63398,42.935005
2018-06-01 09:00:00,73.151726,46.590324,37.395386,50.4295,59.59739,56.750732,51.058445,49.629642,46.020805,40.74915,42.056274,42.321476
2018-06-01 09:30:00,79.96466,68.896255,47.02219,38.299423,50.59319,58.647,55.705772,50.6276,49.541733,45.333996,40.897335,41.776962
