,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-06-01 00:00:00,14.406385,15.184028,11.928511,11.174483,8.931133,10.265441,11.107489,13.014738,14.2553215,15.001495,15.413462,20.255442
2018-06-01 00:30:00,17.926792,16.805744,17.25372,13.865851,13.105906,11.019513,11.676039,13.193886,14.647787,15.777683,16.43048,17.040522
2018-06-01 01:00:00,22.896183,20.517212,18.823742,19.360435,15.632193,14.936767,12.478682,13.736345,14.857563,16.071987,17.275312,17.911474
2018-06-01 01:30:00,45.925377,25.405363,22.768646,20.9199,20.795595,17.346405,16.66863,14.506531,15.369846,16.261488,17.678995,19.021185
2018-06-01 02:00:00,50.138042,49.441574,27.883364,24.690996,22.193224,22.371395,19.071003,18.449121,16.105328,16.769835,17.896704,19.623518
2018-06-01 02:30:00,45.622036,51.550232,52.42214,29.433361,25.641459,23.731157,24.16535,20.678333,19.993769,17.502733,18.409977,19.878567
2018-06-01 03:00:00,46.68526,47.777637,53.646114,54.341484,29.939644,26.981022,25.284138,25.392063,22.123152,21.287931,19.14485,20.36722
2018-06-01 03:30:00,43.18695,48.328465,50.590553,55.230324,53.142612,31.006742,28.334782,26.264757,26.910799,23.357603,23.043892,21.044666
2018-06-01 04:00:00,41.908787,42.583942,49.470657,50.993168,54.88393,52.31245,31.963774,29.17472,27.779072,27.995068,25.01214,24.682028
2018-06-01 04:30:00,39.99944,41.630135,42.23054,47.91624,50.33397,54.09304,52.77222,32.695606,30.534006,28.650782,29.641163,26.500462
2018-06-01 05:00:00,46.80236,40.435642,40.406834,41.47775,47.774296,50.13231,53.131832,53.28878,33.66685,31.359488,30.213915,31.018574
2018-06-01 05:30:00,52.865936,45.407356,39.089405,40.355053,40.54452,47.765675,49.984516,54.268616,54.114975,34.50209,32.597736,31.644863
2018-06-01 06:00:00,53.589462,50.544525,43.778526,39.34419,38.243984,40.447765,46.991142,50.919563,54.534344,54.205566,35.110676,33.893475
2018-06-01 06:30:00,59.331406,51.92026,48.38112,42.783615,36.799812,38.44502,39.95127,47.6514,50.98288,53.40418,53.59712,36.149345
2018-06-01 07:00:00,59.956966,58.60161,49.922375,48.24593,41.74159,37.10244,37.07653,39.278744,46.896458,49.89977,52.76636,53.703194
2018-06-01 07:30:00,48.282604,57.189346,57.269062,48.75901,47.772247,41.27712,36.262337,36.24476,38.31491,45.290817,49.730972,52.212692
2018-06-01 08:00:00,36.920074,47.031055,53.42331,54.40409,48.265926,46.505028,39.431995,34.996483,35.643517,36.154716,44.8741,49.62194
2018-06-01 08:30:00,44.177532,39.0304,44.296055,50.356934,53.465763,46.909523,45.199894,39.065075,34.67162,34.282578,35.184704,43.90891
2018-06-01 09:00:00,72.44407,44.912262,39.812714,44.47285,50.498035,51.607292,45.265648,44.378998,37.70215,33.393604,33.676678,35.028656
2018-06-01 09:30:00,83.46946,69.678535,44.91802,39.94817,44.174393,47.86693,49.795616,44.779552,43.02393,36.67499,32.63459,33.085327
2018-06-01 10:00:00,79.57703,81.53307,67.729614,44.098778,39.77084,41.979935,45.951492,49.417534,43.374332,41.74624,36.232826,32.083496
2018-06-01 10:30:00,88.908966,78.66373,80.511116,66.42958,43.9823,40.205826,40.478226,45.449318,48.569435,42.633564,40.819263,35.470856
2018-06-01 11:00:00,90.66671,86.21572,75.91586,80.00191,68.55727,43.048054,40.166435,38.925457,44.167744,48.585358,41.53253,40.41225
2018-06-01 11:30:00,85.91984,87.60249,81.98766,73.598175,81.20579,66.924,41.526897,38.917736,38.093025,43.788597,46.628845,40.761993
2018-06-01 12:00:00,89.30505,81.81958,83.15081,77.07049,71.4374,79.34383,64.328064,40.18422,37.530598,37.249428,42.89844,45.913868
2018-06-01 12:30:00,90.8974,85.2563,78.47583,78.92769,75.41635,70.033066,77.97914,62.811745,39.427223,37.808445,36.38645,42.036495
2018-06-01 13:00:00,87.92802,88.0759,81.730194,75.7736,76.97551,73.62958,69.3897,75.38557,62.615166,39.56176,37.479286,35.671318
2018-06-01 13:30:00,77.04448,84.83692,84.30741,79.71333,73.46712,74.885025,73.361664,68.70683,75.27694,60.595894,38.533318,37.612362
2018-06-01 14:00:00,69.829765,73.88815,81.429085,82.19194,77.29659,71.354195,73.30602,72.870964,67.42648,73.83782,61.422985,38.42273
2018-06-01 14:30:00,69.02188,68.02364,72.21931,79.62376,81.05802,75.09347,69.47279,73.58736,72.16163,66.95058,72.917946,58.448082
2018-06-01 15:00:00,58.68152,67.680405,67.79828,72.37697,78.73963,79.16364,73.4183,68.29938,72.219795,71.014465,63.670425,68.91986
