,LSTM-Bidirecional-1,LSTM-Bidirecional-2,LSTM-Bidirecional-3,LSTM-Bidirecional-4,LSTM-Bidirecional-5,LSTM-Bidirecional-6,LSTM-Bidirecional-7,LSTM-Bidirecional-8,LSTM-Bidirecional-9,LSTM-Bidirecional-10,LSTM-Bidirecional-11,LSTM-Bidirecional-12
2018-03-01 00:00:00,58.115166,68.34335,67.06807,60.12354,66.16769,75.474045,68.27634,54.956886,55.939484,72.22772,79.13218,72.668144
2018-03-01 00:30:00,41.523643,54.920452,64.020454,63.728363,56.61956,62.74941,72.56308,64.02151,51.193523,52.97355,68.8699,75.24174
2018-03-01 01:00:00,42.559334,38.56404,50.877575,60.7957,60.766594,53.734737,60.14255,69.33462,60.263355,48.428627,50.641598,65.808716
2018-03-01 01:30:00,32.550377,39.533203,34.819176,48.215607,57.755695,58.248245,51.34589,57.731617,66.371735,57.47012,46.4875,49.01597
2018-03-01 02:00:00,33.959953,30.242632,36.105595,32.44445,45.14491,55.148888,55.76844,48.715702,55.41228,63.647907,55.181942,45.115967
2018-03-01 02:30:00,31.921637,32.783783,27.457186,33.70462,29.862175,42.72764,52.775597,52.542446,46.251472,53.081215,61.055347,53.057648
2018-03-01 03:00:00,24.666655,31.53834,31.126661,25.567974,31.730421,28.229645,40.97951,49.872177,49.65317,44.143894,51.032772,58.52286
2018-03-01 03:30:00,21.518698,24.668442,30.612389,29.998892,24.077059,30.546278,27.16499,39.020367,47.222927,47.44195,42.61264,49.415245
2018-03-01 04:00:00,21.298304,21.92015,24.234383,30.06112,29.078997,23.310661,29.558453,25.671207,37.11645,45.18825,45.7953,41.632755
2018-03-01 04:30:00,19.557955,22.019016,22.119585,24.19939,29.540466,28.71456,22.95211,27.755901,24.265532,35.563477,43.637794,44.47441
2018-03-01 05:00:00,13.848986,20.718174,22.561226,22.613585,24.178293,29.470907,28.69175,21.860592,26.1754,23.283808,34.546886,42.527534
2018-03-01 05:30:00,5.5692735,15.4361,21.681522,23.301723,22.98801,24.494198,29.789257,28.128586,20.981241,25.270353,23.020918,34.259132
2018-03-01 06:00:00,5.523459,7.4178777,16.961777,22.780544,23.923231,23.751984,25.146627,29.721214,27.662273,20.638815,25.037712,23.766478
2018-03-01 06:30:00,8.23465,7.532601,9.5425,18.631947,23.599174,24.891895,24.622179,25.471355,29.622858,27.415459,20.936943,25.599985
2018-03-01 07:00:00,8.470434,10.45496,9.990484,11.877664,19.64992,24.764832,25.92043,25.199015,25.73711,29.546665,27.552504,22.095665
2018-03-01 07:30:00,16.146133,10.757408,12.959,12.556096,13.175018,21.08522,26.02443,26.644257,25.80356,26.170992,29.722412,28.194078
2018-03-01 08:00:00,8.775795,18.164331,13.167698,15.449584,14.157015,14.975052,22.658407,27.04563,27.351667,26.526678,26.803543,30.273132
2018-03-01 08:30:00,9.253393,10.940975,20.100128,15.592269,17.144314,16.229517,16.864634,24.072035,27.984488,28.129364,27.365458,27.915173
2018-03-01 09:00:00,5.1647973,11.294014,13.053066,21.926802,17.240759,19.248863,18.187103,18.626947,25.444763,28.85842,28.945513,28.520657
2018-03-01 09:30:00,3.8576245,7.3162503,13.47822,15.235423,23.505293,19.255056,21.29334,19.870193,20.514723,26.629082,29.704266,29.965406
2018-03-01 10:00:00,7.915858,6.160849,9.716021,15.713443,16.69729,25.32342,21.427404,22.936914,21.73673,22.261593,27.79199,30.674603
2018-03-01 10:30:00,12.186884,10.142624,8.821287,12.226621,17.274576,18.470863,27.272503,23.145563,24.664982,23.572056,24.05813,29.013754
