,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-03-01 00:00:00,56.9156,66.93428,70.335976,44.017487,65.772026,69.70089,64.48994,50.984974,56.647095,84.16659,88.61725,85.4548
2018-03-01 00:30:00,38.691124,54.093594,63.349037,65.28699,38.09914,60.15774,64.04536,61.63619,48.888847,54.572746,82.076324,84.86783
2018-03-01 01:00:00,37.53251,37.665146,49.48823,58.512848,63.02052,28.380226,55.605618,61.46086,59.524223,48.453197,52.783096,78.42333
2018-03-01 01:30:00,28.196592,36.136284,35.97579,44.72157,55.859695,58.489883,25.498734,53.183758,59.002014,56.023396,45.237423,50.457363
2018-03-01 02:00:00,33.34496,27.226086,34.129807,33.614338,40.28927,51.50012,54.87732,20.753843,50.745514,57.5091,55.172104,43.838707
2018-03-01 02:30:00,24.869177,31.50286,25.816856,31.357164,31.731058,35.24554,46.59634,52.773125,16.336731,49.451817,54.451096,52.94492
2018-03-01 03:00:00,12.313101,24.303616,28.157747,23.72376,29.068617,29.334042,31.915453,45.229553,51.267963,11.5362015,46.998863,52.02402
2018-03-01 03:30:00,10.88715,13.376398,23.543285,24.92824,21.892725,26.316303,28.14292,31.344852,43.83401,48.417774,11.499654,45.486343
2018-03-01 04:00:00,16.504295,12.562038,14.946463,21.930775,22.179272,19.783026,24.853596,29.137342,30.708673,44.949673,48.00695,11.578571
2018-03-01 04:30:00,14.937454,18.215418,14.953081,15.170098,20.580778,19.24847,18.765068,25.519249,30.059204,30.397976,39.01154,46.473095
2018-03-01 05:00:00,6.284226,16.6856,20.517035,15.811292,15.822369,18.919529,17.470585,19.76861,26.216309,29.968557,28.497393,36.70201
2018-03-01 05:30:00,5.432692,8.188421,19.06426,21.288555,17.215221,16.08622,18.26645,17.7304,20.740623,26.155678,30.26978,28.55049
2018-03-01 06:00:00,5.438721,7.352656,10.962732,19.90172,22.735147,18.130539,16.932423,19.556864,18.397192,21.665585,26.514816,30.925953
2018-03-01 06:30:00,7.008017,7.358624,10.165899,12.11169,21.394756,23.457468,19.514315,19.354282,20.740223,18.425074,22.264208,27.417292
2018-03-01 07:00:00,6.8321824,8.900547,10.1716,11.345208,13.785889,22.194351,24.822023,22.370808,21.523989,21.98657,19.528265,23.755375
2018-03-01 07:30:00,17.354609,8.727783,11.642118,11.3506975,13.037329,15.0053425,23.601906,27.685808,24.88706,23.313112,22.606674,21.21224
2018-03-01 08:00:00,6.619393,19.066504,11.477354,12.765391,13.04273,14.297794,16.608736,26.490063,30.1171,26.56843,24.788979,24.126312
2018-03-01 08:30:00,5.4930844,8.518703,21.337254,12.606883,14.425789,14.302885,15.92024,19.593075,28.960636,31.690231,28.253996,26.475012
2018-03-01 09:00:00,5.5537915,7.412024,11.277958,22.092447,14.270828,15.609655,15.925198,18.913471,22.241825,30.676609,32.600185,29.733772
