,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-03-01 00:00:00,53.980045,67.6256,64.1121,57.146683,65.56226,78.67692,67.71533,52.027527,55.88767,71.02919,76.72247,69.93508
2018-03-01 00:30:00,39.319706,51.64292,63.523235,60.800472,53.740025,62.34323,75.03419,63.93992,49.340744,52.449287,67.17479,71.889626
2018-03-01 01:00:00,41.287674,37.23149,48.063465,60.62671,57.713497,50.951313,59.144928,71.48088,60.043774,47.300583,49.87615,64.02379
2018-03-01 01:30:00,35.745785,39.75703,33.98014,45.868855,57.232136,55.362644,48.29357,57.486683,67.53387,58.813393,45.337605,48.906372
2018-03-01 02:00:00,35.541237,34.381107,36.794876,32.04358,42.774246,54.726772,52.76599,46.609745,54.933056,65.60503,56.38446,44.037846
2018-03-01 02:30:00,32.285416,34.55278,32.257732,34.491207,30.036535,40.202103,52.31128,49.955303,44.423397,52.073746,62.792423,53.116695
2018-03-01 03:00:00,22.825804,31.51702,32.93569,30.901678,33.2236,28.113136,38.564796,49.8039,47.08869,42.364502,49.98071,59.073227
2018-03-01 03:30:00,21.349182,22.480326,30.354403,31.726147,29.607008,32.02898,27.309309,37.328663,47.175915,46.021893,40.934574,48.635456
2018-03-01 04:00:00,21.935404,21.630186,21.690731,29.68608,30.991411,28.488894,31.402876,26.380743,35.980038,45.82359,44.54263,40.315147
2018-03-01 04:30:00,20.348516,22.454597,21.120539,21.82632,29.141842,30.17037,28.387774,29.652199,25.778238,34.35437,44.484444,42.933846
2018-03-01 05:00:00,14.007574,21.008797,22.309208,21.288973,21.639282,28.467049,30.166082,27.563295,28.622364,25.18283,33.836372,43.155888
2018-03-01 05:30:00,6.1765504,15.003132,21.201996,22.693193,21.788633,21.457985,28.692839,29.608282,27.14401,29.098228,25.567324,34.22113
2018-03-01 06:00:00,6.366076,7.743939,15.532801,21.946829,23.31926,22.19389,22.059395,28.719269,29.193626,27.328417,29.374416,26.641642
2018-03-01 06:30:00,9.277718,8.388784,8.61784,16.864,22.60723,23.84712,22.906858,22.857079,28.583683,29.534199,27.86101,29.63199
2018-03-01 07:00:00,9.14534,11.351009,9.547079,10.436599,17.670467,23.21474,24.722172,23.575018,23.208939,28.855886,29.777222,28.701239
2018-03-01 07:30:00,15.036987,11.173271,12.775274,11.155614,11.615925,18.651173,24.223425,25.438154,23.85484,23.871878,29.159216,30.339388
2018-03-01 08:00:00,8.959532,16.929935,12.809355,14.356227,12.812181,13.212482,19.871174,25.321072,25.775728,25.096048,24.757801,29.8929
2018-03-01 08:30:00,8.463568,10.752615,18.411758,14.619187,16.00402,14.804012,14.734871,21.638716,25.841064,26.917633,26.025887,25.950314
2018-03-01 09:00:00,5.651734,10.475233,12.378248,19.739815,16.09261,17.98882,16.443995,17.001057,22.510052,26.834347,27.813108,26.851952
2018-03-01 09:30:00,4.981362,7.7803884,11.99292,14.441209,21.315456,18.035109,19.670887,18.368874,18.290848,23.724545,27.735966,28.540289
2018-03-01 10:00:00,8.017929,7.2563214,9.449667,13.721648,15.57617,23.083023,19.7471,21.38838,19.685848,20.052202,24.922539,28.579443
2018-03-01 10:30:00,11.921221,10.291182,9.014797,11.441791,15.256916,17.303394,24.572556,21.73216,22.6367,21.77728,21.740582,26.09239
2018-03-01 11:00:00,13.475979,13.99386,12.094231,10.94469,12.947079,17.22103,18.97312,25.993896,23.061302,24.51308,23.436579,23.211546
2018-03-01 11:30:00,10.822393,15.329203,15.7124195,13.820666,12.616806,15.035559,18.841494,21.321175,26.936634,24.697475,25.983192,24.69451
