,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-03-01 00:00:00,52.037777,65.93642,63.210617,57.43847,67.95388,76.3942,63.919228,43.94097,51.540855,66.84551,74.019394,67.39957
2018-03-01 00:30:00,40.785973,49.053825,62.35629,61.6812,54.15086,65.18463,71.47477,60.166954,41.31205,46.800507,64.16919,68.509926
2018-03-01 01:00:00,41.363136,38.754368,46.318783,60.623466,58.542194,51.0127,61.36624,67.371826,55.5142,37.90962,45.20349,59.473648
2018-03-01 01:30:00,30.121037,38.27841,36.49534,43.874413,58.186005,56.849617,48.33231,59.90286,63.048405,52.96271,37.68178,42.886665
2018-03-01 02:00:00,32.78861,27.436533,35.29695,33.539486,42.229816,56.215614,53.692707,46.884678,58.562626,61.11355,53.708954,37.139782
2018-03-01 02:30:00,30.447239,29.162577,25.679153,30.980917,31.755072,40.295326,52.461853,51.78804,46.07377,54.52689,60.998318,50.52269
2018-03-01 03:00:00,17.564518,30.632425,27.472095,21.172617,29.442862,30.83836,38.11543,50.716557,49.51164,42.226917,52.941017,56.765556
2018-03-01 03:30:00,17.941093,16.892956,31.268435,23.258154,20.042711,27.848171,30.253757,37.09531,48.390682,45.848083,39.454456,49.12889
2018-03-01 04:00:00,16.971878,17.207819,16.917084,29.551506,22.818197,18.788383,27.008404,29.453136,36.393387,45.828873,44.844322,38.039867
2018-03-01 04:30:00,15.093031,16.806763,17.32831,15.007119,30.242165,20.951122,18.303772,25.19339,28.593327,35.196785,45.987732,43.1465
2018-03-01 05:00:00,8.553385,14.673998,17.441916,15.742785,15.3890705,31.315195,20.108328,17.051794,23.75844,27.813118,33.495567,43.672787
2018-03-01 05:30:00,2.8399358,9.508572,15.688435,16.144888,16.71349,14.961628,31.686785,19.106842,16.350643,24.125332,26.161777,33.354923
2018-03-01 06:00:00,4.8486238,3.9670606,11.0545845,14.941543,17.357986,16.323832,15.908678,32.148514,18.277454,18.743864,24.287464,27.746237
2018-03-01 06:30:00,6.623345,5.4386945,5.7572803,11.586326,16.545042,17.387386,17.557417,16.629837,32.43149,20.118994,19.005222,26.288416
2018-03-01 07:00:00,6.4739842,7.3196874,7.4506874,7.4123774,13.283077,16.561666,18.637714,18.248413,16.926544,32.26889,21.64713,21.753443
2018-03-01 07:30:00,14.103226,7.4696317,9.644506,9.240075,9.097649,13.71067,17.736702,19.468618,18.26279,18.850632,31.337122,23.474146
2018-03-01 08:00:00,3.8339257,15.193245,10.06502,11.343326,11.5958805,9.909542,15.703732,18.909824,19.645931,19.93344,19.586948,32.388905
2018-03-01 08:30:00,6.948895,7.033667,17.362974,12.026219,14.038692,12.679184,12.357193,17.728382,19.195856,21.732561,21.422415,22.101404
2018-03-01 09:00:00,2.0647206,7.983729,10.413532,18.708258,14.808802,15.07058,15.056429,15.013788,18.502192,21.545218,22.708355,23.816729
2018-03-01 09:30:00,3.660687,4.6256585,10.25996,13.014653,20.961857,15.737661,17.234932,17.50424,15.268985,20.728575,23.04425,25.075958
2018-03-01 10:00:00,5.997475,4.5791326,7.269535,12.105414,15.838341,21.629976,17.85977,19.544123,17.131105,17.647844,21.586203,25.179354
2018-03-01 10:30:00,9.872425,7.4515977,7.215296,9.399341,14.616697,17.68159,23.41929,20.406866,19.379198,19.649439,19.353119,24.036545
2018-03-01 11:00:00,10.662117,11.281879,9.93578,9.624549,11.715565,15.336683,20.443111,25.334692,20.769678,22.35458,22.022121,22.290936
2018-03-01 11:30:00,7.154404,12.565327,13.792416,11.896865,12.41836,12.91227,17.63968,23.638876,25.856966,23.679638,24.214571,24.849108
2018-03-01 12:00:00,21.47747,9.637129,15.233681,15.581822,14.459734,13.62022,15.812658,20.158018,25.235561,28.15523,25.26463,26.760023
2018-03-01 12:30:00,19.696281,22.533289,12.532618,17.078278,18.073835,15.324606,15.9798565,18.695986,20.632626,27.344725,29.29105,27.418354
