,LSTM-Bidirecional-1,LSTM-Bidirecional-2,LSTM-Bidirecional-3,LSTM-Bidirecional-4,LSTM-Bidirecional-5,LSTM-Bidirecional-6,LSTM-Bidirecional-7,LSTM-Bidirecional-8,LSTM-Bidirecional-9,LSTM-Bidirecional-10,LSTM-Bidirecional-11,LSTM-Bidirecional-12
2018-09-01 00:00:00,95.47043,97.320404,95.02763,94.76728,98.652824,94.64337,97.18979,96.761444,99.65578,100.398186,101.46653,103.27619
2018-09-01 00:30:00,98.1107,95.4584,97.10869,94.8786,94.56745,98.44278,94.16193,96.68499,96.48799,99.599045,100.02433,101.3694
2018-09-01 01:00:00,101.10197,97.58991,95.45081,96.76709,94.686905,94.15329,97.76512,93.82833,96.29301,96.56016,99.20551,99.88034
2018-09-01 01:30:00,94.0932,100.133896,97.33582,95.2794,96.54152,94.42714,93.596664,97.08375,93.61311,96.26654,96.28359,98.99672
2018-09-01 02:00:00,95.02775,94.4025,99.62861,96.97179,95.067726,96.30629,93.93348,93.19158,96.4769,93.61392,95.88354,96.075325
2018-09-01 02:30:00,99.203026,95.18208,94.55382,99.08284,96.73089,94.73168,95.71798,93.512245,92.9405,96.203735,93.30118,95.57697
2018-09-01 03:00:00,101.580444,98.61793,95.254295,94.49384,98.76143,96.42595,94.176796,95.13125,93.206276,92.755226,95.632095,93.01442
2018-09-01 03:30:00,101.9145,100.562874,98.29991,95.08699,94.28196,98.36584,95.78866,93.72935,94.6473,93.04937,92.378815,95.23396
2018-09-01 04:00:00,98.3961,100.83802,100.01278,97.86493,94.88535,93.81591,97.58487,95.1833,93.40683,94.35665,92.6442,92.11254
2018-09-01 04:30:00,96.72864,98.08938,100.26886,99.44758,97.59139,94.66595,93.26232,96.846596,94.69828,93.20721,93.831375,92.3204
2018-09-01 05:00:00,96.28277,96.81116,97.89511,99.68844,99.10306,97.38205,94.195404,92.90593,96.24506,94.36991,92.78503,93.46192
2018-09-01 05:30:00,97.12741,96.38219,96.79574,97.55393,99.323784,98.68501,96.757576,93.775734,92.72282,95.82726,93.84328,92.478065
2018-09-01 06:00:00,97.93808,96.94709,96.38193,96.54447,97.22983,98.75734,97.86733,96.12425,93.46602,92.58564,95.23821,93.49702
2018-09-01 06:30:00,102.51418,97.49981,96.82498,96.14973,96.24855,96.69192,97.87093,97.119446,95.57465,93.33922,92.26439,94.90024
2018-09-01 07:00:00,105.9891,101.312355,97.2715,96.533394,95.88257,95.8981,95.96452,97.10326,96.50099,95.294075,92.94211,92.034
2018-09-01 07:30:00,112.43899,104.30199,100.67909,96.92769,96.27543,95.63548,95.325035,95.41464,96.52332,96.093025,94.741104,92.60883
2018-09-01 08:00:00,113.44509,109.84228,103.38186,100.036804,96.671486,96.02299,95.11794,94.8814,95.0567,96.06001,95.496635,94.35137
2018-09-01 08:30:00,104.99726,110.91334,108.379745,102.52863,99.68204,96.3443,95.45659,94.68345,94.5764,94.80618,95.49296,95.159546
2018-09-01 09:00:00,109.64343,104.20341,109.4183,107.09667,102.053535,99.27363,95.7068,94.94912,94.35124,94.47837,94.3978,95.21883
2018-09-01 09:30:00,97.81303,108.17929,103.5811,108.09203,106.411285,101.45048,98.43375,95.129906,94.538055,94.26469,94.11414,94.165146
2018-09-01 10:00:00,92.008606,98.31063,107.17775,102.85776,107.29547,105.62118,100.40939,97.626976,94.67294,94.35413,93.87189,93.83225
2018-09-01 10:30:00,85.082405,93.29197,98.37372,106.10864,102.203285,106.274155,104.28822,99.45966,96.9551,94.37927,93.89342,93.54446
2018-09-01 11:00:00,77.87406,87.02637,93.828636,98.15902,105.38664,101.24357,104.83402,103.066475,98.69327,96.49153,93.875465,93.5458
2018-09-01 11:30:00,73.106964,80.54522,87.99318,93.93172,97.70818,104.76988,100.13662,103.63079,102.0655,98.13246,95.86235,93.5415
2018-09-01 12:00:00,61.57382,75.76067,81.9201,88.44656,93.68682,97.07175,103.65908,99.42783,102.71377,101.36534,97.46672,95.515656
2018-09-01 12:30:00,59.99676,65.284744,77.179054,82.72633,88.41162,93.461555,96.35146,102.72295,99.00836,102.075096,100.59692,97.17229
2018-09-01 13:00:00,52.51063,63.066956,67.20613,78.08231,82.84848,88.44454,93.1165,96.00409,101.96601,98.8153,101.39835,100.33409
2018-09-01 13:30:00,36.161476,55.80832,64.631805,68.5457,78.309906,83.06502,88.46166,92.98453,95.860405,101.74972,98.475945,101.24667
2018-09-01 14:00:00,26.967714,40.611862,57.454395,65.74343,68.83239,78.66282,83.38698,88.56576,92.97398,96.0147,101.219154,98.41021
2018-09-01 14:30:00,26.0968,30.89741,42.637337,58.716755,66.01242,69.12017,79.1691,83.757065,88.735,93.28978,95.83003,100.97087
2018-09-01 15:00:00,16.2586,28.662226,32.40297,44.179142,58.968044,66.54805,69.950806,79.625916,84.14365,89.08646,93.156006,95.692024
2018-09-01 15:30:00,20.908327,18.819502,29.34519,33.526573,44.198006,59.368027,67.452644,70.86805,80.05374,84.59711,89.00094,92.89603
2018-09-01 16:00:00,16.908243,21.899206,19.494448,29.889797,33.244713,44.26952,60.370796,68.28795,71.77356,80.37568,84.60747,88.68064
2018-09-01 16:30:00,22.62691,18.28805,21.800268,20.175259,29.513952,33.423748,45.614185,61.445557,69.02216,72.25256,80.355606,84.25512
2018-09-01 17:00:00,22.86677,23.257673,18.468702,22.203579,19.856173,30.016964,34.99888,47.356586,62.44941,69.3357,72.5229,79.969124
2018-09-01 17:30:00,14.95946,23.700212,23.09656,19.208405,22.213915,20.157993,31.589355,36.934113,49.139706,62.75208,69.48021,72.26239
2018-09-01 18:00:00,17.706018,16.75762,23.757467,23.694134,19.41574,22.972763,21.729244,33.335083,38.887047,49.709087,63.05657,69.13516
2018-09-01 18:30:00,40.61831,18.777456,17.264612,24.610039,24.069788,20.057243,24.276463,23.690853,34.995136,39.46443,50.567455,62.83112
2018-09-01 19:00:00,30.29822,39.37221,18.794794,18.343033,25.161623,24.983837,21.263962,25.734169,25.741905,35.45215,40.49262,50.69988
2018-09-01 19:30:00,39.824776,31.475199,38.383568,19.53619,18.694181,25.997437,26.021168,22.821629,27.151997,26.360104,36.34432,40.81747
2018-09-01 20:00:00,41.25005,39.958683,32.067368,38.49529,19.815943,19.153187,26.896408,27.250755,24.454105,27.774899,27.557938,36.65651
2018-09-01 20:30:00,38.05752,41.74805,40.102734,33.336884,39.199963,20.513878,20.260471,28.102062,28.457188,25.331226,28.604187,28.132607
2018-09-01 21:00:00,41.857845,39.428307,42.137886,41.191288,34.20491,40.80536,21.655327,21.884724,29.32669,29.301495,26.354408,28.99281
