,LSTM-Stacked-1,LSTM-Stacked-2,LSTM-Stacked-3,LSTM-Stacked-4,LSTM-Stacked-5,LSTM-Stacked-6,LSTM-Stacked-7,LSTM-Stacked-8,LSTM-Stacked-9,LSTM-Stacked-10,LSTM-Stacked-11,LSTM-Stacked-12
2018-09-01 00:00:00,95.72649,98.63715,96.3582,95.57948,100.65324,94.059944,96.76,95.511536,99.21024,99.42462,101.06889,102.717545
2018-09-01 00:30:00,99.2798,96.39071,98.52454,96.43882,95.58893,100.19442,93.50404,96.53862,95.790375,99.03905,99.36971,100.75725
2018-09-01 01:00:00,102.08205,99.396904,96.5592,98.48924,96.4006,95.02718,99.250175,93.50919,96.3265,95.83031,98.85278,99.00098
2018-09-01 01:30:00,93.34209,101.798195,99.29651,96.67265,98.38972,95.88752,94.260735,98.583176,93.48981,96.12763,96.03148,98.421745
2018-09-01 02:00:00,95.26309,94.66977,101.45697,99.207634,96.66514,97.85469,95.110794,93.96228,97.69077,93.40753,95.958694,95.609764
2018-09-01 02:30:00,100.1261,95.9111,95.12523,101.19044,99.05554,96.17355,96.96511,94.73294,93.54201,97.19066,93.52262,95.46198
2018-09-01 03:00:00,102.85884,99.799065,96.05154,95.22307,100.90512,98.404854,95.4027,96.37868,94.16317,93.317406,96.62656,93.12173
2018-09-01 03:30:00,103.15152,102.39,99.4572,96.08867,95.186165,100.15594,97.42029,95.039505,95.53593,93.86454,93.47674,96.141266
2018-09-01 04:00:00,98.267784,102.92768,101.94806,99.35844,96.02645,94.54948,99.01942,96.73591,94.508644,95.10044,93.85761,93.23627
2018-09-01 04:30:00,96.04377,98.84499,102.54493,101.706314,99.226425,95.52704,93.75589,98.17401,95.78201,94.21946,94.85868,93.52966
2018-09-01 05:00:00,95.90318,96.68355,98.83693,102.05393,101.44207,98.78045,94.76722,93.48651,97.07101,95.31311,94.17629,94.486305
2018-09-01 05:30:00,97.77033,96.34379,96.723366,98.532104,101.573944,100.77399,97.905914,94.42504,93.13342,96.52076,95.10988,93.85933
2018-09-01 06:00:00,98.86333,97.91936,96.33744,96.613,98.211205,100.55797,99.670784,97.327324,93.90583,92.9531,96.19403,94.79327
2018-09-01 06:30:00,103.80575,99.023796,97.80201,96.34672,96.45301,97.3542,99.22119,98.855774,96.5139,93.623375,93.262924,95.8867
2018-09-01 07:00:00,107.57235,103.2519,98.92958,97.80273,96.28954,95.90657,96.28006,98.226685,97.809204,96.06478,93.64072,93.06149
2018-09-01 07:30:00,114.96601,106.55346,102.76759,98.884636,97.7336,95.91024,95.10618,95.679665,96.99697,97.26572,95.64211,93.28581
2018-09-01 08:00:00,115.72468,112.76332,105.70413,102.4206,98.76907,97.3143,95.227745,94.80886,94.97751,96.41219,96.81921,95.1901
2018-09-01 08:30:00,102.74103,113.51542,111.09237,104.934235,102.067154,98.187256,96.53996,95.00248,94.44474,94.63291,96.247696,96.47785
2018-09-01 09:00:00,109.68829,102.81209,111.623886,109.59676,104.23378,101.27347,97.26688,96.13931,94.67204,94.2216,94.800766,96.03868
2018-09-01 09:30:00,91.348526,108.092354,102.144005,109.72009,108.31016,103.12647,100.056366,96.678185,95.565056,94.44287,94.319664,94.57675
2018-09-01 10:00:00,88.27165,93.260124,106.692986,101.0655,108.143234,106.78639,101.59803,99.100876,95.86567,95.23094,94.3613,93.96032
2018-09-01 10:30:00,80.4727,90.01516,93.75963,105.65472,100.23363,106.41157,104.787186,100.36694,97.8677,95.44945,94.997894,93.92433
2018-09-01 11:00:00,72.36035,82.91452,90.61974,93.86631,104.8696,99.12325,104.26585,103.07033,98.89812,97.254196,95.237885,94.57508
2018-09-01 11:30:00,68.630264,75.41925,84.10408,90.90833,93.95886,104.07836,97.7814,102.540504,101.16042,98.17472,96.82789,94.90476
2018-09-01 12:00:00,58.307842,71.56553,77.07643,84.77494,91.098724,93.640686,102.79279,97.12146,100.80404,100.21887,97.75873,96.51719
2018-09-01 12:30:00,53.90402,61.891422,73.27856,78.00831,85.23453,91.00195,93.224236,101.92349,96.731995,99.945175,99.62236,97.50785
2018-09-01 13:00:00,45.091507,56.786453,64.00811,74.29369,78.64699,85.33722,90.77374,93.60892,101.22151,96.508934,99.604485,99.381035
