,LSTM-Vanilla-1,LSTM-Vanilla-2,LSTM-Vanilla-3,LSTM-Vanilla-4,LSTM-Vanilla-5,LSTM-Vanilla-6,LSTM-Vanilla-7,LSTM-Vanilla-8,LSTM-Vanilla-9,LSTM-Vanilla-10,LSTM-Vanilla-11,LSTM-Vanilla-12
2018-09-01 00:00:00,97.410805,98.81104,96.35686,95.21922,99.92239,93.905365,96.7051,95.997406,98.97237,99.75363,101.223915,102.75988
2018-09-01 00:30:00,100.97865,96.63435,98.92549,95.505516,94.822945,100.00634,93.3049,96.473335,95.5308,99.22259,99.37071,100.63915
2018-09-01 01:00:00,104.36987,99.71098,96.965675,97.917175,95.0429,94.76432,98.99468,93.10607,95.69473,96.175865,98.7277,98.727974
2018-09-01 01:30:00,94.92834,102.68373,99.58635,96.09341,97.362404,95.24999,93.60453,98.55145,92.5698,95.89379,96.07548,98.07655
2018-09-01 02:00:00,96.31329,95.044106,102.1211,98.60373,95.893875,97.72609,94.22715,93.202675,96.843124,93.00054,95.477745,95.15119
2018-09-01 02:30:00,101.75364,95.779305,95.3296,100.99595,98.038345,95.84557,96.36422,93.75526,92.039246,96.395836,92.82777,94.78654
2018-09-01 03:00:00,105.21131,100.049835,96.16707,94.704765,100.37463,98.341576,94.84206,95.711334,92.58723,92.27879,95.50444,92.006546
2018-09-01 03:30:00,105.10408,103.23695,100.09391,95.29537,94.195656,100.57613,96.93359,94.55336,94.02249,92.533195,92.04935,95.17876
2018-09-01 04:00:00,99.89928,103.71283,102.680504,98.881386,94.65276,94.1068,98.92544,96.26394,93.22823,93.88214,92.14912,91.390335
2018-09-01 04:30:00,97.62595,99.44901,102.74724,101.45138,98.540695,94.99824,92.9738,98.15977,94.44128,93.2163,93.26705,91.6997
2018-09-01 05:00:00,97.28817,97.13463,99.10371,101.715324,101.20071,98.75459,93.89412,92.52868,96.09819,94.111626,92.75073,92.857414
2018-09-01 05:30:00,99.1383,96.4883,97.40457,98.246124,100.86903,101.114044,97.57657,93.28987,91.56492,95.65462,93.43761,92.15754
2018-09-01 06:00:00,100.60062,97.92857,96.95465,96.42507,97.34128,100.95421,99.72041,97.03064,92.25176,91.86644,94.878746,93.12637
2018-09-01 06:30:00,106.313835,99.35173,98.210846,95.89457,95.81196,97.41725,99.079475,99.246506,95.35645,92.362495,91.788086,94.62855
2018-09-01 07:00:00,110.02394,104.32283,99.30063,97.117386,95.6113,95.90945,95.854454,98.21886,97.1794,95.11943,92.08838,91.12685
2018-09-01 07:30:00,117.62373,107.80692,103.520004,98.293076,96.95247,95.613464,94.844536,95.02875,96.174446,96.60943,94.34846,91.61361
2018-09-01 08:00:00,117.37136,114.45716,106.31992,102.302124,97.91257,96.94342,94.7883,94.20918,93.708725,95.63824,95.717865,93.951836
