,MLP-1,MLP-2,MLP-3,MLP-4,MLP-5,MLP-6,MLP-7,MLP-8,MLP-9,MLP-10,MLP-11,MLP-12
2018-09-01 00:00:00,95.29534,98.98793,94.36291,92.46604,100.00153,92.72486,97.42443,93.95381,101.781456,99.43649,103.14283,106.643425
2018-09-01 00:30:00,99.22011,95.93123,98.62618,92.95953,94.029816,101.99791,93.04658,97.06399,95.03135,99.35786,100.701035,103.45096
2018-09-01 01:00:00,102.21984,99.61347,95.32382,97.31245,94.87443,94.707405,100.78957,92.30345,97.52919,93.71239,100.572754,100.75636
2018-09-01 01:30:00,92.467354,102.95229,98.982666,93.596756,97.7242,96.0451,95.37875,99.87477,93.04524,95.242386,95.17109,100.685356
2018-09-01 02:00:00,94.727066,92.80735,101.68586,97.494774,94.71147,98.95806,95.024864,93.82234,100.26448,91.3203,96.20408,94.59848
2018-09-01 02:30:00,99.661804,94.65225,91.79902,100.28232,99.03115,95.797424,98.4643,94.51843,93.525955,97.12959,92.74851,96.64097
2018-09-01 03:00:00,103.431625,100.52422,94.76377,91.1601,101.322014,99.98417,96.017654,97.239265,93.458664,91.368645,96.38326,92.073326
2018-09-01 03:30:00,102.77909,103.90929,99.81873,93.21287,93.6429,102.109474,98.259094,95.2962,97.35966,91.37716,92.164505,97.804306
2018-09-01 04:00:00,97.60453,103.287704,101.609505,99.30597,95.172646,94.17382,100.35976,97.558876,95.33504,93.86717,92.03145,92.03292
2018-09-01 04:30:00,95.66158,97.896034,102.349495,100.67936,98.37964,96.40636,94.08759,98.99621,97.11578,92.49576,94.48307,93.277916
2018-09-01 05:00:00,95.38163,95.946434,97.34528,101.18336,101.33654,100.01038,95.37208,91.91474,99.17844,93.73485,92.893936,95.39261
2018-09-01 05:30:00,97.38838,96.014534,95.74873,96.88359,102.40005,102.622925,100.027245,94.61271,90.711205,95.415344,93.883965,93.73232
2018-09-01 06:00:00,98.695015,97.80992,96.106674,93.94062,98.48073,102.56838,101.258934,98.7499,93.47987,90.08059,95.28626,95.794815
