,LSTM-Bidirecional-1,LSTM-Bidirecional-2,LSTM-Bidirecional-3,LSTM-Bidirecional-4,LSTM-Bidirecional-5,LSTM-Bidirecional-6,LSTM-Bidirecional-7,LSTM-Bidirecional-8,LSTM-Bidirecional-9,LSTM-Bidirecional-10,LSTM-Bidirecional-11,LSTM-Bidirecional-12
2018-12-01 00:00:00,5.680795,14.407571,21.474356,25.593672,30.500692,37.101505,36.27087,42.948837,27.354586,33.84359,28.593245,25.63421
2018-12-01 00:30:00,6.2362075,6.7086077,15.546094,21.648558,26.019024,31.233566,37.70983,38.467777,43.933178,29.112667,34.12815,28.248074
2018-12-01 01:00:00,2.0558794,7.519124,8.419063,16.034412,22.206842,26.827236,31.915916,39.329094,39.298233,44.898964,29.765593,33.553066
2018-12-01 01:30:00,0.32002798,3.5169494,9.283397,9.382086,16.723036,23.082117,27.448317,33.792713,40.08946,41.30172,44.56108,29.190733
2018-12-01 02:00:00,-0.22683176,2.0665557,5.5020137,10.26008,10.377733,17.778791,23.746855,29.189852,34.520844,41.133373,42.33148,43.822292
2018-12-01 02:30:00,3.1028383,1.6429948,4.45618,6.914686,11.733042,11.832824,18.607534,25.71902,30.04566,35.684254,40.846817,41.243023
2018-12-01 03:00:00,2.7446153,4.7524614,4.2322307,5.97386,8.746931,13.682601,12.933624,20.922735,26.683483,31.458982,35.476677,39.994377
2018-12-01 03:30:00,2.6877992,4.217908,7.0887523,5.8090878,8.014036,10.995168,14.944244,15.460471,22.015625,28.452145,31.707037,34.76683
2018-12-01 04:00:00,29.00508,4.432187,6.5308795,8.511663,7.8954825,10.549573,12.578226,17.323694,16.819366,24.008507,29.245811,31.185244
2018-12-01 04:30:00,36.087505,29.599064,6.9142222,7.937277,10.530767,10.475915,12.196318,15.462033,18.850683,18.854408,25.198175,28.753387
2018-12-01 05:00:00,51.14254,36.92032,30.333939,8.245882,9.708605,12.936662,12.161339,14.89346,17.136696,21.080032,19.83919,24.77447
2018-12-01 05:30:00,55.810486,50.766613,37.03905,30.382706,9.889849,11.831506,14.473145,14.868766,16.749275,19.584782,22.027039,19.536564
2018-12-01 06:00:00,66.31145,55.595547,51.018986,36.755783,31.779633,12.052236,13.260302,17.094921,16.765089,19.006256,20.921925,21.646515
2018-12-01 06:30:00,73.21932,65.26177,56.21375,50.746304,38.077484,33.30479,13.466297,15.933827,18.882633,18.947186,19.664114,20.429178
2018-12-01 07:00:00,74.421684,71.446594,64.74397,55.918907,51.498642,39.38544,34.016823,15.944327,17.61338,21.050936,19.385565,19.241135
2018-12-01 07:30:00,96.92549,71.76295,69.866,63.773327,56.478107,52.509254,40.31522,35.599266,17.595034,19.676636,21.565655,18.982845
